@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
0.63,4.2192,2.0541,13.1599,-0.3192,-0.6922,5.2788,2.2976,13.7479,-1.2068,-0.0713,10.7732,3.2823,18.2007,-1.1127,3.8774,6.118,2.4735,10.8485,0.0527,-0.9102,-8.8356,0.1625,9.7077,-0.1785,-0.0184,0.894,0.6258,0.8304,0.7,0.9289,1.327,0.7993,0.3916,0.6896,0.49,0.8628,1.7609,0.4236,0.3322,-5.274,0.7843,-12.4508,-15.8748,1.6012,1.1579,0.871,0.7231,0.544,0.7522,0.9572,0.723,1.2131,0.7553,1.2673,1.6777,0.0049,5.7085,0.2156,0.3224,0.3969,0.6123,-0.1941,0.0497,-0.1962,0.5159,0.7183,4.6356,-3.0578,-0.6754,1.4864,1.2192,4.8151,-4.0794,0.3819,0.5354,0.7317,2.9822,-0.2618,0.2905,-0.5138,-1.7686,0.5891,0.9816,1.6663,0.3471,0.9636,2.7764,0.9033,5.6448,6.249,1.2051,0.4834,0.4011,0.9627,1.5544,1.6146,0.0042,1.9504,0.5143,-0.1697,-0.6963,DAVANTI_PANTALONI
0.3693,2.2006,1.4834,10.309,-0.8407,-0.6236,4.7313,2.1752,10.4099,-1.3198,0.2325,6.554,2.5601,13.3857,-0.4473,3.3208,3.0372,1.7428,9.3203,0.0763,-0.5922,1.5883,0.1112,-2.6821,-0.1878,0.07,0.682,0.5794,0.8512,0.8496,1.2481,1.469,0.4651,0.3358,0.7245,0.7219,1.5578,2.1579,0.795,1.138,-6.1165,1.4315,-7.6939,-5.3747,1.2481,0.6056,0.5551,0.4852,0.4447,0.9166,0.9903,0.7702,1.1061,0.7777,1.1169,1.4362,0.004,4.9652,0.0828,0.0556,0.2319,0.4352,0.0126,0.4758,-0.2435,0.5551,0.7451,4.0076,-3.0451,-0.5874,1.6271,1.2756,5.3726,-6.7564,0.2605,0.4582,0.6769,2.8049,-0.2793,0.4147,-0.935,-2.2548,0.5841,1.1007,1.8844,0.3412,1.2115,3.5508,0.6446,4.9261,7.6416,1.4303,0.4519,0.3159,0.7459,1.4288,1.9155,0.0036,1.7615,0.5521,-0.3165,-0.5905,DAVANTI_PANTALONI
0.5172,3.3639,1.8341,13.9689,-0.517,-0.1667,9.4139,3.0682,16.2942,-1.3439,0.3069,10.4704,3.2358,13.5359,-0.5165,4.4086,4.2022,2.0499,9.9212,0.0381,-3.1028,1.6855,0.1173,-0.5432,-0.0378,0.0696,0.5978,0.5668,0.8947,0.9482,1.4967,1.5785,0.3573,0.3213,0.8005,0.8991,2.2402,2.4916,0.5096,1.0326,-12.1268,2.0264,-23.7972,-11.7437,1.3246,1.0317,0.8928,0.7789,0.674,0.8654,0.8573,1.032,1.408,1.2038,1.6424,1.3643,0.0033,6.5343,0.1993,-0.2671,0.0231,0.4332,0.0039,0.3703,-0.0694,0.7037,0.8388,4.3237,-1.4304,-0.6214,1.2821,1.1323,5.1259,-8.2023,0.5013,1.5177,1.232,5.4794,-0.4383,0.1117,-0.1384,-1.2396,0.7408,0.6809,0.9191,0.5488,0.4636,0.8447,0.557,1.5239,2.7361,3.1938,0.467,0.1462,0.8435,0.7891,0.9355,0.0042,2.3752,0.1838,0.111,-0.7379,DAVANTI_PANTALONI
-0.3679,13.0143,3.6075,34.6428,-0.5053,-0.0223,9.9443,3.1535,31.3122,-0.4052,0.6667,18.1847,4.2644,26.2083,-0.5161,4.854,18.1626,4.2618,32.0398,0.0104,16.4855,-0.5519,-0.0758,-0.0335,-0.0046,0.1373,1.144,0.846,0.8465,0.7395,0.7399,1.0006,1.3087,0.7157,0.7165,0.5468,0.5475,1.0012,1.2879,1.3034,-34.7038,1.0121,-26.9466,-26.6254,1.0328,1.3313,0.7109,1.289,0.6883,0.5339,1.1064,1.3218,1.0812,1.1947,0.9773,0.818,0.004,7.157,0.6489,-0.0984,0.2793,-0.1667,0.335,0.3501,0.192,1.3473,1.1607,5.3561,-0.4124,-0.484,4.0155,2.0039,11.1813,-3.4021,-0.1665,1.0949,1.0464,5.7666,-2.153,-0.3966,-1.1528,2.9064,0.5793,1.1093,1.9151,0.3355,1.2306,3.6675,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.0028,2.4807,-0.1998,-0.4911,0.4414,DAVANTI_PANTALONI
1.0823,2.5701,1.6031,5.7324,-0.2093,-0.1057,0.3948,0.6284,3.1133,-1.5222,-0.6317,4.3678,2.0899,8.1406,-0.999,2.6073,2.1164,1.4548,5.0136,0.066,-10.2398,-1.7131,0.4151,0.1673,-0.0405,-0.2423,2.5513,0.7671,1.102,0.3007,0.4319,1.4366,6.509,0.5884,1.2143,0.0904,0.1866,2.0637,0.5281,0.2439,-2.7986,0.4618,-5.2997,-11.4752,3.8402,1.164,0.883,0.3031,0.2299,0.7586,1.8413,0.7042,1.1434,0.3824,0.621,1.6237,0.0286,3.7311,-0.2964,-0.1571,0.7551,0.3395,-0.1981,-0.1704,0.2041,0.2805,0.5296,2.5155,-0.4141,-0.6923,0.9664,0.983,4.2516,-6.4839,0.4502,0.4992,0.7065,2.5742,-0.2832,-0.2948,0.4534,-1.5378,0.5388,0.7496,1.3914,0.2903,0.5619,1.936,0.2,1.2968,6.4839,3.1312,0.8867,0.2832,0.5917,0.9772,1.6516,0.0049,1.8766,-0.6815,0.7291,-0.681,DAVANTI_PANTALONI
0.6645,2.0216,1.4218,6.7406,-1.1956,-0.1899,6.252,2.5004,9.388,-0.6313,-0.1747,0.5959,0.7719,4.5405,-0.8304,2.8171,1.4416,1.2006,6.7667,0.0454,-3.4991,-3.8039,0.2359,1.0871,-0.0674,-0.062,0.5686,1.8419,1.1842,3.2392,2.0825,0.6429,0.3234,3.3928,1.4024,10.4924,4.337,0.4133,1.0103,1.7819,-11.3929,1.7638,-11.2772,-6.3936,0.5335,1.2376,0.4331,2.3199,0.8118,0.3499,0.718,1.4846,0.9961,2.0676,1.3874,0.671,0.0035,4.2414,-0.9423,-0.6942,-0.1573,0.6632,0.145,0.1577,0.0046,0.0417,0.2043,0.8324,-0.8956,0.0066,0.0614,0.2478,1.2161,-0.8736,-0.0416,0.0448,0.2117,0.809,-0.9766,0.6995,-0.1112,-0.1589,0.8244,0.9651,1.1707,0.6796,0.9314,1.3705,0.6936,0.984,1.4187,0.6765,1.0729,1.5859,0.6845,1.029,1.5033,0.0002,0.5416,-0.3353,-0.0431,-0.1521,DAVANTI_PANTALONI
-0.3131,1.7051,1.3058,6.8066,-0.6052,-0.5442,2.0795,1.442,6.6366,-3.3437,0.2026,1.3153,1.1469,6.069,-0.906,1.9929,1.5635,1.2504,6.2689,0.0165,0.5753,-1.5456,-0.1571,-2.6865,-0.2731,0.1017,0.9055,1.1386,1.0443,1.2574,1.1533,0.9172,0.82,1.2964,1.0906,1.581,1.33,0.8412,0.5023,0.8896,-24.407,1.7709,-48.5877,-27.4365,2.7754,1.3317,0.6653,0.4798,0.2397,0.4996,1.0256,1.1215,1.0858,1.0935,1.0586,0.9681,0.0033,3.001,-0.2515,0.0639,0.3976,-0.3206,-0.7708,0.2162,-0.0394,1.1093,1.0532,4.6642,-1.7679,-0.0199,1.0529,1.0261,5.0532,-0.5438,-0.1607,0.3859,0.6212,2.3161,-1.3827,1.9821,0.2453,0.1238,1.0264,1.6954,1.6517,1.0536,2.8743,2.7282,1.6737,2.2165,1.3243,0.5148,1.7336,3.3673,0.923,2.0138,2.1818,0.0008,2.1606,-0.9434,0.5186,-0.4644,DAVANTI_PANTALONI
0.3161,9.0687,3.0114,26.4091,-0.253,-1.4235,4.0765,2.019,9.7717,-1.9658,0.3593,7.7266,2.7797,14.0003,-0.785,4.081,6.4731,2.5442,21.2054,0.027,-0.222,0.8796,0.0774,-3.9619,-0.3488,0.088,1.4915,1.0834,1.1836,0.7264,0.7936,1.0925,2.2246,1.1737,1.401,0.5276,0.6298,1.1936,0.8232,0.8659,-9.068,1.052,-11.0159,-10.4718,6.3973,2.6873,0.9671,0.4201,0.1512,0.3599,2.7026,1.8863,1.2454,0.698,0.4608,0.6602,0.008,6.1338,0.0207,0.329,0.5569,-0.0182,-0.2297,0.2239,-0.3614,1.2093,1.0997,5.7304,-1.5248,-0.789,2.6562,1.6298,6.9449,-1.6993,0.0963,4.7996,2.1908,9.4998,-0.6681,0.4581,-3.7514,-8.1891,0.6747,0.5019,0.7439,0.4553,0.2519,0.5534,0.7916,0.9096,1.1491,0.8822,0.3985,0.4518,0.8251,0.6032,0.7311,0.0047,4.1261,-0.0039,0.2729,-0.0661,DAVANTI_PANTALONI
0.1922,0.435,0.6596,4.2146,-0.4428,-0.5412,0.6973,0.835,3.9301,-1.2219,-0.2536,0.2077,0.4557,1.8487,-2.085,1.1805,0.3406,0.5836,3.2507,0.0149,-0.3551,-0.7578,0.1628,2.1341,-0.4584,-0.2148,0.7899,1.4473,1.1301,1.8323,1.4307,0.7808,0.6239,2.0947,1.2772,3.3574,2.047,0.6097,0.5985,1.0353,-26.3736,1.7299,-44.0675,-25.4745,1.6515,4.8745,0.8852,2.9516,0.536,0.1816,1.0724,2.2798,1.2965,2.1259,1.209,0.5687,0.0034,1.7665,0.5657,-0.3137,0.1101,-0.4454,-0.1351,-0.284,-0.047,0.0307,0.1752,0.7936,-2.0837,-0.0199,0.0262,0.162,0.8278,-1.9272,0.0401,0.0129,0.1137,0.6868,-1.1592,2.3577,-1.1737,-0.4978,1.0819,1.5409,1.4243,1.1705,2.3744,2.0285,0.984,1.4544,1.4781,0.9101,0.8091,0.889,0.9587,1.1555,1.2053,0.0004,0.3676,0.8215,-0.1962,-0.1607,DAVANTI_PANTALONI
0.2091,16.2286,4.0285,25.9615,-0.9203,-0.3791,7.6176,2.76,15.507,-0.6691,-0.1979,7.7186,2.7782,15.4011,-0.7606,4.9753,7.0374,2.6528,15.2342,0.0267,-0.5517,-1.0569,0.042,1.9157,-0.0762,-0.0398,1.4596,1.45,1.5186,0.9934,1.0404,1.0473,2.1304,2.1025,2.306,0.9869,1.0824,1.0968,2.0015,1.87,-29.7589,0.9343,-14.8679,-15.9136,1.4551,1.5455,0.8637,1.0621,0.5936,0.5589,1.6742,1.6857,1.7042,1.0069,1.0179,1.011,0.0026,7.391,0.2266,0.5,0.2438,-0.0798,0.0552,0.3273,-0.1865,0.9864,0.9932,6.5668,-0.8546,-0.5544,2.313,1.5209,8.0643,-1.7073,0.0031,4.8173,2.1948,8.8878,-0.7028,0.3364,-60.1623,-178.8555,0.653,0.4525,0.6929,0.4265,0.2048,0.4801,0.595,0.825,1.3864,1.1887,0.6783,0.5707,0.8143,0.7389,0.9073,0.0031,3.766,-0.3997,0.026,-0.0276,DAVANTI_PANTALONI
