@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
3.8065,12.4828,3.5331,11.2428,-0.0003,2.6466,11.4971,3.3907,13.4362,-0.8792,3.8065,12.4828,3.5331,11.2428,-0.0003,7.7185,12.8703,3.5875,12.8044,0.2509,1.4383,1,0.4932,0.6953,0.3429,0.4932,1.042,1,0.9848,0.9597,0.9451,0.9848,1.0857,1,0.9699,0.921,0.8933,0.9699,0.0006,1,-0.0009,1679.84,-1.466,-0.0009,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.8368,1,0.878,1.1951,1.0493,0.878,0.06,11.6777,-0.8591,1,0.9821,-0.8591,-0.8936,0.9821,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
6.0752,21.5198,4.6389,18.1111,-0.0495,-0.5887,31.0926,5.5761,17.0637,-0.9135,6.0752,21.5198,4.6389,18.1111,-0.0495,10.5706,36.5561,6.0462,24.7977,0.0136,-10.3188,1,0.5747,-0.0969,-0.0557,0.5747,0.8319,1,0.7673,1.202,0.9222,0.7673,0.6921,1,0.5887,1.4448,0.8505,0.5887,0.1049,1,-2.5044,9.5329,-23.8738,-2.5044,1.9351,1,0.6864,0.5168,0.3547,0.6864,1.0614,1,0.7304,0.9422,0.6881,0.7304,0.0906,17.482,-0.7309,1,0.9842,-0.7309,-0.6746,0.9842,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
5.289,20.8906,4.5706,12.4882,0.0426,2.106,3.2502,1.8028,6.5314,-0.4388,5.289,20.8906,4.5706,12.4882,0.0426,8.715,29.4622,5.4279,15.3755,0.1665,2.5114,1,0.6069,0.3982,0.2417,0.6069,2.5352,1,0.8421,0.3944,0.3321,0.8421,6.4274,1,0.7091,0.1556,0.1103,0.7091,-0.2788,1,0.1809,-3.5862,-0.6486,0.1809,2.8734,1,0.7071,0.348,0.2461,0.7071,1.912,1,0.8122,0.523,0.4248,0.8122,0.0883,13.0101,-0.9123,1,0.993,-0.9123,-0.8874,0.993,?,?,?,?,?,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-7.4359,0.0187,0.1368,7.7991,?,5.1441,0.0259,0.161,0.7263,0.8685,-7.4359,0.0187,0.1368,7.7991,?,11.7086,0.0203,0.1425,0.6341,0.9475,-1.4455,1,-0.6351,-0.6918,0.4393,-0.6351,0.8497,1,0.9602,1.1769,1.1301,0.9602,0.722,1,0.922,1.3851,1.2771,0.922,-1.6258,1,-0.6813,-0.6151,0.419,-0.6813,0,1,0,0,0.4572,0,10.7383,1,12.2997,0.0931,1.1454,12.2997,0.1171,20.0159,0.6154,0.9997,-0.921,0.6154,-0.2566,-0.921,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-6.4891,0.0161,0.1268,6.8514,?,6.1565,0.0115,0.1071,0.4592,0.9283,-6.4891,0.0161,0.1268,6.8514,?,11.0516,0.024,0.155,0.7579,0.9339,-1.054,1,-0.5872,-0.9487,0.5571,-0.5872,1.1832,1,0.8179,0.8452,0.6913,0.8179,1.3999,1,0.669,0.7143,0.4779,0.669,-1.1528,1,-0.6397,-0.8675,0.5549,-0.6397,0,1,0,0,0.5583,0,14.9188,1,9.0396,0.067,0.6059,9.0396,0.1105,19.1346,0.096,1.0003,-0.923,0.096,0.2927,-0.923,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
7.8633,25.9838,5.0974,19.6642,-0.2275,-0.8596,13.2162,3.6354,13.1706,-1.3911,7.8633,25.9838,5.0974,19.6642,-0.2275,12.1661,41.5714,6.4476,19.3158,0.151,-9.148,1,0.6463,-0.1093,-0.0707,0.6463,1.4022,1,0.7906,0.7132,0.5638,0.7906,1.9661,1,0.625,0.5086,0.3179,0.625,0.4756,1,-1.0608,2.1026,-2.2305,-1.0608,2.9084,1,0.7041,0.3438,0.2421,0.7041,1.493,1,1.018,0.6698,0.6819,1.018,0.1127,19.292,-0.6927,1,0.9814,-0.6927,-0.6798,0.9814,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-8.3556,0.0136,0.1165,8.6156,?,4.1109,0.0172,0.131,0.6874,0.845,-8.3556,0.0136,0.1165,8.6156,?,12.5119,0.0264,0.1624,0.8049,0.9378,-2.0325,1,-0.6678,-0.492,0.3286,-0.6678,0.8888,1,0.7173,1.1252,0.8071,0.7173,0.7899,1,0.5145,1.266,0.6514,0.5145,-2.2997,1,-0.7096,-0.4348,0.3086,-0.7096,0,1,0,0,0.3425,0,12.5342,1,10.7044,0.0798,0.854,10.7044,0.1251,20.822,-0.0225,1.0006,-0.9643,-0.0225,0.2863,-0.9643,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
6.7584,4.3772,2.0922,7.1333,0.3941,0.5783,1.231,1.1095,3.699,-0.7633,6.7584,4.3772,2.0922,7.1333,0.3941,9.6545,8.462,2.909,9.884,0.4103,11.6861,1,0.7,0.0856,0.0599,0.7,1.8857,1,0.7192,0.5303,0.3814,0.7192,3.556,1,0.5173,0.2812,0.1455,0.5173,-2.8982,1,0.6747,-0.345,-0.2328,0.6747,5.6127,1,0.7024,0.1782,0.1252,0.7024,1.9285,1,0.7217,0.5186,0.3742,0.7217,0.0948,14.6052,-0.6267,1,0.9996,-0.6267,-0.6128,0.9996,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
2.4382,13.1123,3.6211,13.1009,-0.1438,0.6566,5.8637,2.4215,11.9675,-0.643,2.4382,13.1123,3.6211,13.1009,-0.1438,4.8066,21.3059,4.6158,16.4081,0.0119,3.7132,1,0.5073,0.2693,0.1366,0.5073,1.4954,1,0.7845,0.6687,0.5246,0.7845,2.2362,1,0.6154,0.4472,0.2752,0.6154,0.3516,1,-8.3419,2.8445,-23.7281,-8.3419,1.5726,1,0.6898,0.6359,0.4386,0.6898,1.0947,1,0.7984,0.9135,0.7294,0.7984,0.0348,7.3705,-0.791,1,0.9461,-0.791,-0.6257,0.9461,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
6.2316,48.3647,6.9545,20.4349,-0.0543,2.2308,6.3101,2.512,9.3096,-0.4835,6.2316,48.3647,6.9545,20.4349,-0.0543,11.0982,62.5114,7.9064,25.3986,0.0745,2.7934,1,0.5615,0.358,0.201,0.5615,2.7685,1,0.8796,0.3612,0.3177,0.8796,7.6646,1,0.7737,0.1305,0.1009,0.7737,0.3467,1,-0.5148,2.8842,-1.4848,-0.5148,3.0887,1,0.7063,0.3238,0.2287,0.7063,2.195,1,0.8046,0.4556,0.3665,0.8046,0.0928,16.3893,-0.6313,1,0.9773,-0.6313,-0.5201,0.9773,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
