@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
1.3723,7.897,2.8102,15.7575,-0.5651,-1.3631,14.8006,3.8471,17.3635,-2.1471,0.5047,16.0949,4.0118,22.2418,-0.8772,4.9667,18.1206,4.2568,15.7101,0.0165,-1.0067,2.719,0.2763,-2.7009,-0.2745,0.1016,0.7305,0.7005,0.6602,0.9589,0.9038,0.9424,0.5336,0.4907,0.4358,0.9196,0.8168,0.8882,0.4803,0.5474,-21.5494,1.1398,-44.8692,-39.3668,1.8248,0.8497,0.6303,0.4657,0.3454,0.7417,0.9075,0.7085,1.003,0.7807,1.1052,1.4158,0.0052,7.4962,0.1546,0.5048,0.5791,-0.1589,-0.5568,0.4225,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
1.2048,7.7553,2.7848,15.5943,-0.6935,-0.086,2.8375,1.6845,10.0082,-1.352,0.669,12.4259,3.525,25.8559,-0.9862,3.3125,13.9527,3.7353,15.9739,0.0036,-14.0169,1.801,0.3637,-0.1285,-0.0259,0.202,1.6532,0.79,0.7455,0.4779,0.451,0.9437,2.7332,0.6241,0.5558,0.2284,0.2034,0.8906,1.1101,0.4974,-110.0676,0.4481,-99.1543,-221.2726,2.164,0.7074,0.5744,0.3269,0.2654,0.812,1.5582,0.6031,0.9762,0.3871,0.6265,1.6186,0.0036,5.0406,0.2925,0.4777,0.791,-0.3324,-0.0279,0.6584,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
1.4381,3.8007,1.9495,8.2275,-0.3933,-1.1044,1.5876,1.26,5.6295,-3.064,-0.4245,0.9263,0.9624,4.402,-1.8405,2.5905,3.0716,1.7526,5.781,0.0614,-1.3022,-3.3872,0.5551,2.6012,-0.4263,-0.1639,1.5473,2.0257,1.1124,1.3092,0.7189,0.5491,2.394,4.1034,1.2374,1.714,0.5169,0.3016,0.5472,0.8142,-6.1426,1.488,-11.2265,-7.5446,4.263,3.8105,0.9588,0.8938,0.2249,0.2516,1.4615,1.869,1.4232,1.2788,0.9738,0.7615,0.0093,3.8042,0.0781,0.0228,0.6953,-0.1131,-0.4918,-0.1474,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
1.6704,15.7766,3.972,18.1121,-0.6474,-0.684,16.6884,4.0851,24.9159,-2.1961,0.0663,18.7577,4.331,25.8047,-1.0965,5.1408,28.058,5.297,18.9273,0.0204,-2.4419,25.1977,0.3249,-10.3187,-0.1331,0.0129,0.9723,0.9171,0.7499,0.9432,0.7712,0.8176,0.9454,0.8411,0.5623,0.8897,0.5948,0.6685,0.4158,0.5274,-18.0589,1.2685,-43.4357,-34.2416,1.4103,0.8932,0.569,0.6334,0.4035,0.637,0.7269,0.7019,0.9569,0.9656,1.3164,1.3634,0.0049,7.6905,-0.31,0.3049,0.7327,0.1638,-0.4564,0.1112,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
0.1378,2.9696,1.7232,9.8032,-0.3962,-0.3341,2.6075,1.6148,8.2947,-1.044,-0.1368,1.1284,1.0623,8.6903,-0.659,1.9912,2.89,1.7,8.4561,0.0035,-0.4123,-1.0069,0.0692,2.4422,-0.1678,-0.0687,1.0672,1.6222,1.0137,1.5201,0.9499,0.6249,1.1389,2.6316,1.0275,2.3107,0.9022,0.3905,0.6566,0.8059,-93.4718,1.2273,-142.3561,-115.9905,1.7303,1.3404,0.8274,0.7747,0.4782,0.6173,1.1819,1.1281,1.1593,0.9545,0.9809,1.0277,0.001,2.9173,0.4115,0.4704,0.3624,0.0326,-0.1226,0.1388,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0457,0.0337,0.1835,1.8763,-0.2788,-0.0945,0.0114,0.1069,1.121,-9.2001,-0.169,0.0216,0.1469,0.7897,-2.4526,0.2882,0.0231,0.1521,1.6373,0.017,-0.4835,-0.2704,0.1585,0.5592,-0.3278,-0.5862,1.7167,1.2494,1.2064,0.7278,0.7028,0.9655,2.9469,1.5611,1.4554,0.5297,0.4939,0.9323,0.4046,0.7292,-14.4311,1.8024,-35.6687,-19.7893,13.3504,6.4148,0.8809,0.4805,0.066,0.1373,1.6738,2.376,1.146,1.4195,0.6847,0.4823,0.0005,0.4282,-0.2186,0.0814,0.4523,-0.083,-0.4504,-0.453,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1669,3.8733,1.9681,13.36,-0.3479,-0.2969,2.6449,1.6263,8.2616,-0.9991,-0.0965,1.8464,1.3588,12.4624,-0.6992,2.2572,3.3947,1.8425,11.0752,0.0029,-0.5621,-1.7303,0.0739,3.078,-0.1315,-0.0427,1.2101,1.4484,1.0682,1.1969,0.8827,0.7375,1.4645,2.0978,1.141,1.4325,0.7791,0.5439,0.8352,0.6725,-106.2983,0.8051,-127.2729,-158.0736,2.3983,1.3514,0.8923,0.5635,0.3721,0.6603,1.6171,1.072,1.2063,0.6629,0.746,1.1253,0.001,3.3196,0.489,0.5676,0.4097,0.1003,-0.0417,0.2687,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0983,4.4572,2.1112,16.3626,-2.1439,-1.4024,21.8384,4.6732,25.216,-3.4504,0.9835,18.8885,4.3461,27.5729,-0.2141,3.1616,38.1317,6.1751,24.1752,0.0026,0.0701,-0.1,-0.0311,-1.426,-0.4436,0.3111,0.4518,0.4858,0.3419,1.0753,0.7568,0.7038,0.2041,0.236,0.1169,1.1562,0.5727,0.4953,0.5707,2.2952,-174.827,4.0215,-306.3155,-76.1703,0.9186,0.2292,0.2147,0.2495,0.2338,0.937,0.6489,0.5934,0.6768,0.9145,1.0431,1.1405,0.0046,4.3924,-0.4698,-0.8941,-0.3819,0.2817,-0.5301,0.6307,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0276,0.0106,0.1032,0.6937,-1.666,-0.0956,0.0055,0.074,0.4013,-3.5882,-0.0743,0.0166,0.1289,0.7765,-1.4524,0.2013,0.0076,0.0874,0.4522,0.0458,-0.2885,-0.3708,0.137,1.2854,-0.4748,-0.3694,1.3944,0.8007,1.18,0.5742,0.8463,1.4738,1.9443,0.6411,1.3925,0.3298,0.7162,2.172,1.3813,0.9427,-19.978,0.6824,-14.4629,-21.1928,2.975,0.8218,0.549,0.2762,0.1846,0.6681,1.7287,0.8934,1.534,0.5168,0.8874,1.7171,0.0003,0.2991,-0.2181,0.0646,0.0132,-0.2023,-0.3354,-0.4735,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0479,1.083,1.0407,8.6252,-1.0839,-0.0869,1.5674,1.2519,8.7209,-0.7031,-0.0184,1.1355,1.0656,16.3371,-0.7705,1.3977,1.8426,1.3574,10.1671,0.0044,0.5513,2.6082,-0.0343,4.7308,-0.0622,-0.0131,0.8312,0.9766,0.7667,1.1749,0.9223,0.785,0.691,0.9537,0.5878,1.3803,0.8506,0.6163,1.246,0.631,-100.3517,0.5064,-80.5362,-159.0301,0.8083,0.4485,0.4053,0.5549,0.5014,0.9036,0.989,0.528,0.8483,0.5338,0.8578,1.6069,0.0003,2.0847,0.514,0.306,-0.1823,0.1918,-0.0592,0.0754,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.6844,4.6018,2.1452,10.9105,-2.339,-0.6427,4.8766,2.2083,9.821,-1.124,0.3221,5.3186,2.3062,13.488,-0.6629,3.1126,6.0937,2.4685,11.0674,0.0143,1.0649,-2.125,-0.2199,-1.9956,-0.2065,0.1035,0.9714,0.9302,0.869,0.9575,0.8946,0.9342,0.9437,0.8652,0.7552,0.9169,0.8003,0.8728,1.4706,1.4214,-47.4426,0.9666,-32.2605,-33.3766,0.7067,0.4029,0.291,0.5701,0.4118,0.7224,1.1109,0.8089,0.9858,0.7281,0.8874,1.2187,0.0026,4.6754,0.081,-0.4315,-0.6191,0.2343,-0.169,0.5104,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1863,1.6275,1.2757,9.6195,-1.4071,-0.0931,1.9922,1.4114,9.834,-2.2536,0.2922,2.5034,1.5822,9.9576,-0.7739,1.8371,2.8768,1.6961,8.7926,0.0033,2.0009,-0.6377,-0.1014,-0.3187,-0.0507,0.159,0.9039,0.8063,0.7522,0.8921,0.8322,0.9329,0.8169,0.6501,0.5657,0.7958,0.6925,0.8702,0.8256,1.2944,-195.4706,1.5679,-236.7735,-151.0089,1.3221,0.7119,0.453,0.5384,0.3426,0.6363,0.9782,0.966,1.094,0.9876,1.1184,1.1325,0.001,2.8042,0.4454,-0.2568,-0.2611,-0.0283,-0.1352,0.3264,?,?,?,?,?,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
