@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-2.0242,11.8579,3.4435,14.9527,-1.3172,-1.3668,19.6343,4.4311,18.3345,-1.5107,9.462,10.1695,3.189,12.1822,0.219,11.1877,11.9922,3.463,13.8997,0.2276,1.4809,-0.2139,-0.1809,-0.1445,-0.1222,0.8458,0.7771,1.0798,0.9944,1.3895,1.2796,0.9209,0.6039,1.166,0.9888,1.9307,1.6373,0.848,0.7705,-2.4886,-2.0758,-3.23,-2.6942,0.8341,0.8836,0.4137,0.3586,0.4682,0.4058,0.8668,0.8155,1.2274,1.0758,1.505,1.3191,0.8764,0.1994,16.7818,0.2929,0.1351,0.0284,-0.5027,-0.5909,0.9231,-0.4479,0.8004,0.8947,3.6676,-1.7094,-2.5385,1.2934,1.1373,4.7403,?,2.3761,2.6288,1.6214,4.97,-0.0035,0.1764,-0.1885,-1.0684,0.7867,0.5518,0.7014,0.6189,0.3045,0.492,0.4881,135.2857,277.1429,0,0.2733,0,0.7737,0.738,0.9538,0.0715,5.7368,-0.0684,-0.5708,-0.5211,?,?,?,?,?,DESTRA_PANTALONI
0.566,7.9801,2.8249,7.8882,-0.8598,-2.0519,16.489,4.0607,13.5734,-1.5494,8.9552,11.7274,3.4245,11.0843,0.1962,10.6253,8.0253,2.8329,9.2703,0.3559,-0.2758,0.0632,0.0533,-0.2291,-0.1931,0.8428,0.6957,0.8249,0.9972,1.1858,1.4334,1.2088,0.484,0.6805,0.9944,1.406,2.0546,1.4613,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.3076,0.2947,0.3861,0.3699,0.9581,0.5812,0.7117,0.8509,1.2246,1.4642,1.1957,0.2092,15.7379,-0.5856,-0.9412,-0.8846,0.5324,0.3837,0.9508,0.9948,0.9217,0.9601,2.7855,-0.1686,-3.0161,4.2299,2.0567,5.9901,?,1.1802,1.3864,1.1774,3.2278,-0.202,-0.3298,0.8429,-2.5557,0.4668,0.8154,1.7467,0.2179,0.6649,3.0511,0.0671,0.741,11.0428,0,0.8876,0,0.465,0.863,1.8558,0.077,5.501,-0.8509,0.0298,-0.0408,125000,0,0,0,1,DESTRA_PANTALONI
0.1573,0.5571,0.7464,2.5706,-0.6254,9.1347,4.1684,2.0417,6.6675,0.4847,9.7724,5.1729,2.2744,6.9904,0.5005,13.4023,9.246,3.0407,9.5077,0.5016,0.0172,0.0161,0.0117,0.9347,0.6816,0.7292,0.3656,0.3282,0.2455,0.8977,0.6714,0.748,0.1336,0.1077,0.0603,0.8058,0.4508,0.5595,-0.1577,-0.1412,-0.1034,0.8951,0.6553,0.7321,0.1222,0.113,0.0829,0.9244,0.6782,0.7336,0.3855,0.3677,0.2704,0.9538,0.7013,0.7352,0.2676,19.5381,0.4258,0.2668,0.3462,0.981,0.9949,0.9955,-0.1021,0.0085,0.092,0.3698,-14.773,-0.0094,0.0587,0.2423,0.7898,-1.0815,0.1446,0.0072,0.0846,0.3198,-0.1494,10.8838,-0.706,-0.0649,0.3799,1.0876,2.8628,0.1443,1.183,8.1959,0.8442,8.3333,9.8717,0.0618,0.0843,1.364,0.4683,1.1567,2.47,0.0035,0.4737,-0.505,0.0211,0.019,1100,0,0,0,1,DESTRA_PANTALONI
-0.5572,5.4847,2.342,7.5356,-1.1349,-2.6599,5.0547,2.2483,9.5542,-2.2334,11.166,10.1003,3.1781,11.5826,0.209,11.9464,9.9878,3.1603,11.1538,0.27,0.2095,-0.0499,-0.0466,-0.2382,-0.2227,0.9347,1.0417,0.7369,0.741,0.7074,0.7114,1.0056,1.0851,0.543,0.5491,0.5004,0.5061,1.0113,0.607,-1.3091,-0.9711,-2.1566,-1.5998,0.7418,1.1946,0.2411,0.231,0.2018,0.1934,0.9584,0.7887,0.6506,0.6756,0.8249,0.8566,1.0384,0.2253,16.4241,0.2583,-0.7619,-0.7591,-0.6797,-0.7303,0.9944,-0.1749,1.0318,1.0158,4.1856,-1.1708,-1.6327,1.4518,1.2049,4.6482,-28.8699,1.5069,0.4435,0.666,2.4003,0.0376,0.1071,-0.116,-1.0835,0.843,1.5253,1.8093,0.7107,2.3265,3.2735,0.5025,-24.0683,-47.8979,12.3904,0.7731,0.0624,0.9005,1.7438,1.9365,0.0437,3.9978,0.1023,-0.793,-0.3834,1100,0,0,0,1,DESTRA_PANTALONI
-1.6345,13.9643,3.7369,16.9943,-2.4911,-8.5444,79.4296,8.9123,31.0964,-3.5528,9.9465,54.7797,7.4013,22.8881,0.0511,16.0315,65.7774,8.1103,25.1221,0.1587,0.1913,-0.1643,-0.102,-0.859,-0.533,0.6204,0.4193,0.5049,0.4608,1.2042,1.0989,0.9126,0.1758,0.2549,0.2123,1.45,1.2076,0.8328,0.4997,-9.8336,-2.5592,-19.678,-5.1212,0.2602,0.7127,0.2018,0.163,0.2832,0.2287,0.8078,0.5465,0.7425,0.6765,1.3586,1.2378,0.9111,0.1348,22.7978,0.3324,-0.5802,-0.6384,0.0767,-0.6098,0.6982,-0.8274,0.4263,0.6529,2.7429,-3.8221,-1.6089,7.5218,2.7426,9.7081,-1.3821,2.8526,5.1876,2.2776,7.2386,-0.1485,0.5143,-0.2901,-0.564,0.2381,0.2867,1.2041,0.0567,0.0822,1.45,0.386,2.3226,6.0174,0.1396,0.0903,0.6466,0.2825,0.3789,1.3412,0.0345,6.8668,-0.2709,0.3914,0.3374,1100,0,0,0,1,DESTRA_PANTALONI
2.4816,14.0535,3.7488,14.4443,-0.4585,-7.9798,215.5212,14.6806,45.2118,-4.9468,9.7617,47.189,6.8694,22.6029,0.0376,16.6363,165.1247,12.8501,42.1133,0.0502,-0.311,0.2542,0.1492,-0.8175,-0.4797,0.5868,0.2554,0.5457,0.2917,2.1371,1.1425,0.5346,0.0652,0.2978,0.0851,4.5672,1.3052,0.2858,0.1207,-5.1477,-2.0391,-42.6331,-16.8876,0.3961,1.3026,0.4217,0.2233,0.3237,0.1715,0.5297,0.3195,0.639,0.343,2.0003,1.0736,0.5367,0.1325,25.4976,-0.4423,0.199,0.3055,-0.8382,-0.9244,0.9713,-0.2777,0.3618,0.6015,2.4567,-2.602,-0.6247,5.7386,2.3955,7.9596,-0.6985,3.6116,7.522,2.7426,8.1252,-0.0788,0.4445,-0.0769,-0.173,0.2511,0.2193,0.8735,0.063,0.0481,0.7629,0.5422,2.9916,5.5179,0.1455,0.0906,0.6222,0.3086,0.3024,0.9796,0.0379,6.4773,0.4859,0.0992,0.6719,1100,0,0,0,1,DESTRA_PANTALONI
-2.3855,29.1636,5.4003,22.4492,-2.1194,-6.169,86.7027,9.3114,31.4422,-2.4319,11.4332,90.3476,9.5051,30.4027,-0.0023,16.9749,92.5303,9.6193,31.8409,0.0742,0.3867,-0.2086,-0.1405,-0.5396,-0.3634,0.6735,0.58,0.5681,0.5614,0.9796,0.968,0.9881,0.3364,0.3228,0.3152,0.9597,0.937,0.9764,0.6846,214.6678,-5.9798,313.5804,-8.7352,-0.0279,0.7855,0.2373,0.2093,0.3021,0.2664,0.882,0.714,0.7384,0.705,1.0342,0.9875,0.9548,0.1362,25.1593,0.6367,-0.4197,-0.6297,0.2526,-0.1753,0.8772,-0.6004,0.9201,0.9592,3.8612,-1.7169,-1.0668,13.7799,3.7121,10.5177,-0.9351,3.8127,9.2071,3.0343,9.7102,-0.2003,0.5628,-0.1575,-0.2798,0.2584,0.3161,1.2234,0.0668,0.0999,1.4967,0.4801,1.5055,3.136,0.2615,0.1757,0.6719,0.3671,0.3976,1.0832,0.0413,8.7769,0.7819,0.3702,0.5663,1100,0,0,0,1,DESTRA_PANTALONI
1.8347,33.2806,5.7689,22.0728,-1.1952,-7.6879,106.5667,10.3231,33.8576,-7.9915,11.6013,73.754,8.588,27.3837,0.0705,16.2376,147.0015,12.1244,37.1874,0.1079,-0.2386,0.1581,0.113,-0.6627,-0.4735,0.7145,0.5588,0.6717,0.4758,1.202,0.8514,0.7083,0.3123,0.4512,0.2264,1.4449,0.7249,0.5017,0.3994,-5.7904,-2.6719,-14.4988,-6.6902,0.4614,2.6703,0.3413,0.2412,0.1278,0.0903,0.7067,0.6519,0.8061,0.5936,1.2364,0.9105,0.7364,0.2865,25.1947,0.0452,-0.4375,-0.246,-0.8797,-0.9635,0.9697,-0.4925,4.0903,2.0225,7.2754,-3.5079,-1.9843,2.3986,1.5487,6.1331,-2.3873,3.0239,12.797,3.5773,10.3395,-0.1118,0.2482,-0.1629,-0.6562,1.3059,0.5654,0.4329,1.7053,0.3196,0.1874,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0745,6.6861,0.1762,-0.612,-0.1002,?,?,?,?,?,DESTRA_PANTALONI
-0.7408,11.9321,3.4543,18.6858,-0.7447,8.7007,26.9225,5.1887,22.3231,0.0205,10.7769,3.2068,1.7908,8.2881,0.4808,14.6869,18.7491,4.33,18.1237,0.3486,-0.0851,-0.0687,-0.0504,0.8073,0.5924,0.7338,0.6657,1.9289,0.7978,2.8975,1.1983,0.4136,0.4432,3.7208,0.6364,8.3954,1.4359,0.171,-17.1131,-1.0391,-0.8222,0.0607,0.048,0.7912,0.47,0.6709,0.3849,1.4276,0.819,0.5737,0.8371,2.2545,1.031,2.6934,1.2317,0.4573,0.1476,22.1441,0.55,0.1477,0.3642,0.6831,0.9284,0.8506,-0.025,0.5414,0.7358,3.183,-1.5982,-0.4237,2.0097,1.4177,6.0466,-1.2458,-1.0588,0.4927,0.7019,3.3646,-30.8826,0.059,0.0236,0.4002,0.519,1.0483,2.0197,0.2694,1.099,4.0794,0.5837,0.6008,1.0292,0.455,11.6087,25.5137,0.5264,0.946,1.7971,0.0121,2.845,0.4328,0.3681,0.0969,1100,0,0,0,1,SINISTRA_PANTALONI
0.1699,0.0501,0.2239,0.9445,-0.4529,5.1542,0.2957,0.5438,2.5656,0.5878,9.0268,0.3631,0.6026,2.1489,0.7796,10.4168,0.2778,0.5271,2.0058,0.8223,0.033,0.0188,0.0163,0.571,0.4948,0.8666,0.4117,0.3715,0.4247,0.9025,1.0317,1.1432,0.1695,0.138,0.1804,0.8144,1.0644,1.307,-0.0805,-0.0387,-0.0317,0.4814,0.3942,0.8189,0.1044,0.0667,0.0576,0.6384,0.5514,0.8637,0.3681,0.4395,0.4709,1.1939,1.2791,1.0713,0.1118,14.411,0.6387,-0.3445,-0.0097,-0.2289,0.2729,0.8733,0.7462,0.0328,0.181,0.6665,0.3994,0.7028,0.0064,0.0797,0.2927,0.6578,-0.1362,0.0068,0.0823,0.3279,-25.0169,1.0618,-5.4798,-5.1608,2.2704,2.1995,0.9688,5.1546,4.8379,0.9385,0.7877,-1.4056,-1.7844,1.2975,88.046,67.8608,2.2774,2.0326,0.8925,0.0111,1.5859,0.91,-0.1332,0.0262,1100,0,0,0,1,SINISTRA_PANTALONI
