@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.0884,3.003,1.7329,11.2595,-0.6377,-0.7292,6.2075,2.4915,15.4236,-1.2225,-0.0061,15.1426,3.8913,21.0955,-0.9584,4.1878,7.3551,2.712,11.2812,0.0526,0.1212,14.3958,-0.0211,118.7505,-0.1741,-0.0015,0.6955,0.4453,0.639,0.6403,0.9187,1.4349,0.4838,0.1983,0.4083,0.4099,0.844,2.0588,0.5168,0.4247,-7.0035,0.8218,-13.5518,-16.4907,0.9907,0.6383,0.5774,0.6442,0.5828,0.9046,0.73,0.5337,0.9981,0.7311,1.3672,1.87,0.0019,6.029,0.0637,-0.4218,0.0764,0.3383,-0.392,0.0671,0.2921,0.0217,0.1474,0.4731,-0.1859,-0.1752,0.031,0.1761,0.649,?,-0.1401,0.0024,0.0492,0.2474,-7.0575,-1.6676,-2.0855,1.2506,0.8367,2.9946,3.579,0.7001,8.9679,12.8091,0.1143,0.3423,2.9947,0,12.9928,0,0.7291,1.9123,2.623,0.001,0.6198,0.9928,-0.4812,-0.505,1100,0,0,0,1,DESTRA_PANTALONI
0.3492,3.2096,1.7915,13.0028,-1.017,-0.5879,10.1758,3.1899,19.4349,-0.9606,-0.1613,7.1002,2.6646,16.0809,-0.7037,3.8429,6.2117,2.4923,13.6206,0.0084,-0.5941,-2.1656,0.0909,3.6455,-0.153,-0.042,0.5616,0.6723,0.7188,1.1971,1.2799,1.0691,0.3154,0.452,0.5167,1.4332,1.6382,1.143,0.6885,0.987,-57.101,1.4336,-82.9342,-57.8508,0.6503,0.683,0.4694,1.0502,0.7217,0.6872,0.669,0.8086,0.9546,1.2086,1.4269,1.1806,0.0019,5.9845,-0.4598,0.1186,0.3357,0.8056,0.0868,0.2583,0.21,0.0133,0.1155,0.4031,0.2429,0.2262,0.0294,0.1715,0.6743,-0.9537,0.8411,0.0007,0.0271,0.1109,0.8722,0.9283,0.2497,0.269,0.6731,4.2588,6.3271,0.4531,18.1373,40.0316,-0.3928,0.1709,-0.4349,1.5426,0.6136,0.3978,0.5978,3.636,6.0825,0.0024,1.3253,-0.9623,-0.9073,0.9278,1100,0,0,0,1,DESTRA_PANTALONI
0.135,6.1171,2.4733,15.9974,-0.7217,0.1012,17.9872,4.2411,25.3419,-1.2682,0.1115,13.3848,3.6585,14.8765,-1.1174,5.448,7.8498,2.8018,17.5824,0.0261,1.3345,1.2115,0.0248,0.9078,0.0186,0.0205,0.5832,0.676,0.8828,1.1592,1.5137,1.3058,0.3401,0.457,0.7793,1.3438,2.2914,1.7051,0.4733,0.8542,-14.2557,1.8048,-30.1221,-16.6896,0.8316,1.3225,0.5147,1.5902,0.6189,0.3892,0.6313,1.0753,0.9099,1.7035,1.4413,0.8461,0.0005,8.4309,-0.6066,0.0402,0.2312,0.7202,-0.0188,0.1072,0.2461,0.0136,0.1167,0.4559,0.2382,0.2555,0.0206,0.1436,0.5389,-0.4929,0.7757,0.0006,0.0243,0.073,0.9099,0.9631,0.3172,0.3294,0.813,4.7954,5.8982,0.661,22.9956,34.7892,-0.8013,0.1935,-0.2415,1.6578,0.739,0.4458,0.8459,6.2465,7.3844,0.0022,1.3037,-0.9562,-0.2031,0.1756,1100,0,0,0,1,DESTRA_PANTALONI
0.1051,7.5687,2.7511,24.0089,-0.3552,0.5982,10.7523,3.2791,25.0715,-0.4422,0.3197,18.4627,4.2968,29.1037,-0.4152,4.8184,14.0379,3.7467,28.3459,0.015,0.1756,0.3286,0.0218,1.871,0.1241,0.0664,0.839,0.6403,0.7343,0.7631,0.8752,1.1468,0.7039,0.4099,0.5392,0.5824,0.766,1.3152,0.8186,0.7369,-14.5354,0.9002,-17.7564,-19.7241,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.847,0.8615,0.8845,1.0267,0.0036,7.2841,0.542,0.2058,0.3776,0.1364,0.322,0.5168,0.0407,0.0089,0.0945,0.3434,-1.6846,-0.1264,0.0175,0.1324,0.6425,-8.0329,-0.7226,0.0005,0.0225,0.7519,?,-0.3222,-0.0563,0.1749,0.714,4.2074,5.8927,0.5098,17.7025,34.7244,0.3772,0.2866,0.7599,1.7984,0,0,0.5345,0.4567,0.8545,0.0038,0.9478,0.8388,-0.3813,-0.438,?,?,?,?,?,DESTRA_PANTALONI
-1.0438,2.3865,1.5448,5.2091,-5.01,0.1513,0.9545,0.977,4.5173,-0.5529,0.3782,4.2539,2.0625,8.3219,-0.9341,2.5656,2.2681,1.506,4.8776,0.0714,-6.8988,-2.7597,-0.4068,0.4,0.059,0.1474,1.5812,0.749,1.0258,0.4737,0.6487,1.3695,2.5003,0.561,1.0522,0.2244,0.4208,1.8756,2.6998,1.0804,-11.5868,0.4002,-4.2917,-10.7246,0.298,0.2014,0.165,0.6761,0.5538,0.8192,1.1531,0.6259,1.068,0.5428,0.9261,1.7061,0.0255,3.7843,-0.1383,-0.3347,-0.6391,0.6349,0.2188,0.4257,0.0984,0.0554,0.2355,1.228,-1.086,0.0949,0.0022,0.0472,0.1816,-0.2424,0.8164,0.1724,0.4152,1.7652,-0.843,1.037,0.1205,0.1162,4.9845,0.5671,0.1138,24.8451,0.3216,0.0129,18.0389,0.7918,0.0439,4.0272,0.6146,0.1526,6.7614,0.6957,0.1029,0.0047,1.19,0.1645,0.7554,0.7238,125000,0,0,0,1,DESTRA_PANTALONI
0.322,0.3266,0.5715,2.7356,-0.4473,-0.5494,10.1917,3.1924,12.7511,-0.9017,-0.5685,8.3068,2.8822,11.5828,-0.6697,4.0264,3.3419,1.8281,9.2982,0.038,-0.5862,-0.5665,0.08,0.9664,-0.1364,-0.1412,0.179,0.1983,0.3126,1.1077,1.7463,1.5766,0.032,0.0393,0.0977,1.2269,3.0497,2.4857,0.1398,0.182,-2.3037,1.3014,-16.474,-12.6582,0.2819,0.2725,0.1956,0.9665,0.6937,0.7177,0.2145,0.2362,0.2942,1.1009,1.3713,1.2457,0.0042,6.0771,0.4267,0.3135,-0.051,0.9901,0.1144,0.1286,0.6368,0.0001,0.0085,0.0316,0.9516,-0.0902,0.0003,0.0166,0.1203,?,-0.5314,0.0003,0.0159,0.5659,?,-7.0628,-1.1983,0.1697,0.5131,0.536,1.0446,0.2633,0.2873,1.0911,-5.1637,-1.0981,0.2127,0,0,1,0.2624,0.0558,0.2127,0.0042,1.2584,-0.2212,0.3898,0.2731,1100,0,0,0,1,DESTRA_PANTALONI
-0.3887,1.5106,1.2291,5.6957,-1.617,-0.3639,2.9794,1.7261,10.3213,-3.5322,0.0769,2.4067,1.5514,7.6495,-0.3258,2.1249,2.6709,1.6343,9.3949,0.0125,1.0682,-5.0556,-0.1829,-4.7329,-0.1713,0.0362,0.712,0.7922,0.752,1.1126,1.0562,0.9493,0.507,0.6276,0.5656,1.2379,1.1155,0.9011,0.4375,1.8722,-29.6892,4.2792,-67.8598,-15.8582,0.9557,0.3772,0.2288,0.3947,0.2394,0.6065,0.5518,0.7446,0.6063,1.3493,1.0986,0.8142,0.0027,3.282,0.6127,-0.1523,-0.4092,-0.6245,-0.775,0.7418,-0.6418,0.001,0.0309,0.6902,?,-0.245,0.0079,0.0886,0.3741,?,-0.3027,0.0133,0.1154,0.6039,?,2.6192,2.12,0.8094,0.3482,0.2673,0.7678,0.1212,0.0715,0.5896,1.8448,1.1428,0.6195,1,1,1,1.8448,1.1428,0.6195,0.0037,1.1896,-0.9242,0.7891,-0.9011,1100,0,0,0,1,DESTRA_PANTALONI
0.5636,2.8483,1.6877,9.175,-0.7842,-1.7507,12.2639,3.502,28.9527,-0.6332,-0.1717,12.5964,3.5491,23.2221,-0.4616,4.7091,8.9451,2.9908,23.1306,0.0307,-0.3219,-3.2821,0.1197,10.195,-0.3718,-0.0365,0.4819,0.4755,0.5643,0.9867,1.1709,1.1867,0.2323,0.2261,0.3184,0.9736,1.371,1.4082,0.3593,0.5499,-5.5015,1.5306,-15.3138,-10.0053,0.2901,0.3237,0.2155,1.1158,0.7429,0.6658,0.3169,0.3951,0.3967,1.2468,1.2517,1.004,0.005,7.0845,-0.5944,0.0721,0.2533,0.0363,-0.3353,0.2519,0.3511,0.0297,0.1723,0.5487,0.1824,-0.2739,0.0561,0.2369,0.6991,-5.3894,0.3188,0.0801,0.2831,0.8441,-0.103,-1.2817,1.1012,-0.8592,0.7272,0.6086,0.8369,0.5288,0.3704,0.7003,-0.2076,-1.5529,7.4817,6.1334,0.8769,0.143,0.7848,0.65,0.8282,0.0015,0.9904,-0.8019,-0.1875,-0.2744,1100,0,0,0,1,SINISTRA_PANTALONI
-0.4389,0.1672,0.4089,1.5164,-3.2208,-0.5847,1.4667,1.2111,6.7016,-1.0407,-0.1842,0.9065,0.9521,5.4921,-0.7254,1.4474,1.0138,1.0069,4.5702,0.0055,0.7507,2.3835,-0.3032,3.1752,-0.404,-0.1272,0.3377,0.4295,0.4061,1.272,1.2028,0.9456,0.114,0.1845,0.165,1.618,1.4468,0.8942,0.3386,0.5011,-45.7537,1.4801,-135.1363,-91.3029,0.1094,0.1129,0.0782,1.0317,0.7146,0.6927,0.2263,0.2761,0.3318,1.2202,1.4664,1.2017,0.002,2.2382,0.1429,-0.0483,-0.3978,0.9754,-0.2737,-0.1939,0.6472,0.0001,0.0119,0.0385,0.9423,0.3767,0.0004,0.02,0.059,0.8563,0.6491,0,0.0041,0.0156,0.9762,1.7182,0.9971,0.5803,0.595,2.8876,4.8532,0.354,8.338,23.5538,1.7867,0.9807,0.5489,1.6236,1.016,0.6258,0.6518,2.4649,3.7815,0.0027,1.6729,-0.9539,-0.3479,0.0894,1100,0,0,0,1,SINISTRA_PANTALONI
-0.0386,3.7346,1.9325,11.2868,-0.6289,-0.443,23.1904,4.8156,30.0425,-0.7053,-0.0861,20.4274,4.5197,26.2549,-0.7935,5.9932,11.6388,3.4116,19.0022,0.016,0.0871,0.4481,-0.0064,5.1454,-0.0739,-0.0144,0.4013,0.4276,0.5665,1.0655,1.4116,1.3248,0.161,0.1828,0.3209,1.1353,1.9925,1.7551,0.3507,0.3751,-14.113,1.0696,-40.2409,-37.6212,0.3933,0.4733,0.3588,1.2035,0.9123,0.758,0.3757,0.4299,0.594,1.1443,1.581,1.3817,0.0012,8.7533,0.1475,-0.0677,0.0499,0.327,0.2103,0.3339,0.234,0.0195,0.1396,0.585,-0.1029,-0.457,0.0333,0.1824,0.6969,?,-0.0201,0.0567,0.2382,0.737,-0.8672,-0.5119,-11.6611,22.778,0.7654,0.5861,0.7658,0.5858,0.3435,0.5864,0.0783,0.1595,2.0362,0,1.3439,0,0.8394,0.7938,0.9457,0.0014,0.9118,-0.4626,-0.56,-0.2196,1100,0,0,0,1,SINISTRA_PANTALONI
