@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.0833,6.8234,2.6122,15.9714,-1.5836,2.6069,17.2583,4.1543,29.3478,-0.3613,9.1007,12.0936,3.4776,21.688,-0.025,10.7502,10.234,3.1991,22.4535,0.1693,-0.0319,-0.0092,-0.0077,0.2864,0.2425,0.8466,0.6288,0.7511,0.8165,1.1946,1.2986,1.0871,0.3954,0.5642,0.6667,1.4271,1.6864,1.1817,1.2568,18.5141,-2.1386,14.7306,-1.7016,-0.1155,0.2867,0.2922,0.2287,1.0189,0.7976,0.7828,0.5442,0.7364,0.7113,1.3532,1.3071,0.9659,0.0512,14.7937,0.0165,-0.4028,-0.3898,-0.3281,0.1738,0.7248,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0441,5.2097,2.2825,17.4084,-0.7368,-1.1794,29.8433,5.4629,36.1004,-1.0305,9.6169,10.2926,3.2082,20.0915,-0.1026,11.4456,8.2217,2.8674,19.114,0.2372,0.0374,-0.0046,-0.0039,-0.1226,-0.103,0.8402,0.4178,0.7114,0.796,1.7028,1.9052,1.1189,0.1746,0.5062,0.6337,2.8995,3.6298,1.2519,0.4031,3.9488,-1.2428,9.7959,-3.0831,-0.3147,0.5637,0.5501,0.4,0.9758,0.7096,0.7272,0.4822,0.8665,0.9108,1.7968,1.8887,1.0511,0.0505,15.8483,0.6244,0.2516,0.0462,0.3151,-0.1297,0.5734,-0.131,0.4302,0.6559,3.3207,-0.9825,-0.46,2.4573,1.5676,7.3756,-1.3354,0.5133,3.3307,1.825,8.5985,-0.8323,0.2847,-0.2551,-0.8962,0.4184,0.3594,0.8589,0.1751,0.1292,0.7378,0.3902,0.4213,1.0798,0.5304,0.3569,0.673,0.4502,0.3862,0.8578,0.0037,3.2694,-0.2389,0.492,-0.0092,2,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3365,0.4643,0.6814,3.0037,-1.5828,3.2941,1.9873,1.4097,7.8522,0.1023,9.4228,0.4503,0.671,3.1765,0.701,10.0929,0.7898,0.8887,5.5538,0.5778,-0.1022,-0.0357,-0.0333,0.3496,0.3264,0.9336,0.4834,1.0155,0.7667,2.1008,1.5863,0.7551,0.2336,1.0312,0.5879,4.4135,2.5162,0.5701,-2.0578,-0.2472,-0.2422,0.1201,0.1177,0.9799,0.133,0.1095,0.0884,0.8233,0.6649,0.8077,0.3825,0.9456,0.5408,2.472,1.4139,0.572,0.0574,13.3091,-0.2033,0.0291,-0.1739,0.0468,0.6927,0.7442,0.5322,0.5294,0.7276,2.8393,-0.0157,-0.9916,1.6897,1.2999,4.4263,-149.9583,0.1191,0.0918,0.303,1.4087,-0.4252,-0.5367,4.4679,-8.3247,0.5597,2.4014,4.2902,0.3133,5.7667,18.4058,0.01,0.1047,10.4622,95.3333,2.8282,0.0297,0.6415,2.0156,3.1422,0.0065,1.7246,-0.8462,0.5594,-0.3285,16.7414,63.2262,7.9515,21,0,TASCA_DESTRA_DAVANTI_PANTALONI
0.2527,1.6854,1.2982,10.2074,-0.7821,7.4501,12.7397,3.5693,32.373,-0.4936,10.3343,2.3939,1.5472,14.484,0.1853,13.164,5.8937,2.4277,20.2895,0.2768,0.0339,0.0244,0.0192,0.7209,0.5659,0.785,0.3637,0.8391,0.5348,2.3069,1.4702,0.6373,0.1323,0.704,0.286,5.3218,2.1616,0.4062,0.4187,-1.3596,-0.5769,-3.2471,-1.3778,0.4243,0.2643,0.3222,0.2042,1.2191,0.7726,0.6337,0.3153,0.7047,0.5031,2.2351,1.5956,0.7139,0.0634,18.7139,-0.4687,-0.107,-0.3292,0.3339,0.8221,0.6311,0.2369,0.4435,0.666,6.1031,-0.2306,-0.228,1.7204,1.3117,7.4556,-1.3434,-0.1116,0.4002,0.6326,4.3711,-2.5692,-1.0389,-2.1233,2.0438,0.5078,1.0528,2.0734,0.2578,1.1083,4.2988,0.2676,0.3635,1.3584,1.5588,4.0496,2.5979,0.8186,1.3962,1.7057,0.0017,1.5214,0.264,-0.1293,0.2885,4.111,0.0071,0.0845,1.0569,0.791,TASCA_DESTRA_DAVANTI_PANTALONI
0.356,0.0231,0.1519,0.8256,-0.0094,5.5305,0.0743,0.2725,1.7023,0.7299,9.5849,0.0114,0.1066,0.6063,0.9387,11.0751,0.0352,0.1875,1.3257,0.8869,0.0644,0.0371,0.0321,0.577,0.4994,0.8654,0.5574,1.4253,0.81,2.557,1.4531,0.5683,0.3107,2.0314,0.6561,6.5382,2.1116,0.323,-0.0017,-0.0008,-0.0007,0.4956,0.4423,0.8923,0.1298,0.0827,0.0697,0.6374,0.5374,0.8432,0.485,1.3617,0.6227,2.8077,1.2841,0.4573,0.0554,15.4715,-0.6191,-0.1206,-0.4766,0.3745,0.8872,0.7604,-0.0205,0.0001,0.0115,0.049,-45.0025,0.0294,0.0002,0.0133,0.0938,-0.2394,0.0026,0.0001,0.0103,0.0458,-0.7917,-0.6969,-7.8042,11.1978,0.866,1.1217,1.2952,0.75,1.2581,1.6774,2.647,2.3684,0.8947,0.0141,0.0417,2.9584,0.5227,1.0698,2.0465,0.0002,0.0587,-0.2252,-0.3532,0.3275,4.1432,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1447,1.2405,1.1138,6.8711,-1.0893,3.7779,1.4515,1.2048,7.35,-0.0377,9.485,1.7361,1.3176,8.6118,0.3204,10.3345,1.8853,1.3731,9.0096,0.3535,-0.0383,-0.0153,-0.014,0.3983,0.3656,0.9178,0.9244,0.8453,0.8112,0.9144,0.8775,0.9596,0.8546,0.7145,0.658,0.8361,0.7699,0.9209,13.4009,-0.8823,-0.7272,-0.0658,-0.0543,0.8242,0.4643,0.2595,0.236,0.5589,0.5082,0.9093,0.9348,0.7979,0.7626,0.8535,0.8158,0.9558,0.0508,14.0291,0.7868,0.2393,0.459,0.3502,0.6076,0.9425,0.2723,0.5936,0.7704,3.7934,-0.1533,-0.787,2.8882,1.6995,7.6272,-8.7493,0.0835,0.3917,0.6258,3.5493,-0.5205,-0.346,3.262,-9.4281,0.4533,1.231,2.7155,0.2055,1.5155,7.3738,0.0737,0.4149,5.6333,4.2044,1.4091,0.3352,0.4973,1.0688,2.1489,0.0042,1.5962,-0.6905,0.5173,-0.751,4.2494,0.0899,0.2999,2.5568,0.6184,TASCA_DESTRA_DAVANTI_PANTALONI
0.3408,1.2978,1.1392,7.7143,-0.5516,6.1462,7.099,2.6644,10.9392,0.1731,9.4538,2.5317,1.5911,9.2481,0.3009,11.5384,5.0599,2.2494,12.8999,0.304,0.0554,0.036,0.0295,0.6501,0.5327,0.8193,0.4276,0.716,0.5064,1.6745,1.1845,0.7074,0.1828,0.5126,0.2565,2.804,1.403,0.5004,-1.198,-0.689,-0.4867,0.5752,0.4063,0.7064,0.3758,0.3758,0.2682,1,0.7137,0.7137,0.7052,0.8341,0.598,1.1829,0.848,0.7169,0.0561,16.4743,-0.3239,0.1392,-0.1848,0.1511,0.8254,0.6766,0.4969,0.552,0.743,2.6358,-0.0287,-0.5487,1.1959,1.0936,6.1329,-2.8514,0.0446,0.3107,0.5574,2.9002,-0.4566,-0.9055,11.1309,-12.2931,0.6794,1.333,1.9621,0.4616,1.7769,3.8497,0.0162,0.0809,4.9941,1.6091,1.2869,0.7998,0.4298,0.9089,2.1147,0.0037,1.4517,-0.4941,0.4404,0.1017,59.8667,701.5742,26.4872,140.3935,0.0287,TASCA_DESTRA_DAVANTI_PANTALONI
0.1522,0.0097,0.0985,0.4919,-0.3848,6.2239,0.0431,0.2077,0.973,0.8553,9.6302,0.0042,0.0651,0.3515,0.9641,11.4693,0.0148,0.1218,0.5263,0.9552,0.0244,0.0158,0.0133,0.6463,0.5427,0.8397,0.4741,1.5124,0.8083,3.19,1.7048,0.5344,0.2248,2.2873,0.6533,10.1758,2.9063,0.2856,-0.0238,-0.0145,-0.0122,0.6093,0.5121,0.8405,0.0528,0.0363,0.0302,0.6868,0.5719,0.8327,0.5056,1.3995,0.9346,2.7682,1.8486,0.6678,0.0573,16.0141,-0.376,0.0951,-0.2967,-0.0652,0.8928,0.3877,0.0088,0.001,0.0316,0.1854,-0.6861,-0.0167,0.0006,0.0238,0.128,-2.6754,-0.0243,0.0003,0.0166,0.0861,-8.0968,-0.5273,-0.3634,0.6892,1.3281,1.9033,1.4331,1.7638,3.6224,2.0537,0.8098,0.9841,1.2151,3.1579,11.6129,3.6774,1.4487,2.1525,1.4858,0.0002,0.073,-0.6348,-0.0229,0.0909,0.245,0.325,0.5701,2,0,TASCA_DESTRA_DAVANTI_PANTALONI
0.0466,5.5762,2.3614,17.1996,-1.6606,7.9447,10.2087,3.1951,18.5993,-0.4704,9.5177,8.154,2.8555,17.8132,0.0535,13.1293,5.268,2.2952,17.5748,0.0818,0.0059,0.0049,0.0035,0.8347,0.6051,0.7249,0.7391,0.827,1.0288,1.1189,1.3921,1.2441,0.5462,0.6839,1.0585,1.252,1.9379,1.5478,1.804,-10.6591,-6.8579,-5.9084,-3.8014,0.6434,0.5111,0.3435,0.3378,0.6721,0.6609,0.9833,0.9247,0.9656,0.9786,1.0441,1.0583,1.0136,0.0617,19.1855,0.4959,-0.1488,-0.0155,0.1504,0.4396,0.8566,0.1506,0.1754,0.4188,2.7416,-1.0135,-0.6284,1.5127,1.2299,6.3518,-4.1616,0.5036,2.1299,1.4594,5.8707,-0.1563,-0.2397,0.299,-1.2477,0.3405,0.2869,0.8428,0.1159,0.0823,0.7102,0.2695,1.739,6.4538,1.1065,0.2682,0.2424,0.4316,0.467,1.0819,0.0041,1.7271,0.1334,-0.2852,-0.885,15.597,15.8426,3.9803,24,0,TASCA_DESTRA_DAVANTI_PANTALONI
0.4743,0.0597,0.2444,1.3788,-0.1756,-7.2228,0.4954,0.7039,9.7105,?,9.6776,0.0566,0.238,1.6424,0.8436,12.0984,0.2902,0.5387,3.4739,0.7545,-0.0657,0.049,0.0392,-0.7463,-0.597,0.7999,0.3473,1.027,0.4537,2.9575,1.3066,0.4418,0.1206,1.0547,0.2059,8.7467,1.7072,0.1952,0.0212,-0.0233,-0.0193,-1.0964,-0.9095,0.8295,0,0.1117,0.0829,0,0,0.742,0.142,0.8395,0.3969,5.9123,2.7953,0.4728,0.0601,17.3795,-0.2141,-0.125,0.1537,-0.4507,-0.9502,0.7029,0.1113,0.0255,0.1598,1.0978,-1.06,0.1235,0.0498,0.2232,1.473,-0.3792,0.0913,0.0185,0.1359,0.5809,-0.2247,0.901,1.2184,1.3523,0.716,1.1755,1.6417,0.5127,1.3818,2.6951,1.3947,5.3,3.8,0.499,1.1236,2.2517,0.7453,1.8899,2.5358,0.0009,0.4212,-0.2404,0.2796,-0.0343,4.1846,0.3439,0.5864,6.2178,0.3915,TASCA_DESTRA_DIETRO_PANTALONI
