@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.5045,0.3088,0.5557,2.3286,-2.6376,-0.2191,2.3809,1.543,6.385,-1.214,-0.2057,0.6268,0.7917,3.1711,-1.6029,1.6895,0.8068,0.8982,3.5669,0.0754,2.3029,2.4529,-0.2986,1.0652,-0.1297,-0.1217,0.3602,0.7019,0.6187,1.9489,1.7178,0.8814,0.1297,0.4927,0.3828,3.7984,2.951,0.7769,0.4823,0.8646,-5.8054,1.7928,-12.0377,-6.7144,0.222,0.5254,0.1659,2.3671,0.7476,0.3158,0.3647,0.7343,0.6528,2.0135,1.7901,0.8891,0.0064,2.5027,-0.2254,-0.2652,0.0231,0.6235,-0.2832,-0.379,2,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.8629,0.4526,0.6727,2.4791,-0.4357,0.7222,0.6007,0.7751,3.1319,-0.4368,0.8217,0.8887,0.9427,3.4891,-0.4642,1.8575,0.4329,0.658,2.5974,0.156,1.1949,1.0502,0.4646,0.8789,0.3888,0.4424,0.868,0.7136,1.0225,0.8222,1.178,1.4327,0.7534,0.5093,1.0454,0.676,1.3876,2.0527,0.7901,0.6802,-1.5677,0.8608,-1.9841,-2.3048,0.7922,0.7246,0.5611,0.9147,0.7083,0.7743,0.7916,0.7105,0.9545,0.8976,1.2058,1.3433,0.0148,2.9771,0.7584,-0.2052,0.5477,0.3954,0.8417,0.5353,4.3684,0.2327,0.4824,1,0.8,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.266,3.8654,1.9661,9.4675,-1.0622,-1.1231,4.3892,2.0951,9.1383,-1.1842,-1.7853,27.0085,5.197,29.1402,-0.6964,5.7928,7.7585,2.7854,16.1941,0.078,1.1273,0.7092,-0.2186,0.6291,-0.1939,-0.3082,0.9384,0.3783,0.7058,0.4031,0.7522,1.8658,0.8806,0.1431,0.4982,0.1625,0.5657,3.4811,0.9843,0.4077,-3.5588,0.4142,-3.6156,-8.7297,1.0973,0.2673,0.2614,0.2436,0.2382,0.978,1.036,0.3249,0.5846,0.3136,0.5643,1.7994,0.0265,8.1521,0.1801,-0.0773,0.0702,-0.0527,0.2932,-0.0946,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.4057,0.6702,0.8186,3.3747,-0.2515,0.2241,1.1896,1.0907,4.3704,-0.8036,0.2123,4.8703,2.2069,8.6992,-0.4089,2.7147,1.4321,1.1967,4.8916,0.2125,6.2732,6.6199,0.5178,1.0553,0.0825,0.0782,0.7506,0.371,0.6841,0.4942,0.9114,1.8441,0.5634,0.1376,0.468,0.2443,0.8307,3.4007,0.3483,0.2686,-0.5137,0.7712,-1.4749,-1.9124,1.1128,0.4367,0.4341,0.3925,0.3901,0.994,0.7722,0.3879,0.6899,0.5024,0.8935,1.7784,0.0155,3.8431,0.6872,-0.2706,-0.2669,0.333,0.1928,0.7913,3.0538,0.9971,0.9986,2,0.5,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2217,6.1705,2.4841,10.7729,-1.4073,-2.6196,4.0972,2.0242,9.1671,-14.2867,0.4326,14.9873,3.8713,13.2404,-0.6821,5.4327,2.8394,1.685,8.4532,0.1905,-0.0846,0.5126,0.0408,-6.0559,-0.4822,0.0796,1.2272,0.6417,1.4742,0.5229,1.2012,2.2975,1.506,0.4117,2.1732,0.2734,1.443,5.2784,0.7351,1.1729,-3.1663,1.5956,-4.3074,-2.6995,7.4625,0.5685,0.4286,0.0762,0.0574,0.7538,1.1752,0.8136,1.2744,0.6924,1.0844,1.5663,0.028,7.9635,-0.6768,-0.5024,-0.2207,0.7988,-0.0882,0.3612,6.8842,0.1024,0.32,1,0.8571,TASCA_SINISTRA_DAVANTI_PANTALONI
2.0959,14.6152,3.823,13.0527,-1.1967,-7.2102,7.9848,2.8257,13.2023,?,3.5793,19.3505,4.3989,13.3429,-0.3407,10.0762,9.6115,3.1002,10.3581,0.3476,-0.2907,0.5856,0.208,-2.0144,-0.7156,0.3552,1.3529,0.8691,1.2331,0.6424,0.9115,1.4189,1.8304,0.7553,1.5206,0.4126,0.8308,2.0133,0.5386,2.0972,-1.2883,3.8938,-2.3919,-0.6143,0,0.597,0.3742,0,0,0.6268,0.9887,0.9782,1.2601,0.9895,1.2746,1.2882,0.7562,15.9208,-0.5135,-0.4023,0.0175,-0.389,-0.8316,0.8118,1,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3133,3.8579,1.9642,10.1458,-0.5912,-0.5005,16.3945,4.049,17.1639,-1.6755,0.1984,9.9845,3.1598,12.8904,-0.8948,4.8776,6.8341,2.6142,11.3695,0.0826,-0.6261,1.5793,0.0642,-2.5224,-0.1026,0.0407,0.4851,0.6216,0.7513,1.2814,1.5488,1.2087,0.2353,0.3864,0.5645,1.642,2.3989,1.461,0.3507,0.6193,-3.6844,1.7657,-10.5052,-5.9494,0.9939,0.9372,0.5145,0.943,0.5177,0.549,0.5911,0.7871,0.8924,1.3315,1.5096,1.1338,0.0068,7.6357,0.129,-0.3309,0.2084,0.849,-0.4,-0.3259,0.4239,0.3312,0.5755,2,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2493,3.5748,1.8907,7.1016,-1.6974,-1.5898,17.3884,4.1699,16.7689,-2.0138,-0.6111,12.096,3.4779,13.0348,-0.9356,5.2378,8.588,2.9305,12.2536,0.0597,0.1568,0.4079,-0.0476,2.6016,-0.3035,-0.1167,0.4534,0.5436,0.6452,1.199,1.4229,1.1868,0.2056,0.2955,0.4162,1.4375,2.0247,1.4085,0.3988,0.7093,-5.7407,1.7784,-14.3937,-8.0934,0.4732,0.3909,0.202,0.8262,0.4269,0.5168,0.4235,0.5448,0.5796,1.2865,1.3685,1.0638,0.0187,8.1952,0.5828,0.1857,-0.2397,0.8712,-0.5881,-0.4296,0.3913,0.2382,0.488,1,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2536,1.8707,1.3677,3.9376,-0.4285,0.114,1.1837,1.088,4.126,-0.9308,0.9963,2.9463,1.7165,7.0616,-0.1995,2.3479,1.5579,1.2482,5.2371,0.1458,2.2257,0.2546,0.108,0.1144,0.0485,0.4244,1.2571,0.7968,1.0958,0.6338,0.8717,1.3752,1.5804,0.6349,1.2008,0.4018,0.7598,1.8912,0.5938,1.0058,-1.3208,1.6937,-2.2242,-1.3132,1.2899,0.4682,0.4496,0.363,0.3485,0.9602,0.9543,0.5576,0.7519,0.5843,0.7878,1.3484,0.011,3.4548,0.621,0.0027,0.2976,0.7236,0.7312,0.8488,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.5505,1.4504,1.2043,4.3345,-0.4047,0.6115,0.2008,0.4481,1.7552,-0.1035,1.0425,3.2077,1.791,7.0828,-0.3528,2.2621,1.5055,1.227,4.9433,0.0785,0.9002,0.528,0.2433,0.5866,0.2703,0.4608,2.6879,0.6724,0.9815,0.2502,0.3652,1.4597,7.2246,0.4522,0.9634,0.0626,0.1334,2.1307,7.5877,0.676,-2.9671,0.0891,-0.391,-4.3893,1.9399,0.5894,0.5752,0.3038,0.2965,0.976,2.4694,0.612,0.8768,0.2478,0.3551,1.4328,0.0144,3.058,0.1179,-0.7256,-0.2228,-0.3446,-0.5186,0.7186,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.6751,1.4784,1.2159,4.0672,-0.3304,0.5924,0.2949,0.543,2.4304,-0.1662,0.907,2.4121,1.5531,5.9587,-0.2108,2.0621,1.5622,1.2499,4.6099,0.0832,1.1396,0.7443,0.3274,0.6531,0.2873,0.4398,2.2391,0.7829,0.9728,0.3496,0.4344,1.2426,5.0138,0.6129,0.9463,0.1222,0.1887,1.544,2.9159,0.9738,-2.4149,0.334,-0.8282,-2.4799,1.4669,0.6212,0.608,0.4235,0.4145,0.9788,1.6735,0.6826,0.8823,0.4079,0.5272,1.2926,0.0134,2.9373,0.7247,-0.5232,0.2331,-0.1473,0.391,0.6454,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.2738,5.913,2.4317,10.7377,-3.2449,-2.4216,21.4566,4.6321,22.1014,-0.7632,-0.2168,9.6421,3.1052,15.0961,-0.494,5.9652,8.962,2.9937,13.2625,0.1791,0.526,5.8753,-0.2135,11.1694,-0.406,-0.0363,0.525,0.7831,0.8123,1.4917,1.5473,1.0372,0.2756,0.6132,0.6598,2.2253,2.3942,1.0759,0.858,1.6444,-2.8377,1.9164,-3.3072,-1.7257,0.2018,0.2503,0.1566,1.2406,0.7759,0.6255,0.4858,0.7113,0.8096,1.4641,1.6665,1.1383,0.0295,9.1123,0.406,-0.4862,-0.562,0.3148,0.0476,0.6436,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
-0.6207,9.7087,3.1159,18.6334,-2.4193,-2.6709,5.1086,2.2602,9.0152,-4.967,-0.1215,10.8558,3.2948,19.5005,-0.532,4.9992,8.2149,2.8662,17.3029,0.0567,0.2324,5.1076,-0.1242,21.9786,-0.5343,-0.0243,1.3786,0.9457,1.0871,0.686,0.7886,1.1496,1.9005,0.8943,1.1818,0.4706,0.6219,1.3215,1.7568,1.9469,-12.6881,1.1082,-7.2222,-6.5171,3.6069,0.4281,0.2971,0.1187,0.0824,0.694,2.0669,0.9555,1.0769,0.4623,0.521,1.127,0.0295,7.8581,-0.0105,-0.6843,-0.3301,0.4486,-0.5099,0.1099,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
