@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
0.8397,5.3514,2.3133,13.9498,-0.3984,-0.5907,6.5903,2.5672,14.5788,-1.1756,0.2468,13.2586,3.6412,18.2125,-1.114,4.4663,6.3672,2.5233,10.8919,0.0489,-1.4215,3.4018,0.188,-2.3931,-0.1323,0.0553,0.9011,0.6353,0.9168,0.705,1.0174,1.443,0.812,0.4036,0.8405,0.4971,1.035,2.0823,0.5045,0.4141,-7.0922,0.8208,-14.0573,-17.1259,1.4886,1.1579,0.871,0.7778,0.5851,0.7522,0.9569,0.7659,1.2808,0.8005,1.3385,1.6721,0.0037,6.5313,0.231,0.2869,0.3928,0.6083,-0.157,0.005,-0.2896,0.6452,0.8032,4.6506,-3.0709,-0.9457,1.689,1.2996,4.8802,-3.8171,0.4256,0.6758,0.8221,3.011,-0.2741,0.3062,-0.6805,-2.2222,0.6181,0.9771,1.5809,0.382,0.9547,2.4993,0.9072,5.4166,5.9708,1.1276,0.4834,0.4287,0.9529,1.5445,1.6208,0.0038,2.3631,0.4919,-0.1847,-0.7397,1100,0,0,0,1,PANTALONI
0.4816,2.3625,1.537,10.9747,-0.8618,-0.8356,5.1904,2.2782,11.8046,-1.5832,0.0219,5.2929,2.3006,10.1038,-0.7097,3.3183,2.765,1.6628,7.3409,0.0711,-0.5764,21.9624,0.1451,-38.1046,-0.2518,0.0066,0.6747,0.6681,0.9244,0.9903,1.3701,1.3836,0.4552,0.4464,0.8544,0.9806,1.8772,1.9142,0.7022,1.2112,-9.0385,1.7249,-12.8721,-7.4624,1.2899,0.9975,0.7459,0.7733,0.5782,0.7478,0.9297,1.0862,1.495,1.1683,1.6081,1.3764,0.0034,4.9784,0.1391,0.0098,0.2638,0.2726,-0.3002,0.2685,-0.3178,0.6805,0.8249,4.0428,-3.0807,-0.8096,1.9135,1.3833,5.3897,-6.5937,0.3148,0.5548,0.7448,2.7483,-0.2535,0.3926,-1.0095,-2.5715,0.5963,1.1075,1.8572,0.3556,1.2266,3.4491,0.6522,5.4912,8.4199,1.3959,0.4519,0.3237,0.7501,1.471,1.9611,0.0033,2.0468,0.5485,-0.3507,-0.5969,1100,0,0,0,1,PANTALONI
0.6509,4.0113,2.0028,13.9689,-0.517,-0.2899,10.877,3.298,17.465,-1.5123,0.2996,11.0139,3.3187,13.7252,-0.5058,4.7218,4.2038,2.0503,10.8079,0.0351,-2.2456,2.1724,0.1378,-0.9674,-0.0614,0.0635,0.6073,0.6035,0.9768,0.9938,1.6086,1.6186,0.3688,0.3642,0.9542,0.9876,2.5874,2.62,0.4528,1.0326,-12.1268,2.2803,-26.7794,-11.7437,1.3246,1.0102,0.8221,0.7627,0.6207,0.8138,0.7998,1.0178,1.2925,1.2725,1.6159,1.2699,0.0027,6.9515,0.2426,-0.2147,0.1185,0.3972,-0.0297,0.2763,-0.0758,0.7594,0.8715,4.3237,-1.4304,-0.8863,1.4099,1.1874,5.1259,-8.2023,0.6116,1.8423,1.3573,5.5008,-0.4439,0.0855,-0.1239,-1.4492,0.7339,0.642,0.8748,0.5386,0.4122,0.7653,0.557,1.5047,2.7015,3.1938,0.467,0.1462,0.8435,0.786,0.9318,0.0038,2.7043,0.2271,0.0092,-0.7723,1100,0,0,0,1,PANTALONI
-0.2183,15.6075,3.9506,34.6428,-0.5053,-0.0384,13.1768,3.63,31.3122,-0.4052,0.5677,20.995,4.582,26.2083,-0.5161,5.2844,22.2258,4.7144,32.0398,0.0104,5.6839,-0.3845,-0.0413,-0.0677,-0.0073,0.1074,1.0883,0.8622,0.838,0.7922,0.77,0.9719,1.1845,0.7434,0.7022,0.6276,0.5929,0.9446,1.2879,1.3034,-34.7038,1.0121,-26.9466,-26.6254,1.0328,1.3313,0.7109,1.289,0.6883,0.5339,1.1064,1.3218,1.0812,1.1947,0.9773,0.818,0.0042,7.9496,0.6843,-0.1118,0.3189,-0.1751,0.3462,0.3876,0.2789,1.7395,1.3189,5.3561,-0.4124,-0.6215,5.2606,2.2936,11.1813,-3.4021,-0.23,1.4384,1.1993,5.7666,-2.153,-0.4487,-1.2125,2.702,0.575,1.0997,1.9124,0.3307,1.2093,3.6574,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.005,3.1465,-0.1928,-0.4934,0.4353,?,?,?,?,?,PANTALONI
1.623,2.2364,1.4955,5.6074,-0.1829,-0.1359,0.4435,0.6659,3.1133,-1.5222,-0.7473,4.4015,2.098,8.1406,-0.999,2.8183,2.3497,1.5329,5.0136,0.066,-11.9382,-2.1719,0.5759,0.1819,-0.0482,-0.2652,2.2457,0.7128,0.9756,0.3174,0.4344,1.3686,5.0432,0.5081,0.9518,0.1008,0.1887,1.8732,0.4615,0.2132,-2.446,0.4618,-5.2997,-11.4752,3.8402,1.164,0.883,0.3031,0.2299,0.7586,1.8011,0.6888,1.1184,0.3824,0.621,1.6237,0.0543,4.069,-0.3331,-0.1495,0.807,0.2213,-0.2176,-0.2669,0.282,0.3198,0.5655,2.5155,-0.4141,-0.9247,1.0557,1.0275,4.2516,-6.4839,0.7098,0.3942,0.6278,2.3616,-0.1772,-0.305,0.3973,-1.3027,0.5504,0.9007,1.6365,0.3029,0.8112,2.6781,0.2,2.0722,10.3608,3.1312,0.8867,0.2832,0.5917,1.0652,1.8003,0.0092,2.241,-0.6557,0.7828,-0.5988,125000,0,0,0,1,PANTALONI
0.6548,1.8288,1.3523,6.7406,-1.1956,-0.3347,5.8283,2.4142,9.3578,-0.6261,-0.1424,0.5168,0.7189,4.2467,-0.7119,2.687,1.5149,1.2308,6.7667,0.0454,-1.9564,-4.5989,0.2437,2.3508,-0.1246,-0.053,0.5602,1.8812,1.0987,3.3583,1.9615,0.5841,0.3138,3.5388,1.2072,11.2779,3.8473,0.3411,1.0187,2.0784,-11.3929,2.0402,-11.1833,-5.4816,0.5335,1.2376,0.4331,2.3199,0.8118,0.3499,0.7203,1.5873,0.9961,2.2036,1.3829,0.6276,0.005,4.0375,-0.9418,-0.6382,-0.2077,0.6097,0.1876,0.2313,0.021,0.0442,0.2101,0.8324,-0.8956,-0.0283,0.0529,0.23,0.9337,-1.5245,-0.0874,0.0334,0.1829,0.7877,-1.0302,-0.7416,-0.2401,0.3238,0.9138,1.1489,1.2573,0.835,1.32,1.5809,0.6975,0.984,1.4107,1.1873,1.1319,0.9533,0.8916,1.0568,1.1854,0.0006,0.5179,-0.1733,-0.0857,-0.123,1100,0,0,0,1,PANTALONI
-0.1157,1.9993,1.414,6.8066,-0.6052,-0.6533,2.6801,1.6371,6.6366,-3.3437,0.0268,1.4844,1.2183,6.069,-0.906,2.2155,1.6963,1.3024,6.2689,0.0165,0.1771,-4.3146,-0.0522,-24.3635,-0.2949,0.0121,0.8637,1.1606,1.0857,1.3437,1.257,0.9355,0.746,1.3469,1.1787,1.8055,1.58,0.8751,0.5023,0.8896,-24.407,1.7709,-48.5877,-27.4365,2.7754,1.3317,0.6653,0.4798,0.2397,0.4996,1.0256,1.1215,1.0858,1.0935,1.0586,0.9681,0.0044,3.3386,-0.2584,0.1764,0.4432,-0.3895,-0.7961,0.2889,-0.3369,1.0622,1.0306,4.1888,-2.4626,0.2923,0.9512,0.9753,4.8432,-0.4796,-0.3035,0.4194,0.6476,2.3161,-1.3827,-1.1527,1.11,-0.963,1.0567,1.5914,1.5059,1.1167,2.5325,2.2678,1.8975,2.2165,1.1681,0.3696,1.2445,3.3673,0.8649,1.8086,2.0911,0.0036,2.1752,-0.9245,0.4404,-0.3521,1100,0,0,0,1,PANTALONI
0.4337,10.1522,3.1863,26.6443,-0.2641,-1.5406,5.0228,2.2412,9.7717,-1.9658,0.341,7.9102,2.8125,14.5761,-0.7313,4.3986,6.415,2.5328,21.0548,0.0339,-0.2815,1.2721,0.0986,-4.5183,-0.3502,0.0775,1.4217,1.1329,1.258,0.7969,0.8849,1.1104,2.0212,1.2834,1.5826,0.635,0.783,1.2331,0.8595,0.9041,-7.5374,1.052,-8.7696,-8.3364,6.3973,2.5035,0.9671,0.3913,0.1512,0.3863,2.7267,1.8279,1.2655,0.6704,0.4641,0.6923,0.0058,6.6555,-0.0101,0.4318,0.538,-0.0336,-0.2515,0.2387,-0.5426,1.1818,1.0871,5.9334,-1.6032,-1.0853,2.8857,1.6987,7.0132,-1.7259,-0.1474,5.9122,2.4315,9.4998,-0.6681,0.4999,3.6803,7.3616,0.6399,0.4471,0.6986,0.4095,0.1999,0.4881,0.8229,0.9604,1.167,0.8859,0.4002,0.4518,0.846,0.6246,0.7383,0.0044,4.6965,-0.1748,0.242,-0.0982,1100,0,0,0,1,PANTALONI
0.251,0.4592,0.6776,4.0484,-0.3859,-0.371,0.733,0.8562,3.9461,-1.185,-0.1839,0.2421,0.492,1.8755,-1.9955,1.1366,0.3769,0.6139,3.2507,0.0149,-0.6768,-1.3648,0.2209,2.0168,-0.3264,-0.1618,0.7915,1.3772,1.1038,1.7401,1.3946,0.8015,0.6264,1.8968,1.2184,3.0279,1.945,0.6424,0.5268,0.9023,-22.9845,1.7128,-43.6339,-25.4745,1.6174,4.6654,0.8852,2.8845,0.5473,0.1897,1.0259,2.1585,1.2454,2.104,1.2139,0.577,0.0017,1.6879,0.5505,-0.4228,0.3479,-0.6066,0.0337,-0.3082,-0.0886,0.0308,0.1756,0.799,-2.0414,-0.0553,0.0275,0.1658,0.8278,-1.9272,0.0282,0.0121,0.1101,0.6483,-1.3186,1.6035,-3.1436,-1.9605,1.059,1.5948,1.506,1.1214,2.5434,2.268,0.984,1.4544,1.4781,0.9289,0.9394,1.0113,0.9652,1.2323,1.2768,0.0004,0.386,0.7868,-0.3312,-0.3222,1100,0,0,0,1,PANTALONI
0.6323,19.2214,4.3842,26.5218,-0.9618,-0.0269,9.0567,3.0094,15.9211,-0.6557,-0.073,8.4484,2.9066,15.7891,-0.7901,5.4507,7.4224,2.7244,14.7033,0.0606,-23.4787,-8.6619,0.116,0.3689,-0.0049,-0.0134,1.4568,1.5084,1.6092,1.0354,1.1046,1.0669,2.1223,2.2751,2.5896,1.072,1.2202,1.1382,2.0622,1.8657,-13.7013,0.9047,-6.6441,-7.3436,1.4059,1.5328,0.8637,1.0902,0.6143,0.5635,1.6658,1.6798,1.8038,1.0084,1.0828,1.0738,0.0023,7.9757,0.1782,0.4825,0.2108,-0.1487,0.0105,0.361,-0.1698,1.1421,1.0687,6.6298,-0.8463,-0.3798,2.6503,1.628,8.0643,-1.7073,-0.7731,2.9869,1.7283,8.8985,-0.7048,0.4471,0.2197,0.4913,0.6565,0.6184,0.942,0.4309,0.3824,0.8873,0.5975,0.826,1.3824,1.2055,0.688,0.5707,0.8221,0.745,0.9063,0.0031,3.646,-0.4427,0.0009,0.213,1100,0,0,0,1,PANTALONI
