@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.7737,4.5327,2.129,12.8186,-0.7066,0.174,4.6391,2.1539,11.8115,-1.1408,-0.2381,4.5719,2.1382,21.0662,-0.9738,2.9601,5.6671,2.3806,13.0301,0.0232,4.4456,-3.2493,0.2614,-0.7309,0.0588,-0.0804,0.9885,0.9957,0.8943,1.0073,0.9048,0.8982,0.9771,0.9914,0.7998,1.0147,0.8186,0.8067,0.8432,0.5106,-17.1498,0.6056,-20.3393,-33.5856,1.3614,0.7038,0.5631,0.517,0.4136,0.8001,1.0853,0.6085,0.9838,0.5607,0.9065,1.6167,0.0058,4.4881,0.7036,-0.356,0.5214,-0.2945,0.2717,-0.0968,?,?,?,?,?,10.4931,927.6522,30.4574,107,0,DESTRA_PANTALONI
0.163,1.6571,1.2873,9.2103,-2.2613,-0.2118,1.4497,1.2041,6.0796,-1.4056,-0.0928,0.9636,0.9816,6.7964,-1.6484,1.7183,1.1979,1.0945,7.3553,0.0078,-0.7699,-1.7569,0.0949,2.2818,-0.1232,-0.054,1.0691,1.3114,1.1762,1.2266,1.1001,0.8969,1.1431,1.7198,1.3834,1.5046,1.2103,0.8044,1.7977,1.5097,-110.0676,0.8398,-61.2266,-72.9088,1.1175,1.1005,0.381,0.9848,0.3409,0.3462,1.5149,1.3552,1.2522,0.8945,0.8266,0.924,0.002,2.5623,0.3216,-0.1297,-0.303,-0.1958,-0.1778,0.0203,?,?,?,?,?,0.3776,1.0043,1.0021,4,0,DESTRA_PANTALONI
1.75,4.6555,2.1577,8.2275,-0.3933,-1.3378,1.8942,1.3763,5.6295,-3.064,-0.555,1.141,1.0682,4.402,-1.8405,3.2128,2.5285,1.5901,5.781,0.0614,-1.3081,-3.1532,0.5447,2.4106,-0.4164,-0.1727,1.5677,2.02,1.3569,1.2885,0.8655,0.6717,2.4577,4.0802,1.8412,1.6602,0.7491,0.4512,0.5472,0.8142,-6.1426,1.488,-11.2265,-7.5446,4.263,3.8105,0.9588,0.8938,0.2249,0.2516,1.4615,1.869,1.4232,1.2788,0.9738,0.7615,0.0151,4.6977,0.1842,0.1034,0.6917,-0.2082,-0.395,0.0061,?,?,?,?,?,21.1343,326.7674,18.0767,40.6131,0.0926,DESTRA_PANTALONI
2.5415,18.01,4.2438,17.9952,-0.6544,-0.8217,22.697,4.7641,24.5625,-2.3004,0.0085,25.1611,5.0161,25.7724,-1.0994,6.477,31.0508,5.5723,18.9273,0.0204,-3.0931,299.359,0.3924,-96.7836,-0.1269,0.0013,0.8908,0.846,0.7616,0.9498,0.855,0.9002,0.7935,0.7158,0.58,0.9021,0.731,0.8103,0.4158,0.5274,-18.0589,1.2685,-43.4357,-34.2416,1.4616,0.8861,0.563,0.6062,0.3852,0.6354,0.7326,0.6982,0.9508,0.9531,1.2977,1.3617,0.0194,9.7609,-0.346,0.3409,0.6977,0.1541,-0.493,0.1449,?,?,?,?,?,3.0345,36.585,6.0486,25,0,DESTRA_PANTALONI
0.1841,4.0551,2.0137,9.4968,-0.4143,-0.4089,3.3731,1.8366,8.2947,-1.044,-0.1726,1.5,1.2248,8.4377,-0.6108,2.5459,2.6777,1.6364,8.303,0.0216,-0.4502,-1.0669,0.0723,2.3697,-0.1606,-0.0678,1.0964,1.6442,1.2306,1.4996,1.1224,0.7485,1.2022,2.7033,1.5144,2.2487,1.2597,0.5602,0.6566,0.8695,-15.2081,1.3242,-23.1617,-17.4912,1.6547,1.2819,0.7913,0.7747,0.4782,0.6173,1.1449,1.1255,1.1438,0.983,0.999,1.0162,0.0034,3.7378,0.3937,0.4906,0.4319,0.0184,-0.0825,0.2283,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
0.0358,0.0189,0.1376,0.7667,-1.144,-0.0677,0.0064,0.0803,0.3448,-2.1373,-0.1651,0.0181,0.1346,0.6272,-5.4097,0.2559,0.0111,0.1055,0.5153,0.0521,-0.529,-0.2168,0.1399,0.4099,-0.2645,-0.6452,1.7139,1.0226,1.3048,0.5967,0.7613,1.2759,2.9376,1.0458,1.7026,0.356,0.5796,1.628,1.7415,0.7728,-14.4311,0.4438,-8.2864,-18.673,3.2538,3.6546,0.6577,1.1232,0.2021,0.18,2.2235,1.2224,1.4877,0.5498,0.6691,1.217,0.0012,0.3771,0.1167,-0.137,0.2552,-0.2257,0.0582,-0.7726,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
0.1616,4.8773,2.2085,13.349,-0.3468,-0.3937,3.3879,1.8406,8.0392,-1.0408,-0.1394,2.4297,1.5587,11.9764,-0.7488,2.8634,2.6962,1.642,10.8517,0.023,-0.4104,-1.1594,0.0564,2.8253,-0.1375,-0.0487,1.1998,1.4168,1.345,1.1808,1.1209,0.9493,1.4396,2.0074,1.8089,1.3944,1.2565,0.9011,0.8384,0.6703,-13.4321,0.7995,-16.0218,-20.039,2.5162,1.4473,0.8923,0.5752,0.3546,0.6165,1.6605,1.1146,1.2301,0.6713,0.7408,1.1036,0.0032,4.2168,0.4782,0.5707,0.5112,0.0886,0.0503,0.374,?,?,?,?,?,?,?,?,?,?,SINISTRA_PANTALONI
-0.2014,5.9113,2.4313,16.3626,-2.1439,-1.8715,28.3702,5.3264,24.978,-3.5518,1.2915,24.4778,4.9475,27.4726,-0.215,4.1104,47.0748,6.8611,23.9793,0.0027,0.1076,-0.1559,-0.049,-1.4491,-0.4553,0.3142,0.4565,0.4914,0.3544,1.0766,0.7763,0.7211,0.2084,0.2415,0.1256,1.159,0.6027,0.52,0.5725,2.2952,-174.827,4.0092,-305.3822,-76.1703,0.9484,0.2302,0.2165,0.2427,0.2282,0.9404,0.6551,0.5956,0.6824,0.9092,1.0417,1.1457,0.0164,5.7099,-0.5008,-0.8933,-0.3699,0.3184,-0.5088,0.619,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
0.0285,0.01,0.0999,0.6065,-1.7579,-0.0691,0.0035,0.0591,0.2861,-3.7938,-0.0889,0.017,0.1304,0.5928,-2.6454,0.1895,0.0081,0.0899,0.4024,0.0779,-0.4125,-0.3207,0.1505,0.7774,-0.3648,-0.4692,1.6898,0.7664,1.1118,0.4535,0.658,1.4508,2.8555,0.5874,1.2362,0.2057,0.4329,2.1047,1.7076,0.8987,-11.376,0.5263,-6.6622,-12.6577,3.685,1.3525,0.504,0.367,0.1368,0.3726,2.1201,1.0232,1.5074,0.4826,0.711,1.4732,0.0008,0.2773,-0.233,0.0891,-0.0807,-0.1923,-0.1101,-0.6582,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
-0.021,0.6748,0.8214,5.2425,-1.3175,-0.117,1.0419,1.0207,6.5639,-0.9944,-0.0694,0.6399,0.8,9.0522,-3.6597,1.1066,1.151,1.0729,7.2383,0.0061,0.1793,0.3024,-0.019,1.6858,-0.1058,-0.0627,0.8048,1.0269,0.7657,1.276,0.9514,0.7456,0.6476,1.0544,0.5862,1.6281,0.9052,0.556,0.9107,0.4192,-66.6659,0.4603,-73.2051,-159.0301,0.6873,1.1644,0.3106,1.6942,0.4519,0.2667,0.7987,0.5791,0.7243,0.7251,0.9068,1.2506,0.001,1.6293,0.5578,0.3379,-0.1838,0.1642,-0.1749,-0.4819,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
-1.0783,4.8612,2.2048,9.8949,-3.3939,-0.9386,5.2478,2.2908,8.8808,-1.4108,0.4787,6.7388,2.5959,12.8727,-0.5871,3.4977,6.8866,2.6242,11.0674,0.0143,1.1488,-2.2528,-0.3083,-1.9609,-0.2684,0.1369,0.9625,0.8493,0.8402,0.8825,0.8729,0.9892,0.9263,0.7214,0.7059,0.7787,0.762,0.9785,1.4706,1.6051,-47.4426,1.0915,-32.2605,-29.5573,0.6113,0.2776,0.2006,0.4542,0.3281,0.7224,1.1142,0.7687,0.8941,0.6899,0.8024,1.1631,0.0106,5.2783,-0.1343,-0.4931,-0.6723,0.2931,-0.1419,0.5498,?,?,?,?,?,?,?,?,?,?,SINISTRA_PANTALONI
-0.0746,1.3372,1.1564,9.6195,-1.4071,-0.2648,1.6645,1.2901,8.3482,-1.9547,0.0416,1.4259,1.1941,8.838,-0.9667,1.4244,2.4761,1.5736,8.7926,0.0033,0.2816,-1.7947,-0.0524,-6.3735,-0.1859,0.0292,0.8963,0.9684,0.7349,1.0804,0.8199,0.7589,0.8034,0.9378,0.54,1.1673,0.6722,0.5759,1.0182,1.2944,-195.4706,1.2713,-191.9795,-151.0089,1.4144,0.8893,0.453,0.6287,0.3203,0.5094,1.1523,1.0884,1.094,0.9446,0.9495,1.0052,0.002,2.1506,0.7411,-0.3235,-0.2416,-0.2531,-0.4186,0.2366,?,?,?,?,?,0,0,0,0,0,SINISTRA_PANTALONI
-0.3203,4.3822,2.0934,10.9756,-0.9778,-0.7614,3.7166,1.9279,8.1822,-1.3978,0.0593,3.1426,1.7727,12.3762,-1.1642,3.0018,2.9165,1.7078,7.8147,0.0297,0.4207,-5.3982,-0.1067,-12.8325,-0.2537,0.0198,1.0858,1.1809,1.2258,1.0875,1.1289,1.038,1.1791,1.3944,1.5025,1.1827,1.2743,1.0775,1.1376,0.815,-22.6505,0.7164,-19.9104,-27.7904,1.6262,0.9704,0.689,0.5967,0.4237,0.71,1.3414,0.8868,1.4045,0.6611,1.047,1.5837,0.0058,4.5287,-0.1968,0.0815,0.0609,0.1784,-0.3986,0.0079,?,?,?,?,?,?,?,?,?,?,SINISTRA_PANTALONI
