@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.8418,9.0651,3.0108,14.9527,-1.3172,2.1477,24.3721,4.9368,20.0697,-1.2207,9.2937,10.938,3.3073,12.6885,0.1865,11.1392,11.9865,3.4622,13.8997,0.2276,-0.392,-0.0906,-0.0756,0.2311,0.1928,0.8343,0.6099,0.9104,0.8696,1.4927,1.4259,0.9553,0.3719,0.8288,0.7563,2.2282,2.0333,0.9125,0.7705,-2.9218,-2.0758,-3.7922,-2.6942,0.7105,0.714,0.4137,0.3586,0.5794,0.5023,0.8668,0.745,1.1784,1.0758,1.5817,1.4439,0.9129,0.0987,16.5586,0.4982,-0.063,-0.0271,-0.1427,-0.1301,0.9402,-25.0354,145.9592,12.0814,51,?,-37.3357,65.7746,8.1102,42.125,?,-24.2841,92.8693,9.6369,35.625,-9,0.6705,1.0309,1.5375,1.4897,1.2537,0.8416,2.2191,1.5717,0.7082,1.2107,1.5906,1.3138,1,0,0,1.2107,1.4316,1.1825,0.5267,86.8061,-0.849,-0.9786,0.9136,2.2887,0.4321,0.6574,2,0.5,DESTRA_PANTALONI
0.5877,4.5169,2.1253,7.8882,-0.8598,-1.5023,9.6203,3.1017,13.5734,-1.5494,9.7063,9.1409,3.0234,11.8108,0.1864,10.6795,6.0414,2.4579,9.4033,0.3526,-0.3912,0.0605,0.055,-0.1548,-0.1407,0.9089,0.6852,0.7029,0.8647,1.0259,1.2619,1.2301,0.4695,0.4941,0.7476,1.0524,1.5924,1.513,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.2922,0.292,0.3668,0.3665,0.9994,0.5812,0.6679,0.8389,1.1492,1.4435,1.256,0.1131,14.0907,-0.5688,-0.8437,-0.8113,0.5116,0.3442,0.9365,-32.2629,65.8389,8.1141,46.875,?,-5.6049,12.6744,3.5601,16.25,-3.4068,-24.9195,377.3828,19.4263,63,-1.625,5.7562,1.2947,0.2249,2.2792,0.4177,0.1833,5.1946,0.1745,0.0336,3.7313,1.2019,0.3221,0,0,0.1536,2.8846,0.744,0.2579,0.473,67.8333,0.4269,-0.8777,0.0236,1,0,0,0,1,DESTRA_PANTALONI
-0.297,0.5212,0.7219,2.7975,-0.7689,8.2294,3.1344,1.7704,6.6675,0.4847,9.1869,3.1632,1.7785,6.9904,0.5005,12.3652,6.1286,2.4756,9.5077,0.5016,-0.0361,-0.0323,-0.024,0.8958,0.6655,0.743,0.4078,0.4059,0.2916,0.9954,0.7151,0.7184,0.1663,0.1648,0.085,0.9909,0.5114,0.5161,-0.1939,-0.1736,-0.1271,0.8951,0.6553,0.7321,0.1222,0.113,0.0829,0.9244,0.6782,0.7336,0.4196,0.4002,0.2942,0.9538,0.7013,0.7352,0.1234,18.1073,0.6201,0.4005,0.512,0.9579,0.9882,0.9905,14.0335,1.2297,1.1089,4.3,0.7244,-36.7173,0.1502,0.3875,37.8115,?,-24.4388,1.3022,1.1412,26.4643,?,-0.3822,-0.5742,1.5024,2.8617,0.9718,0.3396,8.1892,0.9443,0.1153,-0.2989,-0.4271,1.4288,0,0,1,0.1137,0.1625,1.4288,0.4629,75.1895,0.3819,0.4742,-0.5533,4.0472,0,0,0,1,DESTRA_PANTALONI
-0.0302,3.917,1.9791,7.5356,-1.1349,-0.3191,9.2974,3.0492,11.4196,-1.3691,9.8657,10.9083,3.3028,12.6455,0.1364,10.5037,11.2311,3.3513,11.8646,0.2235,0.0945,-0.0031,-0.0029,-0.0323,-0.0304,0.9393,0.6491,0.5992,0.5906,0.9232,0.9099,0.9855,0.4213,0.3591,0.3488,0.8523,0.8278,0.9713,0.607,-2.0058,-1.1732,-3.3044,-1.9329,0.5849,0.7323,0.2411,0.231,0.3292,0.3155,0.9584,0.6599,0.5959,0.6351,0.9031,0.9625,1.0658,0.0977,14.1931,0.1762,-0.6781,-0.6919,-0.4438,-0.4705,0.994,-7.0901,278.349,16.6838,44,-2.6975,-2.5702,58.0997,7.6223,24.3057,-1.47,-32.0702,12.5849,3.5475,36.7255,?,2.7586,0.2211,0.0801,2.1888,4.703,2.1486,4.7909,22.1178,4.6166,2.2191,0.8741,0.3939,1.2093,0,0,1.8103,1.1981,0.6618,0.3262,54.7089,-0.8487,-0.7369,0.8975,4.0949,0,0,0,1,DESTRA_PANTALONI
-0.7137,9.1838,3.0305,16.9242,-2.0609,-3.6185,66.8218,8.1745,31.3653,-3.4182,9.6182,29.8798,5.4662,22.7853,0.0554,12.9306,44.7977,6.6931,24.7051,0.1609,0.1972,-0.0742,-0.0552,-0.3762,-0.2798,0.7438,0.3707,0.5544,0.4528,1.4954,1.2213,0.8167,0.1374,0.3074,0.205,2.2364,1.4916,0.667,0.4696,-8.5293,-2.4048,-18.1637,-5.1212,0.2819,0.7789,0.2292,0.1878,0.2943,0.2411,0.8192,0.5396,0.7428,0.685,1.3766,1.2696,0.9223,0.1051,17.7765,0.4769,-0.4207,-0.5359,0.0464,-0.6567,0.6621,-12.2461,116.013,10.7709,30.2399,?,-4.055,90.0727,9.4907,37.4985,-0.4535,-32.1324,118.1078,10.8677,41.0385,?,3.02,0.3811,0.1262,1.1349,0.9911,0.8733,1.288,0.9823,0.7626,2.5848,0.7369,0.2851,0,1,0,0.8064,0.7369,0.9137,0.3533,53.6641,-0.7298,-0.9012,0.9464,49.0102,134.0101,11.5763,33,0.5417,DESTRA_PANTALONI
1.1748,11.1062,3.3326,17.0351,-0.7202,0.5096,193.6337,13.9152,53.6038,-2.3513,9.8383,31.2079,5.5864,22.6019,0.0376,15.2976,100.363,10.0181,42.0531,0.0516,2.3052,0.1194,0.0768,0.0518,0.0333,0.6431,0.2395,0.5966,0.3327,2.4909,1.389,0.5576,0.0574,0.3559,0.1107,6.2046,1.9293,0.3109,0.1896,-8.0756,-3.1181,-42.5852,-16.443,0.3861,0.6192,0.4217,0.2233,0.6811,0.3607,0.5297,0.3178,0.7537,0.4051,2.3716,1.2747,0.5375,0.1023,23.155,-0.5551,0.1537,0.2479,-0.4833,-0.671,0.9512,3.228,113.6269,10.6596,33.5388,-1.3291,-25.8588,59.3062,7.7011,31.6177,-104.7194,-19.5437,8.1098,2.8478,23.3398,?,-0.1248,-0.1652,1.3231,1.3842,3.7431,2.7042,1.9159,14.0111,7.3129,0.6111,0.82,1.3419,48.148,0,0,1.0608,1.437,1.3547,0.3358,55.5553,-0.8989,0.6673,-0.4012,123.2474,1995.5894,44.672,121,0.3795,DESTRA_PANTALONI
-1.0248,18.5631,4.3085,21.2885,-2.2958,-2.1033,61.9548,7.8711,31.3429,-2.4211,10.3242,52.6253,7.2543,29.8063,-0.0024,13.4518,64.2557,8.016,32.1849,0.0521,0.4872,-0.0993,-0.0762,-0.2037,-0.1564,0.7675,0.5474,0.5939,0.5375,1.085,0.9819,0.905,0.2996,0.3527,0.2889,1.1773,0.9642,0.819,0.6686,208.711,-8.3781,312.1831,-12.5317,-0.0401,0.705,0.2172,0.1902,0.3081,0.2698,0.8757,0.6792,0.7142,0.6614,1.0516,0.9738,0.9261,0.1091,19.2004,0.6604,-0.4386,-0.6406,0.1121,-0.3525,0.8569,-12.2851,52.8155,7.2674,26.5198,?,-6.4567,120.8983,10.9954,41.8182,-0.4674,-22.2346,73.3782,8.5661,29.039,?,1.9027,0.5525,0.2904,0.661,0.8484,1.2836,0.4369,0.7198,1.6476,1.9911,0.9132,0.4587,0,1,0,0.6342,0.9132,1.4401,0.2702,46.4281,-0.4983,-0.8107,0.9105,234.7629,17063.7617,130.6283,570,0.1231,DESTRA_PANTALONI
0.8871,19.7141,4.4401,22.0728,-1.1952,-3.5819,74.2409,8.6163,35.4662,-5.5995,10.9958,46.2427,6.8002,27.9743,0.0504,13.6417,88.6268,9.4142,40.1927,0.0358,-0.2477,0.0807,0.065,-0.3258,-0.2626,0.806,0.5153,0.6529,0.4716,1.2671,0.9152,0.7223,0.2655,0.4263,0.2224,1.6055,0.8377,0.5218,0.3994,-8.0933,-8.0516,-20.2652,-20.1608,0.9948,1.871,0.3413,0.2412,0.1824,0.1289,0.7067,0.6224,0.789,0.5492,1.2678,0.8824,0.696,0.1196,19.7805,-0.0361,-0.3412,-0.1428,-0.7401,-0.8986,0.9462,8.529,185.7649,13.6296,43.625,-1.059,17.3099,44.0898,6.64,31.3125,0.1827,-62.7146,2.0791,1.4419,65.1875,?,0.4927,-0.136,-0.276,2.0526,9.4525,4.605,4.2133,89.3494,21.2064,-3.2054,0.3442,-0.1074,0.553,0,0,1.3932,0.6692,0.4803,0.6765,95.2184,0.0453,0.2641,0.9083,429.9897,3820.7114,61.8119,208,0.5419,DESTRA_PANTALONI
-0.5531,8.2493,2.8722,18.4729,-0.7248,4.5538,34.5989,5.8821,25.5314,-0.137,9.7466,5.2734,2.2964,11.4401,0.2624,12.0033,20.0797,4.481,22.4458,0.1704,-0.1215,-0.0567,-0.0461,0.4672,0.3794,0.812,0.4883,1.2507,0.641,2.5615,1.3127,0.5125,0.2384,1.5643,0.4108,6.5611,1.7231,0.2626,2.5239,-1.9069,-1.6832,-0.7555,-0.6669,0.8827,0.4769,0.6905,0.3958,1.4477,0.8299,0.5733,0.7235,1.6147,0.823,2.2317,1.1375,0.5097,0.1146,17.2628,0.3211,0.0468,0.2226,0.5812,0.875,0.8524,-38.6227,8.1571,2.8561,44.0399,?,5.8079,300.1466,17.3247,49.7986,-0.6274,5.9444,148.5004,12.1861,33.4778,-0.5081,-6.6501,-6.4974,0.977,0.1649,0.2344,1.4217,0.0272,0.0549,2.0212,2.2939,3.9045,1.7021,0,0,1.3785,0.8844,1.3155,1.4875,0.4203,65.6966,0.1659,0.1461,-0.8441,2.2766,1.2852,1.1337,4,0,SINISTRA_PANTALONI
0.5868,1.0662,1.0326,4.0257,-0.3854,6.6565,3.034,1.7418,6.2898,0.3677,9.8276,1.6602,1.2885,5.5687,0.5771,11.972,3.6678,1.9152,6.77,0.5782,0.0881,0.0597,0.049,0.6773,0.556,0.8209,0.5928,0.8014,0.5391,1.3519,0.9095,0.6728,0.3514,0.6422,0.2907,1.8275,0.8272,0.4526,-0.3061,-0.1474,-0.1207,0.4814,0.3942,0.8189,0.2921,0.2207,0.181,0.7554,0.6198,0.8204,0.64,0.7229,0.5946,1.1295,0.9291,0.8225,0.1278,17.3308,0.5402,-0.1117,0.2615,0.676,0.9178,0.9108,-34.2315,13.5565,3.6819,40.4999,?,-9.4347,9.296,3.0489,13.9191,?,26.8123,11.8451,3.4417,11.5799,0.6186,3.6283,-1.2767,-0.3519,1.2076,1.0698,0.8859,1.4583,1.1445,0.7848,2.9097,-2.1567,-0.7412,1,0,0,2.9097,3.4974,1.202,0.4784,70.4784,-0.9924,0.971,-0.9596,1.3011,0.2104,0.4587,1,0.5,SINISTRA_PANTALONI
