@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.4418,7.3731,2.7154,16.4352,-3.5644,0.1945,16.8284,4.1022,14.4383,-0.8744,0.5579,18.5687,4.3091,17.9964,-1.0809,6.0588,6.6053,2.5701,16.0529,0.0557,-2.2713,-0.7919,-0.0729,0.3487,0.0321,0.0921,0.6619,0.6301,1.0565,0.952,1.5962,1.6767,0.4381,0.3971,1.1163,0.9063,2.5477,2.8112,1.9055,1.373,-13.5603,0.7205,-7.1164,-9.8766,0.4675,0.4163,0.2118,0.8907,0.4531,0.5087,1.1383,0.9133,1.0238,0.8023,0.8994,1.1211,0.0074,9.2968,-0.7369,0.0583,-0.4712,-0.1424,0.2291,-0.1553,5.1504,10.844,3.293,8.1976,0.0664,2.1763,17.5003,4.1833,10.7014,-0.6085,5.7995,2.9928,1.73,4.7914,0.3931,2.3665,0.8881,0.3753,0.7872,1.9035,2.4181,0.6196,3.6233,5.8474,-0.1439,0.1877,-1.3042,1.3198,1.1121,0.8426,0.766,1.7109,2.2335,0.0806,15.3135,-0.8923,-0.919,0.9772,?,?,?,?,?,DAVANTI_PANTALONI
-0.1629,6.0931,2.4684,9.841,-2.1832,-1.4352,3.6777,1.9177,7.5427,-2.1038,0.3826,20.141,4.4879,17.504,-0.4181,4.8691,8.436,2.9045,13.626,0.0482,0.1135,-0.4257,-0.0335,-3.7508,-0.2948,0.0786,1.2872,0.55,0.8499,0.4273,0.6603,1.5452,1.6568,0.3025,0.7223,0.1826,0.4359,2.3875,1.3202,1.308,-9.7716,0.9908,-7.4018,-7.4709,1.2721,0.2505,0.2159,0.1969,0.1697,0.8622,1.3047,0.5622,0.7222,0.4309,0.5536,1.2846,0.0149,7.307,-0.1643,-0.5796,-0.5398,-0.1801,-0.5124,0.646,4.4461,11.8074,3.4362,8.9535,-0.0091,3.4382,11.3865,3.3744,10.8182,-0.6921,6.2361,2.5624,1.6007,4.9072,0.3926,1.2931,0.713,0.5513,1.0183,2.1466,2.108,1.037,4.608,4.4437,0.0183,-0.0255,-1.3952,1.3878,1.0983,0.7914,0.8276,1.8245,2.2045,0.084,15.1393,-0.8148,-0.9361,0.9396,?,?,?,?,?,DAVANTI_PANTALONI
0.0256,2.7884,1.6698,8.5047,-0.4227,-0.0071,3.3185,1.8217,7.8823,-0.9925,0.1834,13.9765,3.7385,17.4742,-0.7861,4.1207,3.1373,1.7712,8.5942,0.1275,-3.6046,0.1395,0.0062,-0.0387,-0.0017,0.0445,0.9167,0.4467,0.9428,0.4873,1.0285,2.1107,0.8403,0.1995,0.8888,0.2374,1.0578,4.455,0.6435,0.3285,-2.0121,0.5105,-3.1266,-6.1242,1.5111,0.611,0.6069,0.4044,0.4016,0.9932,1.079,0.4867,0.9896,0.4511,0.9172,2.0333,0.0019,5.9982,-0.356,0.1417,0.3308,0.002,-0.1905,0.3495,2.0679,4.8091,2.193,5.6766,-0.0399,6.6155,0.3709,0.609,2.1236,0.7283,6.5241,0.4491,0.6702,2.0386,0.7297,0.3126,0.317,1.014,3.6006,3.2722,0.9088,12.9647,10.7074,0.8259,-0.0383,-0.0396,1.0346,0.6984,0.7239,1.0365,2.6731,2.7846,1.0417,0.0952,15.258,-0.7469,-0.6662,0.0422,?,?,?,?,?,DAVANTI_PANTALONI
-0.3007,3.3518,1.8308,10.672,-1.1396,0.6718,2.885,1.6985,8.3195,-1.2857,0.583,22.0599,4.6968,18.5251,-0.6253,4.5855,8.1516,2.8551,12.4875,0.0573,-0.4476,-0.5158,-0.0656,1.1522,0.1465,0.1271,1.0779,0.3898,0.6412,0.3616,0.5949,1.6451,1.1618,0.1519,0.4112,0.1308,0.3539,2.7062,1.2147,0.7975,-7.4916,0.6566,-6.1676,-9.3938,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.2828,0.5761,0.8546,0.4491,0.6662,1.4835,0.0094,6.6586,-0.2046,-0.5591,-0.5298,-0.0501,0.4083,0.5038,1.9145,0.665,0.8155,3.3592,0.0575,4.6122,0.7401,0.8603,3.1221,0.5095,8.3402,0.3432,0.5858,2.572,0.7183,0.4151,0.2296,0.553,0.948,1.3921,1.4685,0.8986,1.938,2.1566,0.0632,0.0313,0.4945,0.5599,0.3904,0.6972,1.0759,1.3061,1.2139,0.0972,14.8669,0.1507,-0.448,-0.9397,?,?,?,?,?,DAVANTI_PANTALONI
-0.0142,1.6872,1.2989,7.4659,-1.5033,-0.3332,32.3002,5.6833,24.683,-0.8672,0.568,18.6399,4.3174,15.3006,-0.9418,6.2266,14.2901,3.7802,14.2022,0.0194,0.0425,-0.025,-0.0023,-0.5866,-0.0535,0.0912,0.2286,0.3009,0.3436,1.3164,1.5034,1.1421,0.0522,0.0905,0.1181,1.7329,2.2603,1.3044,0.3911,0.6042,-15.9273,1.5448,-40.7239,-26.3625,0.2256,0.3785,0.2059,1.6777,0.9127,0.544,0.3025,0.4879,0.5257,1.6132,1.738,1.0773,0.0066,8.7453,0.3869,0.0897,-0.0223,0.4409,0.1377,0.2068,3.321,4.8225,2.196,6.2501,0.1611,2.6258,14.3623,3.7898,11.2169,-1.0535,7.6294,0.9178,0.958,2.8198,0.6698,1.2648,0.4353,0.3442,0.5795,2.2923,3.9559,0.3358,5.2546,15.6493,-0.2086,0.2098,-1.0058,1.3639,0.8723,0.6396,0.5572,2.2165,3.9779,0.0873,15.3656,-0.8286,-0.8836,0.9651,?,?,?,?,?,DAVANTI_PANTALONI
0.2403,4.708,2.1698,10.2561,-1.0403,-0.2115,3.9912,1.9978,11.0852,-0.8729,0.208,20.386,4.5151,17.3103,-0.5721,4.9384,4.8431,2.2007,12.161,0.0456,-1.1362,1.1551,0.0487,-1.0167,-0.0428,0.0421,1.0861,0.4806,0.986,0.4425,0.9078,2.0517,1.1796,0.2309,0.9721,0.1958,0.8241,4.2093,1.0122,0.8301,-8.9967,0.8202,-8.8884,-10.8375,0.8493,0.4565,0.3945,0.5375,0.4645,0.8641,0.9252,0.5925,0.8434,0.6404,0.9115,1.4234,0.0038,7.1331,-0.2831,-0.4088,-0.369,0.0285,0.0157,0.5739,4.0295,10.0826,3.1753,8.2728,0.051,4.3951,11.2279,3.3508,10.7213,-0.4469,6.1957,0.9825,0.9912,3.2655,0.5521,0.9168,0.6504,0.7094,0.9476,3.2035,3.3805,0.898,10.2624,11.4281,-0.1343,0.1105,-0.8228,1.1765,1.1958,1.0165,0.7716,2.5334,3.2832,0.086,15.2098,-0.9442,-0.7467,0.8831,?,?,?,?,?,DAVANTI_PANTALONI
-0.1088,8.58,2.9292,14.4801,-1.073,-1.329,46.1063,6.7902,36.058,-0.7644,0.0286,43.0005,6.5575,25.3122,-0.7699,8.9843,18.7477,4.3299,19.6763,0.0706,0.0818,-3.8066,-0.0121,-46.5086,-0.1479,0.0032,0.4314,0.4467,0.6765,1.0355,1.5682,1.5145,0.1861,0.1995,0.4577,1.0722,2.4593,2.2936,0.4798,0.6807,-5.0136,1.4188,-10.45,-7.3652,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.4016,0.5721,0.7359,1.4245,1.8326,1.2864,0.0069,13.2949,-0.1818,-0.4243,-0.0194,-0.3001,-0.1375,0.322,4.8258,8.5098,2.9172,8.9381,0.0177,1.382,40.1006,6.3325,15.8772,-0.9127,4.4065,2.9354,1.7133,5.2033,0.2191,3.4919,1.0952,0.3136,0.4607,1.7027,3.6961,0.2122,2.899,13.6611,-0.0213,0.1104,-5.1881,1.0962,1.3655,1.2457,0.5629,1.7178,3.0514,0.0344,15.3615,-0.6692,-0.6924,0.8971,?,?,?,?,?,DAVANTI_PANTALONI
0.087,5.4171,2.3275,10.1495,-1.062,-1.0983,28.9501,5.3805,27.2276,-1.5335,-0.2202,15.5139,3.9388,17.1265,-1.152,6.4516,9.5207,3.0856,16.3388,0.0425,-0.0792,-0.395,0.0135,4.9871,-0.1702,-0.0341,0.4326,0.5909,0.7543,1.366,1.7438,1.2765,0.1871,0.3492,0.569,1.8661,3.0408,1.6295,0.3172,0.5702,-7.214,1.7977,-22.744,-12.652,0.458,0.6185,0.2885,1.3504,0.6298,0.4664,0.3728,0.5926,0.6212,1.5898,1.6664,1.0482,0.006,9.4423,0.3448,0.15,-0.3823,-0.0707,-0.3898,0.0615,2.868,8.0134,2.8308,8.5161,-0.0627,3.2467,24.6168,4.9615,15.5425,-1.0912,6.6078,1.1132,1.0551,3.247,0.5885,0.8834,0.434,0.4913,0.5705,2.683,4.7024,0.3255,7.1983,22.1129,0.0619,-0.1082,-1.7464,1.0782,1.0156,0.9419,0.5479,2.6228,4.7868,0.042,15.1654,-0.641,-0.7481,0.8448,?,?,?,?,?,DAVANTI_PANTALONI
-0.1782,9.4687,3.0771,17.5132,-0.9709,-2.2831,45.2478,6.7266,33.1843,-0.9659,0.619,40.2076,6.3409,26.9182,-0.8196,9.0478,18.6892,4.3231,18.2148,0.0786,0.0781,-0.2879,-0.0197,-3.6883,-0.2523,0.0684,0.4575,0.4853,0.7118,1.0608,1.556,1.4668,0.2093,0.2355,0.5066,1.1254,2.4211,2.1514,0.5292,0.7115,-5.5526,1.3447,-10.4932,-7.8035,0.5264,0.6007,0.4495,1.1411,0.8539,0.7483,0.5278,0.6506,0.9615,1.2328,1.8218,1.4778,0.0125,13.6001,0.2372,-0.3758,0.0215,-0.0521,-0.269,0.1259,4.9479,9.3913,3.0645,8.714,0.0404,1.8178,33.9151,5.8237,15.3979,-1.0262,4.601,3.8953,1.9737,6.1477,0.1727,2.722,1.0754,0.3951,0.5262,1.5527,2.9507,0.2769,2.4109,8.7067,-0.047,0.2855,-6.0757,1.1949,1.2219,1.0226,0.5659,1.4174,2.5047,0.0366,15.3293,-0.5647,-0.8652,0.7952,?,?,?,?,?,DAVANTI_PANTALONI
1.8247,4.3739,2.0914,6.521,-0.0597,-1.6472,5.7341,2.3946,8.9678,-4.7139,0.9334,14.0701,3.751,13.0831,-0.3883,4.328,12.3608,3.5158,10.1748,0.0786,-1.1078,1.9549,0.4216,-1.7647,-0.3806,0.2157,0.8734,0.5576,0.5949,0.6384,0.6811,1.0669,0.7628,0.3109,0.3539,0.4075,0.4639,1.1383,0.0497,0.1004,-0.4233,2.0217,-8.5198,-4.2143,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.7272,0.4984,0.6409,0.6854,0.8814,1.2858,0.1195,6.7739,-0.7999,0.3979,0.8613,-0.5559,-0.8419,0.7501,1.4521,3.6846,1.9195,6.2578,0.0285,2.4913,0.6645,0.8152,2.8496,0.1921,8.4037,0.9337,0.9663,2.5352,0.7347,0.5829,0.1728,0.2965,2.3547,1.9865,0.8436,5.5445,3.9461,0.7117,0.2709,0.0261,0.0965,1.8261,0.674,0.3691,2.196,2.4684,1.124,0.1021,12.3472,-0.9607,-0.7854,0.8628,?,?,?,?,?,DAVANTI_PANTALONI
