@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.3192,0.4837,0.6955,2.8068,-1.461,-0.1555,3.0484,1.746,6.962,-0.8169,-0.247,0.8813,0.9388,4.0792,-1.7407,1.9697,0.7208,0.849,3.5291,0.1253,2.052,1.2921,-0.162,0.6297,-0.079,-0.1254,0.3983,0.7408,0.8192,1.8598,2.0565,1.1058,0.1587,0.5488,0.6711,3.4588,4.2292,1.2227,0.5323,0.6431,-3.2972,1.2082,-6.1941,-5.1267,0.2976,0.7663,0.2827,2.5745,0.9498,0.3689,0.4032,0.6881,0.7953,1.7067,1.9727,1.1559,0.0047,2.9024,-0.2541,-0.0726,-0.2548,0.6047,0.1187,-0.2222,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
0.4129,0.6041,0.7772,2.5964,-0.5808,0.5243,0.9276,0.9631,4.0583,-0.464,0.354,0.6026,0.7763,3.3987,-0.7344,1.359,0.8582,0.9264,3.247,0.0389,0.7876,1.1665,0.3039,1.4811,0.3858,0.2605,0.807,1.0013,0.839,1.2408,1.0396,0.8379,0.6512,1.0026,0.7039,1.5395,1.0809,0.7021,0.7417,0.6629,-7.2528,0.8937,-9.7787,-10.9416,0.5925,0.8382,0.4861,1.4146,0.8205,0.58,0.6398,0.7639,0.7996,1.1941,1.2498,1.0467,0.008,2.2276,0.907,-0.0229,0.7587,0.2895,0.7741,0.2958,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
-0.9822,7.9973,2.8279,12.535,-0.9857,-0.9528,10.682,3.2683,13.6091,-1.5825,-0.9243,12.6484,3.5565,24.3438,-0.9101,5.1882,7.1373,2.6716,13.4295,0.0541,1.0309,1.0626,-0.1893,1.0308,-0.1836,-0.1782,0.8653,0.7952,1.0585,0.919,1.2234,1.3312,0.7487,0.6323,1.1205,0.8445,1.4966,1.7722,0.7461,0.5364,-8.107,0.719,-10.8655,-15.1125,1.1979,0.4953,0.4446,0.4135,0.3712,0.8977,0.9211,0.5149,0.9334,0.559,1.0134,1.8127,0.0178,7.6811,-0.175,-0.389,-0.0607,-0.188,-0.3059,-0.1477,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
0.0152,2.2409,1.497,5.0408,-0.8689,-0.5262,2.8686,1.6937,6.4633,-1.2203,0.0894,3.1674,1.7797,8.5138,-0.5095,2.7775,0.8475,0.9206,4.3193,0.2503,-0.0288,0.1698,0.0055,-5.8885,-0.1895,0.0322,0.8838,0.8411,1.6261,0.9517,1.8398,1.9333,0.7812,0.7075,2.6442,0.9057,3.3849,3.7375,0.6597,0.8155,-1.6247,1.2362,-2.4627,-1.9922,0.9266,0.4782,0.4681,0.5161,0.5052,0.9789,0.7799,0.5921,1.167,0.7592,1.4964,1.9711,0.0057,4.2284,0.9589,-0.246,0.1535,-0.1655,0.1265,0.2945,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
1.5425,8.7747,2.9622,13.7307,-0.8636,-2.3745,19.2705,4.3898,20.7515,-1.5312,1.3411,15.517,3.9392,18.5455,-0.762,6.7793,7.419,2.7238,14.4469,0.0637,-0.6496,1.1502,0.2275,-1.7706,-0.3503,0.1978,0.6748,0.752,1.0875,1.1144,1.6117,1.4462,0.4553,0.5655,1.1827,1.2419,2.5974,2.0915,0.5069,0.7934,-6.4762,1.5652,-12.7764,-8.1626,0.8987,0.7,0.4775,0.7789,0.5313,0.6822,0.6617,0.7404,0.9504,1.119,1.4364,1.2837,0.033,10.6502,-0.7252,-0.1051,0.2569,0.3956,-0.406,0.0723,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
1.0755,12.0902,3.4771,14.2922,-1.313,-4.1347,12.8531,3.5851,15.2919,-4.8509,1.8026,23.4703,4.8446,18.2684,-0.3438,7.2447,17.4299,4.1749,14.8156,0.0355,-0.2601,0.5966,0.1485,-2.2938,-0.5707,0.2488,0.9699,0.7177,0.8329,0.74,0.8587,1.1604,0.9406,0.5151,0.6936,0.5476,0.7374,1.3466,0.6399,1.736,-14.8602,2.7128,-23.2221,-8.5602,2.3642,0.4545,0.4023,0.1922,0.1701,0.885,0.9346,0.7823,0.9647,0.8371,1.0321,1.2331,0.0533,11.3823,-0.4544,-0.3189,-0.0151,-0.3185,-0.8304,0.6761,125000,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
1.1117,5.5571,2.3573,12.7049,-0.3867,0.6491,14.7583,3.8417,20.0265,-1.452,0.6689,7.4664,2.7325,11.6375,-0.5875,4.8857,6.0158,2.4527,12.2419,0.0534,1.7128,1.6621,0.2275,0.9704,0.1328,0.1369,0.6136,0.8627,0.9611,1.4059,1.5663,1.1141,0.3765,0.7443,0.9237,1.9766,2.4532,1.2411,0.2988,0.8227,-5.1272,2.7538,-17.1618,-6.2322,1.1218,1.2498,0.7084,1.1141,0.6315,0.5668,0.6344,1.0917,1.0378,1.7209,1.6359,0.9506,0.0158,7.6455,0.3308,-0.0837,0.4534,0.5944,0.0556,0.3005,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
-1.3403,5.758,2.3996,9.292,-1.4354,-1.7967,15.7034,3.9627,18.3627,-1.4743,0.5203,11.2496,3.354,14.4785,-0.726,5.616,6.4669,2.543,11.646,0.0217,0.746,-2.5759,-0.2387,-3.453,-0.3199,0.0927,0.6055,0.7154,0.9436,1.1815,1.5583,1.3189,0.3667,0.5118,0.8904,1.3959,2.4283,1.7396,0.5005,0.8993,-21.1718,1.7966,-42.2979,-23.543,0.5141,0.4548,0.3205,0.8847,0.6234,0.7047,0.506,0.6418,0.7979,1.2683,1.5767,1.2432,0.025,8.7224,0.7372,0.1036,-0.2744,0.6232,-0.2316,0.0465,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
0.0482,2.1518,1.4669,5.4891,-0.7144,-0.1922,4.7596,2.1817,8.6153,-1.1827,-0.0177,4.0435,2.0108,8.9691,-0.5708,3.1538,1.0477,1.0236,4.6174,0.2239,-0.2507,-2.7227,0.0153,10.8587,-0.0609,-0.0056,0.6724,0.7295,1.4331,1.0849,2.1314,1.9645,0.4521,0.5322,2.0538,1.1771,4.5429,3.8594,0.49,0.7018,-1.717,1.4323,-3.504,-2.4464,0.8111,0.5607,0.5381,0.6913,0.6634,0.9597,0.6371,0.612,1.1888,0.9606,1.8658,1.9424,0.0021,4.638,0.7578,-0.0118,0.0006,0.3534,-0.0504,-0.0165,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
0.16,1.5758,1.2553,4.7499,-0.47,0.0478,2.0456,1.4303,5.9841,-0.5996,-0.1912,4.9091,2.2157,8.4287,-0.6616,2.7543,1.009,1.0045,4.3695,0.1647,3.3511,-0.8369,0.0581,-0.2497,0.0173,-0.0694,0.8777,0.5666,1.2497,0.6455,1.4239,2.2058,0.7703,0.321,1.5618,0.4167,2.0274,4.8654,0.677,0.4525,-1.7621,0.6684,-2.6026,-3.894,0.8637,0.637,0.6177,0.7375,0.7151,0.9697,0.7938,0.5635,1.0871,0.71,1.3695,1.929,0.0028,3.9816,0.5524,-0.2284,-0.0245,0.0267,0.0173,-0.0165,1100,0,0,0,1,?,?,?,?,?,SINISTRA_PANTALONI
