@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.2494,0.0241,0.1553,0.478,-0.023,0.0559,0.0185,0.1359,0.5891,-0.3745,-0.4468,0.0052,0.0718,0.5837,?,4.4652,-0.5583,-0.125,1.1428,2.1626,1.8924,1.3059,4.6768,3.5812,0.0669,0.0184,0.275,1.0903,0,0,0.8114,0.8189,1.0092,0.0037,0.8104,0.2771,-0.2413,0.7879,?,?,?,?,?,DAVANTI_PANTALONI
-0.0745,6.4086,2.5315,17.2085,-0.7764,-0.3118,31.023,5.5698,31.8493,-1.3526,-0.3885,12.9756,3.6022,20.0072,-1.3682,5.8509,16.4283,4.0532,20.3873,0.0292,0.239,0.1919,-0.0127,0.8027,-0.0533,-0.0664,0.4545,0.7028,0.6246,1.5462,1.3742,0.8887,0.2066,0.4939,0.3901,2.3909,1.8884,0.7898,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0035,8.7239,0.7021,0.2459,-0.086,0.5177,-0.501,-0.3655,-0.6143,0.0375,0.1937,0.7991,?,-0.6223,0.0136,0.1168,0.8149,?,-0.2254,0.0112,0.1058,0.4098,?,0.987,2.7255,2.7613,1.6578,1.8297,1.1037,2.7484,3.348,1.2181,0.9805,1.9501,1.9888,1,1,1,0.9805,1.9501,1.9888,0.0063,1.462,-0.8057,-0.782,0.349,?,?,?,?,?,DAVANTI_PANTALONI
0.3163,0.3257,0.5707,2.0975,-0.5213,-1.8889,4.2903,2.0713,7.2231,-86.1282,1.0139,2.6049,1.614,6.119,-0.1389,2.4755,5.7886,2.406,8.1126,0.0137,-0.1674,0.3119,0.1278,-1.863,-0.763,0.4096,0.2755,0.3536,0.2372,1.2834,0.8609,0.6708,0.0759,0.125,0.0563,1.647,0.7412,0.45,0.1007,0.9629,-6.3959,9.5657,-63.5392,-6.6424,16.6314,0.2566,0.1676,0.0154,0.0101,0.6532,0.2904,0.3428,0.2585,1.1804,0.8904,0.7543,0.0657,3.5808,-0.4708,0.1956,0.462,-0.7219,-0.9722,0.8413,-0.0196,0.0173,0.1316,0.3835,-3.9106,-0.3052,0.0599,0.2447,0.8031,?,-0.6737,0.0109,0.1043,0.7383,?,0.0643,0.0291,0.453,0.5377,1.2621,2.3474,0.2891,1.593,5.5101,0.3803,0.4136,1.0877,0,0,1,0.4775,0.5194,1.0877,0.0056,1.0862,0.9923,-0.9348,-0.9118,?,?,?,?,?,DAVANTI_PANTALONI
0.085,0.797,0.8928,6.6825,-1.1525,-0.359,7.5125,2.7409,23.3033,-3.953,0.5808,1.3204,1.1491,10.2501,-1.7444,2.2016,5.2563,2.2927,19.6199,0.014,-0.2368,0.1464,0.0386,-0.6181,-0.1631,0.2638,0.3257,0.7769,0.3894,2.3853,1.1955,0.5012,0.1061,0.6036,0.1516,5.6897,1.4292,0.2512,0.1924,0.5492,-12.8729,2.8546,-66.914,-23.4406,0.6599,0.8312,0.156,1.2597,0.2365,0.1877,0.2868,0.6519,0.3406,2.2735,1.1877,0.5224,0.0046,3.2074,-0.5835,-0.4943,0.2655,0.4783,-0.7362,-0.3015,0.341,0.0011,0.0328,0.1745,0.5881,-0.8624,0.0001,0.0094,0.891,?,-0.2874,0.0016,0.0401,0.3486,?,-0.3955,-1.1867,3.0007,3.4718,0.8177,0.2355,12.0531,0.6687,0.0555,-0.2796,-0.7148,2.5564,0,0,1,0.1958,0.5007,2.5564,0.0064,1.4908,0.8421,0.7816,0.3985,?,?,?,?,?,DAVANTI_PANTALONI
0.3061,0.0159,0.126,0.6834,-0.0137,-0.4075,0.0741,0.2723,1.4507,-2.8374,-0.216,0.0114,0.107,0.5401,-6.009,0.594,0.055,0.2345,1.1342,0.0805,-0.7512,-1.4173,0.5153,1.8866,-0.6859,-0.3636,0.4627,1.1777,0.5373,2.5454,1.1613,0.4562,0.2141,1.3869,0.2887,6.4792,1.3487,0.2082,0.0086,0.02,-0.0933,2.3166,-10.8058,-4.6645,1.7833,8.7492,0.5466,4.9061,0.3065,0.0625,0.4711,1.2654,0.6026,2.6861,1.279,0.4762,0.0037,0.9463,-0.5556,-0.0345,0.7227,0.2711,-0.9278,-0.3428,-0.0392,0.0001,0.0101,0.0542,?,0.6345,0,0.0009,0.0029,0.9955,0.4785,0,0.0028,0.0109,0.9774,-0.0618,-0.082,1.3259,10.7795,3.6058,0.3345,116.1967,13.0019,0.1119,-0.0855,-0.1147,1.3415,0,0,1.317,18.9495,4.9513,0.2613,0.0053,1.1522,0.9661,-0.9945,-0.9957,?,?,?,?,?,DAVANTI_PANTALONI
-0.0667,1.8713,1.368,7.1966,-0.9218,-0.2266,2.2315,1.4938,8.3775,-1.3026,-0.4387,2.2597,1.5032,8.5313,-1.9698,1.9849,2.671,1.6343,6.7861,0.005,0.2945,0.1521,-0.0336,0.5166,-0.1142,-0.221,0.9157,0.91,0.837,0.9938,0.914,0.9198,0.8386,0.8281,0.7006,0.9875,0.8355,0.846,0.7283,0.61,-100.2955,0.8375,-137.7023,-164.4175,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.0605,0.982,1.2345,1.2572,0.0033,3.1363,0.8464,0.2114,0.0873,0.6173,-0.1106,-0.3511,-0.1261,0.0369,0.192,0.6392,?,-0.1714,0.0085,0.0922,0.4734,?,-0.9013,0.0108,0.1039,0.9483,?,0.7359,0.1399,0.1901,2.0811,1.8481,0.888,4.3309,3.4153,0.7886,1.3503,0.6741,0.4992,1,1,1,1.3503,0.6741,0.4992,0.0061,1.1988,0.9841,-0.9324,-0.9435,?,?,?,?,?,DAVANTI_PANTALONI
0.3327,1.7526,1.3239,7.7143,-0.5516,-0.201,3.492,1.8687,9.9298,-1.4142,-0.4183,3.3473,1.8296,9.2481,-1.7053,2.424,3.0423,1.7442,8.0859,0.0245,-1.6551,-0.7953,0.1372,0.4805,-0.0829,-0.1726,0.7085,0.7236,0.759,1.0214,1.0714,1.0489,0.5019,0.5236,0.5761,1.0432,1.1478,1.1003,0.4715,0.4705,-13.5028,0.9978,-28.6375,-28.7013,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,0.954,1.0737,1.2281,1.1437,0.0038,3.7502,-0.135,0.1446,-0.0138,0.4948,-0.17,-0.2652,0.3237,0.0005,0.0221,0.1181,0.6963,-0.3409,0.0454,0.213,0.7345,?,-0.4565,0.0054,0.0738,0.568,?,-0.9494,-0.7091,0.7469,0.1038,0.2997,2.8875,0.0108,0.0898,8.3375,-0.3686,-0.4767,1.2932,0,0,1,0.1608,0.2079,1.2932,0.0043,1.1211,-0.3105,0.7831,-0.6531,?,?,?,?,?,DAVANTI_PANTALONI
0.1683,0.008,0.0894,0.4388,-0.2415,-0.4524,0.0234,0.1528,0.7962,?,-0.18,0.0042,0.065,0.3667,?,0.5299,0.0202,0.142,0.6281,0.2247,-0.372,-0.935,0.3176,2.5134,-0.8537,-0.3397,0.5853,1.3756,0.63,2.3502,1.0764,0.458,0.3426,1.8922,0.3969,5.5236,1.1586,0.2097,0.1072,0.2328,-0.4689,2.1716,-4.3743,-2.0143,0,0,0.4363,1,0,0,0.5511,1.1968,0.6986,2.1716,1.2677,0.5838,0.0034,0.8028,-0.3149,0.0945,0.457,-0.1893,-0.9685,0.0282,-0.0297,0,0.0056,0.0447,?,0.7513,0,0.0007,0.0024,0.9968,0.4212,0,0.0044,0.0178,0.9589,-0.0396,-0.0706,1.7839,8.4171,1.2681,0.1507,70.8478,1.6081,0.0227,-0.0596,-0.1076,1.8065,0,0,1.7379,18.3676,2.5126,0.1368,0.0057,1.2022,0.7604,-0.9911,-0.798,71.6245,0.0131,0.1146,0.2797,0.9961,DAVANTI_PANTALONI
0.0348,6.1095,2.4717,14.6524,-1.5026,-1.6006,14.0253,3.745,23.2268,-2.5881,-0.2934,10.2622,3.2035,17.8371,-0.964,3.9856,17.161,4.1426,18.4806,0.0077,-0.0217,-0.1186,0.0087,5.4549,-0.4016,-0.0736,0.66,0.7716,0.5967,1.1691,0.904,0.7733,0.4356,0.5953,0.356,1.3667,0.8173,0.598,0.5251,1.0048,-61.6756,1.9135,-117.4504,-61.379,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.7928,1.3022,1.2568,0.9652,0.0108,6.3009,0.158,-0.1907,-0.098,0.7846,-0.7626,-0.344,0.0837,0.0367,0.1917,0.9735,-0.7752,-0.4035,0.0113,0.1061,0.7404,?,-0.7534,0.0095,0.0974,0.8207,?,-0.2075,-0.1112,0.5357,1.8069,1.9682,1.0893,3.265,3.8739,1.1865,0.5742,0.518,0.9021,0,0,1,1.3148,1.1861,0.9021,0.0057,1.335,0.2309,-0.4384,-0.7853,73.1358,0,0.0001,0,1,DAVANTI_PANTALONI
0.433,0.0298,0.1725,1.0026,-0.0108,-0.5789,0.1903,0.4362,3.5472,-4.179,-0.1134,0.03,0.1731,0.9559,-0.8907,0.8137,0.1233,0.3512,2.7707,0.0468,-0.748,-3.8203,0.5322,5.107,-0.7114,-0.1393,0.3955,0.9967,0.4913,2.52,1.242,0.4929,0.1564,0.9935,0.2413,6.3505,1.5426,0.2429,0.0038,0.0239,-0.079,6.3563,-21.0483,-3.3114,1.4481,1.9618,0.3412,1.3547,0.2356,0.1739,0.2826,1.0489,0.3619,3.7109,1.2803,0.345,0.0049,1.2092,0.0724,-0.1142,0.2455,-0.6687,-0.8511,0.542,-0.4757,0.0002,0.0137,0.5125,?,-0.391,0.0001,0.0106,0.4125,?,0.0378,0.0003,0.0173,0.0678,-0.2738,1.2167,-12.6014,-10.3572,1.2905,0.7898,0.612,1.6654,0.6238,0.3746,1.2424,35.1582,28.2987,1,0,0,1.2424,7.5575,6.083,0.0041,0.9053,0.9254,0.9798,0.916,?,?,?,?,?,DIETRO_PANTALONI
