@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
0.36,5.6693,2.381,8.4666,-0.6826,1.5492,14.9993,3.8729,14.6964,-0.5352,0.2505,3.5528,1.8849,7.3736,-1.4979,4.7835,3.9314,1.9828,8.8954,0.1799,0.2324,1.4374,0.0753,6.1853,0.3239,0.0524,0.6148,1.2632,1.2009,2.0547,1.9533,0.9506,0.378,1.5957,1.442,4.2219,3.8153,0.9037,0.6704,0.7768,-1.7608,1.1588,-2.6266,-2.2667,0.5257,1.7046,0.4639,3.2428,0.8826,0.2722,0.5761,1.1482,0.9518,1.9931,1.6521,0.8289,0.0335,7.2696,0.9118,0.0717,0.6493,-0.0007,0.7008,-0.1778,?,?,?,?,?,2,0,0,0,1,DESTRA_PANTALONI
0.5571,0.2365,0.4863,1.4298,-0.037,-4.342,1.9694,1.4034,7.1402,?,2.9541,1.8659,1.366,4.9498,0.0787,5.4397,2.3712,1.5399,5.2482,0.3619,-0.1283,0.1886,0.1024,-1.4698,-0.7982,0.5431,0.3465,0.356,0.3158,1.0274,0.9113,0.8871,0.1201,0.1268,0.0997,1.0555,0.8305,0.7869,0.0071,-0.1206,-0.0171,-16.8895,-2.3986,0.142,0,0.2566,0.1676,0,0,0.6532,0.2002,0.2889,0.2724,1.4425,1.3605,0.9431,0.4801,7.8653,-0.1755,0.0532,0.2321,-0.2633,-0.8568,0.7139,?,?,?,?,?,4.1591,38.1338,6.1753,21,0,DESTRA_PANTALONI
0.3912,0.3745,0.612,3.3826,-0.1412,-0.7226,3.1457,1.7736,6.491,-3.9166,0.592,0.7059,0.8402,4.4271,-0.3172,1.7888,2.052,1.4325,5.6294,0.0668,-0.5414,0.6608,0.2187,-1.2206,-0.404,0.331,0.345,0.7284,0.4272,2.111,1.2381,0.5865,0.119,0.5305,0.1825,4.4563,1.533,0.344,0.081,0.3926,-1.0397,4.8496,-12.842,-2.648,2.245,0.8819,0.4914,0.3928,0.2189,0.5572,0.5211,0.7641,0.6009,1.4662,1.1531,0.7864,0.0199,2.621,-0.7322,0.0504,0.7874,0.0516,-0.9291,0.1001,?,?,?,?,?,4.1226,0.02,0.1416,1.0569,0.791,DESTRA_PANTALONI
0.2357,0.011,0.1048,0.4329,-0.0219,-0.2426,0.048,0.2191,1.1501,-2.0424,-0.2189,0.0126,0.1122,0.4961,-5.4389,0.4534,0.0284,0.1685,0.8005,0.1103,-0.9716,-1.0766,0.5199,1.1081,-0.5351,-0.4829,0.4784,0.9346,0.6222,1.9538,1.3006,0.6657,0.2288,0.8735,0.3871,3.8172,1.6916,0.4432,0.012,0.0221,-0.0933,1.8423,-7.7781,-4.2219,1.1207,5.4984,0.4709,4.9061,0.4202,0.0856,0.3764,0.8726,0.5408,2.3181,1.4368,0.6198,0.0081,0.7336,-0.4501,-0.0695,0.6513,0.4726,-0.8287,-0.5278,?,?,?,?,?,4.1432,0,0,0,1,DESTRA_PANTALONI
0.5795,4.3611,2.0883,7.1966,-0.9218,0.0468,5.853,2.4193,8.3775,-1.3026,-0.6404,4.7913,2.1889,8.5313,-1.9698,3.722,1.9005,1.3786,5.636,0.1737,12.3895,-0.9049,0.1557,-0.073,0.0126,-0.1721,0.8632,0.9541,1.5148,1.1053,1.7549,1.5878,0.7451,0.9102,2.2946,1.2216,3.0796,2.521,0.7283,0.61,-2.9142,0.8375,-4.0011,-4.7774,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.2769,0.982,1.4864,1.5137,0.017,6.0059,0.8583,0.3392,-0.2081,0.7082,-0.2251,-0.3336,?,?,?,?,?,4.2693,0.0776,0.2786,1.0337,0.8003,DESTRA_PANTALONI
-0.3532,3.2847,1.8124,7.7143,-0.5516,0.5638,6.3329,2.5165,9.9298,-1.4142,-0.333,6.5847,2.5661,9.2481,-1.7053,3.7355,2.8022,1.674,7.7086,0.07,-0.6264,1.0605,-0.0945,-1.6931,0.1509,-0.0891,0.7202,0.7063,1.0827,0.9807,1.5033,1.5329,0.5187,0.4988,1.1722,0.9618,2.26,2.3499,0.4715,0.4705,-4.7255,0.9978,-10.0222,-10.0445,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,1.0007,1.0737,1.2882,1.1997,0.0146,5.765,-0.1232,0.4407,0.1398,0.6894,-0.2844,-0.0472,?,?,?,?,?,59.6515,2542.0056,50.4183,140.3935,0.0287,DESTRA_PANTALONI
0.1793,0.0092,0.0957,0.3372,-0.0692,-0.5106,0.0196,0.14,0.7962,?,-0.1899,0.004,0.0634,0.3237,?,0.5896,0.0141,0.1188,0.4461,0.4422,-0.3512,-0.9445,0.3041,2.6894,-0.866,-0.322,0.6835,1.5087,0.8059,2.2072,1.179,0.5342,0.4672,2.2761,0.6494,4.8718,1.3901,0.2853,0.0274,0.0674,-0.0617,2.4599,-2.2514,-0.9152,0,0,0.3943,1,0,0,0.4234,1.0416,0.7559,2.4599,1.7851,0.7257,0.0115,0.8806,0.0851,0.0665,0.1126,-0.3515,-0.9603,0.2008,28.1877,0,0,0,1,0.36,0.2304,0.48,1,0,DESTRA_PANTALONI
0.8535,11.426,3.3802,14.6524,-1.5026,-3.7361,30.9172,5.5603,23.2268,-2.5881,-1.0032,24.152,4.9145,17.8371,-0.964,7.9904,18.3425,4.2828,17.3521,0.0683,-0.2285,-0.8508,0.1068,3.7243,-0.4676,-0.1255,0.6079,0.6878,0.7893,1.1314,1.2983,1.1475,0.3696,0.4731,0.6229,1.2801,1.6855,1.3167,0.5251,1.0048,-6.9209,1.9135,-13.1796,-6.8876,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.8444,1.3022,1.3386,1.028,0.0777,12.628,0.3509,0.0394,-0.3199,0.8441,-0.7731,-0.4579,27.638,0.0109,0.1046,0.2095,0.9924,12.9608,34.5083,5.8744,24,0,DESTRA_PANTALONI
0.4246,0.0105,0.1023,0.481,0.234,-0.4927,0.042,0.205,1.1616,?,-0.1215,0.0158,0.1258,0.6117,-2.0311,0.6954,0.0226,0.1502,0.86,0.2898,-0.8618,-3.4956,0.6106,4.0562,-0.7085,-0.1747,0.4992,0.8133,0.6813,1.6292,1.3649,0.8378,0.2492,0.6614,0.4642,2.6543,1.863,0.7019,-0.1265,-0.3585,0.4189,2.8337,-3.3106,-1.1683,0,3.1117,0.5186,0,0,0.1667,0.4141,0.7863,0.5593,1.8988,1.3506,0.7113,0.0132,1.0573,0.2309,-0.0244,0.1157,-0.6544,-0.903,0.5223,?,?,?,?,?,4.1228,0.0868,0.2946,2.1721,0.6481,DESTRA_PANTALONI
