@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.3061,7.716,2.7778,16.6007,-3.5535,1.2589,12.5131,3.5374,17.2915,-0.6958,10.358,18.5863,4.3112,17.9625,0.0281,11.4404,16.9001,4.111,16.5731,0.163,-0.2431,-0.0295,-0.0268,0.1215,0.11,0.9054,0.7853,0.6443,0.6757,0.8205,0.8605,1.0487,0.6166,0.4151,0.4566,0.6732,0.7404,1.0998,1.8259,-24.9064,-4.0125,-13.6403,-2.1975,0.1611,0.3575,0.1972,0.1841,0.5517,0.5149,0.9334,0.96,0.9242,1.0017,0.9626,1.0433,1.0838,0.1044,15.6707,-0.2014,0.0898,-0.1247,-0.2983,-0.1225,0.9217,0.2877,0.0037,0.0606,0.2073,0.4833,-0.1989,0.0786,0.2803,0.6959,-3.6384,0.4969,0.0054,0.0738,0.2341,0.6062,-1.4461,0.5789,-0.4003,0.2161,0.821,3.7983,0.0467,0.674,14.4274,-0.3553,0.5382,-1.5148,2.6747,0.6751,0.2524,0.2979,0.8858,2.9731,0.0061,1.0752,0.6768,-0.8569,-0.2925,?,?,?,?,?,DAVANTI_PANTALONI
-0.0682,6.2689,2.5038,9.5083,-1.9438,-0.0048,11.7706,3.4308,13.7251,-1.4506,10.2198,20.6993,4.5496,17.6496,0.2082,10.9474,23.3436,4.8315,18.7254,0.2218,14.2586,-0.0067,-0.0062,-0.0005,-0.0004,0.9335,0.7298,0.5503,0.5182,0.7541,0.7101,0.9417,0.5326,0.3029,0.2685,0.5686,0.5042,0.8867,0.7728,-1.3528,-1.1762,-1.7506,-1.522,0.8694,0.5767,0.1449,0.1342,0.2513,0.2328,0.9263,0.6928,0.5387,0.5078,0.7776,0.733,0.9425,0.1022,14.9715,0.2497,-0.554,-0.5712,-0.6164,-0.6241,0.9969,0.2847,0.0065,0.0808,0.3158,0.1972,-0.184,0.0609,0.2467,0.6912,-4.9693,0.3293,0.0047,0.0686,0.2704,0.4452,-1.5472,0.8646,-0.5588,0.3274,1.1779,3.5974,0.1072,1.3875,12.941,-0.1348,0.3575,-2.6515,3.3969,0.8069,0.2375,0.4568,1.1675,2.5558,0.0047,0.8603,0.6365,-0.9431,-0.4426,?,?,?,?,?,DAVANTI_PANTALONI
0.0573,2.7698,1.6643,8.2915,-0.4418,4.3255,4.0593,2.0148,9.0894,-0.0056,10.0209,14.0157,3.7437,17.5139,0.1086,11.2966,12.3617,3.5159,14.573,0.2672,0.0133,0.0057,0.0051,0.4317,0.3829,0.8871,0.826,0.4445,0.4734,0.5382,0.573,1.0648,0.6823,0.1976,0.2241,0.2896,0.3284,1.1338,50.291,-1.1906,-0.4781,-0.0237,-0.0095,0.4015,0.6362,0.2927,0.2892,0.46,0.4545,0.988,0.9122,0.4734,0.569,0.519,0.6237,1.2018,0.1091,15.7135,-0.2034,0.1822,0.1517,-0.0194,0.1887,0.9732,0.3757,0.0016,0.04,0.1519,0.6591,0.0343,0.0238,0.1542,0.4261,-1.1026,0.3555,0.0104,0.1018,0.3603,0.3335,10.947,1.0568,0.0965,0.2592,0.3926,1.5148,0.0672,0.1541,2.2946,-1.3147,1.6296,-1.2395,2.1993,0.8246,0.3749,0.3566,0.4217,1.1828,0.0052,0.8799,-0.6239,-0.6218,0.7422,?,?,?,?,?,DAVANTI_PANTALONI
-0.2451,3.1147,1.7648,10.1005,-1.0251,2.3302,4.5433,2.1315,10.3861,-0.3635,10.3983,22.206,4.7123,18.6735,0.1252,10.9859,22.7903,4.7739,19.5533,0.1459,-0.1052,-0.0236,-0.0223,0.2241,0.2121,0.9465,0.828,0.3745,0.3697,0.4523,0.4465,0.9871,0.6856,0.1403,0.1367,0.2046,0.1994,0.9744,1.8463,-1.9124,-1.5312,-1.0358,-0.8293,0.8007,0.6548,0.2337,0.2179,0.3568,0.3327,0.9325,0.9725,0.5409,0.5166,0.5562,0.5312,0.955,0.1066,14.2424,-0.2613,-0.5258,-0.5349,0.2503,0.3515,0.9922,0.2271,0.0019,0.0441,0.1599,0.519,-0.1184,0.0076,0.0874,0.3562,-10.2267,-0.0564,0.0344,0.1853,0.5858,-1.0975,-1.9179,-4.0286,2.1005,0.5051,0.2381,0.4713,0.2552,0.0567,0.2221,-0.5318,-0.563,1.0585,10.4798,1.1905,0.1136,0.449,0.273,0.608,0.0026,0.532,0.1404,0.0507,0.9252,?,?,?,?,?,DAVANTI_PANTALONI
0.0413,1.7898,1.3379,7.6412,-1.2652,0.1816,22.0368,4.6943,19.337,-1.1628,10.3385,18.5732,4.3097,15.2652,0.1351,11.5512,15.8878,3.986,13.6351,0.2489,0.2274,0.004,0.0036,0.0176,0.0157,0.895,0.285,0.3104,0.3356,1.0893,1.1777,1.0812,0.0812,0.0964,0.1127,1.1865,1.387,1.169,0.4105,-1.7892,-0.9444,-4.3583,-2.3004,0.5278,0.3773,0.1911,0.1858,0.5065,0.4925,0.9722,0.3952,0.5006,0.5604,1.2667,1.4182,1.1195,0.1034,15.1639,0.5037,0.1162,0.0529,0.2912,0.1073,0.9314,0.1214,0.0382,0.1955,0.5572,-1.0324,-0.2106,0.014,0.1184,0.415,?,-0.0891,0.0081,0.0898,0.3209,-1.5617,-0.5764,-1.3626,2.3639,1.6518,2.177,1.3179,2.7284,4.7391,1.737,0.6821,1.4469,2.1213,0,2.1887,0,1.3427,1.7365,1.2932,0.0026,0.5444,0.8941,-0.734,-0.375,?,?,?,?,?,DAVANTI_PANTALONI
0.3704,4.6065,2.1463,10.1308,-0.9189,1.3263,4.1046,2.026,12.126,-0.6901,10.0098,20.489,4.5265,17.3381,0.1684,10.5546,19.892,4.46,17.9279,0.1841,0.2793,0.037,0.0351,0.1325,0.1257,0.9484,1.0594,0.4742,0.4812,0.4476,0.4543,1.0149,1.1223,0.2248,0.2316,0.2003,0.2063,1.03,0.9798,-1.3815,-1.1996,-1.41,-1.2244,0.8684,0.7359,0.2532,0.2403,0.3441,0.3265,0.9489,0.8355,0.5843,0.5651,0.6994,0.6764,0.9671,0.101,13.6394,0.3336,-0.3853,-0.3769,-0.4955,-0.4585,0.9948,0.2929,0.0151,0.1231,0.3835,0.0904,-0.2001,0.0432,0.2079,0.5576,-27.2969,0.1474,0.0054,0.0732,0.3005,0.2032,-1.4638,1.9868,-1.3572,0.5918,1.6821,2.8424,0.3502,2.8293,8.0793,-0.0708,0.4972,-7.0176,21.3953,1.1178,0.0522,0.6878,1.2761,1.8554,0.0038,0.6449,0.9891,-0.8225,-0.75,?,?,?,?,?,DAVANTI_PANTALONI
-0.4429,1.5627,1.2501,8.0142,-1.7977,2.7909,8.2538,2.8729,11.9803,-0.6715,9.7646,4.1372,2.034,8.3628,0.4506,10.647,3.9266,1.9816,8.3793,0.4647,-0.1587,-0.0454,-0.0416,0.2858,0.2621,0.9171,0.4351,0.6146,0.6309,1.4125,1.4498,1.0265,0.1893,0.3777,0.398,1.995,2.102,1.0536,1.0699,-0.7508,-0.7081,-0.7017,-0.6618,0.9431,0.3997,0.1882,0.183,0.4709,0.4579,0.9725,0.6689,0.9583,0.9564,1.4326,1.4298,0.998,0.1017,14.3803,0.2664,0.0654,0.1137,-0.464,-0.3159,0.9696,0.0241,0.0314,0.1773,0.5407,-2.417,-0.3075,0.0156,0.1248,0.5118,?,-0.5763,0.0183,0.1351,0.6694,?,-0.0783,-0.0418,0.5336,1.4205,1.3124,0.9239,2.0178,1.7224,0.8536,0.7473,0.5713,0.7645,0,0,1,1.0565,0.8076,0.7645,0.0065,1.0444,0.5402,-0.9862,-0.4148,?,?,?,?,?,DAVANTI_PANTALONI
0.0346,11.32,3.3645,13.2818,-0.698,-2.7879,38.5383,6.2079,23.8563,-1.5608,9.7435,21.1954,4.6038,20.4825,-0.0251,12.1259,26.726,5.1697,22.6181,0.0331,-0.0124,0.0035,0.0029,-0.2861,-0.2299,0.8035,0.542,0.7308,0.6508,1.3484,1.2008,0.8905,0.2937,0.5341,0.4236,1.8182,1.442,0.7931,0.3755,10.9023,-7.0474,29.0358,-18.7692,-0.6464,0.8397,0.3915,0.3344,0.4662,0.3982,0.8542,0.5567,0.6484,0.5872,1.1647,1.0547,0.9056,0.0533,18.0097,0.1138,-0.4512,-0.307,-0.4654,-0.6276,0.9348,0.2823,0.0093,0.0966,0.2958,0.2611,-0.2449,0.0495,0.2225,0.5826,-18.4898,0.493,0.0289,0.1701,0.4512,0.4129,-1.1528,0.5726,-0.4967,0.4341,0.5677,1.3077,0.1885,0.3223,1.7102,-0.1891,0.3294,-1.7416,13.3935,0.5209,0.0389,0.5078,0.6556,1.2912,0.0033,1.0257,0.7793,-0.8824,-0.9705,?,?,?,?,?,DAVANTI_PANTALONI
-0.039,8.8244,2.9706,14.5927,-0.9947,-2.2899,39.0857,6.2519,28.6288,-1.4986,9.6689,43.3656,6.5853,25.2332,-0.0528,11.6132,55.1425,7.4258,25.8456,0.0407,0.017,-0.004,-0.0034,-0.2368,-0.1972,0.8326,0.4752,0.4511,0.4,0.9494,0.8419,0.8868,0.2258,0.2035,0.16,0.9013,0.7088,0.7864,0.4238,5.7502,-6.6431,13.5682,-15.675,-1.1553,0.6385,0.3052,0.2715,0.4781,0.4253,0.8896,0.5097,0.5783,0.5646,1.1346,1.1077,0.9763,0.0512,16.6976,0.1366,-0.4191,-0.3114,-0.5217,-0.615,0.9675,0.2415,0.0437,0.209,0.5773,-0.1538,-0.3246,0.0679,0.2605,0.6968,-14.5533,0.2962,0.0359,0.1896,0.5416,0.1015,-0.744,0.8153,-1.0958,0.8022,1.1024,1.3743,0.6435,1.2152,1.8886,0.118,-1.2572,-10.6509,11.169,0.83,0.0743,0.8286,1.0659,1.2864,0.0026,0.8992,0.9078,-0.9924,-0.9178,?,?,?,?,?,DAVANTI_PANTALONI
0.1283,5.5489,2.3556,10.2397,-1.0346,-0.6613,25.949,5.094,25.7876,-1.7239,9.5662,15.1737,3.8953,16.5243,0.0352,11.0009,17.6197,4.1976,16.8646,0.1623,-0.194,0.0134,0.0117,-0.0691,-0.0601,0.8696,0.4624,0.6047,0.5612,1.3077,1.2136,0.928,0.2138,0.3657,0.3149,1.7101,1.4727,0.8612,0.319,-8.6479,-1.5939,-27.1055,-4.9957,0.1843,0.5316,0.2939,0.25,0.5528,0.4703,0.8507,0.3971,0.6197,0.6072,1.5606,1.5291,0.9798,0.051,15.3384,0.4969,0.1562,0.0177,-0.2999,-0.525,0.8986,0.2048,0.0395,0.1986,0.6423,-0.6433,-0.2206,0.0328,0.1812,0.5041,-57.3668,0.0077,0.0475,0.2178,0.7657,-0.2984,-0.9281,26.5068,-28.5591,1.0964,0.9118,0.8316,1.2021,0.8313,0.6916,0.5075,1.4288,2.8152,45.2574,0.6628,0.0146,1.2742,0.8389,0.6583,0.0016,0.6434,0.8629,-0.9268,-0.6653,?,?,?,?,?,DAVANTI_PANTALONI
