@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.0667,3.3196,1.822,14.4781,-2.0894,0.8083,15.8042,3.9755,24.8955,-1.0168,-0.4192,6.9453,2.6354,19.136,-1.2739,3.8893,11.7757,3.4316,16.2505,0.0192,-0.0825,0.1591,-0.0171,-1.928,0.2078,-0.1078,0.4583,0.6913,0.5309,1.5085,1.1585,0.768,0.21,0.478,0.2819,2.2755,1.3421,0.5898,0.7801,0.9134,-30.7885,1.1708,-39.4657,-33.7088,0.3796,0.5569,0.2828,1.4668,0.745,0.5079,0.5816,0.7566,0.8909,1.301,1.532,1.1776,0.0032,5.9736,-0.1635,-0.1348,-0.2306,-0.9237,0.3799,-0.3207,10.1215,895.5627,29.926,107,0,PANTALONI
0.1764,0.8432,0.9182,6.4324,-0.6994,-0.0985,4.5209,2.1262,15.1907,-2.0712,0.1245,1.5709,1.2534,7.9145,-0.7535,2.1235,2.4819,1.5754,11.1433,0.0076,-1.7907,1.4164,0.0831,-0.791,-0.0464,0.0586,0.4319,0.7326,0.5829,1.6964,1.3496,0.7956,0.1865,0.5367,0.3397,2.8779,1.8215,0.6329,0.2584,0.7784,-30.9886,3.0122,-119.9193,-39.8116,0.7653,0.8386,0.3371,1.0959,0.4405,0.402,0.4234,0.8127,0.5772,1.9194,1.3632,0.7102,0.0008,3.1833,-0.1773,-0.01,-0.0885,-0.8205,-0.2582,0.1651,0.3706,0.9675,0.9836,4,0,PANTALONI
0.0505,4.7284,2.1745,9.7367,-1.1154,-1.0755,11.5658,3.4008,14.2365,-1.3977,0.0121,4.7946,2.1896,8.1431,-0.7577,4.0623,5.7457,2.397,9.0054,0.0492,-0.0469,4.187,0.0124,-89.2355,-0.2648,0.003,0.6394,0.9931,0.9072,1.5531,1.4188,0.9135,0.4088,0.9862,0.823,2.4123,2.0129,0.8345,0.6186,1.4625,-11.0276,2.3642,-17.8262,-7.5401,0.7752,0.9935,0.486,1.2816,0.6269,0.4892,0.6839,1.1957,1.0812,1.7483,1.5809,0.9042,0.0072,6.3098,-0.229,-0.3399,-0.2065,-0.6254,-0.5024,0.5952,21.1343,326.7674,18.0767,40.6131,0.0926,PANTALONI
-0.4826,25.4785,5.0476,29.2277,-1.7119,-1.8745,56.2277,7.4985,38.8232,-2.2431,-0.0657,32.3047,5.6837,29.6111,-1.0376,7.7986,56.9432,7.5461,31.9305,0.0056,0.2575,7.3409,-0.0619,28.5133,-0.2404,-0.0084,0.6731,0.8881,0.6689,1.3193,0.9937,0.7532,0.4531,0.7887,0.4474,1.7405,0.9874,0.5673,0.6871,1.2236,-101.9798,1.7808,-148.4214,-83.3448,0.9003,0.7416,0.3356,0.8237,0.3728,0.4526,0.7528,0.9871,0.9154,1.3111,1.2159,0.9274,0.007,12.2361,0.8811,0.1024,-0.3322,0.3369,-0.5182,0.055,3.1138,38.2387,6.1837,25,0,PANTALONI
0.2107,0.6687,0.8177,5.1058,-0.8139,-0.3897,6.7106,2.5905,11.645,-0.952,-0.1361,3.9009,1.9751,12.1418,-0.4397,2.8826,3.1854,1.7848,8.2856,0.02,-0.5406,-1.5481,0.0731,2.8636,-0.1352,-0.0472,0.3157,0.414,0.4582,1.3116,1.4514,1.1066,0.0996,0.1714,0.2099,1.7202,2.1066,1.2246,0.4034,0.6178,-13.5787,1.5315,-33.6619,-21.9793,0.4718,0.3338,0.3329,0.7074,0.7056,0.9975,0.4385,0.4205,0.6162,0.9591,1.4055,1.4654,0.0016,4.0162,-0.4272,0.0098,0.0928,0.259,0.0082,0.3339,0,0,0,0,0,PANTALONI
0.017,0.0133,0.1152,0.5507,-0.7694,-0.2609,0.0254,0.1593,0.8273,-3.0962,0.0197,0.017,0.1303,0.7028,-0.8409,0.3304,0.0152,0.1235,0.6289,0.0405,-0.0651,0.8622,0.0514,-13.2427,-0.7897,0.0596,0.7232,0.884,0.9331,1.2223,1.2902,1.0555,0.523,0.7815,0.8706,1.4941,1.6645,1.1141,0.3829,0.7459,-9.0095,1.948,-23.529,-12.0783,1.5408,0.8152,0.4748,0.5291,0.3081,0.5824,0.6656,0.7835,0.8756,1.1772,1.3155,1.1175,0.0009,0.4718,0.0639,-0.2256,-0.0142,0.0081,-0.8275,0.1154,0,0,0,0,0,PANTALONI
0.1487,0.9614,0.9805,5.5804,-1.371,-0.3218,7.0712,2.6592,12.8914,-0.7592,0.0059,5.2503,2.2913,13.7173,-0.4091,3.1614,3.4143,1.8478,11.6523,0.0214,-0.4623,25.1038,0.047,-54.305,-0.1018,0.0019,0.3687,0.4279,0.5306,1.1605,1.4391,1.24,0.136,0.1831,0.2816,1.3468,2.071,1.5377,0.58,0.8102,-12.6464,1.397,-21.805,-15.6087,0.3212,0.2418,0.1977,0.7528,0.6154,0.8175,0.4329,0.4068,0.4789,0.9398,1.1063,1.1772,0.0013,4.4227,-0.0124,0.1743,-0.0596,0.2916,0.1703,0.5034,?,?,?,?,?,PANTALONI
-0.0444,5.3121,2.3048,17.1695,-0.6875,-2.7954,33.7342,5.8081,22.1545,-51.7667,-0.2231,45.9082,6.7756,42.0455,-0.8065,4.8466,69.3316,8.3266,28.1807,0.0026,0.0159,0.199,-0.0092,12.5286,-0.5768,-0.046,0.3968,0.3402,0.2768,0.8572,0.6975,0.8137,0.1575,0.1157,0.0766,0.7348,0.4866,0.6622,0.3218,0.3726,-93.7273,1.1579,-291.2215,-251.5182,24.233,0.4372,0.3601,0.018,0.0149,0.8237,0.775,0.4084,0.6093,0.5269,0.7862,1.492,0.0101,7.2178,-0.2106,0.0967,0.2292,0.5015,-0.9105,-0.1352,0,0,0,0,0,PANTALONI
-0.1076,0.015,0.1224,0.5763,-3.158,-0.0861,0.0071,0.0841,0.5056,-1.6676,-0.0185,0.0057,0.0752,0.4944,-2.1526,0.1905,0.0108,0.1037,0.4967,0.0328,1.249,5.8148,-0.5648,4.6555,-0.4522,-0.0971,1.4551,1.6267,1.1802,1.118,0.8111,0.7255,2.1172,2.6463,1.3928,1.2499,0.6578,0.5263,1.3847,1.2965,-25.9757,0.9363,-18.7584,-20.0351,0.7312,0.8838,0.2699,1.2086,0.3691,0.3054,1.1398,1.1656,1.1602,1.0227,1.018,0.9954,0.0005,0.2859,0.38,-0.1679,-0.7018,0.8007,-0.6389,-0.2986,0,0,0,0,0,PANTALONI
-0.035,0.875,0.9354,15.527,-0.7988,-0.1349,1.4345,1.1977,9.4881,-1.0896,0.0879,1.1816,1.087,7.3772,-1.0045,1.3195,1.777,1.333,9.3593,0.0047,0.2592,-0.3977,-0.0265,-1.5346,-0.1023,0.0666,0.781,0.8605,0.7017,1.1018,0.8985,0.8154,0.61,0.7405,0.4924,1.214,0.8072,0.6649,1.3936,1.8651,-157.5118,1.3383,-113.0234,-84.4543,1.9011,2.3455,0.918,1.2338,0.4829,0.3914,1.6365,2.1047,1.659,1.2861,1.0138,0.7882,0.0006,1.9448,-0.1193,-0.2257,-0.1068,-0.7259,-0.1248,0.1211,0,0,0,0,0,PANTALONI
0.392,3.2127,1.7924,8.8294,-0.5866,-0.8139,15.4771,3.9341,17.1922,-0.5831,-0.004,11.0144,3.3188,16.1047,-0.6678,4.6298,9.0851,3.0142,13.1547,0.011,-0.4817,-98.4755,0.0847,204.4405,-0.1758,-0.0009,0.4556,0.5401,0.5947,1.1854,1.3052,1.1011,0.2076,0.2917,0.3536,1.4052,1.7036,1.2124,0.5155,0.5062,-22.2308,0.982,-43.1228,-43.9142,0.5124,0.5763,0.4184,1.1247,0.8164,0.7259,0.5136,0.5482,0.6712,1.0675,1.3069,1.2243,0.0032,7.0089,-0.3588,0.0909,0.2348,0.7746,0.1261,0.2894,?,?,?,?,?,PANTALONI
0.0501,1.058,1.0286,7.9864,-0.8336,-0.2532,1.4407,1.2003,8.4585,-1.5118,0.225,1.8642,1.3653,9.7389,-0.4909,1.4823,2.2831,1.511,8.354,0.0028,-0.1978,0.2226,0.0338,-1.125,-0.1708,0.1518,0.8569,0.7534,0.6808,0.8791,0.7944,0.9036,0.7344,0.5676,0.4634,0.7729,0.6311,0.8165,0.7132,1.1323,-157.5365,1.5877,-220.8924,-139.1277,1.2934,0.6668,0.5199,0.5155,0.402,0.7798,0.9442,0.8201,0.956,0.8685,1.0125,1.1658,0.0012,2.2316,0.1656,0.0824,0.1143,-0.6358,-0.4436,0.3949,0,0,0,0,0,PANTALONI
0.3778,3.5116,1.8739,9.1035,-0.9447,-0.6929,8.919,2.9865,20.9465,-0.6641,-0.3294,3.8042,1.9504,12.715,-1.3461,3.534,4.4771,2.1159,13.1771,0.0186,-0.5452,-1.1469,0.1069,2.1036,-0.1961,-0.0932,0.6275,0.9608,0.8856,1.5312,1.4114,0.9218,0.3937,0.9231,0.7844,2.3445,1.9921,0.8497,0.5291,0.6062,-17.7071,1.1458,-33.4692,-29.2105,0.3719,0.8637,0.3486,2.3226,0.9375,0.4036,0.4346,0.716,0.6909,1.6474,1.5896,0.9649,0.003,5.2896,-0.2755,-0.1194,0.0829,0.5279,-0.2306,-0.2091,?,?,?,?,?,PANTALONI
0.1499,0.9759,0.9879,4.8031,-1.6283,-3.2899,9.5416,3.089,9.337,-12.9398,1.1883,4.0839,2.0209,7.3531,-0.3307,4.0198,10.7007,3.2712,9.5756,0.0137,-0.0456,0.1262,0.0373,-2.7687,-0.8184,0.2956,0.3198,0.4888,0.302,1.5285,0.9443,0.6178,0.1023,0.239,0.0912,2.3364,0.8917,0.3817,0.3433,1.6284,-22.3562,4.743,-65.1164,-13.729,2.7283,0.3307,0.1882,0.1212,0.069,0.5691,0.5144,0.6532,0.5016,1.2698,0.9751,0.7679,0.1061,5.7435,-0.0515,-0.2704,-0.0621,-0.783,-0.9863,0.8511,4.8931,15.1794,3.8961,12,0,PANTALONI
0.445,0.9749,0.9874,4.5949,-0.6422,-0.8322,2.8541,1.6894,8.4712,-1.9908,-0.7756,2.7968,1.6724,8.3791,-1.6411,2.1043,3.6901,1.921,7.5214,0.03,-0.5347,-0.5737,0.2115,1.073,-0.3955,-0.3686,0.5844,0.5904,0.514,1.0102,0.8795,0.8706,0.3416,0.3486,0.2642,1.0205,0.7734,0.7579,0.3187,0.3451,-7.7296,1.083,-24.2566,-22.397,0.9879,0.8819,0.3609,0.8928,0.3653,0.4092,0.5424,0.5484,0.6109,1.011,1.1263,1.114,0.0081,3.2732,-0.5785,-0.1241,0.3759,0.7733,-0.8305,-0.6507,34.0692,20.5911,4.5377,23.201,0.4103,PANTALONI
