@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.2531,1.0374,1.0185,7.8938,-1.505,-0.6102,1.9079,1.3813,6.8843,-1.503,0.014,2.706,1.645,7.8632,-0.6007,1.9233,2.389,1.5456,5.98,0.0241,0.4148,-18.112,-0.1316,-43.6611,-0.3173,0.0073,0.7374,0.6192,0.659,0.8397,0.8937,1.0643,0.5438,0.3834,0.4343,0.7051,0.7986,1.1327,1.1472,1.6072,-32.139,1.4009,-28.014,-19.9972,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.32,0.8755,1.1512,1.3149,0.0044,2.8833,0.4652,0.0067,-0.2586,0.5491,-0.5923,-0.006,4.0663,0.0005,0.0234,0.0477,0.9883,PANTALONI
-0.009,7.4681,2.7328,13.1659,-0.7369,-1.0323,15.3437,3.9171,19.2939,-1.5198,0.0874,14.1532,3.7621,20.5396,-0.9513,4.5721,17.134,4.1393,13.5367,0.0106,0.0087,-0.1024,-0.002,-11.8044,-0.2258,0.0191,0.6977,0.7264,0.6602,1.0412,0.9463,0.9089,0.4867,0.5277,0.4359,1.0841,0.8955,0.826,0.48,0.5578,-38.4296,1.1622,-80.0621,-68.8904,0.99,0.7201,0.554,0.7274,0.5596,0.7694,0.6824,0.641,0.9726,0.9394,1.4253,1.5173,0.0037,6.9276,-0.5704,-0.4341,0.1681,0.0288,-0.577,0.1049,37.5825,128.0398,11.3155,32,0.4182,PANTALONI
-0.2692,0.5204,0.7214,3.6556,-3.8189,0.3792,1.2901,1.1358,5.4187,-0.6421,0.7605,5.9223,2.4336,8.5944,-0.4898,2.1511,3.8999,1.9748,6.4015,0.016,-0.71,-0.354,-0.1252,0.4986,0.1763,0.3535,0.6351,0.2964,0.3653,0.4667,0.5752,1.2323,0.4033,0.0879,0.1334,0.2178,0.3308,1.5186,1.3672,1.0253,-27.8942,0.7499,-20.4022,-27.2072,0.2299,0.1315,0.1166,0.572,0.5072,0.8868,0.6746,0.4253,0.5711,0.6305,0.8465,1.3426,0.027,3.0383,0.2205,-0.4369,-0.5393,0.064,0.2179,0.7386,2,0,0,0,1,PANTALONI
-0.6194,0.0139,0.1178,0.8897,?,-0.4642,0.0186,0.1365,0.838,?,-0.2252,0.0128,0.1131,0.6067,-6.2451,0.8181,0.0257,0.1604,0.8051,0.3386,1.3344,2.7509,-0.7571,2.0615,-0.5673,-0.2752,0.8631,1.0416,0.7345,1.2069,0.851,0.7051,0.7449,1.085,0.5394,1.4566,0.7242,0.4972,1.0617,1.7015,-2.1591,1.6026,-2.0336,-1.269,1,0,0,0,0,0.0688,1.0617,1.4666,1.1051,1.3814,1.0409,0.7535,0.0054,1.3107,0.4862,-0.0353,-0.796,0.7728,-0.9066,-0.5411,4.1432,0,0,0,1,PANTALONI
-0.5059,0.0095,0.0973,0.8063,?,-0.3907,0.019,0.1379,0.7279,?,-0.1993,0.0128,0.113,0.5362,-6.5331,0.6837,0.022,0.1483,0.7294,0.34,1.295,2.5388,-0.7399,1.9605,-0.5713,-0.2914,0.7052,0.8605,0.6559,1.2201,0.9301,0.7623,0.4973,0.7404,0.4302,1.4887,0.8651,0.5811,1.1077,1.7338,-2.1462,1.5652,-1.9375,-1.2379,1,0,0,0,0,0.0644,1.1077,1.5036,1.1054,1.3574,0.9979,0.7352,0.0045,1.0979,0.365,0.1087,-0.6797,0.9338,-0.9206,-0.7835,4.1432,0,0,0,1,PANTALONI
0.3797,5.2595,2.2934,13.0295,-1.3826,-1.2314,9.8314,3.1355,16.2717,-1.097,0.2914,8.4448,2.906,12.8955,-0.8782,3.8627,10.3609,3.2188,11.5193,0.0018,-0.3084,1.303,0.0983,-4.2254,-0.3188,0.0754,0.7314,0.7892,0.7125,1.079,0.9741,0.9028,0.535,0.6228,0.5076,1.1642,0.9489,0.8151,0.8883,1.254,-367.8748,1.4117,-414.1549,-293.366,0.7048,0.7965,0.4739,1.1301,0.6724,0.595,0.8007,1.0104,1.1311,1.2618,1.4126,1.1195,0.0045,5.9701,-0.7895,-0.2918,0.144,0.0334,-0.3745,0.3357,4.1322,4.3995,2.0975,7,0,PANTALONI
0.2632,0.0118,0.1085,0.5827,-0.0307,-0.3046,0.0625,0.25,1.284,-2.8945,-0.2057,0.0154,0.1243,0.6316,-3.2004,0.5129,0.031,0.1761,0.8228,0.2007,-0.8642,-1.2797,0.5132,1.4808,-0.5938,-0.401,0.4341,0.8735,0.6164,2.0121,1.4199,0.7057,0.1884,0.763,0.3799,4.0486,2.0162,0.498,0.0182,0.036,-0.084,1.9829,-4.6186,-2.3292,1.7148,3.7598,0.5492,2.1925,0.3203,0.1461,0.4538,0.9226,0.7082,2.0328,1.5604,0.7676,0.003,0.804,0.0607,0.0375,0.2999,0.267,-0.8163,-0.4756,4.1432,0,0,0,1,PANTALONI
0.167,0.7677,0.8762,3.5119,-0.8393,0.1979,1.2859,1.134,6.9998,-0.5797,-0.3352,1.6356,1.2789,6.0405,-1.0204,1.689,1.0157,1.0078,4.522,0.0307,0.8439,-0.4982,0.0989,-0.5904,0.1171,-0.1984,0.7727,0.6851,0.8694,0.8867,1.1252,1.2689,0.597,0.4694,0.7558,0.7862,1.266,1.6102,0.6239,0.5253,-11.1878,0.842,-17.9332,-21.2987,0.4309,0.6386,0.4093,1.4821,0.9498,0.6409,0.5017,0.5814,0.7766,1.1588,1.5479,1.3358,0.0028,2.5711,0.1641,-0.7391,0.066,-0.0782,0.1409,-0.2574,10.3098,11.4024,3.3767,10.7257,0.2786,PANTALONI
0.213,1.0522,1.0258,6.8492,-0.992,-0.1713,3.7218,1.9292,9.4087,-1.045,-0.3365,4.1898,2.0469,11.1893,-1.5001,2.5622,2.5871,1.6084,8.5471,0.0271,-1.2431,-0.6328,0.0831,0.5091,-0.0669,-0.1313,0.5317,0.5011,0.6378,0.9425,1.1994,1.2726,0.2827,0.2511,0.4067,0.8883,1.4386,1.6195,0.7094,0.508,-14.3386,0.7161,-20.2122,-28.2241,0.7474,0.7683,0.3914,1.028,0.5237,0.5094,0.728,0.6121,0.8013,0.8409,1.1008,1.3091,0.0029,3.8239,0.3335,0.1627,-0.1385,0.2905,0.0601,-0.1429,14.7648,34.7547,5.8953,18.5326,0.1827,PANTALONI
-0.1881,6.5753,2.5642,14.5461,-1.1802,-0.9743,10.8025,3.2867,14.1907,-1.3744,-0.0413,12.2473,3.4996,16.1833,-0.6926,4.4904,10.448,3.2323,10.5675,0.0044,0.193,4.558,-0.0419,23.6144,-0.217,-0.0092,0.7802,0.7327,0.7933,0.9392,1.0168,1.0827,0.6087,0.5369,0.6293,0.882,1.0339,1.1722,0.9586,1.1891,-167.6422,1.2405,-174.8857,-140.9852,1.1164,0.6978,0.6286,0.6251,0.563,0.9008,1.025,0.8988,1.3765,0.8769,1.3429,1.5314,0.0036,6.7162,0.2652,0.0205,-0.109,0.2983,-0.293,0.1126,5.5685,64.5534,8.0345,25,0,PANTALONI
