@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.486,0.386,0.6213,2.6131,-2.3485,4.1518,3.0746,1.7535,7.5862,0.0595,9.8042,0.5776,0.76,3.3259,0.7057,10.7778,1.4732,1.2138,5.2534,0.6045,-0.1171,-0.0496,-0.0451,0.4235,0.3852,0.9097,0.3543,0.8175,0.5119,2.3071,1.4447,0.6262,0.1255,0.6683,0.262,5.3229,2.087,0.3921,-3.817,-0.2298,-0.2282,0.0602,0.0598,0.9931,0.0967,0.0691,0.0588,0.7138,0.6073,0.8507,0.3445,0.7857,0.4974,2.2809,1.4441,0.6331,0.1158,14.5818,-0.4073,-0.2133,-0.3751,0.5539,0.884,0.8699,SINISTRA_PANTALONI
0.2279,0.6258,0.7911,2.4488,-0.4426,5.2512,1.4307,1.1961,3.9371,0.4942,10.3927,0.7131,0.8444,2.9529,0.7626,11.7035,1.4329,1.1971,4.0408,0.7191,0.0434,0.0219,0.0195,0.5053,0.4487,0.888,0.6614,0.9368,0.6608,1.4165,0.9992,0.7054,0.4374,0.8776,0.4367,2.0064,0.9984,0.4976,-0.1953,-0.0792,-0.0726,0.4056,0.3718,0.9168,0.2181,0.1365,0.118,0.6258,0.5411,0.8645,0.622,0.8293,0.606,1.3333,0.9744,0.7308,0.1226,16.3265,0.9428,0.4471,0.745,0.658,0.8963,0.9231,SINISTRA_PANTALONI
-0.2649,6.016,2.4528,10.7434,-0.7909,1.3646,17.4819,4.1811,17.3927,-0.8148,8.5486,12.0008,3.4642,23.2152,-0.0892,9.8441,13.6032,3.6883,21.3917,0.0258,-0.1941,-0.031,-0.0269,0.1596,0.1386,0.8684,0.5866,0.708,0.665,1.2069,1.1336,0.9393,0.3441,0.5013,0.4422,1.4567,1.2851,0.8822,0.6076,2.4947,-8.368,4.1059,-13.7725,-3.3543,0.6259,0.2815,0.2732,0.4497,0.4364,0.9706,0.6177,0.4628,0.5022,0.7492,0.8131,1.0852,0.0931,14.0945,-0.0596,-0.1092,-0.2174,0.0536,0.1568,0.9519,SINISTRA_PANTALONI
0.2645,1.7427,1.3201,4.5473,-0.6713,4.9679,0.9132,0.9556,3.7684,0.4837,10.0383,2.6351,1.6233,8.5932,0.4637,11.3261,2.5283,1.5901,8.616,0.4891,0.0532,0.0263,0.0234,0.4949,0.4386,0.8863,1.3814,0.8132,0.8302,0.5887,0.601,1.0209,1.9083,0.6614,0.6893,0.3466,0.3612,1.0423,-0.5174,-0.2458,-0.2214,0.4751,0.4279,0.9007,0.3728,0.1698,0.1613,0.4555,0.4328,0.9501,1.2067,0.5292,0.5278,0.4385,0.4374,0.9974,0.1205,16.1792,0.7596,-0.0285,0.216,0.0889,0.3845,0.9519,SINISTRA_PANTALONI
0.3597,7.5157,2.7415,13.3319,-0.8447,5.8587,26.7993,5.1768,22.4395,-0.217,9.7774,13.3663,3.656,14.8923,0.1377,12.6917,16.6533,4.0808,18.9644,0.2061,0.0614,0.0368,0.0283,0.5992,0.4616,0.7704,0.5296,0.7499,0.6718,1.416,1.2686,0.8959,0.2804,0.5623,0.4513,2.005,1.6092,0.8026,1.5255,-2.5673,-1.2401,-1.6828,-0.8129,0.4831,0.392,0.4185,0.3025,1.0676,0.7719,0.723,0.5941,0.8952,0.703,1.5068,1.1832,0.7853,0.12,18.6224,-0.2239,-0.3068,-0.5076,-0.0909,0.3855,0.8601,SINISTRA_PANTALONI
0.2858,13.1556,3.6271,15.7637,-2.0627,-1.2482,19.8235,4.4524,17.0484,-1.5825,10.3554,18.7865,4.3343,16.4847,0.2067,11.6822,24.1663,4.9159,17.6701,0.2036,-0.2289,0.0276,0.0245,-0.1205,-0.1068,0.8864,0.8146,0.8368,0.7378,1.0272,0.9057,0.8817,0.6636,0.7003,0.5444,1.0552,0.8203,0.7774,1.0163,-2.4723,-2.3504,-2.4328,-2.3128,0.9507,0.7797,0.2477,0.232,0.3177,0.2975,0.9365,0.9246,0.9563,0.8921,1.0342,0.9648,0.9329,0.1199,16.8633,0.0076,-0.5713,-0.5776,-0.2996,-0.4213,0.9722,SINISTRA_PANTALONI
-0.1409,3.9237,1.9808,11.0721,-0.6754,7.7913,26.0375,5.1027,22.7059,-0.0425,9.7538,7.8495,2.8017,12.8982,0.2382,13.1166,21.6268,4.6505,20.9836,0.1969,-0.0181,-0.0144,-0.0107,0.7988,0.594,0.7436,0.3882,0.707,0.4259,1.8213,1.0972,0.6025,0.1507,0.4999,0.1814,3.3171,1.2039,0.363,4.8236,-1.107,-0.8674,-0.2295,-0.1798,0.7836,0.3034,0.3903,0.2529,1.2865,0.8336,0.6479,0.4876,0.8584,0.5277,1.7604,1.0821,0.6147,0.1357,19.1364,0.5626,-0.1199,0.2912,0.5148,0.9034,0.8077,SINISTRA_PANTALONI
-1.0487,4.2783,2.0684,8.5052,-1.0387,4.7555,20.917,4.5735,18.4351,-0.3021,9.2445,10.92,3.3045,13.6796,0.1824,11.4562,14.0454,3.7477,15.0997,0.2476,-0.2205,-0.1134,-0.0915,0.5144,0.4151,0.8069,0.4523,0.6259,0.5519,1.384,1.2203,0.8817,0.2045,0.3918,0.3046,1.9155,1.4892,0.7775,1.0131,-1.4204,-0.8719,-1.4021,-0.8607,0.6139,0.2947,0.2494,0.2079,0.8462,0.7054,0.8336,0.4614,0.6217,0.5633,1.3476,1.2209,0.9059,0.1136,16.6235,0.6462,-0.0429,0.2754,0.3775,0.7465,0.8688,SINISTRA_PANTALONI
0.1542,1.4287,1.1953,4.1939,-0.5319,8.1529,2.7968,1.6724,6.6396,0.4365,10.0143,3.1353,1.7707,8.6367,0.4541,13.0431,4.0202,2.005,8.4017,0.5378,0.0189,0.0154,0.0118,0.8141,0.6251,0.7678,0.7147,0.675,0.5961,0.9445,0.8341,0.8831,0.5108,0.4557,0.3554,0.892,0.6957,0.7799,-0.2832,-0.2027,-0.149,0.7159,0.5261,0.7349,0.2324,0.1731,0.1506,0.7448,0.6482,0.8704,0.6317,0.4856,0.4992,0.7688,0.7903,1.028,0.1374,19.1992,0.6723,0.104,0.448,0.3109,0.7619,0.8515,SINISTRA_PANTALONI
0.282,1.1357,1.0657,4.345,-0.4081,6.8314,1.3244,1.1508,4.8665,0.5035,9.9145,3.364,1.8341,7.8069,0.4844,12.157,3.0765,1.754,7.0125,0.5704,0.0413,0.0284,0.0232,0.689,0.5619,0.8155,0.926,0.581,0.6076,0.6275,0.6561,1.0457,0.8575,0.3376,0.3692,0.3937,0.4305,1.0935,-0.2552,-0.1717,-0.1352,0.6729,0.53,0.7877,0.3148,0.2038,0.189,0.6473,0.6005,0.9276,0.8928,0.5566,0.6196,0.6233,0.694,1.1133,0.1309,17.6089,0.5799,-0.1735,0.0855,0.0783,0.4553,0.9208,SINISTRA_PANTALONI
0.2529,1.062,1.0305,4.0885,-0.3261,7.4755,1.499,1.2243,5.8052,0.4814,9.8662,2.6538,1.6291,7.4703,0.499,12.4754,2.8662,1.693,7.0155,0.5803,0.0338,0.0256,0.0203,0.7577,0.5992,0.7908,0.8417,0.6326,0.6087,0.7516,0.7232,0.9622,0.7085,0.4002,0.3705,0.5648,0.523,0.9259,-0.1865,-0.1351,-0.1036,0.7244,0.5555,0.7669,0.2754,0.2068,0.1844,0.7508,0.6697,0.8919,0.7043,0.5473,0.5828,0.7771,0.8275,1.0648,0.1303,18.1202,0.6388,0.0664,0.3582,0.2321,0.6351,0.8976,SINISTRA_PANTALONI
0.1623,9.5296,3.087,15.7425,-1.107,2.0911,24.4319,4.9429,23.2868,-0.5436,10.0088,7.5484,2.7474,15.0233,0.2522,11.611,11.2707,3.3572,17.5234,0.2454,0.0776,0.0162,0.014,0.2089,0.1801,0.862,0.6245,1.1236,0.9195,1.7991,1.4723,0.8184,0.39,1.2625,0.8455,3.2367,2.1677,0.6697,1.0085,-1.632,-1.4511,-1.6182,-1.4388,0.8892,0.4953,0.3719,0.3217,0.7509,0.6496,0.8651,0.676,1.0479,0.8984,1.55,1.3289,0.8573,0.11,16.7443,0.0524,-0.2759,-0.3193,0.215,0.3247,0.9413,SINISTRA_PANTALONI
0.1105,10.8705,3.297,20.4757,-1.8864,1.7907,22.9727,4.793,19.5001,-0.4191,10.0327,10.7657,3.2811,19.392,0.143,11.4842,16.5968,4.0739,21.4974,0.1868,0.0617,0.011,0.0096,0.1785,0.1559,0.8736,0.6879,1.0049,0.8093,1.4608,1.1765,0.8054,0.4732,1.0097,0.655,2.1339,1.3842,0.6487,2.3238,-4.1356,-2.7098,-1.7796,-1.1661,0.6552,0.5162,0.3135,0.2683,0.6073,0.5198,0.856,1.05,1.0559,0.9525,1.0056,0.9071,0.9021,0.1096,16.4885,-0.1518,-0.5584,-0.622,0.2197,0.4086,0.9489,SINISTRA_PANTALONI
-0.5409,10.1625,3.1879,16.4397,-0.8756,7.1285,25.2642,5.0263,25.2749,-0.2451,10.1945,18.7378,4.3287,17.0538,0.2038,13.1861,35.3255,5.9435,23.5847,0.1564,-0.0759,-0.0531,-0.041,0.6992,0.5406,0.7731,0.6342,0.7364,0.5364,1.1612,0.8457,0.7283,0.4023,0.5424,0.2877,1.3483,0.7152,0.5304,1.5425,-1.7584,-1.7548,-1.1399,-1.1376,0.998,0.4318,0.4092,0.3135,0.9478,0.7261,0.7661,0.6504,0.964,0.697,1.4821,1.0717,0.7231,0.1353,20.0486,-0.0479,-0.4877,-0.3276,0.7328,0.8559,0.9614,SINISTRA_PANTALONI
-0.0103,1.1868,1.0894,4.1568,-0.7432,5.809,3.661,1.9134,6.5432,0.3242,10.2124,3.8636,1.9656,7.6731,0.494,11.8656,5.9584,2.441,8.7834,0.4891,-0.0018,-0.001,-0.0009,0.5688,0.4896,0.8607,0.5694,0.5542,0.4463,0.9734,0.7839,0.8053,0.3242,0.3072,0.1992,0.9476,0.6144,0.6484,-0.5647,-0.2365,-0.2108,0.4189,0.3733,0.8912,0.2463,0.1572,0.1387,0.6384,0.5632,0.8822,0.6353,0.5417,0.4733,0.8527,0.7449,0.8736,0.1263,16.954,0.6805,0.0655,0.3184,0.6692,0.857,0.9553,SINISTRA_PANTALONI
0.0153,1.239,1.1131,4.2786,-0.3812,6.8477,1.6317,1.2774,5.4914,0.4608,9.7999,2.9315,1.7122,7.7795,0.4937,12.0274,4.0742,2.0185,7.9598,0.5445,0.0022,0.0016,0.0013,0.6988,0.5693,0.8148,0.8714,0.6501,0.5515,0.7461,0.6329,0.8482,0.7593,0.4227,0.3041,0.5566,0.4005,0.7195,-0.2517,-0.1556,-0.1241,0.6184,0.4931,0.7973,0.3042,0.2016,0.1773,0.6627,0.5827,0.8793,0.7792,0.55,0.5375,0.7059,0.6899,0.9773,0.1286,17.5615,0.6247,0.0418,0.2883,0.6854,0.8671,0.9563,SINISTRA_PANTALONI
0.0144,1.0357,1.0177,3.5838,-1.1698,6.8418,6.1128,2.4724,8.9956,0.2646,10.0303,3.1685,1.78,6.9402,0.521,12.2713,7.1479,2.6736,9.4481,0.4803,0.0021,0.0014,0.0012,0.6821,0.5575,0.8174,0.4116,0.5717,0.3807,1.389,0.9248,0.6658,0.1694,0.3269,0.1449,1.9292,0.8552,0.4433,-0.5968,-0.2559,-0.2213,0.4288,0.3708,0.8648,0.135,0.114,0.0909,0.8442,0.6729,0.7971,0.3984,0.5164,0.3793,1.2961,0.9521,0.7346,0.1252,17.7578,0.6969,0.2242,0.4715,0.7363,0.9252,0.9358,SINISTRA_PANTALONI
