@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.854,1.923,1.3867,7.8938,-1.505,-1.7541,3.3844,1.8397,6.8843,-1.503,-0.0145,6.1744,2.4848,7.8632,-0.6007,3.7107,1.5186,1.2323,5.2395,0.1449,0.4869,58.9041,-0.2301,120.9893,-0.4727,-0.0039,0.7538,0.5581,1.1253,0.7404,1.4929,2.0164,0.5682,0.3115,1.2664,0.5481,2.2287,4.066,1.1472,1.6072,-5.3404,1.4009,-4.655,-3.3229,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.5066,0.8755,1.3139,1.5007,0.039,5.6122,0.2832,0.2839,0.155,0.8131,-0.2676,0.1277,-0.1074,0.0284,0.1684,0.5326,-2.5462,-0.4178,0.0056,0.075,0.5118,?,-0.4869,0.0205,0.1433,0.6644,?,0.257,0.2205,0.8581,2.2439,1.1751,0.5237,5.0352,1.3808,0.2742,0.7473,0.5756,0.7703,0,0,1,1.0408,0.8017,0.7703,0.013,1.0704,-0.404,-0.9852,0.5314,4.0949,0,0,0,1,DESTRA_PANTALONI
-0.3362,21.2832,4.6134,13.1659,-0.7369,-2.3039,29.0644,5.3911,19.2939,-1.5198,1.8386,27.5612,5.2499,20.4509,-0.9428,8.8933,7.6192,2.7603,10.4088,0.2392,0.1459,-0.1829,-0.0378,-1.2531,-0.2591,0.2067,0.8557,0.8788,1.6713,1.0269,1.9531,1.9019,0.7323,0.7722,2.7934,1.0545,3.8146,3.6173,0.48,0.5628,-1.7065,1.1726,-3.5552,-3.032,0.99,0.7201,0.554,0.7274,0.5596,0.7694,0.6824,0.6438,1.2649,0.9434,1.8536,1.9648,0.0312,13.8333,-0.7168,-0.4821,0.5266,-0.1214,-0.8263,0.1826,0.2225,0.0103,0.1017,0.2843,0.2688,-0.4421,0.0161,0.1267,0.5527,?,0.644,0.0121,0.1099,0.3678,0.5214,-0.5032,0.3455,-0.6866,0.8026,0.9253,1.1529,0.6442,0.8562,1.3292,-0.1891,0.2609,-1.3793,0,0.506,0,0.5145,0.773,1.5025,0.0085,1.3086,0.9556,-0.9869,-0.983,44.2211,228.7405,15.1242,32,0.4182,DESTRA_PANTALONI
-0.6822,0.932,0.9654,3.3057,-7.089,0.9984,2.7919,1.6709,5.4187,-0.6421,2.8808,9.582,3.0955,8.5944,-0.4898,4.6378,1.5577,1.2481,3.8091,0.4145,-0.6833,-0.2368,-0.1471,0.3466,0.2153,0.6211,0.5778,0.3119,0.7735,0.5398,1.3388,2.4802,0.3338,0.0973,0.5984,0.2914,1.7924,6.1515,1.3672,1.0253,-1.0745,0.7499,-0.7859,-1.048,0.1238,0.0708,0.0628,0.572,0.5072,0.8868,0.61,0.3846,0.8678,0.6305,1.4226,2.2563,0.284,6.3896,0.8148,-0.4265,-0.5307,-0.2682,-0.4125,0.9348,0.501,0.0228,0.151,0.4461,0.3157,-0.097,0.012,0.1097,0.3362,-2.4275,0.7204,0.0004,0.0201,0.0619,0.9187,-5.1658,0.6954,-0.1346,1.3759,7.5234,5.468,1.8931,56.6022,29.8985,-0.8642,0.2942,-0.3405,6.6452,0.8562,0.1288,1.3267,7.2026,5.4288,0.0201,1.3478,-0.9885,-0.9373,0.8768,2,0,0,0,1,DESTRA_PANTALONI
-0.5952,0.0105,0.1024,0.7817,?,-0.4437,0.0149,0.1222,0.6754,?,-0.2202,0.0084,0.0914,0.3903,?,0.7833,0.0199,0.141,0.6555,0.386,1.3414,2.7033,-0.7599,2.0152,-0.5665,-0.2811,0.8384,1.1207,0.7266,1.3366,0.8667,0.6484,0.703,1.2559,0.528,1.7866,0.7511,0.4204,1.1574,2.003,-1.8969,1.7306,-1.639,-0.9471,1,1,0,1,0,0,1.1574,2.003,1.1926,1.7306,1.0304,0.5954,0.0155,1.2591,0.5177,-0.0295,-0.8023,0.7531,-0.9189,-0.542,0.5806,0,0.0005,0.0018,0.9968,-0.1487,0,0.0012,0.1511,?,-0.7491,0,0.0008,0.7498,?,-3.9036,-0.7751,0.1986,0.4182,0.5775,1.3809,0.1749,0.3335,1.9069,-3.8381,-0.7735,0.2015,0,0,1,0.0122,0.0025,0.2015,0.0192,1.4784,0.1991,0.5132,-0.7358,4.1432,0,0,0,1,DESTRA_PANTALONI
-0.5214,0.0081,0.0898,0.8063,?,-0.4139,0.0246,0.1569,0.7279,?,-0.2144,0.0165,0.1286,0.4837,-9.8531,0.7154,0.0265,0.1629,0.6863,0.3789,1.2598,2.432,-0.7288,1.9305,-0.5785,-0.2997,0.5725,0.6985,0.5514,1.2201,0.9632,0.7894,0.3278,0.488,0.3041,1.4886,0.9277,0.6232,1.1077,1.8359,-1.9254,1.6573,-1.7382,-1.0488,1,0,0,0,0,0.0403,1.1077,1.6667,1.1748,1.5046,1.0606,0.7049,0.014,1.1522,0.4243,0.2206,-0.6764,0.9568,-0.9459,-0.8538,0.5423,0,0.0001,0.0003,0.9994,-0.2149,0,0.0006,0.2156,?,-0.7556,0,0.0007,0.7569,?,-2.5235,-0.7178,0.2844,0.1312,0.1167,0.8897,0.0172,0.0136,0.7915,-2.5146,-0.7164,0.2849,0,0,1,0.0015,0.0004,0.2849,0.0191,1.5128,-0.4373,-2.5939,-0.9185,4.1432,0,0,0,1,DESTRA_PANTALONI
0.0243,11.0718,3.3274,12.5807,-1.5062,-2.0043,19.0314,4.3625,16.2717,-1.097,3.334,6.9103,2.6287,12.8955,-0.8782,6.9857,3.347,1.8295,8.2978,0.2809,-0.0121,0.0073,0.0035,-0.6012,-0.2869,0.4773,0.7627,1.2658,1.8188,1.6595,2.3846,1.4369,0.5818,1.6022,3.308,2.7541,5.6861,2.0646,0.8883,1.254,-2.3321,1.4117,-2.6255,-1.8598,0.6469,0.7311,0.435,1.1301,0.6724,0.595,0.7732,0.9756,1.5161,1.2618,1.961,1.5541,0.0393,10.8189,-0.8479,-0.2636,-0.2182,0.1049,0.1883,0.214,0.4764,0.0136,0.1167,0.3687,0.3822,-0.4552,0.0114,0.1068,0.5883,?,0.6568,0.0003,0.017,0.0598,0.9122,-1.0467,0.7253,-0.693,1.093,6.8811,6.2954,1.1947,47.3496,39.6325,-0.3877,0.3673,-0.9472,0,0.8765,0,0.6267,6.1655,9.8386,0.0094,1.5884,0.8384,0.3634,-0.0589,1.6465,2.4306,1.559,4,0,DESTRA_PANTALONI
0.2624,0.0094,0.0969,0.4793,0.0891,-0.2347,0.0652,0.2553,1.284,-2.8945,-0.2142,0.0128,0.113,0.4812,?,0.4764,0.0302,0.1739,0.8228,0.2007,-1.1179,-1.2249,0.5508,1.0958,-0.4927,-0.4496,0.3794,0.8571,0.5571,2.2589,1.4684,0.65,0.144,0.7346,0.3104,5.1025,2.1561,0.4226,-0.0491,-0.0974,0.2269,1.9829,-4.6186,-2.3292,1.596,0,0.5111,0,0.3203,0,0.3733,0.996,0.5825,2.668,1.5604,0.5849,0.0082,0.7503,0.1153,0.1571,0.2568,0.3597,-0.7918,-0.4737,0.2226,0,0.0007,0.0023,0.9896,0.5839,0,0.0002,0.0008,0.9986,0.0756,0,0.0005,0.0024,0.9685,0.3813,2.9463,7.728,3.6731,1.2803,0.3486,13.4915,1.6393,0.1215,0.3796,2.9964,7.8936,0.3831,2.9326,7.6558,2.8199,0.9696,0.3438,0.0126,0.8821,0.5091,-0.3161,0.7332,4.1432,0,0,0,1,DESTRA_PANTALONI
-0.5471,0.8913,0.9441,3.2094,-0.9973,-0.3991,2.7494,1.6581,6.9998,-0.5797,0.07,2.4287,1.5584,6.0405,-1.0204,2.4363,0.5974,0.7729,3.4609,0.2581,1.3708,-7.8119,-0.2246,-5.6988,-0.1638,0.0287,0.5694,0.6058,1.2215,1.064,2.1453,2.0163,0.3242,0.367,1.492,1.132,4.6022,4.0655,0.6239,0.5253,-1.3306,0.842,-2.1329,-2.5332,0.3626,0.5374,0.3444,1.4821,0.9498,0.6409,0.4585,0.5313,0.9273,1.1588,2.0225,1.7454,0.0133,3.7062,-0.1234,-0.8893,0.3101,0.291,0.5783,-0.0093,0.1953,0.0019,0.0435,0.1815,0.457,-0.441,0.0073,0.0853,0.5182,?,0.3661,0.0019,0.044,0.1328,0.7084,-0.4428,0.5334,-1.2047,0.5097,0.9885,1.9395,0.2598,0.9771,3.7616,-0.2948,0.4735,-1.6062,0,0.734,0,0.3503,1.3669,3.9025,0.0119,1.0023,-0.132,0.7098,-0.6533,6.1067,1.7523,1.3238,4.2284,0.4949,DESTRA_PANTALONI
-0.2795,1.9496,1.3963,5.2054,-1.9006,0.8521,5.179,2.2757,9.2279,-1.0878,0.2406,8.5575,2.9253,11.1893,-1.5001,3.838,1.8176,1.3482,6.8728,0.2177,-0.3281,-1.1618,-0.0728,3.5414,0.222,0.0627,0.6136,0.4773,1.0357,0.7779,1.688,2.1698,0.3764,0.2278,1.0726,0.6052,2.8493,4.708,0.7094,0.508,-1.7837,0.7161,-2.5143,-3.511,0.406,0.401,0.2043,0.9876,0.5031,0.5094,0.5641,0.4652,0.7574,0.8247,1.3427,1.6281,0.0182,5.8481,0.5769,0.5633,-0.2079,0.4278,-0.066,-0.0839,-0.167,0.0278,0.1668,0.4548,-7.4315,-0.2103,0.0078,0.0881,0.3706,?,-0.5045,0.0071,0.0841,0.5856,?,0.7943,0.331,0.4167,1.8927,1.983,1.0477,3.5825,3.9322,1.0976,1.0817,0.6845,0.6328,0,0,1,1.2273,0.7766,0.6328,0.0112,0.8972,0.9129,-0.9039,-0.9039,7.2736,12.8835,3.5894,14.6544,0.2204,DESTRA_PANTALONI
0.2044,6.8569,2.6186,8.104,-0.6409,-0.7121,15.4142,3.9261,13.9464,-1.3336,2.0719,21.3763,4.6235,13.9711,-0.4612,6.646,4.3201,2.0785,9.1963,0.0913,-0.2871,0.0987,0.0308,-0.3437,-0.1071,0.3118,0.667,0.5664,1.2598,0.8492,1.8889,2.2244,0.4448,0.3208,1.5872,0.7211,3.568,4.9481,0.3971,0.7177,-3.4265,1.8073,-8.6282,-4.774,0.8264,0.5166,0.488,0.6251,0.5906,0.9448,0.5811,0.5801,0.8812,0.9982,1.5165,1.5192,0.0237,10.1009,0.9336,-0.0767,-0.0508,-0.0849,-0.0747,0.5624,-0.4653,0.0938,0.3063,1.0864,-1.2988,-0.2082,0.0317,0.178,0.6301,-0.9668,-0.5438,0.2203,0.4694,1.6792,-0.9554,2.2352,0.8557,0.3828,1.7212,0.6526,0.3791,2.9624,0.4258,0.1437,1.9817,0.7481,0.3775,1.4751,0.5503,0.3731,1.7241,0.647,0.3752,0.0076,1.543,0.9903,0.9802,0.9939,9.3878,105.3394,10.2635,25,0,DESTRA_PANTALONI
