@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.0059,6.771,2.6021,17.0078,-0.9141,-1.6745,31.5218,5.6144,33.1843,-0.9659,0.2191,30.4463,5.5178,25.2536,-0.8374,7.313,18.1111,4.2557,18.22,0.0783,0.0035,-0.0271,-0.0008,-7.6425,-0.229,0.03,0.4635,0.4716,0.6114,1.0175,1.3193,1.2966,0.2148,0.2224,0.3739,1.0353,1.7405,1.6811,0.4982,0.7057,-5.2451,1.4166,-10.5288,-7.4327,0.5264,0.6465,0.4495,1.2282,0.8539,0.6952,0.5125,0.6735,0.9335,1.314,1.8213,1.386,0.0118,10.8562,0.2712,-0.3861,0.0077,-0.1372,-0.2536,0.2196,295.4475,9617.0557,98.0666,301,0.3568,?,?,?,?,?,DESTRA_PANTALONI
-0.1958,3.5678,1.8889,9.7714,-0.8139,-0.9479,7.7561,2.785,12.7742,-1.9775,0.4123,19.4483,4.41,21.0955,-0.9584,4.9077,7.7941,2.7918,11.2351,0.0565,0.2065,-0.4748,-0.0399,-2.299,-0.1932,0.084,0.6782,0.4283,0.6766,0.6315,0.9976,1.5796,0.46,0.1834,0.4578,0.3988,0.9951,2.4953,0.5168,0.4247,-6.5226,0.8218,-12.6213,-15.3584,1.2556,0.5001,0.4524,0.3983,0.3603,0.9046,0.7649,0.4632,0.8697,0.6055,1.137,1.8777,0.0073,7.1423,-0.0108,-0.4511,0.0812,0.3973,-0.447,-0.0488,194.8889,3274.1943,57.2206,262,0.0542,?,?,?,?,?,DESTRA_PANTALONI
0.3746,3.997,1.9992,11.2053,-0.7626,-0.9999,8.7376,2.956,14.8877,-1.7747,-0.4438,4.998,2.2356,10.87,-1.0266,3.7854,4.7406,2.1773,11.5545,0.022,-0.3746,-0.844,0.099,2.2528,-0.2642,-0.1173,0.6763,0.8943,0.9182,1.3222,1.3576,1.0268,0.4574,0.7997,0.8431,1.7482,1.8432,1.0543,0.5091,0.8804,-18.6311,1.7293,-36.595,-21.1616,1.1849,1.1853,0.5381,1.0004,0.4541,0.454,0.7527,1.0309,0.9698,1.3696,1.2885,0.9408,0.0081,5.9464,-0.6676,0.0435,0.3752,0.6851,-0.3527,-0.1544,31.7042,17.7294,4.2106,17,0.6136,?,?,?,?,?,DESTRA_PANTALONI
0.1953,7.1397,2.672,15.9401,-0.7155,-0.0002,20.387,4.5152,25.2906,-1.2741,0.0287,13.9413,3.7338,14.6335,-1.0984,5.7887,7.998,2.8281,17.3819,0.0372,-1089.4763,6.7981,0.0337,-0.0062,-0,0.005,0.5918,0.7156,0.9448,1.2093,1.5966,1.3203,0.3502,0.5121,0.8927,1.4623,2.549,1.7431,0.4692,0.868,-9.9092,1.8498,-21.1186,-11.4165,0.8355,1.3324,0.5147,1.5948,0.616,0.3863,0.6303,1.0893,0.9171,1.7283,1.455,0.8419,0.0014,8.9534,-0.6755,-0.0327,0.1699,0.7025,-0.0987,-0.0201,21.1119,15.6378,3.9545,21,0.3,?,?,?,?,?,DESTRA_PANTALONI
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
0.2093,9.6659,3.109,24.0089,-0.3552,0.495,12.6533,3.5571,25.0715,-0.4422,0.1332,21.5612,4.6434,29.1037,-0.4152,5.2559,16.5627,4.0697,28.3094,0.0163,0.4229,1.5711,0.0398,3.715,0.0942,0.0253,0.874,0.6696,0.7639,0.7661,0.874,1.141,0.7639,0.4483,0.5836,0.5869,0.764,1.3018,0.8186,0.7369,-13.4058,0.9002,-16.3764,-18.1912,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.8481,0.8615,0.8856,1.0281,0.0038,7.9924,0.5792,0.2931,0.3912,0.1507,0.3274,0.5872,252.4167,1320.243,36.3351,250,0.1857,?,?,?,?,?,DESTRA_PANTALONI
-0.0745,6.4086,2.5315,17.2085,-0.7764,-0.3118,31.023,5.5698,31.8493,-1.3526,-0.3885,12.9756,3.6022,20.0072,-1.3682,5.8509,16.4283,4.0532,20.3873,0.0292,0.239,0.1919,-0.0127,0.8027,-0.0533,-0.0664,0.4545,0.7028,0.6246,1.5462,1.3742,0.8887,0.2066,0.4939,0.3901,2.3909,1.8884,0.7898,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0035,8.7239,0.7021,0.2459,-0.086,0.5177,-0.501,-0.3655,2,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
-0.209,6.3846,2.5268,14.4644,-1.2126,-0.9944,8.5142,2.9179,13.053,-2.0814,-0.5299,8.3584,2.8911,12.6601,-1.1969,4.3277,5.8416,2.4169,11.4253,0.0441,0.2102,0.3944,-0.0483,1.8764,-0.2298,-0.1225,0.866,0.874,1.0454,1.0093,1.2073,1.1962,0.7499,0.7639,1.093,1.0186,1.4575,1.4309,0.8991,1.1493,-15.0235,1.2783,-16.7096,-13.0718,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.266,1.031,1.1425,1.1081,0.0079,6.7247,0.8357,-0.0265,-0.3903,0.4129,-0.6267,-0.2035,2.4,0.4745,0.6888,2,0.5,?,?,?,?,?,DESTRA_PANTALONI
-0.2692,0.5204,0.7214,3.6556,-3.8189,0.3792,1.2901,1.1358,5.4187,-0.6421,0.7605,5.9223,2.4336,8.5944,-0.4898,2.1511,3.8999,1.9748,6.4015,0.016,-0.71,-0.354,-0.1252,0.4986,0.1763,0.3535,0.6351,0.2964,0.3653,0.4667,0.5752,1.2323,0.4033,0.0879,0.1334,0.2178,0.3308,1.5186,1.3672,1.0253,-27.8942,0.7499,-20.4022,-27.2072,0.2299,0.1315,0.1166,0.572,0.5072,0.8868,0.6746,0.4253,0.5711,0.6305,0.8465,1.3426,0.027,3.0383,0.2205,-0.4369,-0.5393,0.064,0.2179,0.7386,2,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
0.964,4.5266,2.1276,7.9031,-0.2843,-1.2524,4.4301,2.1048,8.9678,-4.7139,0.881,9.5576,3.0915,13.0831,-0.3883,3.4624,9.8001,3.1305,10.1748,0.0786,-0.7697,1.0943,0.2784,-1.4216,-0.3617,0.2544,1.0108,0.6882,0.6796,0.6808,0.6723,0.9876,1.0218,0.4736,0.4619,0.4635,0.452,0.9753,0.2365,0.4781,-2.0149,2.0217,-8.5198,-4.2143,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.8813,0.6041,0.7767,0.6854,0.8814,1.2858,0.0548,5.3083,-0.783,0.3442,0.863,-0.5326,-0.8355,0.6969,11.4656,38.7985,6.2288,18,0.0526,?,?,?,?,?,DESTRA_PANTALONI
-1.5346,2.1918,1.4805,4.6046,-16.5587,0.3369,0.8453,0.9194,4.2149,-0.449,0.5995,4.084,2.0209,8.3219,-0.9341,2.7289,2.5018,1.5817,4.8776,0.0714,-4.5556,-2.5597,-0.5623,0.5619,0.1234,0.2197,1.6103,0.7326,0.936,0.4549,0.5813,1.2777,2.593,0.5367,0.8761,0.207,0.3379,1.6324,3.3249,1.0804,-11.5868,0.3249,-3.4849,-10.7246,0.0902,0.0609,0.0499,0.6761,0.5538,0.8192,1.0924,0.5533,0.944,0.5065,0.8641,1.7061,0.051,4.0344,0.0456,-0.3642,-0.7279,0.5019,0.1684,0.4385,0,0,0,0,0,?,?,?,?,?,DESTRA_PANTALONI
1.4955,3.8275,1.9564,6.2227,-0.1141,-0.7051,6.2024,2.4905,11.1126,-1.1325,0.4273,9.3319,3.0548,12.6746,-0.7795,3.8184,7.6977,2.7745,8.1481,0.0456,-2.1211,3.4998,0.3917,-1.65,-0.1847,0.1119,0.7856,0.6404,0.7051,0.8153,0.8976,1.101,0.6171,0.4102,0.4972,0.6646,0.8057,1.2123,0.108,0.1148,-1.6364,1.063,-15.1475,-14.2502,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.56,0.491,0.7637,0.8768,1.3638,1.5555,0.0517,5.9434,-0.3272,-0.0187,0.8784,0.3513,-0.2366,0.279,1,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
