@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.0266,5.18,2.276,9.7515,-0.7866,0.564,9.6881,3.1126,12.6947,-0.8571,9.7995,25.4726,5.047,21.117,-0.0386,10.8173,19.6776,4.4359,17.9604,0.1328,-0.0471,-0.0027,-0.0025,0.0576,0.0521,0.9059,0.7312,0.451,0.5131,0.6167,0.7017,1.1378,0.5347,0.2034,0.2632,0.3803,0.4923,1.2945,0.7328,5.4686,-1.5605,7.4624,-2.1294,-0.2854,0.7984,0.2684,0.2635,0.3362,0.3301,0.9817,0.7682,0.4618,0.5429,0.6012,0.7068,1.1758,0.1022,14.3891,0.166,-0.382,-0.3091,0.2836,0.2678,0.9802,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.3799,4.6222,2.1499,9.8197,-0.9745,5.6808,25.5599,5.0557,21.5123,-0.4385,9.256,4.5323,2.1289,8.7165,0.317,12.018,8.3707,2.8932,13.1818,0.2923,0.0669,0.041,0.0316,0.6137,0.4727,0.7702,0.4252,1.0099,0.7431,2.3748,1.7474,0.7358,0.1808,1.0198,0.5522,5.6396,3.0535,0.5414,0.739,-1.1979,-0.8903,-1.6209,-1.2047,0.7432,0.3326,0.3897,0.267,1.1718,0.8029,0.6852,0.4565,1.1266,0.7449,2.468,1.632,0.6613,0.1144,17.5562,-0.6082,-0.0175,-0.4926,0.0287,0.6113,0.7288,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.2895,10.4433,3.2316,15.9944,-0.7211,7.034,25.3648,5.0364,25.7587,-0.2758,9.619,16.1142,4.0143,14.7856,0.1104,12.9828,25.456,5.0454,21.1076,0.1014,0.0412,0.0301,0.0223,0.7313,0.5418,0.7409,0.6417,0.805,0.6405,1.2546,0.9982,0.7956,0.4117,0.6481,0.4102,1.5741,0.9964,0.633,1.2034,-3.6509,-2.8129,-3.0339,-2.3376,0.7705,0.4603,0.5591,0.3956,1.2147,0.8595,0.7076,0.6209,1.0818,0.7578,1.7422,1.2204,0.7005,0.1255,19.4766,-0.641,-0.08,-0.3426,0.4285,0.7746,0.8487,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.3682,14.5006,3.808,25.0521,-0.345,3.1916,23.5579,4.8536,24.2033,-0.4935,10.3621,25.0493,5.0049,25.6317,0.1244,12.2947,29.6434,5.4446,31.0703,0.1259,0.1154,0.0355,0.0299,0.308,0.2596,0.8428,0.7846,0.7608,0.6994,0.9698,0.8915,0.9193,0.6155,0.5789,0.4892,0.9405,0.7947,0.845,0.8035,-1.7645,-1.4359,-2.1959,-1.787,0.8138,1.1493,0.6363,0.524,0.5536,0.4559,0.8236,1.0351,0.9774,0.8063,0.9443,0.779,0.825,0.113,17.6472,0.4404,0.316,0.3743,-0.1483,0.1233,0.9168,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
-0.1966,0.5169,0.719,3.2848,-1.578,3.5134,1.2906,1.136,5.1963,0.0561,9.1387,2.2627,1.5042,7.9923,0.3939,9.8945,2.067,1.4377,7.6024,0.4592,-0.0559,-0.0215,-0.0199,0.3845,0.3551,0.9236,0.6329,0.478,0.5001,0.7552,0.7902,1.0463,0.4005,0.2284,0.2501,0.5704,0.6244,1.0947,-6.516,-0.3872,-0.3115,0.0594,0.0478,0.8045,0.2315,0.0966,0.0906,0.4175,0.3916,0.9379,0.6322,0.411,0.4321,0.6502,0.6835,1.0513,0.1113,13.2634,-0.6238,0.3962,0.1928,0.0377,0.2981,0.9604,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.2124,0.3739,0.6115,2.7131,-0.4358,10.2628,10.6381,3.2616,12.4584,0.2921,9.3886,9.0865,3.0144,11.5531,0.3101,13.9246,19.7198,4.4407,16.9594,0.3021,0.0207,0.0226,0.0153,1.0931,0.737,0.6742,0.1875,0.2028,0.1377,1.082,0.7345,0.6788,0.0351,0.0411,0.019,1.1708,0.5395,0.4608,-0.1602,-0.1585,-0.1122,0.9897,0.7002,0.7075,0.1074,0.1128,0.0778,1.0509,0.7242,0.6892,0.2178,0.2348,0.16,1.0784,0.7346,0.6812,0.1377,20.1574,0.4522,0.3812,0.4225,0.9937,0.9988,0.998,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
-0.3913,1.8877,1.3739,5.6958,-1.6171,-8.3423,3.6572,1.9124,15.3738,?,10.3257,3.8907,1.9725,7.6452,0.5093,13.3877,6.5717,2.5635,10.8956,0.4747,0.0469,-0.0379,-0.0292,-0.8079,-0.6231,0.7713,0.7184,0.6966,0.536,0.9695,0.746,0.7694,0.5162,0.4852,0.2872,0.94,0.5565,0.592,0.2289,-0.4435,-0.3574,-1.9373,-1.5613,0.8059,0,0.1397,0.1049,0,0,0.7512,0.3705,0.745,0.5228,2.0109,1.411,0.7017,0.1315,19.8793,0.4779,-0.1437,-0.3258,-0.7112,-0.9102,0.9373,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.6197,3.9247,1.9811,7.7822,-0.5565,0.9607,33.0533,5.7492,23.6986,-1.473,9.8129,12.5365,3.5407,17.0265,0.1677,11.4772,15.3884,3.9228,20.5303,0.1588,0.645,0.0631,0.054,0.0979,0.0837,0.855,0.3446,0.5595,0.505,1.6237,1.4656,0.9026,0.1187,0.3131,0.255,2.6366,2.1479,0.8147,0.1971,-0.8112,-0.7182,-4.1149,-3.6432,0.8854,0.5217,0.2444,0.2049,0.4685,0.3927,0.8382,0.3284,0.4571,0.3791,1.3919,1.1543,0.8293,0.1051,16.3214,-0.5099,0.1261,0.3155,-0.5656,-0.5413,0.9188,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
-0.0705,0.0267,0.1633,0.7233,-1.2375,11.0546,1.0666,1.0328,5.4557,0.6302,9.4609,0.6422,0.8014,4.7322,0.6305,14.5522,1.6873,1.299,7.2226,0.6303,-0.0064,-0.0074,-0.0048,1.1684,0.7597,0.6501,0.1581,0.2037,0.1257,1.2888,0.7951,0.6169,0.025,0.0415,0.0158,1.6609,0.6321,0.3806,-0.043,-0.0495,-0.0325,1.1515,0.755,0.6557,0.0219,0.0252,0.0165,1.152,0.7551,0.6555,0.1326,0.1528,0.1001,1.1529,0.7554,0.6552,0.1565,20.6585,0.1045,0.0191,0.07,0.9786,0.9966,0.9923,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.015,3.5111,1.8738,10.0518,-0.7702,5.345,55.6457,7.4596,33.9618,-0.1937,9.2829,19.3476,4.3986,19.4244,-0.0886,12.1374,45.9279,6.777,30.7535,0.0867,0.0028,0.0016,0.0012,0.5758,0.4404,0.7648,0.2512,0.426,0.2765,1.6959,1.1007,0.649,0.0631,0.1815,0.0764,2.8761,1.2116,0.4213,0.7936,2.7673,-1.4978,3.4869,-1.8874,-0.5413,0.1996,0.3182,0.1686,1.5944,0.8449,0.5299,0.296,0.5175,0.3269,1.7484,1.1043,0.6316,0.1152,17.1796,-0.1201,-0.1027,-0.1085,0.583,0.884,0.8489,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
