@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.3366,4.0368,2.0092,11.0103,-0.7234,-1.2796,3.4265,1.8511,11.5111,-5.7067,-0.1361,10.153,3.1864,14.7668,-0.8698,3.9463,3.8118,1.9524,9.3045,0.0667,0.263,2.472,-0.0853,9.3984,-0.3242,-0.0345,1.0854,0.6306,1.0291,0.5809,0.9481,1.632,1.1781,0.3976,1.059,0.3375,0.8989,2.6636,0.4719,0.6728,-6.9492,1.4258,-14.7273,-10.3289,3.7221,0.8089,0.6408,0.2173,0.1722,0.7921,0.9565,0.7456,1.1833,0.7795,1.2372,1.5871,0.0092,5.7385,-0.239,0.2517,0.2088,0.0594,-0.5422,-0.045,-23.1371,105.1727,10.2554,51,?,-38.7319,47.9731,6.9263,42.125,?,-25.5091,65.2263,8.0763,35.625,-9,0.5974,0.907,1.5184,1.4807,1.2698,0.8576,2.1923,1.6124,0.7355,1.2107,1.5906,1.3138,1,0,0,1.2107,1.4316,1.1825,0.3574,87.4789,-0.8592,-0.9783,0.9158,2.4,0.4745,0.6888,2,0.5,TASCA_DESTRA_DAVANTI_PANTALONI
1.7931,5.534,2.3525,7.7188,-0.1045,-0.4041,1.652,1.2853,5.2871,-1.4476,-1.3525,5.949,2.4391,10.2949,-1.8308,3.5118,6.0104,2.4516,7.2818,0.0494,-4.4377,-1.3257,0.5106,0.2987,-0.1151,-0.3851,1.8302,0.9645,0.9596,0.527,0.5243,0.9949,3.3498,0.9302,0.9208,0.2777,0.2749,0.9898,0.2336,0.1097,-1.9313,0.4696,-8.2673,-17.6035,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.4599,0.7498,1.06,0.5136,0.7261,1.4138,0.0692,5.352,-0.0184,-0.4899,0.9091,0.1198,-0.2168,-0.6159,-28.541,71.1283,8.4338,46.875,?,-4.3855,12.1022,3.4788,16.25,-3.4068,-29.5272,292.6264,17.1063,63,-1.625,6.5081,0.9666,0.1485,2.4243,0.493,0.2034,5.8773,0.2431,0.0414,3.7313,1.2019,0.3221,0,0,0.1536,2.8846,0.744,0.2579,0.3153,65.8488,0.5829,-0.872,-0.1668,1,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0494,1.566,1.2514,4.986,-1.4301,-0.3833,2.5332,1.5916,6.5049,-0.7164,0.1041,0.2824,0.5314,2.5969,-0.485,1.9535,0.7257,0.8519,4.0777,0.0763,-0.1289,0.4746,0.0253,-3.6804,-0.1962,0.0533,0.7863,2.3549,1.469,2.995,1.8683,0.6238,0.6182,5.5453,2.1579,8.9702,3.4906,0.3891,1.0807,3.4596,-8.7143,3.2012,-8.0635,-2.5189,0.5414,1.1732,0.4648,2.1671,0.8585,0.3962,0.7665,1.9199,1.2228,2.5048,1.5952,0.6369,0.0027,2.8391,-0.7179,-0.2452,-0.4517,0.435,0.3693,0.1166,14.1928,1.1355,1.0656,4.9,0.6976,-36.8879,0.268,0.5177,37.9137,?,-23.5887,2.3859,1.5446,26.4643,?,-0.3848,-0.6017,1.5638,2.0582,0.6899,0.3352,4.2364,0.4759,0.1123,-0.2981,-0.4271,1.4326,0,0,1,0.1292,0.1852,1.4326,0.3069,74.6695,0.3959,0.3961,-0.6059,4.0472,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.8741,2.1726,1.474,6.9454,-0.4434,-0.3885,3.162,1.7782,7.2157,-1.4785,-0.4417,5.9085,2.4307,11.616,-1.8428,3.1307,2.5517,1.5974,7.7054,0.0955,-2.2499,-1.979,0.2792,0.8796,-0.1241,-0.1411,0.8289,0.6064,0.9227,0.7315,1.1132,1.5217,0.6871,0.3677,0.8514,0.5352,1.2392,2.3155,0.4957,0.2834,-2.6219,0.5716,-5.2894,-9.2529,1.6528,1.1776,0.5648,0.7125,0.3417,0.4796,0.9625,0.5979,0.9014,0.6212,0.9365,1.5075,0.007,4.6883,0.6025,0.6399,0.3015,0.617,-0.1879,-0.1592,-1.5384,248.5824,15.7665,44,-2.6975,-2.827,39.2059,6.2615,24.3057,-1.47,-32.5243,8.8827,2.9804,36.7255,?,0.5442,0.0473,0.0869,2.518,5.2901,2.1009,6.3404,27.985,4.4137,2.2191,0.8741,0.3939,1.2093,0,0,1.8103,1.1981,0.6618,0.2164,51.9785,-0.7598,-0.7286,0.8829,4.0949,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.5248,11.3969,3.3759,21.3117,-0.3993,-2.0546,14.4929,3.8069,16.692,-2.1058,0.2027,14.0297,3.7456,20.226,-0.3576,4.9058,20.3908,4.5156,18.7954,0.0126,-0.2554,2.5889,0.107,-10.1359,-0.4188,0.0413,0.8868,0.9013,0.7476,1.0164,0.8431,0.8295,0.7864,0.8123,0.5589,1.033,0.7108,0.688,0.5373,1.1414,-25.3624,2.1242,-47.2021,-22.2213,2.8339,1.0223,0.8001,0.3608,0.2823,0.7827,1.2768,1.0537,1.1339,0.8253,0.8881,1.0761,0.0146,7.5236,0.0538,0.7113,0.5159,-0.023,-0.6942,0.4759,-9.3465,96.1435,9.8053,30.2399,?,-5.4993,60.2363,7.7612,37.4985,-0.4535,-34.9522,92.4787,9.6166,41.0995,?,1.6996,0.2674,0.1573,1.2634,1.0196,0.8071,1.5961,1.0396,0.6514,2.5848,0.7358,0.2846,0,1,0,0.8064,0.7358,0.9124,0.2507,53.1257,-0.7474,-0.9227,0.9342,48.0616,107.1401,10.3508,33,0.5417,TASCA_DESTRA_DIETRO_PANTALONI
0.1611,8.56,2.9257,18.5595,-0.5763,-1.9178,12.7885,3.5761,15.4098,-2.448,0.0687,12.4692,3.5312,19.5851,-0.4182,5.0099,12.4277,3.5253,16.7611,0.0364,-0.084,2.3451,0.0322,-27.9098,-0.3828,0.0137,0.8181,0.8285,0.8299,1.0127,1.0144,1.0017,0.6694,0.6865,0.6888,1.0256,1.029,1.0033,0.6202,1.175,-10.7045,1.8945,-17.2596,-9.1104,2.6345,0.8526,0.6769,0.3236,0.2569,0.7939,1.2044,0.9476,1.1073,0.7868,0.9194,1.1685,0.0134,7.7162,0.1325,0.523,0.2772,-0.1429,-0.6806,0.5135,7.4859,110.3552,10.505,35.759,-1.1516,-27.2625,39.5877,6.2919,31.6177,-104.7194,-17.0814,17.5491,4.1892,23.3398,?,-0.2746,-0.4382,1.596,1.6696,2.5077,1.5019,2.7876,6.2884,2.2558,0.6111,0.82,1.3419,55.5714,0,0,1.131,1.5321,1.3547,0.2278,56.3902,-0.8761,0.7698,-0.4485,106.1931,1872.2799,43.2699,124,0.3641,TASCA_DESTRA_DIETRO_PANTALONI
1.5367,16.8571,4.1057,19.136,-0.3013,-2.7601,16.5495,4.0681,17.3414,-2.6943,0.7773,30.1289,5.489,24.7741,-0.3108,6.2889,34.5694,5.8796,25.0777,0.0141,-0.5568,1.977,0.2444,-3.5509,-0.4389,0.1236,1.0093,0.748,0.6983,0.7411,0.6919,0.9336,1.0186,0.5595,0.4876,0.5493,0.4787,0.8715,0.3503,0.7543,-12.3484,2.1533,-35.2494,-16.3702,3.1327,0.778,0.5781,0.2484,0.1845,0.743,1.1035,0.7724,0.7631,0.7,0.6915,0.9879,0.0223,9.4987,-0.091,0.796,0.7925,-0.1158,-0.5994,0.7233,-10.4948,41.6257,6.4518,26.5198,?,-8.3559,96.3108,9.8138,42.5385,-0.4926,-24.2865,60.097,7.7522,29.4586,?,1.256,0.4321,0.3441,0.6574,0.8323,1.2659,0.4322,0.6926,1.6026,1.8889,0.9002,0.4766,0,1,0,0.6234,0.9002,1.444,0.19,47.0608,-0.5339,-0.8227,0.9129,309.2877,30145.4375,173.6244,570,0.1231,TASCA_DESTRA_DIETRO_PANTALONI
0.3894,13.1436,3.6254,19.6808,-0.3204,-1.914,14.2927,3.7806,16.8686,-6.6903,0.3383,19.2126,4.3832,21.6284,-0.5722,5.1274,24.2877,4.9283,20.9863,0.0213,-0.2034,1.1508,0.0759,-5.657,-0.3733,0.066,0.959,0.8271,0.7356,0.8625,0.7671,0.8894,0.9196,0.6841,0.5412,0.7439,0.5885,0.791,0.3254,0.6067,-10.4513,1.8642,-32.1159,-17.2276,6.7952,1.0835,0.6951,0.1595,0.1023,0.6415,1.1667,0.91,0.9378,0.7799,0.8038,1.0306,0.0136,7.7258,-0.5058,0.6262,0.7498,-0.3524,-0.799,0.6552,12.1918,151.7735,12.3196,43.625,-1.059,19.8569,42.7223,6.5362,31.3125,0.1827,-62.2293,2.0488,1.4314,65.1875,?,0.614,-0.1959,-0.3191,1.8848,8.6069,4.5664,3.5526,74.0786,20.8522,-3.2054,0.3442,-0.1074,0.553,0,0,1.3932,0.6692,0.4803,0.4583,98.7366,0.2692,0.4123,0.8846,439.2069,2732.8955,52.2771,216,0.5325,TASCA_DESTRA_DIETRO_PANTALONI
0.7748,9.9607,3.1561,21.551,-0.3679,-0.9204,4.6425,2.1547,12.2517,-0.8937,-0.0265,7.9206,2.8144,15.8799,-0.7156,4.1126,7.0585,2.6568,16.8903,0.042,-0.8418,-29.2033,0.1884,34.6918,-0.2238,-0.0065,1.4648,1.1214,1.1879,0.7656,0.811,1.0593,2.1455,1.2576,1.4112,0.5861,0.6577,1.1221,1.0024,0.875,-7.8314,0.873,-7.813,-8.9499,2.4353,1.7021,0.8936,0.6989,0.367,0.525,1.759,1.3571,1.2759,0.7715,0.7254,0.9402,0.0086,6.2315,-0.1351,0.6387,0.4483,-0.1742,-0.1548,0.3531,-38.5831,10.8048,3.2871,44.0399,?,8.7993,313.9527,17.7187,53.9383,-0.6994,3.2731,113.0266,10.6314,33.4778,-0.5081,-4.3848,-11.7881,2.6884,0.1855,0.3092,1.6666,0.0344,0.0956,2.7777,1.9839,3.9045,1.9681,0,0,1.4298,0.8165,1.3155,1.6112,0.2836,63.9647,0.3254,0.0414,-0.6597,1.6286,1.7763,1.3328,4,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0127,1.0521,1.0257,4.9205,-0.5888,-0.232,0.825,0.9083,3.627,-0.7163,-0.3082,0.391,0.6253,2.6565,-3.5574,1.3386,0.6253,0.7907,3.2068,0.0114,0.0547,0.0412,-0.0095,0.7527,-0.1733,-0.2303,1.1293,1.6403,1.2972,1.4525,1.1487,0.7908,1.2753,2.6905,1.6826,2.1097,1.3194,0.6254,1.2046,0.8794,-49.2553,0.73,-40.8893,-56.0115,1.4655,5.3132,0.9547,3.6256,0.6515,0.1797,1.3566,1.8523,1.5344,1.3654,1.1311,0.8284,0.0028,2.026,0.2246,0.4535,0.0653,-0.5697,0.558,-0.6111,-32.6936,13.6643,3.6965,40.4999,?,-11.1294,11.8896,3.4481,15.1794,?,27.5203,8.7744,2.9622,11.5799,0.6186,2.9376,-1.188,-0.4044,1.072,1.2479,1.1641,1.1493,1.5573,1.355,2.6681,-2.1567,-0.8083,1,0,0,2.6681,3.4974,1.3108,0.3177,71.3433,-0.9804,0.9303,-0.8586,1.4245,0.2443,0.4943,1,0.5,TASCA_SINISTRA_DAVANTI_PANTALONI
