@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
6.8703,5.8759,2.424,9.5904,0.1467,0.6134,14.6548,3.8282,13.4362,-0.8792,6.8703,5.8759,2.424,9.5904,0.1467,10.5855,9.1311,3.0218,11.6366,0.3192,11.2008,1,0.649,0.0893,0.0579,0.649,0.6332,1,0.8022,1.5793,1.2669,0.8022,0.401,1,0.6435,2.494,1.6049,0.6435,-0.2623,1,0.3022,-3.813,-1.1522,0.3022,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.7138,1,0.8242,1.401,1.1547,0.8242,0.1947,17.1899,-0.8813,1,0.975,-0.8813,-0.8794,0.975,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
9.7646,13.219,3.6358,16.6995,0.0323,-5.6248,4.5068,2.1229,11.8781,-2.3662,9.7646,13.219,3.6358,16.6995,0.0323,15.1053,25.1071,5.0107,23.3769,0.0701,-1.736,1,0.6464,-0.576,-0.3724,0.6464,1.7126,1,0.7256,0.5839,0.4237,0.7256,2.9331,1,0.5265,0.3409,0.1795,0.5265,-0.0667,1,0.3161,-14.9886,-4.7386,0.3161,4.8905,1,0.6864,0.2045,0.1404,0.6864,1.4059,1,0.7144,0.7113,0.5081,0.7144,0.157,25.3024,-0.4685,1,0.9924,-0.4685,-0.5586,0.9924,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
9.3095,9.0914,3.0152,10.0556,0.2291,0.5698,1.5218,1.2336,4.2329,-0.8889,9.3095,9.0914,3.0152,10.0556,0.2291,13.2645,17.4159,4.1732,13.6634,0.2593,16.3377,1,0.7018,0.0612,0.043,0.7018,2.4442,1,0.7225,0.4091,0.2956,0.7225,5.9739,1,0.522,0.1674,0.0874,0.522,-1.5,1,0.6247,-0.6667,-0.4165,0.6247,5.8205,1,0.7071,0.1718,0.1215,0.7071,2.3756,1,0.736,0.421,0.3098,0.736,0.2995,19.841,-0.6622,1,0.9999,-0.6622,-0.6644,0.9999,?,?,?,?,?,125000,0,0,0,1,DESTRA_PANTALONI
-7.3711,0.0095,0.0976,7.5844,?,5.2192,0.017,0.1305,0.5693,0.8969,-7.3711,0.0095,0.0976,7.5844,?,11.6588,0.0143,0.1196,0.4315,0.9637,-1.4123,1,-0.6322,-0.7081,0.4477,-0.6322,0.7474,1,0.8156,1.338,1.0912,0.8156,0.5586,1,0.6652,1.7902,1.1908,0.6652,-1.5309,1,-0.6625,-0.6532,0.4328,-0.6625,0,1,0,0,0.465,0,13.3232,1,17.5764,0.0751,1.3192,17.5764,0.2332,19.9614,0.3029,0.9997,-0.886,0.3029,0.1796,-0.886,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
-6.4328,0.0165,0.1284,6.6878,?,6.1903,0.0111,0.1054,0.4444,0.9306,-6.4328,0.0165,0.1284,6.6878,?,11.0043,0.0304,0.1744,0.6314,0.9443,-1.0392,1,-0.5846,-0.9623,0.5625,-0.5846,1.2187,1,0.7362,0.8206,0.6041,0.7362,1.4852,1,0.5421,0.6733,0.365,0.5421,-1.1224,1,-0.6244,-0.8909,0.5563,-0.6244,0,1,0,0,0.5645,0,15.0482,1,10.5923,0.0665,0.7039,10.5923,0.2201,19.0558,-0.2425,0.9986,-0.9422,-0.2425,0.549,-0.9422,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
11.9447,10.7613,3.2804,14.0847,0.122,-3.727,2.9494,1.7174,7.6624,?,11.9447,10.7613,3.2804,14.0847,0.122,17.4961,17.6035,4.1956,19.0011,0.1664,-3.2049,1,0.6827,-0.312,-0.213,0.6827,1.9101,1,0.7819,0.5235,0.4093,0.7819,3.6487,1,0.6113,0.2741,0.1675,0.6113,-0.2554,1,0.516,-3.9159,-2.0207,0.516,0,1,0.7038,0,0,0.7038,1.8381,1,0.7413,0.544,0.4033,0.7413,0.1747,27.6165,0.5437,1,0.9937,0.5437,0.4513,0.9937,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
-8.341,0.0105,0.1025,8.5975,?,4.1175,0.0178,0.1333,0.6832,0.8458,-8.341,0.0105,0.1025,8.5975,?,12.4947,0.0209,0.1445,0.6113,0.9522,-2.0258,1,-0.6676,-0.4936,0.3295,-0.6676,0.7695,1,0.7095,1.2996,0.9221,0.7095,0.5921,1,0.5034,1.6888,0.8502,0.5034,-2.2949,1,-0.7067,-0.4358,0.3079,-0.7067,0,1,0,0,0.3467,0,12.5846,1,14.0647,0.0795,1.1176,14.0647,0.2499,20.7995,-0.0154,1.0005,-0.9534,-0.0154,0.3145,-0.9534,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
8.2411,4.062,2.0154,6.83,0.4199,-0.2969,0.6548,0.8092,3.5253,-0.8322,8.2411,4.062,2.0154,6.83,0.4199,11.6834,8.1962,2.8629,9.7684,0.4172,-27.7568,1,0.7054,-0.036,-0.0254,0.7054,2.4907,1,0.704,0.4015,0.2827,0.704,6.2034,1,0.4956,0.1612,0.0799,0.4956,-3.0876,1,0.707,-0.3239,-0.229,0.707,6.1192,1,0.7024,0.1634,0.1148,0.7024,1.9374,1,0.6992,0.5162,0.3609,0.6992,0.2286,17.1956,-0.065,1,1,-0.065,-0.0685,1,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
4.4836,16.8506,4.1049,11.4081,0.004,-1.0488,3.9056,1.9763,7.5638,-1.6262,4.4836,16.8506,4.1049,11.4081,0.004,6.848,32.0156,5.6582,16.2796,0.0196,-4.2751,1,0.6547,-0.2339,-0.1531,0.6547,2.0771,1,0.7255,0.4814,0.3493,0.7255,4.3145,1,0.5263,0.2318,0.122,0.5263,-0.0099,1,0.1419,-101.2589,-14.3705,0.1419,3.977,1,0.6898,0.2514,0.1734,0.6898,1.5083,1,0.7008,0.663,0.4646,0.7008,0.126,10.8353,-0.7606,1,0.9968,-0.7606,-0.7628,0.9968,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
12.1423,22.2347,4.7154,13.3557,0.311,0.6311,5.2995,2.3021,9.4453,-0.4771,12.1423,22.2347,4.7154,13.3557,0.311,17.3372,44.4593,6.6678,18.5855,0.3242,19.2392,1,0.7004,0.052,0.0364,0.7004,2.0483,1,0.7072,0.4882,0.3453,0.7072,4.1956,1,0.5001,0.2383,0.1192,0.5001,-1.9756,1,0.6761,-0.5062,-0.3422,0.6761,3.0312,1,0.7048,0.3299,0.2325,0.7048,1.414,1,0.7186,0.7072,0.5082,0.7186,0.1753,26.2547,-0.0471,1,0.9996,-0.0471,-0.0271,0.9996,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
