@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
0.5834,3.7161,1.9277,15.2847,-1.5819,0.0576,6.411,2.532,11.5376,-1.2344,0.3568,11.7771,3.4318,20.6015,-1.5712,4.2384,4.4113,2.1003,15.68,0.032,10.1261,1.6349,0.1376,0.1615,0.0136,0.0842,0.7613,0.5617,0.9178,0.7378,1.2055,1.6339,0.5796,0.3155,0.8424,0.5444,1.4533,2.6698,1.4692,0.7439,-18.0907,0.5063,-12.3129,-24.319,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,0.9748,0.56,0.7358,1.3139,0.0034,6.2355,-0.0818,0.5092,0.1597,0.3147,0.0187,0.0585,?,?,?,?,?,DAVANTI_PANTALONI
0.5282,5.0864,2.2553,14.0469,-0.4348,-0.499,3.6349,1.9066,8.267,-0.9784,0.0547,13.718,3.7038,16.5409,-0.6232,4.1397,5.8336,2.4153,13.5404,0.0434,-1.0586,9.6655,0.1276,-9.1302,-0.1205,0.0132,1.1829,0.6089,0.9338,0.5148,0.7894,1.5335,1.3993,0.3708,0.8719,0.265,0.6231,2.3515,1.0412,0.6703,-6.9323,0.6438,-6.6581,-10.3424,2.3429,0.9607,0.6917,0.4101,0.2952,0.7199,1.6992,0.8492,1.0374,0.4998,0.6105,1.2216,0.0036,6.0602,-0.029,0.5885,0.6433,0.5062,-0.0091,0.4693,?,?,?,?,?,DAVANTI_PANTALONI
0.1765,1.2771,1.1301,5.7464,-0.8745,0.1642,4.1049,2.0261,8.7551,-0.9541,0.3668,13.1097,3.6207,16.4503,-0.7861,3.9404,3.1574,1.7769,9.3879,0.0905,1.075,0.4811,0.0448,0.4476,0.0417,0.0931,0.5578,0.3121,0.636,0.5596,1.1402,2.0377,0.3111,0.0974,0.4045,0.3131,1.3001,4.152,0.6271,0.3703,-2.8694,0.5904,-4.5756,-7.7494,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6121,0.5322,0.9326,1.7523,0.0022,5.7604,-0.0969,0.2686,0.4052,0.7376,0.1213,0.3362,?,?,?,?,?,DAVANTI_PANTALONI
0.1725,1.9214,1.3861,9.4048,-0.6157,0.4929,2.408,1.5518,8.6917,-0.3849,0.1373,19.4161,4.4064,19.2085,-0.6158,4.2534,5.9456,2.4384,12.6011,0.0137,0.3499,1.2562,0.0406,3.5901,0.1159,0.0323,0.8933,0.3146,0.5685,0.3522,0.6364,1.8071,0.7979,0.099,0.3232,0.124,0.405,3.2656,1.4836,0.4896,-20.5504,0.33,-13.8519,-41.978,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7463,0.4525,0.6898,1.5243,0.0027,5.8436,-0.0699,0.1889,0.1147,0.59,0.3535,0.3761,?,?,?,?,?,DAVANTI_PANTALONI
0.6085,4.4372,2.1065,11.7898,-0.4848,-0.126,5.3659,2.3164,11.184,-1.3929,0.5354,17.7528,4.2134,17.1629,-0.8394,4.6079,6.9957,2.6449,11.26,0.0193,-4.8315,1.1366,0.1321,-0.2353,-0.0273,0.1162,0.9094,0.4999,0.7964,0.5498,0.8758,1.593,0.8269,0.2499,0.6343,0.3023,0.767,2.5377,0.5913,0.4915,-17.3964,0.8312,-29.422,-35.3969,1.6989,0.851,0.6916,0.5009,0.4071,0.8127,1.0542,0.6869,1.0471,0.6516,0.9933,1.5242,0.0041,6.6438,0.5098,0.6078,0.5298,0.524,0.0918,0.4331,?,?,?,?,?,DAVANTI_PANTALONI
0.9776,4.1799,2.0445,10.3951,-0.4805,-0.2193,5.0589,2.2492,8.4359,-0.752,0.0843,13.6541,3.6951,16.0502,-0.55,4.4037,4.5108,2.1239,11.9346,0.0477,-4.457,11.5896,0.222,-2.6003,-0.0498,0.0192,0.909,0.5533,0.9626,0.6087,1.059,1.7398,0.8263,0.3061,0.9267,0.3705,1.1215,3.027,0.9317,0.5923,-5.6463,0.6357,-6.0602,-9.5326,1.4583,0.6781,0.5603,0.465,0.3842,0.8263,1.2323,0.6477,0.871,0.5256,0.7068,1.3448,0.005,6.6452,0.2446,0.6356,0.5573,0.7236,0.0928,0.3979,?,?,?,?,?,DAVANTI_PANTALONI
0.1221,0.7341,0.8568,6.9885,-0.4438,-0.321,0.7953,0.8918,4.8197,-4.7527,0.2035,1.5823,1.2579,7.0005,-0.5285,1.3593,1.4235,1.1931,5.5523,0.0296,-0.3803,0.6,0.0898,-1.5777,-0.2362,0.1497,0.9608,0.6811,0.7181,0.7089,0.7474,1.0543,0.9231,0.464,0.5157,0.5026,0.5587,1.1116,0.5395,0.8874,-12.6968,1.6451,-23.5364,-14.3071,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,0.9983,1.2587,0.6885,0.868,1.2608,0.002,1.9525,0.1509,0.4606,0.4368,0.0686,-0.6192,0.2365,?,?,?,?,?,DAVANTI_PANTALONI
0.6819,6.7422,2.5966,15.7124,-0.6114,-0.8839,5.6236,2.3714,11.0179,-2.7449,-0.0043,5.8465,2.4179,15.8745,-1.1671,3.0796,9.9742,3.1582,11.3523,0.0139,-0.7714,-159.9277,0.2214,207.3115,-0.287,-0.0014,1.0949,1.0739,0.8222,0.9808,0.7509,0.7656,1.1989,1.1532,0.676,0.9619,0.5638,0.5862,0.7382,0.6973,-37.1606,0.9446,-50.3374,-53.2894,3.3141,1.3311,0.8469,0.4017,0.2556,0.6363,1.4261,0.9898,1.3841,0.6941,0.9705,1.3983,0.0059,4.5954,0.3669,0.6005,0.3405,0.0994,-0.5768,0.1051,?,?,?,?,?,DAVANTI_PANTALONI
0.6514,11.7601,3.4293,19.6378,-0.5254,-0.9934,11.9209,3.4527,15.8557,-1.3907,0.0491,13.7669,3.7104,21.335,-1.1522,5.4153,9.5364,3.0881,15.1055,0.0661,-0.6557,13.2661,0.1203,-20.2314,-0.1834,0.0091,0.9932,0.9242,1.1105,0.9305,1.1181,1.2015,0.9865,0.8542,1.2332,0.8659,1.25,1.4436,0.7333,0.5922,-6.3303,0.8075,-8.6322,-10.6895,1.9411,1.2987,0.796,0.669,0.4101,0.6129,1.2385,0.9205,1.3,0.7432,1.0497,1.4124,0.0061,8.3206,-0.0666,0.4569,0.5512,0.0561,-0.2798,0.2065,?,?,?,?,?,DAVANTI_PANTALONI
0.5301,4.749,2.1792,12.1369,-0.3855,-0.8277,7.3531,2.7117,13.1099,-1.4817,-0.4521,9.3845,3.0634,14.5694,-1.0363,4.4014,3.2851,1.8125,8.4423,0.1245,-0.6405,-1.1726,0.1204,1.8308,-0.1881,-0.1027,0.8036,0.7114,1.2023,0.8852,1.4961,1.6902,0.6458,0.506,1.4456,0.7835,2.2383,2.8567,0.4314,0.4555,-2.8128,1.0556,-6.5195,-6.1759,1.6582,1.2244,0.9084,0.7384,0.5478,0.742,0.9258,0.833,1.4376,0.8998,1.5529,1.7258,0.0058,6.5744,0.3361,0.127,0.1921,0.1343,-0.3102,0.1885,?,?,?,?,?,DAVANTI_PANTALONI
