@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-1.5778,5.9582,2.4409,8.0107,-2.3522,1.3744,22.5499,4.7487,14.4383,-0.8744,2.0111,13.5104,3.6757,12.4115,-0.4351,6.7975,4.2357,2.0581,8.6758,0.2089,-1.148,-0.7845,-0.2321,0.6834,0.2022,0.2959,0.514,0.6641,1.186,1.2919,2.3073,1.786,0.2642,0.441,1.4067,1.6691,5.3238,3.1897,0.8345,1.4937,-2.4531,1.7899,-2.9394,-1.6422,0.3102,0.2763,0.2179,0.8907,0.7023,0.7886,0.5548,0.6454,0.9233,1.1633,1.6642,1.4306,0.058,10.3622,-0.7909,0.4272,-0.4133,-0.7926,0.257,-0.0152,8.1905,0.3875,0.6225,2.5,0.7153,-1.5321,7.0956,2.6638,8.1344,-0.9908,4.2695,1.0906,1.0443,3.228,0.4902,-5.3459,1.9184,-0.3589,0.2337,0.5961,2.5507,0.0546,0.3553,6.5059,-1.5513,2.0232,-1.3042,2.1489,1.3866,0.6453,0.3073,0.7744,2.5199,0.1873,15.3025,-0.7877,-0.7964,0.982,TASCA_DESTRA_DAVANTI_PANTALONI
0.159,9.8396,3.1368,9.841,-2.1832,-2.9202,2.0462,1.4305,7.4124,-2.223,1.5583,29.2481,5.4081,17.3552,-0.406,6.5454,9.2723,3.045,12.5493,0.1235,-0.0545,0.1021,0.0243,-1.874,-0.4461,0.2381,2.1929,0.58,1.0301,0.2645,0.4698,1.776,4.8086,0.3364,1.0612,0.07,0.2207,3.1543,1.3202,1.3468,-3.8187,1.0202,-2.8926,-2.8354,1.3442,0.2505,0.2159,0.1863,0.1606,0.8622,1.3276,0.567,0.7842,0.4271,0.5907,1.383,0.0663,10.2234,-0.2308,-0.8803,-0.8386,-0.0314,-0.1411,0.8152,7.6235,1.5433,1.2423,4.087,0.5394,0.9634,10.4484,3.2324,10.2046,-0.7656,4.8924,1.2602,1.1226,3.1472,0.5019,7.9135,1.5582,0.1969,0.3843,1.1066,2.8794,0.1477,1.2246,8.2912,-1.0815,1.5089,-1.3952,1.5352,1.4042,0.9147,0.4005,1.2986,3.2424,0.1822,15.4967,-0.8314,-0.8206,0.9933,TASCA_DESTRA_DAVANTI_PANTALONI
-0.628,1.573,1.2542,4.5999,-1.0534,0.0782,2.8316,1.6827,7.0803,-0.7898,1.2872,13.306,3.6477,14.581,-0.4904,3.9921,3.8306,1.9572,8.2264,0.1648,-8.0296,-0.4879,-0.1573,0.0608,0.0196,0.3224,0.7453,0.3438,0.6408,0.4613,0.8598,1.8638,0.5555,0.1182,0.4106,0.2128,0.7392,3.4736,0.7553,0.4919,-1.4535,0.6512,-1.9244,-2.955,0.5663,0.229,0.2274,0.4044,0.4016,0.9932,0.6497,0.3155,0.5592,0.4856,0.8607,1.7725,0.0287,5.7544,-0.2001,0.3122,0.3659,-0.5546,-0.4143,0.7314,3.7952,3.4631,1.8609,5.4123,0.0085,6.2331,0.1225,0.35,1.0824,0.8402,6.2442,0.4034,0.6351,1.8458,0.7488,0.6089,0.6078,0.9982,5.3177,2.9299,0.551,28.2774,8.5846,0.3036,0.0082,0.0085,1.0346,0.8057,0.7429,0.922,5.0003,2.9322,0.5864,0.1921,16.2725,-0.8178,-0.9559,0.6853,TASCA_DESTRA_DAVANTI_PANTALONI
-0.8852,4.7964,2.1901,10.672,-1.1396,1.5548,2.016,1.4199,5.3401,-0.4671,1.819,22.8138,4.7764,17.7168,-0.5544,4.9914,11.2221,3.3499,12.4875,0.0573,-0.5693,-0.4866,-0.1773,0.8547,0.3115,0.3644,1.5425,0.4585,0.6538,0.2973,0.4238,1.4258,2.3792,0.2102,0.4274,0.0884,0.1796,2.0329,3.3432,0.8995,-7.4916,0.2691,-2.2409,-8.3285,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.9985,0.6024,0.8546,0.3014,0.4276,1.4188,0.051,7.5611,-0.1452,-0.6222,-0.5767,0.0797,0.5913,0.7114,2.5523,0.208,0.4561,1.6665,0.5324,4.6022,0.4126,0.6424,2.6113,0.5898,8.2216,0.3226,0.568,2.2865,0.7415,0.5546,0.3104,0.5598,0.71,0.803,1.1309,0.5042,0.6448,1.279,0.5055,0.2894,0.5724,0.5599,0.403,0.7197,0.6382,0.7288,1.1421,0.1952,15.3762,0.9539,-0.9626,-0.9935,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3332,2.4185,1.5552,7.4659,-1.5033,-0.8196,60.2479,7.762,24.683,-0.8672,1.0332,17.1217,4.1378,13.7663,-0.9374,8.1869,14.6138,3.8228,11.7035,0.192,0.4066,-0.3225,-0.0407,-0.7933,-0.1001,0.1262,0.2004,0.3758,0.4068,1.8758,2.0304,1.0824,0.0401,0.1413,0.1655,3.5188,4.1227,1.1716,0.3911,0.6731,-1.6126,1.7211,-4.1233,-2.3957,0.2256,0.4197,0.2059,1.8604,0.9127,0.4906,0.3025,0.5423,0.6379,1.793,2.109,1.1763,0.0272,11.6745,0.4445,0.2327,0.1358,0.8755,0.3286,0.1021,5.0904,3.3334,1.8258,5.5388,0.2566,0.292,17.7781,4.2164,11.2139,-1.054,6.9457,0.8821,0.9392,2.3048,0.7128,17.432,0.7329,0.042,0.433,1.9439,4.4893,0.1875,3.7788,20.1539,-0.3322,0.3341,-1.0058,1.3647,0.9283,0.6802,0.4939,2.4032,4.8656,0.1723,15.9069,-0.7169,-0.7564,0.9713,TASCA_DESTRA_DAVANTI_PANTALONI
-0.9423,4.2297,2.0566,7.5591,-2.2445,-0.0263,4.8664,2.206,10.1991,-0.7232,0.9783,26.7973,5.1766,17.3103,-0.5721,5.6677,5.6161,2.3698,11.1409,0.1257,35.8519,-0.9632,-0.1663,-0.0269,-0.0046,0.1726,0.9323,0.3973,0.8678,0.4261,0.9309,2.1844,0.8692,0.1578,0.7531,0.1816,0.8665,4.7715,1.2217,0.8301,-3.2654,0.6795,-2.6729,-3.9336,0.3936,0.2116,0.1828,0.5375,0.4645,0.8641,0.7412,0.4367,0.6785,0.5892,0.9155,1.5538,0.0272,8.2176,-0.2044,-0.7622,-0.6527,0.192,0.0456,0.6971,6.9091,3.2134,1.7926,5.4021,0.3803,1.7319,8.1682,2.858,9.199,-0.5624,5.7148,1.4577,1.2074,3.2655,0.5521,3.9893,1.209,0.3031,0.6272,1.4847,2.3671,0.3934,2.2044,5.6033,-1.0012,0.8238,-0.8228,1.4807,1.1958,0.8076,0.5873,1.6543,2.8171,0.1826,15.5347,-0.8953,-0.929,0.9758,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5111,14.2941,3.7807,14.4801,-1.073,-0.5417,82.3418,9.0742,36.058,-0.7644,1.9999,54.7255,7.3977,23.0486,-0.6116,11.8264,16.0514,4.0064,15.077,0.2879,0.9436,-0.2556,-0.0432,-0.2709,-0.0458,0.1691,0.4166,0.5111,0.9437,1.2266,2.2649,1.8465,0.1736,0.2612,0.8905,1.5046,5.1299,3.4094,0.4798,0.8569,-1.2299,1.786,-2.5634,-1.4353,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.4016,0.6282,0.9604,1.5644,2.3916,1.5287,0.022,17.4419,-0.2167,-0.5166,0.1137,-0.5745,-0.2733,0.4154,7.1288,1.6373,1.2796,3.7,0.5934,-4.3143,14.2966,3.7811,11.873,-1.7632,3.0344,1.5921,1.2618,4.1654,0.2596,-1.6523,2.3493,-1.4218,0.3384,1.0141,2.9966,0.1145,1.0284,8.9799,-0.7127,3.6974,-5.1881,2.1177,1.6175,0.7638,0.3116,0.8883,2.8504,0.0914,15.3432,0.6278,0.1722,0.8315,TASCA_DESTRA_DAVANTI_PANTALONI
0,6.5305,2.5555,10.0369,-1.0869,-1.8194,50.5961,7.1131,27.2276,-1.5335,0.0828,16.8831,4.1089,17.1265,-1.152,8.2908,8.5886,2.9306,14.0841,0.1746,-0,0.0003,0,-21.9747,-0.2194,0.01,0.3593,0.6219,0.872,1.7311,2.4272,1.4021,0.1291,0.3868,0.7604,2.9968,5.8911,1.9658,0.3172,0.5702,-1.7546,1.7977,-5.5318,-3.0772,0.4475,0.6043,0.2819,1.3504,0.6298,0.4664,0.3686,0.586,0.7126,1.5898,1.9332,1.216,0.0194,11.7815,0.2517,-0.0103,-0.5781,-0.2022,-0.4286,0.2517,5.2646,4.1848,2.0457,6.3527,0.2073,0.2134,30.6738,5.5384,15.5425,-1.0912,5.7426,0.5818,0.7628,2.1178,0.6868,24.6753,0.9168,0.0372,0.3694,2.6819,7.2609,0.1364,7.1926,52.7212,-0.2048,0.3577,-1.7464,1.0782,1.1852,1.0992,0.4087,2.9997,7.339,0.0829,15.9499,-0.3255,-0.0695,0.8873,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4438,14.8977,3.8597,17.5132,-0.9709,-2.628,76.4038,8.7409,33.1843,-0.9659,2.3653,44.8496,6.697,21.9283,-0.4823,11.5437,15.5915,3.9486,15.6105,0.2103,0.1689,-0.1876,-0.0384,-1.1111,-0.2277,0.2049,0.4416,0.5763,0.9775,1.3052,2.2137,1.696,0.195,0.3322,0.9555,1.7036,4.9004,2.8765,0.5292,1.2092,-2.0749,2.2851,-3.9211,-1.7159,0.5264,0.6007,0.4495,1.1411,0.8539,0.7483,0.5278,0.7987,1.1219,1.5133,2.1258,1.4047,0.0375,17.5034,0.2113,-0.6067,0.1018,-0.2759,-0.2023,0.2026,7.407,2.1141,1.454,4.4169,0.5136,-3.0575,19.4544,4.4107,13.1427,-1.4593,3.0483,1.113,1.055,3.2119,0.2855,-2.4226,2.4298,-1.003,0.3297,1.3782,4.1808,0.1087,1.8995,17.4792,-0.598,3.6332,-6.0757,1.6992,2.0199,1.1888,0.3361,1.3752,4.0919,0.0893,15.282,0.5914,0.0124,0.696,TASCA_DESTRA_DAVANTI_PANTALONI
3.5416,2.7653,1.6629,5.3719,0.127,-3.1192,5.937,2.4366,7.9276,-13.9785,2.7674,21.0136,4.5841,13.0831,-0.3883,7.1279,8.8393,2.9731,9.5303,0.137,-1.1354,1.2797,0.4969,-1.1271,-0.4376,0.3882,0.6825,0.3628,0.5593,0.5315,0.8195,1.5418,0.4658,0.1316,0.3128,0.2825,0.6717,2.3773,-0.1056,-0.2136,0.5166,2.0217,-4.8902,-2.4189,11.6264,0.653,0.5572,0.0562,0.0479,0.8533,0.6776,0.4106,0.5637,0.6059,0.8318,1.3728,0.4974,11.3055,-0.7643,-0.0168,0.6275,-0.3742,-0.8439,0.7097,2.6214,4.516,2.1251,6.0742,0.057,1.9528,0.6724,0.82,2.291,0.2283,7.563,0.3285,0.5731,1.5684,0.8174,1.3424,0.3466,0.2582,2.5915,3.7078,1.4307,6.7161,13.748,2.047,0.5418,0.0523,0.0965,2.1697,0.7499,0.3456,2.6513,3.873,1.4608,0.1873,12.1373,-0.9808,-0.7325,0.8393,TASCA_DESTRA_DAVANTI_PANTALONI
