@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.0126,5.5654,2.3591,11.0103,-0.7234,-1.8556,3.848,1.9616,10.8261,-9.4968,0.0253,13.5825,3.6854,14.7668,-0.8698,4.8423,2.992,1.7298,9.0941,0.0878,0.0068,-0.4972,-0.0026,-73.3838,-0.3832,0.0052,1.2026,0.6401,1.3638,0.5323,1.1341,2.1306,1.4463,0.4097,1.8601,0.2833,1.2861,4.5395,0.4719,0.6728,-5.2792,1.4258,-11.1881,-7.8467,6.1942,0.8089,0.6408,0.1306,0.1035,0.7921,1.017,0.7456,1.2107,0.7331,1.1905,1.6238,0.0191,6.9406,-0.1408,0.2766,0.1172,0.0392,-0.4236,-0.1172,-0.1664,0.5235,0.7235,3.6676,-1.7094,-1.2087,2.493,1.5789,5.3243,-8.1172,1.3218,2.4659,1.5703,4.97,-0.0035,0.1377,-0.1259,-0.9145,0.4582,0.4607,1.0055,0.21,0.2123,1.011,0.4881,135.2857,277.1429,2.318,0.2733,0.1179,0.6888,0.738,1.0713,0.0185,3.2816,0.3016,-0.6327,-0.7711,2.2887,0.4321,0.6574,2,0.5,DAVANTI_PANTALONI
2.869,4.817,2.1948,7.2578,-0.0386,-0.576,2.1617,1.4703,5.2871,-1.4476,-1.5985,8.5533,2.9246,10.2949,-1.8308,4.6746,4.7975,2.1903,7.0716,0.0768,-4.9809,-1.7948,0.6137,0.3603,-0.1232,-0.3419,1.4928,0.7505,1.002,0.5027,0.6713,1.3352,2.2284,0.5632,1.0041,0.2527,0.4506,1.7829,0.0862,0.0405,-0.458,0.4696,-5.3139,-11.3148,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.3727,0.705,1.0263,0.5136,0.7477,1.4558,0.1516,7.1196,0.1339,-0.5379,0.8627,0.0775,-0.087,-0.7032,0.4588,0.8454,0.9195,3.1655,-0.328,-1.7287,3.8637,1.9656,5.9901,?,0.4661,1.2349,1.1113,3.2278,-0.202,-0.2654,0.9844,-3.7093,0.4678,0.8274,1.7688,0.2188,0.6846,3.1287,0.1305,1.4414,11.0428,0,0.8876,0,0.5285,0.9807,1.8558,0.0212,3.3007,-0.8543,0.4273,-0.4503,1,0,0,0,1,DAVANTI_PANTALONI
0.3992,1.1956,1.0934,4.5431,-1.2142,-0.5487,2.5007,1.5813,6.5049,-0.7164,0.2267,0.3048,0.5521,2.5969,-0.485,1.9651,0.6512,0.807,4.0748,0.0769,-0.7275,1.7607,0.2031,-2.4201,-0.2792,0.1154,0.6915,1.9807,1.355,2.8645,1.9596,0.6841,0.4781,3.923,1.836,8.2052,3.84,0.468,0.9176,2.9373,-7.3376,3.2012,-7.9967,-2.498,0.5414,1.1732,0.4648,2.1671,0.8585,0.3962,0.6984,1.7494,1.1149,2.5048,1.5963,0.6373,0.0072,2.8976,-0.7139,-0.4744,-0.3746,0.4938,0.309,-0.0361,-0.1893,0.0227,0.1507,0.534,-21.7731,0.1621,0.0717,0.2678,1.0413,-0.6503,0.1479,0.0096,0.0979,0.4029,-0.115,-1.1675,-1.28,1.0964,0.5628,1.5392,2.7348,0.3168,2.3692,7.4789,1.2442,12.282,9.8717,0.0372,0.0649,1.7463,0.5128,1.3254,2.5847,0.0029,0.6178,-0.7358,0.2871,-0.2306,4.0472,0,0,0,1,DAVANTI_PANTALONI
0.9958,3.0638,1.7504,6.9454,-0.4434,-0.4625,4.4325,2.1054,7.2157,-1.4785,-0.1045,7.5418,2.7462,11.616,-1.8428,3.6629,2.8374,1.6844,7.7054,0.0955,-2.1533,-9.5304,0.2719,4.426,-0.1263,-0.0285,0.8314,0.6374,1.0391,0.7666,1.2499,1.6303,0.6912,0.4062,1.0798,0.5877,1.5622,2.658,0.4957,0.2834,-2.6219,0.5716,-5.2894,-9.2529,1.6528,1.1776,0.5648,0.7125,0.3417,0.4796,0.9625,0.5979,0.9014,0.6212,0.9365,1.5075,0.0109,5.5116,0.6805,0.6479,0.2754,0.7506,-0.1715,-0.3341,-0.0151,0.5906,0.7685,4.1856,-1.1708,-0.9948,1.7826,1.3351,5.4529,-4.6781,1.1756,0.4187,0.6471,2.4003,0.0376,0.0152,-0.0129,-0.8462,0.5756,1.1876,2.0632,0.3313,1.4104,4.257,0.5025,-24.0683,-47.8979,2.0078,0.7731,0.385,0.7676,1.7438,2.2718,0.0152,2.9813,0.0603,-0.5737,-0.6562,4.0949,0,0,0,1,DAVANTI_PANTALONI
0.9369,16.1132,4.0141,22.2114,-0.3693,-2.8275,18.8263,4.3389,16.6696,-2.1016,0.0407,18.7644,4.3318,20.262,-0.3568,6.2413,23.6238,4.8604,18.5016,0.0319,-0.3314,22.9983,0.1501,-69.4075,-0.453,0.0065,0.9251,0.9267,0.8259,1.0016,0.8927,0.8912,0.8559,0.8587,0.6821,1.0033,0.7969,0.7943,0.5304,1.1244,-9.829,2.12,-18.532,-8.7416,3.0181,1.0862,0.8488,0.3599,0.2812,0.7814,1.3324,1.0962,1.2005,0.8227,0.901,1.0952,0.0307,9.7043,0.137,0.7495,0.4772,-0.1104,-0.6767,0.5869,-0.31,0.5522,0.7431,3.3176,-1.83,-1.1063,4.6482,2.156,9.7081,-1.3821,1.5415,4.3784,2.0925,7.2258,-0.1465,0.2802,-0.2011,-0.7177,0.3447,0.3551,1.0303,0.1188,0.1261,1.0616,0.3809,2.3236,6.101,0.2877,0.186,0.6466,0.3417,0.4591,1.3435,0.0196,4.1393,-0.0122,-0.2636,0.1198,49.0102,134.0101,11.5763,33,0.5417,DIETRO_PANTALONI
0.3869,11.9615,3.4585,18.5595,-0.5763,-3.0118,13.294,3.6461,15.4098,-2.448,0.5413,17.5831,4.1932,19.5851,-0.4182,6.2032,13.8722,3.7245,15.6835,0.0984,-0.1285,0.7148,0.0624,-5.5644,-0.4855,0.0873,0.9486,0.8248,0.9286,0.8695,0.9789,1.1258,0.8998,0.6803,0.8623,0.7561,0.9583,1.2675,0.6202,1.175,-3.9646,1.8945,-6.3924,-3.3742,2.6345,0.8526,0.6769,0.3236,0.2569,0.7939,1.2044,0.9476,1.1834,0.7868,0.9825,1.2488,0.0321,9.5829,0.1354,0.5362,0.2606,-0.0915,-0.6799,0.5126,-0.2593,0.4428,0.6654,2.6799,-1.9156,-0.9234,3.3529,1.8311,7.9596,-0.6985,1.7404,7.5227,2.7428,9.7476,-0.2942,0.2808,-0.149,-0.5306,0.3634,0.2426,0.6676,0.1321,0.0589,0.4457,0.5379,0.7947,1.4773,0.1961,0.122,0.6222,0.3367,0.2749,0.8166,0.0205,4.4633,0.4113,0.0747,0.6069,123.2474,1995.5894,44.672,121,0.3795,DIETRO_PANTALONI
2.4015,21.3202,4.6174,17.8909,-0.1971,-3.7332,19.9955,4.4716,17.8282,-2.3201,1.5762,42.9451,6.5533,25.3505,-0.3167,8.1805,39.5286,6.2872,25.049,0.0079,-0.6433,1.5236,0.2936,-2.3685,-0.4564,0.1927,1.0326,0.7046,0.7344,0.6824,0.7112,1.0423,1.0663,0.4965,0.5394,0.4656,0.5058,1.0864,0.2364,0.483,-14.8622,2.043,-62.8609,-30.7687,2.7832,0.7763,0.592,0.2789,0.2127,0.7626,1.0035,0.7057,0.7142,0.7033,0.7117,1.012,0.0486,12.2301,-0.0449,0.8027,0.8124,-0.0752,-0.5395,0.7554,-0.3375,0.5986,0.7737,3.8281,-1.7579,-0.7618,6.9789,2.6418,10.4665,-0.9257,1.824,8.5802,2.9292,9.6985,-0.1989,0.443,-0.185,-0.4176,0.2929,0.2641,0.9019,0.0858,0.0698,0.8134,0.485,1.5165,3.1271,0.2554,0.1716,0.6719,0.3658,0.3947,1.0792,0.0207,4.9153,0.7113,0.0144,0.3298,234.7629,17063.7617,130.6283,570,0.1231,DIETRO_PANTALONI
1.0949,18.0455,4.248,19.6808,-0.3204,-2.7962,18.8332,4.3397,16.8686,-6.6903,0.9473,27.5267,5.2466,21.6284,-0.5722,6.8671,27.1625,5.2118,20.0892,0.0631,-0.3916,1.1558,0.1594,-2.9518,-0.4072,0.1379,0.9789,0.8097,0.8151,0.8272,0.8327,1.0067,0.9582,0.6556,0.6644,0.6842,0.6934,1.0134,0.3254,0.6067,-3.5272,1.8642,-10.8386,-5.8141,6.7952,1.0835,0.6951,0.1595,0.1023,0.6415,1.1667,0.91,0.9797,0.7799,0.8397,1.0766,0.0325,10.2976,-0.4803,0.6092,0.7582,-0.3241,-0.7751,0.6717,-0.1199,2.3456,1.5315,7.2754,-3.5079,-1.1696,2.0077,1.4169,6.1331,-2.3873,1.7092,8.2888,2.879,10.3395,-0.1118,0.1025,-0.0702,-0.6843,1.0809,0.532,0.4922,1.1683,0.283,0.2422,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0214,4.0667,0.2468,-0.6037,-0.3516,429.9897,3820.7114,61.8119,208,0.5419,DIETRO_PANTALONI
0.0373,5.6678,2.3807,10.9203,-0.6521,-0.5029,4.7043,2.1689,10.9141,-0.9453,-0.4071,5.1693,2.2736,13.1892,-0.9039,3.548,3.373,1.8366,7.7795,0.0907,-0.0741,-0.0916,0.0105,1.2353,-0.1417,-0.1147,1.0976,1.0471,1.2963,0.954,1.181,1.238,1.2048,1.0964,1.6803,0.91,1.3947,1.5325,0.8127,0.6884,-5.5549,0.847,-6.8347,-8.0696,1.1781,0.9541,0.7726,0.8099,0.6558,0.8097,1.0006,0.828,1.4037,0.8275,1.4029,1.6954,0.007,5.3035,-0.2154,0.4045,0.1607,-0.1438,-0.1168,-0.0173,-0.0729,0.4636,0.6809,3.2225,-1.5483,-0.3682,3.4679,1.8622,6.5977,-1.3525,-1.3921,0.8538,0.924,3.7267,-37.4251,0.198,0.0524,0.2645,0.3656,0.7369,2.0154,0.1337,0.543,4.0617,0.5162,0.5394,1.045,0.4509,13.039,28.918,0.4884,0.8647,1.7704,0.0153,3.5157,0.1162,0.0403,0.3583,2.2766,1.2852,1.1337,4,0,DAVANTI_PANTALONI
-0.1139,1.5048,1.2267,4.9205,-0.5888,-0.1455,1.152,1.0733,3.627,-0.7163,-0.5736,0.3626,0.6021,2.5653,-4.217,1.6965,0.5044,0.7102,2.5691,0.208,0.7827,0.1986,-0.0671,0.2537,-0.0858,-0.3381,1.1429,2.0372,1.7273,1.7825,1.5113,0.8479,1.3062,4.1503,2.9837,3.1773,2.2841,0.7189,1.2046,0.8794,-2.7028,0.73,-2.2437,-3.0735,1.4655,6.2983,0.9547,4.2977,0.6515,0.1516,1.3566,1.9181,1.9152,1.4139,1.4118,0.9985,0.0065,2.573,0.2611,0.4704,0.1953,-0.635,0.7191,-0.4065,0.7464,0.0244,0.1563,0.6665,0.3994,0.6127,0.023,0.1517,0.5511,0.3556,-0.1762,0.023,0.1516,0.7156,-5.7814,1.2182,-4.2356,-3.4769,1.0302,1.0311,1.0009,1.0613,1.0631,1.0017,1.4572,-0.7264,-0.4985,1.2975,10.5156,8.1048,1.2093,0.9313,0.7701,0.0106,1.5448,0.6237,0.1397,0.2778,1.3011,0.2104,0.4587,1,0.5,DAVANTI_PANTALONI
