@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
2.6282,1.3389,1.1571,10.3451,0.0286,-8.4472,1.8284,1.3522,15.4701,?,2.6282,1.3389,1.1571,10.3451,0.0286,9.3214,2.7861,1.6692,16.6442,0.194,-0.3111,1,0.2819,-3.2141,-0.9062,0.2819,0.8558,1,0.6932,1.1686,0.8101,0.6932,0.7323,1,0.4806,1.3655,0.6563,0.4806,-0.0197,1,0.0761,-50.7608,-3.8618,0.0761,0,1,0.5157,0,0,0.5157,0.6687,1,0.6215,1.4954,0.9295,0.6215,0.0313,13.7035,-0.3773,1,0.7617,-0.3773,-0.8795,0.7617,?,?,?,?,?,DIETRO_PANTALONI
2.4535,16.8674,4.107,27.8182,-0.1424,2.7982,6.8601,2.6192,18.0385,-0.1963,2.4535,16.8674,4.107,27.8182,-0.1424,6.5436,17.6458,4.2007,32.3019,0.0625,0.8768,1,0.3749,1.1405,0.4276,0.3749,1.568,1,0.9777,0.6377,0.6235,0.9777,2.4588,1,0.9559,0.4067,0.3888,0.9559,1.1712,1,-1.6105,0.8538,-1.3751,-1.6105,1.615,1,0.7068,0.6192,0.4376,0.7068,1.5422,1,0.8612,0.6484,0.5584,0.8612,0.0156,9.749,-0.253,1,0.9138,-0.253,-0.1056,0.9138,?,?,?,?,?,DAVANTI_PANTALONI
9.1481,0.029,0.1704,2.6624,0.7408,3.7507,0.058,0.2408,3.93,0.2806,9.1481,0.029,0.1704,2.6624,0.7408,13.4715,0.079,0.2812,4.6342,0.7011,2.439,1,0.6791,0.41,0.2784,0.6791,0.7078,1,0.6062,1.4129,0.8565,0.6062,0.5009,1,0.3675,1.9964,0.7336,0.3675,4.9661,1,0.7,0.2014,0.141,0.7,1.8807,1,0.6625,0.5317,0.3523,0.6625,0.6775,1,0.5745,1.4761,0.848,0.5745,0.0473,22.0469,0.7054,1.0017,0.9859,0.7054,0.8139,0.9859,?,?,?,?,?,DAVANTI_PANTALONI
2.2443,11.8656,3.4446,20.9199,-0.1572,1.2238,16.7623,4.0942,15.8914,-0.8473,2.2443,11.8656,3.4446,20.9199,-0.1572,6.2313,13.2358,3.6381,23.9997,0.0633,1.8339,1,0.3602,0.5453,0.1964,0.3602,0.8414,1,0.9468,1.1886,1.1254,0.9468,0.7079,1,0.8965,1.4127,1.2664,0.8965,0.3899,1,-1.7538,2.5645,-4.4976,-1.7538,2.1015,1,0.7056,0.4759,0.3358,0.7056,1.3164,1,0.8717,0.7596,0.6621,0.8717,0.0119,9.5186,-0.6204,1,0.9197,-0.6204,-0.4925,0.9197,?,?,?,?,?,DAVANTI_PANTALONI
8.0596,0.0136,0.1167,0.8165,0.9026,5.6038,0.0232,0.1522,1.7008,0.7367,8.0596,0.0136,0.1167,0.8165,0.9026,12.7023,0.0212,0.1458,1.7647,0.8692,1.4382,1,0.6345,0.6953,0.4412,0.6345,0.7666,1,0.8005,1.3045,1.0442,0.8005,0.5876,1,0.6408,1.7017,1.0904,0.6408,1.5894,1,0.6447,0.6292,0.4056,0.6447,1.2973,1,0.6209,0.7709,0.4786,0.6209,0.4801,1,0.4627,2.0831,0.9638,0.4627,0.0444,21.7231,-0.2589,1.0044,0.8978,-0.2589,0.1954,0.8978,?,?,?,?,?,DAVANTI_PANTALONI
8.8974,0.0041,0.0643,0.3452,0.962,4.4741,0.005,0.0707,0.407,0.9134,8.8974,0.0041,0.0643,0.3452,0.962,13.3548,0.0054,0.0734,0.4147,0.9695,1.9887,1,0.6662,0.5029,0.335,0.6662,0.9096,1,0.8762,1.0994,0.9633,0.8762,0.8273,1,0.7677,1.2087,0.9279,0.7677,2.0334,1,0.6635,0.4918,0.3263,0.6635,1.9307,1,0.6686,0.5179,0.3463,0.6686,0.848,1,0.8324,1.1793,0.9816,0.8324,0.0469,22.2688,-0.6112,1.0066,0.9772,-0.6112,-0.3864,0.9772,?,?,?,?,?,DAVANTI_PANTALONI
-2.5251,15.9191,3.9899,14.0588,-13.9796,2.0654,0.7204,0.8488,3.869,-0.0802,-2.5251,15.9191,3.9899,14.0588,-13.9796,5.4429,19.9509,4.4666,17.7323,0.0608,-1.2226,1,-0.4639,-0.818,0.3795,-0.4639,4.7009,1,0.8933,0.2127,0.19,0.8933,22.0982,1,0.7979,0.0453,0.0361,0.7979,45.6667,1,-11.4373,0.0219,-0.2505,-11.4373,0.262,1,0.0497,3.8163,0.1897,0.0497,3.6337,1,0.7928,0.2752,0.2182,0.7928,0.0315,8.2773,0.2474,1,-0.982,0.2474,-0.1521,-0.982,?,?,?,?,?,DAVANTI_PANTALONI
5.2914,28.0987,5.3008,46.6386,-1.5943,0.2342,2.5489,1.5965,7.4434,-1.1538,5.2914,28.0987,5.3008,46.6386,-1.5943,9.5795,23.0331,4.7993,40.1536,0.0094,22.5941,1,0.5524,0.0443,0.0244,0.5524,3.3202,1,1.1045,0.3012,0.3327,1.1045,11.0239,1,1.2199,0.0907,0.1107,1.2199,7.1877,1,-75.2995,0.1391,-10.4761,-75.2995,5.2019,1,0.4435,0.1922,0.0853,0.4435,6.2657,1,1.1615,0.1596,0.1854,1.1615,0.026,14.6146,-0.1509,1,-0.0611,-0.1509,-0.2379,-0.0611,?,?,?,?,?,DAVANTI_PANTALONI
6.1254,0.0489,0.2211,1.0878,0.8338,7.7108,0.0325,0.1801,0.9248,0.8883,6.1254,0.0489,0.2211,1.0878,0.8338,11.6014,0.0345,0.1857,1.0638,0.9112,0.7944,1,0.528,1.2588,0.6646,0.528,1.2276,1,1.1907,0.8146,0.97,1.1907,1.5069,1,1.4179,0.6636,0.9409,1.4179,0.7419,1,0.4995,1.3479,0.6733,0.4995,0.7904,1,0.5459,1.2652,0.6907,0.5459,1.1763,1,1.0226,0.8501,0.8693,1.0226,0.0413,19.9615,-0.6014,1,0.8575,-0.6014,-0.1008,0.8575,?,?,?,?,?,DAVANTI_PANTALONI
7.5122,0.01,0.1002,0.6165,0.9216,6.4439,0.0062,0.079,0.5332,0.9205,7.5122,0.01,0.1002,0.6165,0.9216,12.4257,0.0163,0.1278,0.744,0.942,1.1658,1,0.6046,0.8578,0.5186,0.6046,1.2687,1,0.7842,0.7882,0.6181,0.7842,1.6095,1,0.615,0.6213,0.3821,0.615,1.1749,1,0.5996,0.8511,0.5103,0.5996,1.1734,1,0.6128,0.8522,0.5222,0.6128,1.1562,1,0.8286,0.8649,0.7166,0.8286,0.0436,21.4682,-0.0077,0.9947,0.9427,-0.0077,0.313,0.9427,?,?,?,?,?,DAVANTI_PANTALONI
-6.8085,9.9114,3.1482,21.6971,-6.9814,-6.9258,6.3401,2.518,14.2775,?,-6.8085,9.9114,3.1482,21.6971,-6.9814,12.4301,12.3328,3.5118,24.0895,0.11,0.9831,1,-0.5477,1.0172,-0.5572,-0.5477,1.2503,1,0.8965,0.7998,0.717,0.8965,1.5633,1,0.8037,0.6397,0.5141,0.8037,1.3293,1,-6.3714,0.7523,-4.7931,-6.3714,0,1,0.1004,0,0,0.1004,1.5197,1,0.9007,0.658,0.5927,0.9007,0.0408,20.6961,-0.1724,1,-0.862,-0.1724,-0.2584,-0.862,?,?,?,?,?,DIETRO_PANTALONI
3.8267,14.7378,3.839,17.3124,-0.1647,3.1332,6.6946,2.5874,11.5472,-0.2836,3.8267,14.7378,3.839,17.3124,-0.1647,6.9595,26.8414,5.1809,22.1292,0.0187,1.2213,1,0.5499,0.8188,0.4502,0.5499,1.4837,1,0.741,0.674,0.4994,0.741,2.2015,1,0.5491,0.4542,0.2494,0.5491,0.9598,1,-5.7967,1.0419,-6.0395,-5.7967,1.6522,1,0.6591,0.6052,0.3989,0.6591,1.4993,1,0.7823,0.667,0.5218,0.7823,0.0226,11.2246,0.4631,1,0.972,0.4631,0.5907,0.972,?,?,?,?,?,DIETRO_PANTALONI
1.4763,21.0557,4.5886,23.1824,-0.3235,2.1636,8.5833,2.9297,17.7814,-0.4247,1.4763,21.0557,4.5886,23.1824,-0.3235,6.2072,21.2053,4.6049,24.6749,0.0042,0.6823,1,0.2378,1.4655,0.3486,0.2378,1.5662,1,0.9965,0.6385,0.6362,0.9965,2.4531,1,0.9929,0.4076,0.4048,0.9929,1.0691,1,-54.5254,0.9353,-50.9999,-54.5254,1.4034,1,0.7069,0.7126,0.5037,0.7069,1.3037,1,0.9395,0.767,0.7206,0.9395,0.0109,9.593,0.0892,1,0.8717,0.0892,0.2097,0.8717,?,?,?,?,?,DIETRO_PANTALONI
5.9438,9.3018,3.0499,17.0911,0.0568,5.6113,13.5717,3.684,19.0549,-0.4189,5.9438,9.3018,3.0499,17.0911,0.0568,10.8526,16.54,4.0669,21.5273,0.16,1.0593,1,0.5477,0.9441,0.517,0.5477,0.8279,1,0.7499,1.2079,0.9058,0.7499,0.6854,1,0.5624,1.459,0.8205,0.5624,-0.183,1,0.2511,-5.4649,-1.3723,0.2511,1.3493,1,0.7071,0.7411,0.5241,0.7071,0.8969,1,0.7939,1.1149,0.8851,0.7939,0.0362,17.9593,-0.0023,1,0.9218,-0.0023,0.3246,0.9218,?,?,?,?,?,DIETRO_PANTALONI
9.0544,0.0203,0.1426,0.926,0.9009,4.1706,0.0351,0.1874,1.2794,0.7511,9.0544,0.0203,0.1426,0.926,0.9009,13.4689,0.0242,0.1556,1.1053,0.9201,2.171,1,0.6722,0.4606,0.3097,0.6722,0.7609,1,0.9161,1.3142,1.2039,0.9161,0.579,1,0.8393,1.727,1.4495,0.8393,2.1814,1,0.6615,0.4584,0.3033,0.6615,1.8186,1,0.6756,0.5499,0.3715,0.6756,0.7237,1,0.8378,1.3817,1.1576,0.8378,0.0504,22.2794,-0.6807,0.9985,0.956,-0.6807,-0.4356,0.956,?,?,?,?,?,DIETRO_PANTALONI
8.9791,0.0165,0.1283,0.7748,0.9175,4.3678,0.01,0.1,0.5046,0.8908,8.9791,0.0165,0.1283,0.7748,0.9175,13.429,0.0286,0.169,1.0576,0.9245,2.0557,1,0.6686,0.4864,0.3253,0.6686,1.283,1,0.7592,0.7795,0.5917,0.7592,1.646,1,0.5763,0.6075,0.3502,0.5763,2.0932,1,0.6659,0.4777,0.3181,0.6659,2.0323,1,0.6709,0.4921,0.3301,0.6709,1.5354,1,0.7326,0.6513,0.4772,0.7326,0.0471,22.3259,-0.1773,0.9973,0.9799,-0.1773,0.012,0.9799,?,?,?,?,?,DIETRO_PANTALONI
8.3241,0.0368,0.1919,0.9414,0.8934,5.4767,0.0421,0.2052,0.9438,0.8412,8.3241,0.0368,0.1919,0.9414,0.8934,12.9864,0.0452,0.2127,1.0699,0.9213,1.5199,1,0.641,0.6579,0.4217,0.641,0.9355,1,0.9025,1.069,0.9647,0.9025,0.8751,1,0.8145,1.1428,0.9307,0.8145,1.5781,1,0.6298,0.6337,0.399,0.6298,1.4859,1,0.6494,0.673,0.437,0.6494,0.9975,1,0.8799,1.0025,0.8821,0.8799,0.0467,22.1249,-0.537,0.9997,0.9413,-0.537,-0.2152,0.9413,?,?,?,?,?,DIETRO_PANTALONI
9.0255,0.0394,0.1985,1.0652,0.8872,4.2333,0.2239,0.4731,2.9005,0.5575,9.0255,0.0394,0.1985,1.0652,0.8872,13.4574,0.0417,0.2043,1.2671,0.9085,2.132,1,0.6707,0.469,0.3146,0.6707,0.4196,1,0.972,2.383,2.3162,0.972,0.1761,1,0.9447,5.6789,5.3648,0.9447,2.2919,1,0.666,0.4363,0.2906,0.666,1.4403,1,0.682,0.6943,0.4735,0.682,0.3673,1,0.8406,2.7229,2.289,0.8406,0.0472,22.2843,-0.6494,1.0006,0.7374,-0.6494,0.0316,0.7374,?,?,?,?,?,DIETRO_PANTALONI
