@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.9379,27.7555,5.2684,27.1962,-2.2666,-0.7912,4.4304,2.1048,11.5056,-2.5225,0.9113,5.9078,2.4306,12.5648,-0.823,5.5379,9.7615,3.1243,18.5072,0.05,-1.1855,1.0292,0.1694,-0.8682,-0.1429,0.1646,2.503,2.1675,1.6862,0.866,0.6737,0.778,6.2648,4.6981,2.8434,0.7499,0.4539,0.6052,2.2903,3.3266,-19.3648,1.4525,-8.4551,-5.8212,2.5489,1.208,0.4273,0.4739,0.1677,0.3538,2.3637,2.1645,1.4695,0.9157,0.6217,0.6789,0.0159,7.9447,-0.0885,0.0581,-0.4078,-0.1299,-0.1441,-0.206,5.9898,0.6628,0.8141,3.0432,0.6073,-2.7774,0.7724,0.8789,3.762,?,-7.1037,0.5514,0.7425,8.1313,?,-2.1566,-0.8432,0.391,0.9263,1.0964,1.1836,0.8581,1.2021,1.4009,-1.2511,-0.5788,0.4627,0,0,1,0.8089,0.3743,0.4627,0.101,15.871,0.1023,0.9225,-0.2759,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.401,1.7757,1.3325,4.5547,0.0344,0.5012,0.3883,0.6231,2.6699,-0.8752,-2.708,5.4285,2.3299,6.5703,-43.8533,3.9393,5.4234,2.3288,6.7263,0.035,4.791,-0.8866,0.6095,-0.1851,0.1272,-0.6874,2.1386,0.5719,0.5722,0.2674,0.2676,1.0005,4.5735,0.3271,0.3274,0.0715,0.0716,1.0009,-0.1301,-0.0252,0.6643,0.194,-5.1066,-26.3255,3.3128,32.2,0.6767,9.72,0.2043,0.021,1.7059,0.6932,0.6771,0.4064,0.3969,0.9768,0.1661,5.8213,0.4838,-0.5066,0.7379,0.2206,-0.0253,-0.9498,2.3617,3.6759,1.9173,5.5215,0.0255,2.9124,0.2384,0.4883,1.4082,0.6173,7.7997,3.4366,1.8538,5.9609,0.366,0.8109,0.3028,0.3734,3.9265,1.0342,0.2634,15.4174,1.0696,0.0694,0.0636,0.042,0.66,1.5398,0.6026,0.3914,3.9209,0.9263,0.2362,0.0995,13.0738,0.983,-0.9648,-0.9067,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1929,0.2863,0.5351,4.5504,-0.4286,0.0515,0.4701,0.6856,3.5972,-3.6527,-0.5595,0.4089,0.6394,4.4754,-4.2033,0.9264,0.6599,0.8124,4.7378,0.0441,3.7446,-0.3448,0.2082,-0.0921,0.0556,-0.604,0.7804,0.8368,0.6586,1.0722,0.844,0.7871,0.6091,0.7002,0.4338,1.1497,0.7123,0.6196,0.4834,0.3776,-6.2437,0.7811,-12.9161,-16.535,4.1198,3.7033,0.6426,0.8989,0.156,0.1735,1.265,1.0168,0.9604,0.8038,0.7592,0.9446,0.0059,1.3917,-0.2724,-0.6821,0.728,0.2454,-0.6559,-0.788,2.1741,0.1849,0.43,2.2419,0.4672,6.2724,0.1983,0.4453,2.3922,0.6457,-7.193,0.0435,0.2086,7.7157,?,0.3466,-0.3023,-0.872,0.9656,2.0617,2.1352,0.9323,4.2505,4.5592,0.4509,-0.2547,-0.565,0.6232,0,0,0.9372,0.2906,0.31,0.0969,15.6395,-0.9656,-0.8051,0.9284,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1156,0.0105,0.1023,0.4935,-0.5145,-0.2821,0.0153,0.1235,0.6702,-7.5602,0.1581,0.0123,0.111,0.5747,-0.1751,0.3801,0.0115,0.1073,0.6028,0.115,-0.4098,0.7314,0.3041,-1.7848,-0.7422,0.4158,0.8285,0.9221,0.9541,1.1129,1.1517,1.0348,0.6864,0.8502,0.9104,1.2387,1.3263,1.0708,0.2833,1.958,-2.1396,6.9126,-7.5536,-1.0927,4.1625,0.6664,0.4784,0.1601,0.1149,0.7179,0.7364,0.8588,0.8187,1.1662,1.1117,0.9533,0.0034,0.5767,0.0314,0.0219,0.2548,0.1122,-0.7578,0.4203,-7.9466,0.001,0.0321,7.9965,?,5.4341,0.0023,0.0476,0.1638,0.9704,1.8854,0,0.0038,0.0136,0.9928,-1.4624,-4.2147,2.8821,0.675,8.4254,12.4825,0.4556,70.9874,155.812,-1.4911,-4.2556,2.854,0,0,2.92,48.831,587.0433,12.0219,0.0981,15.2661,0.9823,-0.5213,-0.5409,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.303,2.7597,1.6612,6.5809,-1.49,0.0378,1.6418,1.2813,5.9902,-0.8546,-0.6414,3.7619,1.9396,11.0348,-1.5394,2.5834,1.9942,1.4122,6.2623,0.066,8.0146,-0.4724,0.1173,-0.0589,0.0146,-0.2483,1.2965,0.8565,1.1764,0.6606,0.9074,1.3735,1.6809,0.7336,1.3839,0.4364,0.8233,1.8864,1.4267,0.5887,-8.9038,0.4126,-6.241,-15.1245,0.8182,0.6082,0.3942,0.7433,0.4818,0.6481,1.0986,0.5964,1.0509,0.5429,0.9565,1.7621,0.007,3.8101,0.2832,-0.3789,-0.3566,-0.0512,-0.1131,-0.1162,3.6484,10.5295,3.2449,8.6382,0.1104,2.2041,0.3157,0.5618,2.3521,0.328,7.3189,13.6543,3.6952,12.1508,-0.2727,1.6552,0.4985,0.3012,5.7756,0.8782,0.152,33.357,0.7712,0.0231,0.9335,-0.4116,-0.4409,2.7743,1.017,0.3666,3.6726,0.7109,0.1936,0.0839,13.495,-0.2111,-0.9312,0.5065,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1556,3.1738,1.7815,7.5097,-0.9109,-0.2549,3.0601,1.7493,8.3559,-1.8472,-0.3323,3.3029,1.8174,8.5576,-1.9618,2.8348,1.7005,1.304,5.8952,0.0529,-0.6105,-0.4682,0.0549,0.767,-0.0899,-0.1172,1.0184,0.9803,1.3662,0.9625,1.3415,1.3937,1.0372,0.9609,1.8664,0.9265,1.7995,1.9423,0.6603,0.6316,-10.8683,0.9564,-16.4586,-17.2089,1.3391,1.3602,0.6314,1.0157,0.4715,0.4642,0.8987,0.8776,1.2739,0.9764,1.4174,1.4516,0.0044,4.3216,0.5373,-0.2942,-0.2593,0.0899,-0.436,-0.2958,2.2903,4.9465,2.2241,5.6985,-0.0666,7.7339,0.6256,0.7909,2.3887,0.7352,3.3087,14.6558,3.8283,10.8355,-0.501,0.2961,0.6922,2.3374,2.812,0.581,0.2066,7.9074,0.3375,0.0427,-0.0536,0.0983,-1.834,0.5922,0.7401,1.2497,2.3856,0.5259,0.2205,0.0863,14.6165,0.7313,-0.9728,-0.5943,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0009,0.0064,0.0802,0.3751,-0.9807,-0.2879,0.0043,0.0654,0.4143,?,0.054,0.0086,0.0929,0.4916,-1.0324,0.3173,0.0045,0.067,0.2868,0.3725,-0.0032,0.0173,0.0029,-5.3304,-0.9074,0.1702,1.2261,0.8633,1.1971,0.7041,0.9764,1.3867,1.5033,0.7453,1.4332,0.4958,0.9534,1.9229,0.4483,0.7437,-1.0908,1.6589,-2.4334,-1.4668,0,0.7829,0.4143,0,0,0.5293,0.9054,0.763,1.3079,0.8427,1.4446,1.7142,0.0029,0.4422,0.5174,-0.0393,-0.4578,-0.059,-0.9361,0.1305,-7.7193,0,0.0063,7.7329,?,5.9094,0.0001,0.0076,0.0296,0.995,-1.2894,0.0001,0.0092,1.3035,?,-1.3063,5.9869,-4.5832,0.8316,0.6883,0.8277,0.6915,0.4737,0.6851,-1.3124,5.9325,-4.5203,0,1,0,261.6009,5.9325,0.0227,0.0981,14.918,1.4179,-0.4727,-0.1898,71.6841,0,0.0001,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.0446,8.1359,2.8524,12.6418,-0.4268,-1.344,7.2434,2.6914,14.59,-1.4878,-0.3464,9.1257,3.0209,11.6129,-0.8547,4.5782,6.5627,2.5618,10.1564,0.0139,-0.7772,-3.0153,0.2282,3.8796,-0.2936,-0.0757,1.0598,0.9442,1.1134,0.8909,1.0506,1.1792,1.1232,0.8915,1.2397,0.7937,1.1037,1.3905,0.4334,0.7067,-26.3579,1.6305,-60.8144,-37.2983,1.5108,1.415,0.8602,0.9366,0.5694,0.6079,0.8665,1.0886,1.2447,1.2564,1.4365,1.1434,0.0172,7.0283,0.128,0.471,0.4956,-0.0579,-0.3896,0.0667,2.6213,14.1936,3.7674,13.7617,-0.4322,6.4485,5.7208,2.3918,8.5927,0.0896,4.3963,8.4733,2.9109,9.6188,-0.2999,0.4065,0.5963,1.4668,1.5751,1.2943,0.8217,2.481,1.6751,0.6752,-4.9135,1.8715,-0.3809,1.0181,1.2985,1.2755,1.6016,1.4307,0.8933,0.0815,14.2294,-0.9143,-0.371,0.2015,73.1359,0,0.0001,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0204,0.0145,0.1206,0.7179,-0.8215,-0.0425,0.0312,0.1766,1.2144,-1.0524,-0.6235,0.0116,0.1079,0.8309,?,0.6609,0.0116,0.1079,0.5606,0.391,-0.4798,-0.0327,0.0308,0.0681,-0.0642,-0.9435,0.6825,1.117,1.1177,1.6366,1.6376,1.0006,0.4658,1.2478,1.2492,2.6786,2.6817,1.0012,0.52,0.3897,-0.8994,0.7494,-1.7298,-2.3082,0.6661,0,0.4281,0,0.6427,0,0.5911,0.864,1.2805,1.4615,2.1662,1.4821,0.0063,0.8545,0.3451,0.0154,0.0836,0.0908,-0.0645,-0.8192,5.5446,0.0009,0.0297,0.1388,0.9754,-7.6523,0.0003,0.0164,7.6964,?,2.6322,0.0071,0.0844,0.41,0.8484,-0.7246,2.1065,-2.9072,1.8071,0.3515,0.1945,3.2657,0.1236,0.0378,-0.7139,2.3943,-3.3537,0,2.0827,0,0.018,0.3384,18.7718,0.0971,15.8291,-0.1174,-0.8056,0.6508,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
