@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.0057,1.0628,1.0309,11.8389,-0.998,-6.2865,6.5241,2.5542,16.5242,?,9.5468,1.8801,1.3712,14.253,0.1986,11.6157,5.2042,2.2813,18.8476,0.1974,0.0009,-0.0006,-0.0005,-0.6585,-0.5412,0.8219,0.4036,0.7518,0.4519,1.8628,1.1197,0.6011,0.1629,0.5653,0.2042,3.47,1.2536,0.3613,0.3579,-1.6739,-1.2759,-4.6775,-3.5653,0.7622,0,0.3332,0.2523,0,0,0.7574,0.7165,0.8306,0.6281,1.1594,0.8767,0.7562,0.0387,16.3549,0.0183,-0.2174,-0.0875,-0.4438,-0.9041,0.774,0,0,0,0,0,TASCA_DESTRA_DIETRO_PANTALONI
-0.1146,3.042,1.7441,14.1107,-0.6505,3.7626,10.9709,3.3122,21.2032,-0.269,9.9435,5.9181,2.4327,25.4055,0.1448,11.2223,7.0341,2.6522,25.5168,0.155,-0.0305,-0.0115,-0.0102,0.3784,0.3353,0.886,0.5266,0.717,0.6576,1.3615,1.2489,0.9173,0.2773,0.514,0.4325,1.8538,1.5597,0.8414,1.2373,-1.2931,-1.1879,-1.0451,-0.9601,0.9186,0.5117,0.2878,0.2831,0.5625,0.5533,0.9837,0.6655,0.5554,0.553,0.8346,0.831,0.9956,0.0373,15.5589,0.2134,0.2624,0.3925,0.0835,0.3201,0.9405,6.214,13.2138,3.6351,13,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1011,0.0215,0.1465,2.4173,-0.7158,3.9663,0.1206,0.3472,5.5728,0.147,9.9544,0.0514,0.2268,3.8645,0.6663,10.7202,0.103,0.321,5.3579,0.596,0.0255,0.0102,0.0094,0.3985,0.37,0.9286,0.4219,0.646,0.4564,1.5312,1.0818,0.7065,0.178,0.4173,0.2083,2.3445,1.1703,0.4992,-1.0503,-0.1307,-0.1276,0.1244,0.1215,0.9765,0.2156,0.1216,0.1062,0.5641,0.4926,0.8734,0.4338,0.6255,0.4512,1.4421,1.0401,0.7213,0.0376,14.0441,-0.8942,-0.8909,-0.9258,0.8484,0.9401,0.9735,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0052,4.741,2.1774,9.0514,-0.8975,-0.4493,7.9856,2.8259,13.4831,-1.6851,9.9599,2.8744,1.6954,12.4927,0.345,10.5706,3.2653,1.807,13.263,0.3443,0.0115,-0.0005,-0.0005,-0.0451,-0.0425,0.9422,0.7705,1.2843,1.205,1.6668,1.5638,0.9382,0.5937,1.6494,1.4519,2.7782,2.4456,0.8803,0.506,-0.6506,-0.6148,-1.2858,-1.2151,0.945,0.9499,0.2501,0.2358,0.2633,0.2483,0.943,0.6713,0.7245,0.6825,1.0793,1.0166,0.9419,0.0347,13.991,0.1976,0.5197,0.5829,0.2496,0.0687,0.9509,5.5261,42.5908,6.5262,18,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0449,0.007,0.0837,0.7982,-0.3479,6.4792,0.0495,0.2225,2.9333,0.6341,9.8952,0.0124,0.1111,1.5798,0.8513,11.8292,0.0355,0.1885,2.8337,0.7873,0.0069,0.0045,0.0038,0.6548,0.5477,0.8365,0.3763,0.7533,0.4442,2.0021,1.1807,0.5897,0.1416,0.5674,0.1974,4.0082,1.394,0.3478,-0.0405,-0.0228,-0.0196,0.5621,0.4847,0.8623,0.0739,0.0557,0.0445,0.7546,0.6018,0.7974,0.2721,0.5052,0.2817,1.8567,1.0351,0.5575,0.0414,16.4459,0.5017,0.3061,0.4821,0.5202,0.9064,0.8309,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1138,0.0038,0.0614,0.3424,-5.8314,8.3136,0.0124,0.1114,0.5458,0.9368,9.9711,0.002,0.0451,0.2613,0.9741,12.9832,0.0068,0.0823,0.4386,0.9668,-0.0137,-0.0114,-0.0088,0.8338,0.6403,0.768,0.5514,1.3618,0.7462,2.4698,1.3533,0.5479,0.304,1.8546,0.5568,6.0999,1.8313,0.3002,-0.0361,-0.0297,-0.0229,0.8225,0.6339,0.7708,0.0058,0.005,0.0038,0.8552,0.6542,0.7649,0.6274,1.3105,0.7807,2.0888,1.2444,0.5957,0.0456,18.4001,0.2055,-0.1955,0.0902,0.0988,0.9134,0.5182,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.3668,1.2633,1.124,7.0004,-1.2202,2.4658,2.4625,1.5692,9.0981,-0.3078,9.4382,1.0832,1.0408,6.7009,0.4859,9.9497,1.1062,1.0518,6.5772,0.5099,-0.1487,-0.0389,-0.0369,0.2613,0.2478,0.9486,0.7163,1.08,1.0686,1.5078,1.492,0.9895,0.513,1.1663,1.142,2.2734,2.226,0.9792,1.7969,-0.6075,-0.5623,-0.3381,-0.313,0.9256,0.4532,0.2419,0.235,0.5338,0.5184,0.9713,0.7694,1.0447,1.0643,1.3577,1.3833,1.0188,0.0745,12.9258,0.4907,0.4916,0.4717,0.0414,0.2854,0.9259,8.1985,21.3499,4.6206,12,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2798,9.9707,3.1576,27.8682,-2.0061,0.6283,7.0982,2.6642,17.2426,-0.5679,9.8224,11.9932,3.4631,48.8701,-0.6596,10.7704,10.0134,3.1644,32.1303,0.1203,0.4452,0.0285,0.026,0.064,0.0583,0.912,1.1852,0.9118,0.9979,0.7693,0.8419,1.0944,1.4047,0.8314,0.9957,0.5919,0.7089,1.1977,2.9778,0.9575,-4.2331,0.3216,-1.4215,-4.4207,0.843,0.3148,0.2538,0.3734,0.3011,0.8063,1.6162,0.5703,0.8673,0.3528,0.5366,1.521,0.0342,14.2842,-0.8462,-0.5606,-0.5089,0.3547,0.3367,0.5083,0.9479,0.0494,0.2222,1,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0884,0.0162,0.1275,0.66,-1.9905,13.5823,0.0551,0.2348,1.1489,0.9192,9.8519,0.0154,0.124,0.6739,0.9335,16.7801,0.061,0.247,1.2732,0.9271,-0.0065,-0.009,-0.0053,1.3786,0.8094,0.5871,0.5428,1.0281,0.516,1.8938,0.9505,0.5019,0.2947,1.0569,0.2662,3.5867,0.9034,0.2519,-0.0336,-0.0464,-0.0271,1.3816,0.8074,0.5844,0.0155,0.0218,0.0126,1.4031,0.8143,0.5804,0.5745,0.9793,0.5184,1.7048,0.9024,0.5293,0.0597,23.5575,-0.0051,-0.2169,-0.0708,0.706,0.9783,0.8379,1,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1253,0.0058,0.0762,0.646,-2.8645,11.8589,0.0134,0.1157,0.692,0.9432,9.9146,0.0085,0.0921,0.541,0.9467,15.4582,0.0204,0.1428,0.8547,0.946,-0.0106,-0.0126,-0.0081,1.1961,0.7672,0.6414,0.6585,0.8279,0.5337,1.2572,0.8105,0.6447,0.4336,0.6854,0.2849,1.5806,0.657,0.4156,-0.0417,-0.0498,-0.032,1.1957,0.7671,0.6415,0.0137,0.0165,0.0106,1.2001,0.7694,0.6411,0.9335,1.194,0.7558,1.279,0.8096,0.633,0.0542,21.9021,0.0714,-0.2896,-0.0805,0.8507,0.9714,0.9415,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1699,7.0589,2.6569,19.6368,-1.2905,-6.6744,13.4834,3.672,19.0704,-6.3191,9.8337,7.0666,2.6583,18.6903,0.0133,12.5524,11.3246,3.3652,19.2343,0.1657,-0.0254,0.0173,0.0135,-0.6787,-0.5317,0.7834,0.7236,0.9995,0.7895,1.3813,1.0912,0.7899,0.5235,0.9989,0.6233,1.908,1.1906,0.624,0.672,-43.84,-2.8962,-65.2418,-4.3101,0.0661,3.2903,0.4526,0.3719,0.1376,0.113,0.8217,1.0297,1.0506,1.0209,1.0203,0.9915,0.9717,0.0408,18.4555,-0.5073,-0.3696,0.0142,-0.2736,-0.7018,0.7979,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
0.6733,7.4235,2.7246,17.5795,-0.4041,1.2947,8.6389,2.9392,16.4436,-0.4616,10.1415,6.1776,2.4855,15.0166,0.2015,10.9784,6.694,2.5873,14.2589,0.2662,0.52,0.0664,0.0613,0.1277,0.1179,0.9238,0.927,1.0962,1.0531,1.1825,1.136,0.9607,0.8593,1.2017,1.109,1.3984,1.2905,0.9229,0.9742,-1.3355,-0.978,-1.3708,-1.0038,0.7323,1.1129,0.6658,0.6443,0.5983,0.5789,0.9677,1.0691,1.1707,1.2329,1.095,1.1532,1.0531,0.037,14.607,0.3925,0.295,0.5017,0.1506,0.3952,0.8886,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
0.1816,10.9413,3.3078,24.3815,-1.0735,0.8141,14.8054,3.8478,30.0589,-0.4185,10.1014,6.7902,2.6058,18.0969,0.0712,11.193,9.9874,3.1603,21.8067,0.1888,0.2231,0.018,0.0162,0.0806,0.0727,0.9025,0.8597,1.2694,1.0467,1.4766,1.2175,0.8245,0.739,1.6113,1.0955,2.1804,1.4824,0.6799,1.4233,-9.1004,-2.4873,-6.3939,-1.7476,0.2733,0.5549,0.6035,0.4374,1.0876,0.7883,0.7248,0.8111,1.3473,1.1181,1.661,1.3784,0.8299,0.0366,15.2779,-0.0774,0.3622,0.1229,0.3968,0.6989,0.8075,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
0.5572,7.1516,2.6743,20.8735,-1.7709,9.0454,24.6816,4.9681,27.6999,-0.3589,9.842,8.1686,2.8581,16.1348,0.1146,14.1258,19.4595,4.4113,21.0403,0.2088,0.0616,0.0566,0.0394,0.9191,0.6403,0.6967,0.5383,0.9357,0.6062,1.7383,1.1262,0.6479,0.2898,0.8755,0.3675,3.0215,1.2684,0.4198,1.8235,-6.3906,-2.4019,-3.5046,-1.3172,0.3758,0.3696,0.4134,0.2833,1.1186,0.7665,0.6852,0.7536,1.2937,0.9921,1.7168,1.3165,0.7668,0.048,21.1259,-0.5279,0.2026,-0.2891,0.5159,0.8318,0.8256,0,0,0,0,0,TASCA_SINISTRA_DIETRO_PANTALONI
