@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.071,3.2872,1.8131,11.1762,-0.6105,1.4211,5.754,2.3988,15.2468,-0.6086,9.5755,14.6875,3.8324,20.146,0.0064,10.2501,12.3788,3.5184,18.4604,0.1065,-0.0499,-0.0074,-0.0069,0.1484,0.1386,0.9342,0.7558,0.4731,0.5153,0.6259,0.6818,1.0893,0.5713,0.2238,0.2655,0.3918,0.4648,1.1865,0.7344,-32.8304,-1.9257,-44.7039,-2.6222,0.0587,0.7322,0.3423,0.3359,0.4675,0.4588,0.9813,0.733,0.5548,0.6054,0.7568,0.8259,1.0913,0.0504,13.1686,0.2428,-0.4114,-0.3151,0.1179,0.1009,0.9735,PANTALONI
0.2708,2.6296,1.6216,9.8197,-0.9745,7.9738,23.0006,4.7959,27.3808,-0.3149,9.4587,6.9448,2.6353,14.9528,0.213,13.0753,14.732,3.8382,22.7697,0.1929,0.034,0.0286,0.0207,0.843,0.6098,0.7234,0.3381,0.6153,0.4225,1.8199,1.2495,0.6866,0.1143,0.3786,0.1785,3.3119,1.5613,0.4714,0.739,-1.1979,-0.8903,-1.6209,-1.2047,0.7432,0.2388,0.2618,0.1763,1.096,0.7381,0.6734,0.3586,0.6567,0.4313,1.8312,1.2025,0.6567,0.0655,19.0596,-0.3706,0.1792,-0.0932,0.4162,0.7418,0.8927,PANTALONI
0.125,6.0167,2.4529,15.9944,-0.7211,8.6528,21.5511,4.6423,25.7587,-0.2758,9.6637,13.7232,3.7045,14.7856,0.1104,13.6036,24.5094,4.9507,21.1076,0.1014,0.0145,0.0129,0.0092,0.8954,0.6361,0.7104,0.5284,0.6621,0.4955,1.2532,0.9377,0.7483,0.2792,0.4384,0.2455,1.5704,0.8793,0.5599,1.2034,-3.6509,-2.8129,-3.0339,-2.3376,0.7705,0.4603,0.5591,0.3956,1.2147,0.8595,0.7076,0.6209,1.0818,0.7578,1.7422,1.2204,0.7005,0.0683,20.1818,-0.4839,0.0296,-0.1891,0.56,0.8259,0.8965,PANTALONI
0.1156,7.9927,2.8271,25.0521,-0.345,3.2152,14.3059,3.7823,24.2033,-0.4935,10.055,17.7414,4.212,28.0127,0.0431,11.4632,20.0901,4.4822,32.2834,0.0918,0.036,0.0115,0.0101,0.3198,0.2805,0.8772,0.7475,0.6712,0.6307,0.898,0.8439,0.9397,0.5587,0.4505,0.3978,0.8064,0.7121,0.8831,0.8035,-5.0959,-1.97,-6.3419,-2.4516,0.3866,1.1493,0.6363,0.524,0.5536,0.4559,0.8236,1.0351,0.8943,0.776,0.864,0.7497,0.8677,0.055,15.8665,0.4121,0.1651,0.2545,-0.0807,0.1751,0.9203,PANTALONI
-0.0066,0.4704,0.6859,3.5885,-1.2743,4.0563,1.5714,1.2535,7.4112,0.04,9.4388,3.7832,1.945,10.2165,0.337,10.3503,4.2409,2.0594,10.2453,0.3865,-0.0016,-0.0007,-0.0006,0.4297,0.3919,0.9119,0.5472,0.3526,0.3331,0.6445,0.6087,0.9445,0.2994,0.1243,0.1109,0.4154,0.3705,0.8921,-6.516,-0.3872,-0.3115,0.0594,0.0478,0.8045,0.2044,0.1024,0.0945,0.501,0.4622,0.9227,0.4842,0.3512,0.3503,0.7254,0.7234,0.9972,0.0587,14.0325,-0.1987,0.4259,0.3151,0.4897,0.6441,0.9806,PANTALONI
0.3245,0.326,0.5709,2.7131,-0.4358,10.3042,9.8672,3.1412,12.4584,0.2921,9.2409,8.304,2.8817,11.582,0.3084,13.8577,18.1361,4.2587,16.9594,0.3021,0.0315,0.0351,0.0234,1.1151,0.7436,0.6668,0.1818,0.1981,0.1341,1.0901,0.7376,0.6767,0.033,0.0393,0.018,1.1882,0.5441,0.4579,-0.1602,-0.1594,-0.1122,0.9953,0.7002,0.7036,0.1074,0.1128,0.0778,1.0509,0.7242,0.6892,0.2178,0.2342,0.16,1.0757,0.7346,0.6829,0.0689,20.0501,0.4078,0.323,0.3735,0.9913,0.9984,0.9972,PANTALONI
-0.3938,1.4848,1.2185,5.6958,-1.6171,-8.1603,2.3487,1.5325,15.3738,?,9.8876,2.4075,1.5516,7.6452,0.5093,12.9078,4.141,2.035,10.8956,0.4747,0.0483,-0.0398,-0.0305,-0.8253,-0.6322,0.766,0.7951,0.7853,0.5988,0.9877,0.7531,0.7625,0.6322,0.6167,0.3585,0.9756,0.5672,0.5814,0.2289,-0.4435,-0.3574,-1.9373,-1.5613,0.8059,0,0.1397,0.1049,0,0,0.7512,0.3705,0.745,0.5228,2.0109,1.411,0.7017,0.0638,19.0768,0.5466,-0.1578,-0.3736,-0.6968,-0.906,0.9333,PANTALONI
0.5209,2.788,1.6697,8.9669,-0.7653,-0.0936,22.2144,4.7132,30.5656,-0.9001,9.9299,13.3544,3.6544,22.8646,0.1138,10.9685,16.9323,4.1149,26.9301,0.1154,-5.5644,0.0525,0.0475,-0.0094,-0.0085,0.9053,0.3543,0.4569,0.4058,1.2897,1.1454,0.8881,0.1255,0.2088,0.1647,1.6635,1.3119,0.7887,0.2685,-1.3235,-1.1065,-4.9294,-4.121,0.836,0.3158,0.1969,0.1668,0.6235,0.5284,0.8475,0.2934,0.3922,0.333,1.3368,1.135,0.849,0.0532,14.7273,-0.5162,0.068,0.1958,-0.3107,-0.2907,0.9491,PANTALONI
-0.4341,0.1625,0.4032,1.4211,-3.3965,11.1561,1.3914,1.1796,6.3094,0.5729,9.5658,0.9346,0.9667,5.5471,0.5713,14.7087,2.2916,1.5138,8.376,0.5736,-0.0389,-0.0454,-0.0295,1.1662,0.7585,0.6503,0.3418,0.417,0.2663,1.2202,0.7792,0.6386,0.1168,0.1739,0.0709,1.4888,0.6072,0.4078,-0.1297,-0.1485,-0.0974,1.145,0.7512,0.6561,0.0219,0.025,0.0165,1.1417,0.7521,0.6587,0.2252,0.2562,0.1697,1.1374,0.7533,0.6623,0.0795,21.1924,0.0422,-0.0165,0.0098,0.9757,0.9956,0.9919,PANTALONI
-0.0339,3.6695,1.9156,11.3379,-0.6279,2.7275,38.7965,6.2287,33.9618,-0.1937,10.0388,21.1615,4.6002,26.2409,-0.0641,11.7294,34.2665,5.8538,30.7535,0.0867,-0.0124,-0.0034,-0.0029,0.2717,0.2325,0.8559,0.3075,0.4164,0.3272,1.354,1.064,0.7858,0.0946,0.1734,0.1071,1.8334,1.1322,0.6176,0.7936,2.7673,-1.4978,3.4869,-1.8874,-0.5413,0.2448,0.2824,0.2068,1.1537,0.8449,0.7323,0.3338,0.4321,0.3687,1.2942,1.1043,0.8533,0.0559,15.8516,-0.0187,-0.0683,-0.0481,0.2651,0.6486,0.8649,PANTALONI
