@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.4223,15.4216,3.927,17.0078,-0.9141,-2.5556,77.0229,8.7763,33.1843,-0.9659,2.2515,44.9355,6.7034,20.6444,-0.5021,11.5423,15.9349,3.9919,15.6105,0.2103,0.1652,-0.1876,-0.0366,-1.135,-0.2214,0.1951,0.4475,0.5858,0.9838,1.3092,2.1985,1.6793,0.2002,0.3432,0.9678,1.7141,4.8336,2.8199,0.4982,1.177,-1.9534,2.3628,-3.9211,-1.6595,0.5264,0.6465,0.4495,1.2282,0.8539,0.6952,0.5125,0.8238,1.0895,1.6074,2.1258,1.3225,0.0715,17.5362,0.2427,-0.5911,0.1663,-0.2956,-0.1401,0.1824,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2532,6.2375,2.4975,9.7729,-0.8082,-2.0649,12.35,3.5143,12.2079,-2.2405,0.5408,30.7166,5.5423,19.8881,-0.8531,6.8989,6.3293,2.5158,8.3766,0.2856,0.1226,-0.4681,-0.0367,-3.8181,-0.2993,0.0784,0.7107,0.4506,0.9927,0.6341,1.3969,2.203,0.5051,0.2031,0.9855,0.4021,1.9512,4.853,0.5175,0.4771,-1.3044,0.9219,-2.5205,-2.734,1.4347,0.5036,0.4609,0.351,0.3213,0.9153,0.8005,0.4914,1.1667,0.6138,1.4574,2.3743,0.0448,10.0912,-0.2162,-0.7371,0.298,0.5592,-0.2789,-0.3401,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8143,6.2481,2.4996,9.6618,-1.0071,-1.3525,6.9026,2.6273,10.296,-1.2108,0.0229,3.6292,1.905,7.4778,-1.7801,4.0483,2.8844,1.6983,6.5531,0.0382,-0.6021,35.5442,0.2012,-59.0355,-0.3341,0.0057,0.9514,1.3121,1.4718,1.3791,1.547,1.1217,0.9052,1.7216,2.1662,1.9019,2.3931,1.2582,0.8597,1.0125,-18.6311,1.1777,-21.6712,-18.4013,1.0337,1.7897,0.7065,1.7314,0.6835,0.3948,0.9384,1.2921,1.4744,1.3769,1.5712,1.1411,0.0329,6.3696,-0.8153,0.2579,0.1318,0.2849,-0.3882,-0.3529,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.6777,15.1235,3.8889,15.9401,-0.7155,-0.4779,30.1812,5.4937,25.2906,-1.2741,-0.1046,14.7217,3.8369,13.7422,-1.2593,7.2861,7.6381,2.7637,15.7982,0.1249,-1.4181,-6.481,0.093,4.5702,-0.0656,-0.0144,0.7079,1.0136,1.4071,1.4318,1.9878,1.3883,0.5011,1.0273,1.98,2.0501,3.9514,1.9274,0.4692,0.868,-2.9489,1.8498,-6.2846,-3.3974,0.8355,1.5276,0.5147,1.8284,0.616,0.3369,0.6303,1.1599,1.009,1.8404,1.6009,0.8699,0.0174,11.3699,-0.8794,-0.1479,0.2726,0.5356,-0.3696,-0.354,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0929,24.0348,4.9025,24.0089,-0.3552,0.0281,27.0997,5.2057,25.0715,-0.4422,1.517,44.4511,6.6672,26.7807,-0.3023,8.1234,31.907,5.6486,25.8391,0.1022,-3.3021,-0.0612,-0.0114,0.0185,0.0035,0.1867,0.9418,0.7353,0.8679,0.7808,0.9216,1.1803,0.8869,0.5407,0.7533,0.6097,0.8493,1.3931,0.8186,1.0123,-2.1406,1.2367,-2.615,-2.1145,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8965,0.9292,0.9362,0.9703,1.0364,0.0317,12.6714,0.5387,0.4678,0.5394,0.2125,0.5323,0.8311,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.36,5.6693,2.381,8.4666,-0.6826,1.5492,14.9993,3.8729,14.6964,-0.5352,0.2505,3.5528,1.8849,7.3736,-1.4979,4.7835,3.9314,1.9828,8.8954,0.1799,0.2324,1.4374,0.0753,6.1853,0.3239,0.0524,0.6148,1.2632,1.2009,2.0547,1.9533,0.9506,0.378,1.5957,1.442,4.2219,3.8153,0.9037,0.6704,0.7768,-1.7608,1.1588,-2.6266,-2.2667,0.5257,1.7046,0.4639,3.2428,0.8826,0.2722,0.5761,1.1482,0.9518,1.9931,1.6521,0.8289,0.0335,7.2696,0.9118,0.0717,0.6493,-0.0007,0.7008,-0.1778,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-1.6865,11.8303,3.4395,14.4644,-1.2126,-2.9428,13.322,3.6499,13.053,-2.0814,-0.2682,10.0113,3.1641,12.1852,-1.1145,6.4318,5.3715,2.3177,10.2433,0.143,0.5731,6.2873,-0.2622,10.9711,-0.4575,-0.0417,0.9424,1.0871,1.4841,1.1536,1.5748,1.3652,0.888,1.1817,2.2024,1.3307,2.4801,1.8638,0.8991,1.2343,-4.6368,1.3728,-5.1572,-3.7567,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1871,1.4121,1.0712,1.2743,1.1896,0.0694,10.146,0.889,0.149,-0.405,0.4059,-0.6587,-0.1441,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.6822,0.932,0.9654,3.3057,-7.089,0.9984,2.7919,1.6709,5.4187,-0.6421,2.8808,9.582,3.0955,8.5944,-0.4898,4.6378,1.5577,1.2481,3.8091,0.4145,-0.6833,-0.2368,-0.1471,0.3466,0.2153,0.6211,0.5778,0.3119,0.7735,0.5398,1.3388,2.4802,0.3338,0.0973,0.5984,0.2914,1.7924,6.1515,1.3672,1.0253,-1.0745,0.7499,-0.7859,-1.048,0.1238,0.0708,0.0628,0.572,0.5072,0.8868,0.61,0.3846,0.8678,0.6305,1.4226,2.2563,0.284,6.3896,0.8148,-0.4265,-0.5307,-0.2682,-0.4125,0.9348,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.5416,2.7653,1.6629,5.3719,0.127,-3.1192,5.937,2.4366,7.9276,-13.9785,2.7674,21.0136,4.5841,13.0831,-0.3883,7.1279,8.8393,2.9731,9.5303,0.137,-1.1354,1.2797,0.4969,-1.1271,-0.4376,0.3882,0.6825,0.3628,0.5593,0.5315,0.8195,1.5418,0.4658,0.1316,0.3128,0.2825,0.6717,2.3773,-0.1056,-0.2136,0.5166,2.0217,-4.8902,-2.4189,11.6264,0.653,0.5572,0.0562,0.0479,0.8533,0.6776,0.4106,0.5637,0.6059,0.8318,1.3728,0.4974,11.3055,-0.7643,-0.0168,0.6275,-0.3742,-0.8439,0.7097,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-3.4626,0.5768,0.7595,4.3423,?,0.285,0.8156,0.9031,2.9548,-0.7921,1.9085,1.6957,1.3022,4.656,-0.0972,4.2712,0.5577,0.7468,2.2949,0.5543,-12.1512,-1.8143,-0.8107,0.1493,0.0667,0.4468,0.8409,0.5832,1.0169,0.6935,1.2093,1.7436,0.7072,0.3401,1.0341,0.481,1.4624,3.0403,3.3249,10.5282,-1.5213,3.1665,-0.4576,-0.1445,0,0,0,0.3885,0.3202,0.8241,1.4696,0.9326,1.8922,0.6346,1.2876,2.0289,0.3604,6.3087,0.4162,0.3033,-0.4664,0.0421,-0.238,0.629,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.8989,1.049,1.0242,3.4953,0.3742,-0.7839,14.273,3.778,11.1126,-1.1325,1.5011,19.6912,4.4375,12.6746,-0.7795,7.1847,1.4634,1.2097,4.06,0.5245,-4.9738,2.5973,0.5427,-0.5222,-0.1091,0.2089,0.2711,0.2308,0.8467,0.8514,3.123,3.6682,0.0735,0.0533,0.7168,0.7248,9.7532,13.4557,-0.3541,-0.3764,0.4667,1.063,-1.318,-1.2399,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.3145,0.2758,0.8609,0.8768,2.7371,3.1218,0.3864,11.4425,-0.7008,-0.7083,0.045,0.4827,-0.0784,0.362,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5571,0.2365,0.4863,1.4298,-0.037,-4.342,1.9694,1.4034,7.1402,?,2.9541,1.8659,1.366,4.9498,0.0787,5.4397,2.3712,1.5399,5.2482,0.3619,-0.1283,0.1886,0.1024,-1.4698,-0.7982,0.5431,0.3465,0.356,0.3158,1.0274,0.9113,0.8871,0.1201,0.1268,0.0997,1.0555,0.8305,0.7869,0.0071,-0.1206,-0.0171,-16.8895,-2.3986,0.142,0,0.2566,0.1676,0,0,0.6532,0.2002,0.2889,0.2724,1.4425,1.3605,0.9431,0.4801,7.8653,-0.1755,0.0532,0.2321,-0.2633,-0.8568,0.7139,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5952,0.0105,0.1024,0.7817,?,-0.4437,0.0149,0.1222,0.6754,?,-0.2202,0.0084,0.0914,0.3903,?,0.7833,0.0199,0.141,0.6555,0.386,1.3414,2.7033,-0.7599,2.0152,-0.5665,-0.2811,0.8384,1.1207,0.7266,1.3366,0.8667,0.6484,0.703,1.2559,0.528,1.7866,0.7511,0.4204,1.1574,2.003,-1.8969,1.7306,-1.639,-0.9471,1,1,0,1,0,0,1.1574,2.003,1.1926,1.7306,1.0304,0.5954,0.0155,1.2591,0.5177,-0.0295,-0.8023,0.7531,-0.9189,-0.542,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
