@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.0213,6.7657,2.6011,16.7334,-0.8751,-0.8715,31.8416,5.6428,28.208,-1.9744,10.0168,30.5034,5.523,23.594,-0.0058,11.5618,36.5318,6.0442,24.9531,0.0937,-0.0245,0.0021,0.0018,-0.087,-0.0754,0.8664,0.461,0.471,0.4304,1.0217,0.9336,0.9138,0.2125,0.2218,0.1852,1.0439,0.8716,0.835,0.4171,57.665,-3.0272,138.2648,-7.2585,-0.0525,0.941,0.3804,0.3241,0.4043,0.3445,0.852,0.5932,0.7092,0.6706,1.1956,1.1304,0.9455,0.0703,16.071,0.372,-0.3637,-0.2755,-0.4203,-0.5808,0.9361,295.4475,9617.0557,98.0666,301,0.3568,?,?,?,?,?,DESTRA_PANTALONI
-0.1391,4.2425,2.0597,11.1762,-0.6105,1.1023,6.7441,2.5969,15.2468,-0.6086,9.9961,18.2164,4.2681,20.146,0.0064,10.7533,14.725,3.8373,18.4604,0.1065,-0.1262,-0.0139,-0.0129,0.1103,0.1025,0.9296,0.7931,0.4826,0.5368,0.6085,0.6768,1.1123,0.6291,0.2329,0.2881,0.3702,0.458,1.2371,0.7344,-32.8304,-1.9257,-44.7039,-2.6222,0.0587,0.7322,0.3423,0.3359,0.4675,0.4588,0.9813,0.733,0.5548,0.6054,0.7568,0.8259,1.0913,0.0698,13.8375,0.2242,-0.4144,-0.3197,0.1736,0.1562,0.975,194.8889,3274.1943,57.2206,262,0.0542,?,?,?,?,?,DESTRA_PANTALONI
0.2347,3.2851,1.8125,9.8197,-0.9745,6.9694,21.8827,4.6779,21.8992,-0.4275,9.1961,4.8906,2.2115,10.8474,0.2717,12.4143,9.1398,3.0232,15.942,0.2545,0.0337,0.0255,0.0189,0.7579,0.5614,0.7408,0.3875,0.8196,0.5995,2.1153,1.5473,0.7315,0.1501,0.6717,0.3594,4.4744,2.3942,0.5351,0.739,-1.1979,-0.8903,-1.6209,-1.2047,0.7432,0.3242,0.3339,0.2325,1.0301,0.7174,0.6964,0.4484,0.9053,0.616,2.0188,1.3737,0.6804,0.0813,18.0967,-0.5274,0.0992,-0.2976,0.1592,0.6469,0.8057,31.7042,17.7294,4.2106,17,0.6136,?,?,?,?,?,DESTRA_PANTALONI
0.2797,7.6198,2.7604,15.6064,-0.763,8.0224,23.189,4.8155,23.5394,-0.1635,9.5204,13.2957,3.6463,14.6409,0.0902,13.3251,21.6233,4.6501,19.7459,0.1597,0.0349,0.0294,0.021,0.8427,0.6021,0.7145,0.5732,0.757,0.5936,1.3206,1.0356,0.7841,0.3286,0.5731,0.3524,1.7441,1.0724,0.6149,2.0416,-4.6554,-1.7991,-2.2803,-0.8812,0.3865,0.4376,0.5501,0.3767,1.2572,0.8609,0.6848,0.663,1.0659,0.7904,1.6078,1.1921,0.7415,0.0871,19.7539,-0.5367,-0.0056,-0.2323,0.4679,0.7906,0.8752,21.1119,15.6378,3.9545,21,0.3,?,?,?,?,?,DESTRA_PANTALONI
0.1128,6.0101,2.4516,15.8467,-1.5634,2.5192,21.949,4.685,29.3478,-0.3613,8.9336,14.9185,3.8624,21.688,-0.025,10.795,12.5138,3.5375,22.4535,0.1693,0.0448,0.0126,0.0105,0.282,0.2334,0.8276,0.5233,0.6347,0.693,1.213,1.3244,1.0919,0.2738,0.4029,0.4803,1.4713,1.754,1.1922,1.2408,18.2783,-2.1114,14.7306,-1.7016,-0.1155,0.2867,0.2922,0.2287,1.0189,0.7976,0.7828,0.54,0.7307,0.7058,1.3532,1.3071,0.9659,0.0668,14.8747,-0.0324,-0.4365,-0.4008,-0.3155,0.2088,0.7185,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
0.2293,10.2084,3.1951,25.0521,-0.345,2.9693,17.0996,4.1352,24.2033,-0.4935,9.8388,20.5691,4.5353,28.0127,0.0431,11.3729,24.2054,4.9199,32.2834,0.0918,0.0772,0.0233,0.0202,0.3018,0.2611,0.8651,0.7727,0.7045,0.6494,0.9118,0.8405,0.9218,0.597,0.4963,0.4217,0.8313,0.7064,0.8498,0.8035,-5.0959,-1.97,-6.3419,-2.4516,0.3866,1.1493,0.6363,0.524,0.5536,0.4559,0.8236,1.0351,0.8943,0.776,0.864,0.7497,0.8677,0.0714,15.9474,0.444,0.2521,0.3247,-0.1039,0.156,0.9203,252.4167,1320.243,36.3351,250,0.1857,?,?,?,?,?,DESTRA_PANTALONI
-0.0649,6.5545,2.5602,17.4084,-0.7368,-2.2907,32.7411,5.722,36.1004,-1.0305,9.4062,13.0156,3.6077,20.0915,-0.1026,11.6647,9.9733,3.1581,19.114,0.2372,0.0283,-0.0069,-0.0056,-0.2435,-0.1964,0.8064,0.4474,0.7096,0.8107,1.586,1.8119,1.1424,0.2002,0.5036,0.6572,2.5155,3.2829,1.305,0.4031,3.9488,-1.2428,9.7959,-3.0831,-0.3147,0.5637,0.5501,0.4,0.9758,0.7096,0.7272,0.4822,0.8665,0.9108,1.7968,1.8887,1.0511,0.0672,16.5139,0.6791,0.2521,0.035,0.291,-0.1404,0.5797,2,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
-0.317,6.7933,2.6064,14.9527,-1.3172,3.6431,21.7514,4.6638,20.8599,-1.1225,9.2491,8.3923,2.8969,12.6885,0.1865,11.2198,9.9723,3.1579,13.8997,0.2276,-0.087,-0.0343,-0.0283,0.3939,0.3247,0.8244,0.5589,0.8997,0.8254,1.6099,1.4769,0.9174,0.3123,0.8095,0.6812,2.5918,2.1812,0.8416,0.7705,-2.9218,-2.0758,-3.7922,-2.6942,0.7105,0.6566,0.4137,0.3586,0.6301,0.5462,0.8668,0.7168,1.1784,1.0758,1.644,1.5007,0.9129,0.0686,16.6133,0.5653,-0.0314,0.0342,-0.058,0.0036,0.9419,2.4,0.4745,0.6888,2,0.5,?,?,?,?,?,DESTRA_PANTALONI
0.3571,1.0782,1.0384,3.9549,-0.4376,3.9394,6.3154,2.513,10.0941,-0.5996,9.522,2.983,1.7271,7.7499,0.4029,10.7077,2.0364,1.427,6.6379,0.5027,0.0907,0.0375,0.0334,0.4137,0.3679,0.8893,0.4132,0.6012,0.7277,1.455,1.761,1.2103,0.1707,0.3615,0.5295,2.1171,3.1013,1.4648,0.3181,-0.2302,-0.1794,-0.7235,-0.5639,0.7795,0.436,0.2119,0.2061,0.4861,0.4727,0.9724,0.3918,0.5103,0.5958,1.3025,1.5207,1.1675,0.0787,14.795,-0.5359,0.5541,0.421,-0.5844,-0.4316,0.9711,2,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
0.3066,2.066,1.4374,7.944,-0.9577,-0.9617,4.6013,2.1451,8.846,-5.7576,9.691,6.7909,2.6059,12.3355,0.2425,10.0564,7.2626,2.6949,11.9261,0.2999,-0.3188,0.0316,0.0305,-0.0992,-0.0956,0.9637,0.6701,0.5516,0.5334,0.8231,0.796,0.967,0.449,0.3042,0.2845,0.6776,0.6336,0.9351,0.5156,-0.984,-0.7608,-1.9083,-1.4756,0.7732,3.0998,0.2492,0.2382,0.0804,0.0768,0.956,0.898,0.644,0.6661,0.7171,0.7417,1.0343,0.0744,12.2757,-0.1639,-0.7688,-0.6542,-0.253,-0.4548,0.9701,11.4656,38.7985,6.2288,18,0.0526,?,?,?,?,?,DESTRA_PANTALONI
-0.1292,0.5156,0.7181,3.5885,-1.2743,3.989,1.7441,1.3206,7.4112,0.04,9.5291,3.5942,1.8958,10.2165,0.337,10.4258,3.8898,1.9723,10.2453,0.3865,-0.0324,-0.0136,-0.0124,0.4186,0.3826,0.914,0.5437,0.3788,0.3641,0.6966,0.6696,0.9613,0.2956,0.1435,0.1326,0.4853,0.4484,0.924,-6.516,-0.3872,-0.3115,0.0594,0.0478,0.8045,0.2044,0.1024,0.0945,0.501,0.4622,0.9227,0.4842,0.3512,0.3503,0.7254,0.7234,0.9972,0.0789,14.0865,-0.3363,0.4673,0.3208,0.381,0.5737,0.9735,0,0,0,0,0,?,?,?,?,?,DESTRA_PANTALONI
0.3887,3.0826,1.7557,7.8882,-0.8598,-1.0785,6.8534,2.6179,13.5734,-1.5494,9.2727,6.5378,2.5569,11.8108,0.1864,9.927,5.226,2.286,9.4033,0.3526,-0.3604,0.0419,0.0392,-0.1163,-0.1086,0.9341,0.6707,0.6867,0.768,1.0239,1.1452,1.1185,0.4498,0.4715,0.5899,1.0483,1.3114,1.251,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.2922,0.292,0.3668,0.3665,0.9994,0.5812,0.6679,0.8389,1.1492,1.4435,1.256,0.0713,12.3648,-0.5762,-0.7647,-0.6285,0.4263,0.1898,0.9172,1,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
