@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.2091,6.1146,2.4728,16.6007,-3.5535,2.708,13.6601,3.696,17.2915,-0.6958,10.0586,15.9365,3.9921,17.9625,0.0281,11.3609,15.1941,3.898,16.5731,0.163,-0.0772,-0.0208,-0.0184,0.2692,0.2384,0.8854,0.669,0.6194,0.6344,0.9258,0.9482,1.0241,0.4476,0.3837,0.4024,0.8572,0.899,1.0489,1.8259,-24.9064,-4.0125,-13.6403,-2.1975,0.1611,0.3575,0.1972,0.1841,0.5517,0.5149,0.9334,0.96,0.9242,1.0017,0.9626,1.0433,1.0838,0.0695,15.9122,-0.1115,0.1703,-0.0087,-0.1676,0.0245,0.9318,1094.6012,207782.2344,455.8314,1398.83,0.1041,?,?,?,?,?,DESTRA_PANTALONI
-0.0597,4.871,2.207,10.3157,-1.5551,0.9031,10.3153,3.2117,13.7251,-1.4506,10.092,18.4776,4.2986,18.6688,0.1625,10.7905,19.8967,4.4606,18.8698,0.2158,-0.0661,-0.0059,-0.0055,0.0895,0.0837,0.9353,0.6872,0.5134,0.4948,0.7472,0.72,0.9637,0.4722,0.2636,0.2448,0.5583,0.5184,0.9287,0.7728,-1.7335,-1.2089,-2.2432,-1.5643,0.6974,0.7208,0.1811,0.1678,0.2513,0.2328,0.9263,0.7516,0.5526,0.5467,0.7352,0.7274,0.9893,0.0676,14.5667,0.1436,-0.3786,-0.4215,-0.4808,-0.4859,0.9944,1612.5969,267865.8438,517.5576,2204.1101,0.127,?,?,?,?,?,DESTRA_PANTALONI
-0.0232,2.3262,1.5252,8.2915,-0.4418,4.7075,3.6833,1.9192,9.0894,-0.0056,10.0536,13.43,3.6647,17.5139,0.1086,11.4089,12.512,3.5372,14.573,0.2672,-0.0049,-0.0023,-0.002,0.4682,0.4126,0.8812,0.7947,0.4162,0.4312,0.5237,0.5426,1.036,0.6316,0.1732,0.1859,0.2743,0.2944,1.0734,50.291,-1.1906,-0.4781,-0.0237,-0.0095,0.4015,0.6362,0.2927,0.2892,0.46,0.4545,0.988,0.9122,0.4734,0.569,0.519,0.6237,1.2018,0.074,16.0103,-0.1484,0.2719,0.2385,0.1632,0.3471,0.9779,1027.3457,210468.2031,458.7681,1530.1283,0.0427,?,?,?,?,?,DESTRA_PANTALONI
-0.0929,3.0995,1.7605,10.9248,-0.8797,2.412,3.7493,1.9363,10.3861,-0.3635,10.1535,19.2993,4.3931,18.6735,0.1252,10.7693,19.092,4.3694,19.5533,0.1459,-0.0385,-0.0092,-0.0086,0.2376,0.224,0.9428,0.9092,0.4008,0.4029,0.4408,0.4432,1.0054,0.8267,0.1606,0.1623,0.1943,0.1964,1.0109,1.8463,-1.9124,-1.5312,-1.0358,-0.8293,0.8007,0.763,0.2723,0.2539,0.3568,0.3327,0.9325,1.0519,0.585,0.5587,0.5562,0.5312,0.955,0.0696,14.0388,-0.3573,-0.2561,-0.275,0.0755,0.1733,0.9924,438.7923,52256.5273,228.5969,682.5323,0.0069,?,?,?,?,?,DESTRA_PANTALONI
0.0643,1.4411,1.2005,7.6412,-1.2652,0.4944,15.5876,3.9481,19.337,-1.1628,10.2319,18.6035,4.3132,15.3625,0.1344,11.1187,16.9459,4.1165,13.6351,0.2489,0.13,0.0063,0.0058,0.0483,0.0445,0.9202,0.3041,0.2783,0.2916,0.9154,0.9591,1.0478,0.0925,0.0775,0.085,0.8379,0.9198,1.0978,0.4105,-1.7892,-0.9444,-4.3583,-2.3004,0.5278,0.3773,0.1901,0.1858,0.5038,0.4925,0.9776,0.3952,0.4974,0.5604,1.2587,1.4182,1.1267,0.0683,14.1543,0.4434,-0.0531,-0.1103,0.191,0.0325,0.9485,1714.3606,280532.0312,529.6528,1917.0475,0.1053,?,?,?,?,?,DESTRA_PANTALONI
0.2446,3.2519,1.8033,10.1308,-0.9189,1.9205,3.896,1.9738,12.126,-0.6901,9.8708,19.0258,4.3619,17.3381,0.1684,10.4328,18.5114,4.3025,17.9279,0.1841,0.1273,0.0248,0.0234,0.1946,0.1841,0.9461,0.9136,0.4134,0.4191,0.4525,0.4588,1.0138,0.8347,0.1709,0.1757,0.2048,0.2105,1.0278,0.9798,-1.3815,-1.1996,-1.41,-1.2244,0.8684,0.7359,0.2532,0.2403,0.3441,0.3265,0.9489,0.8355,0.5843,0.5651,0.6994,0.6764,0.9671,0.0671,13.4875,0.1881,-0.3131,-0.3118,-0.2932,-0.2496,0.995,714.9076,219493.7812,468.5016,1290.1682,0.0032,?,?,?,?,?,DESTRA_PANTALONI
-0.278,1.1541,1.0743,8.0142,-1.7977,3.3394,6.1239,2.4747,11.9803,-0.6715,9.8483,2.9258,1.7105,8.3628,0.4506,10.7551,2.7492,1.6581,8.3793,0.4647,-0.0833,-0.0282,-0.0259,0.3391,0.3105,0.9157,0.4341,0.6281,0.6479,1.4468,1.4925,1.0316,0.1885,0.3945,0.4198,2.0931,2.2275,1.0642,1.0699,-0.7508,-0.7081,-0.7017,-0.6618,0.9431,0.3997,0.1882,0.183,0.4709,0.4579,0.9725,0.6689,0.9583,0.9564,1.4326,1.4298,0.998,0.0694,14.4963,0.3154,0.0276,0.0863,-0.4105,-0.2662,0.9699,4.0663,0.0005,0.0234,0.0477,0.9883,?,?,?,?,?,DESTRA_PANTALONI
0.0495,7.4112,2.7223,13.2306,-0.7026,-0.9652,32.7516,5.7229,23.4745,-1.5198,9.7342,14.232,3.7725,20.4115,-0.0215,11.4231,19.5979,4.4269,22.6137,0.0331,-0.0513,0.0051,0.0043,-0.0992,-0.0845,0.8522,0.4757,0.7216,0.6149,1.517,1.2927,0.8522,0.2263,0.5207,0.3782,2.3013,1.6712,0.7262,0.3856,12.7027,-7.0474,32.9423,-18.2763,-0.5548,0.8342,0.3889,0.3323,0.4662,0.3983,0.8543,0.5636,0.6482,0.5851,1.1501,1.0381,0.9026,0.0684,16.2332,0.1143,-0.4294,-0.3012,-0.4023,-0.6062,0.9272,37.6853,128.0059,11.314,32,0.4182,?,?,?,?,?,DESTRA_PANTALONI
0.1338,6.2614,2.5023,14.5927,-0.9947,-0.7318,32.4276,5.6945,28.6288,-1.4986,9.6411,32.6513,5.7141,25.1426,-0.049,11.1238,41.1046,6.4113,25.8456,0.0407,-0.1828,0.0139,0.012,-0.0759,-0.0658,0.8667,0.4394,0.4379,0.3903,0.9966,0.8882,0.8913,0.1931,0.1918,0.1523,0.9931,0.7889,0.7943,0.4238,6.1934,-6.6431,14.614,-15.675,-1.0726,0.6385,0.3052,0.2715,0.4781,0.4253,0.8896,0.5097,0.5804,0.5646,1.1387,1.1077,0.9728,0.0662,15.5886,0.1409,-0.3308,-0.2485,-0.4325,-0.5376,0.9641,365.7534,19855.3125,140.9089,350,0.3997,?,?,?,?,?,DESTRA_PANTALONI
-0.0347,4.1648,2.0408,10.1192,-1.06,0.1645,20.3523,4.5113,25.6931,-1.7139,9.5222,13.2632,3.6419,14.358,0.1616,10.641,15.2512,3.9053,16.8646,0.1623,-0.2112,-0.0036,-0.0033,0.0173,0.0155,0.8949,0.4524,0.5604,0.5226,1.2387,1.1552,0.9326,0.2046,0.314,0.2731,1.5345,1.3345,0.8697,0.3209,-1.8809,-1.5939,-5.8611,-4.9668,0.8474,0.5189,0.2868,0.244,0.5528,0.4703,0.8507,0.3939,0.7048,0.6,1.7895,1.5235,0.8514,0.0675,14.5245,0.3932,0.1555,0.0601,-0.2542,-0.4421,0.9135,284.0922,33698.582,183.5717,481,0.2166,?,?,?,?,?,DESTRA_PANTALONI
