@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.0279,3.0938,1.7589,13.1346,-2.9292,0.0639,10.3442,3.2162,22.2273,-1.0841,-0.0662,5.387,2.321,14.8225,-0.9728,3.2602,8.2056,2.8645,13.2717,0.0352,-0.4363,0.4218,-0.0086,-0.9667,0.0196,-0.0203,0.5469,0.7578,0.614,1.3857,1.1228,0.8103,0.2991,0.5743,0.377,1.9202,1.2606,0.6565,0.8469,1.3397,-20.2027,1.5818,-23.855,-15.0806,0.3134,0.4449,0.243,1.4195,0.7753,0.5462,0.5909,0.8861,0.9897,1.4996,1.6748,1.1169,0.001,5.0093,-0.0058,-0.2141,-0.2792,-0.9439,-0.0472,0.0864,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
0.2341,0.8352,0.9139,4.3048,-0.5969,-0.1456,2.3146,1.5214,9.7416,-1.6497,0.1224,0.9154,0.9568,4.6601,-0.7718,1.7066,1.2438,1.1153,5.845,0.0539,-1.6085,1.9129,0.1372,-1.1893,-0.0853,0.0717,0.6007,0.9552,0.8194,1.5901,1.3642,0.8579,0.3608,0.9123,0.6715,2.5285,1.8609,0.736,0.2653,0.7927,-4.8327,2.9879,-18.2155,-6.0965,0.7332,1.0249,0.4363,1.3978,0.5951,0.4257,0.4419,0.9238,0.7365,2.0904,1.6666,0.7973,0.0031,2.6114,-0.4485,0.2851,0.2512,-0.73,-0.2907,0.1258,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
-0.0209,7.0062,2.6469,9.7367,-1.1154,-1.9154,14.8483,3.8534,14.2365,-1.3977,0.5277,6.0057,2.4507,8.1431,-0.7577,5.3167,3.5408,1.8817,7.2119,0.2385,0.0109,-0.0396,-0.0039,-3.6297,-0.3603,0.0993,0.6869,1.0801,1.4067,1.5724,2.0478,1.3024,0.4719,1.1666,1.9787,2.4724,4.1935,1.6961,0.6186,1.4625,-2.2725,2.3642,-3.6736,-1.5539,0.7752,0.9935,0.486,1.2816,0.6269,0.4892,0.6839,1.1957,1.3501,1.7483,1.974,1.1291,0.0199,8.3293,-0.2534,-0.3614,-0.2595,-0.582,-0.4491,0.6672,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
-0.5305,36.7563,6.0627,26.5204,-1.4607,-2.6327,78.9831,8.8872,37.9026,-2.1662,-0.1315,47.876,6.9192,29.4262,-1.0249,11.0993,47.6517,6.903,28.8547,0.0462,0.2015,4.0338,-0.0478,20.0197,-0.2372,-0.0118,0.6822,0.8762,0.8783,1.2844,1.2874,1.0024,0.4654,0.7677,0.7714,1.6497,1.6575,1.0047,0.6071,1.057,-11.2763,1.7411,-18.5744,-10.6681,0.9003,0.7416,0.3563,0.8237,0.3957,0.4804,0.6997,0.9013,0.9191,1.2881,1.3136,1.0198,0.0292,17.4231,0.8855,0.1219,-0.3857,0.3552,-0.5411,0.0614,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
0.2519,0.8647,0.9299,4.7543,-0.93,-0.6663,2.4026,1.55,8.0765,-1.0579,-0.2241,5.2041,2.2812,11.7392,-0.4618,2.4889,2.8345,1.6836,7.9941,0.0207,-0.3781,-1.1239,0.1012,2.9727,-0.2677,-0.0901,0.5999,0.4076,0.5523,0.6795,0.9207,1.355,0.3599,0.1662,0.3051,0.4617,0.8476,1.836,0.5518,0.6178,-13.5787,1.1196,-24.6083,-21.9793,0.6277,0.3067,0.3018,0.4887,0.4808,0.9838,0.5887,0.405,0.5947,0.688,1.0103,1.4685,0.0079,3.6714,-0.6995,0.0408,0.1391,0.0783,-0.1255,0.4119,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0313,0.0149,0.1222,0.5406,-0.7371,-0.2161,0.0231,0.152,0.7624,-2.7748,0.0139,0.0156,0.1251,0.6883,-0.8741,0.3007,0.0111,0.1054,0.5029,0.1275,-0.1446,2.2515,0.1039,-15.5658,-0.7187,0.0462,0.8042,0.9772,1.1598,1.215,1.4421,1.1869,0.6468,0.9549,1.3451,1.4763,2.0797,1.4087,0.4093,0.7146,-3.1214,1.7459,-7.6261,-4.3681,1.5408,0.8474,0.5399,0.55,0.3504,0.6371,0.7091,0.7855,1.0749,1.1078,1.516,1.3686,0.0022,0.432,-0.0721,-0.273,0.1748,0.1135,-0.6708,0.0356,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1389,1.3102,1.1446,4.8445,-1.4624,-0.4565,3.2063,1.7906,11.8251,-0.7792,0.0047,7.4403,2.7277,13.7109,-0.4085,2.9513,3.4744,1.864,11.6523,0.0214,-0.3042,29.4287,0.0471,-96.7455,-0.1547,0.0016,0.6392,0.4196,0.6141,0.6565,0.9606,1.4634,0.4086,0.1761,0.3771,0.4309,0.9228,2.1414,0.5556,0.7236,-11.276,1.3024,-20.2968,-15.5836,0.296,0.2021,0.1652,0.6827,0.5582,0.8175,0.4097,0.3533,0.4158,0.8625,1.0148,1.1767,0.0052,4.3358,-0.4007,0.1559,-0.1029,0.2325,0.291,0.5842,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1245,7.796,2.7921,16.8308,-0.6688,-4.2421,43.958,6.6301,21.7349,-50.7672,-0.35,68.7229,8.2899,41.9203,-0.8109,7.1115,88.0372,9.3828,28.1605,0.0026,0.0293,0.3557,-0.0175,12.1218,-0.5965,-0.0492,0.4211,0.3368,0.2976,0.7998,0.7066,0.8835,0.1774,0.1134,0.0886,0.6396,0.4993,0.7806,0.3164,0.3593,-90.3755,1.1355,-285.5988,-251.5182,24.0219,0.4357,0.3572,0.0181,0.0149,0.8199,0.7744,0.4015,0.5977,0.5185,0.7718,1.4886,0.0458,10.5593,-0.2435,0.0782,0.2664,0.5339,-0.897,-0.1418,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1152,0.0161,0.1267,0.5744,-3.2017,-0.0819,0.008,0.0893,0.4827,-1.5465,-0.0174,0.0057,0.0758,0.4944,-2.1526,0.1964,0.0115,0.107,0.4967,0.0328,1.407,6.6111,-0.5862,4.6988,-0.4167,-0.0887,1.4193,1.6723,1.1842,1.1783,0.8344,0.7081,2.0144,2.7967,1.4024,1.3883,0.6962,0.5015,1.4932,1.2965,-25.9757,0.8683,-17.3959,-20.0351,0.7212,0.8717,0.2662,1.2086,0.3691,0.3054,1.1901,1.1618,1.1564,0.9762,0.9717,0.9954,0.0015,0.2948,0.5052,-0.054,-0.7521,0.7991,-0.6356,-0.2862,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0274,1.3862,1.1774,15.5062,-0.7964,-0.1078,0.6581,0.8112,5.6403,-1.6361,0.1509,0.3906,0.625,3.7365,-1.1031,0.9197,1.6241,1.2744,9.3423,0.0065,-0.2539,0.1814,0.0298,-0.7145,-0.1172,0.164,1.4514,1.8839,0.9239,1.298,0.6365,0.4904,2.1065,3.5492,0.8535,1.6849,0.4052,0.2405,1.9637,3.5075,-113.2678,1.7862,-57.6822,-32.2928,4.0344,4.8584,0.918,1.2043,0.2275,0.189,2.7492,4.1499,1.6598,1.5095,0.6037,0.4,0.002,1.3337,-0.427,-0.2644,0.2145,-0.6187,-0.2726,0.0011,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.5133,4.5747,2.1389,8.6582,-0.5559,-0.8383,24.0827,4.9074,17.1922,-0.5831,0.0436,16.4034,4.0501,16.0907,-0.6688,6.38,5.3247,2.3075,12.5277,0.0582,-0.6123,11.7821,0.0805,-19.2425,-0.1314,0.0068,0.4358,0.5281,0.9269,1.2117,2.1267,1.7552,0.19,0.2789,0.8591,1.4681,4.5228,3.0806,0.4885,0.4797,-3.9974,0.982,-8.1833,-8.3335,0.5124,0.5771,0.4184,1.1263,0.8164,0.7249,0.5036,0.5381,0.6911,1.0685,1.3723,1.2844,0.0104,9.6422,-0.3516,0.0711,0.1778,0.7901,0.2618,0.4241,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
