@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.2532,6.2375,2.4975,9.7729,-0.8082,-2.0649,12.35,3.5143,12.2079,-2.2405,0.5408,30.7166,5.5423,19.8881,-0.8531,6.8989,6.3293,2.5158,8.3766,0.2856,0.1226,-0.4681,-0.0367,-3.8181,-0.2993,0.0784,0.7107,0.4506,0.9927,0.6341,1.3969,2.203,0.5051,0.2031,0.9855,0.4021,1.9512,4.853,0.5175,0.4771,-1.3044,0.9219,-2.5205,-2.734,1.4347,0.5036,0.4609,0.351,0.3213,0.9153,0.8005,0.4914,1.1667,0.6138,1.4574,2.3743,0.0448,10.0912,-0.2162,-0.7371,0.298,0.5592,-0.2789,-0.3401,6.9841,6.4325,2.5362,6.7301,0.2992,2.057,5.8322,2.415,6.8754,-0.2606,5.0752,5.1214,2.2631,6.2412,0.1877,3.3954,1.3761,0.4053,1.0502,1.1207,1.0671,1.1029,1.256,1.1388,-2.022,1.9924,-0.9854,1.7609,1.2499,0.7098,0.9789,1.0783,1.1016,0.1849,14.5648,-0.9799,-0.9212,0.9741,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8143,6.2481,2.4996,9.6618,-1.0071,-1.3525,6.9026,2.6273,10.296,-1.2108,0.0229,3.6292,1.905,7.4778,-1.7801,4.0483,2.8844,1.6983,6.5531,0.0382,-0.6021,35.5442,0.2012,-59.0355,-0.3341,0.0057,0.9514,1.3121,1.4718,1.3791,1.547,1.1217,0.9052,1.7216,2.1662,1.9019,2.3931,1.2582,0.8597,1.0125,-18.6311,1.1777,-21.6712,-18.4013,1.0337,1.7897,0.7065,1.7314,0.6835,0.3948,0.9384,1.2921,1.4744,1.3769,1.5712,1.1411,0.0329,6.3696,-0.8153,0.2579,0.1318,0.2849,-0.3882,-0.3529,5.8468,8.4876,2.9133,7.6043,0.1811,2.7414,9.211,3.035,8.847,-0.3561,5.7914,3.2039,1.7899,4.7395,0.39,2.1328,1.0096,0.4734,0.9599,1.6276,1.6956,0.9215,2.6492,2.875,-0.7241,0.555,-0.7665,1.4234,1.1951,0.8396,0.8595,1.6045,1.8666,0.1807,15.1861,-0.9411,-0.8919,0.9313,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.6777,15.1235,3.8889,15.9401,-0.7155,-0.4779,30.1812,5.4937,25.2906,-1.2741,-0.1046,14.7217,3.8369,13.7422,-1.2593,7.2861,7.6381,2.7637,15.7982,0.1249,-1.4181,-6.481,0.093,4.5702,-0.0656,-0.0144,0.7079,1.0136,1.4071,1.4318,1.9878,1.3883,0.5011,1.0273,1.98,2.0501,3.9514,1.9274,0.4692,0.868,-2.9489,1.8498,-6.2846,-3.3974,0.8355,1.5276,0.5147,1.8284,0.616,0.3369,0.6303,1.1599,1.009,1.8404,1.6009,0.8699,0.0174,11.3699,-0.8794,-0.1479,0.2726,0.5356,-0.3696,-0.354,5.346,11.566,3.4009,9.8321,-0.0301,4.0467,7.281,2.6983,7.6649,-0.0901,5.4411,2.7532,1.6593,4.8274,0.3093,1.3211,0.9825,0.7437,1.2604,2.0496,1.6262,1.5885,4.2009,2.6446,0.454,-0.1331,-0.2931,1.3574,1.3657,1.0061,1.2827,2.0367,1.5878,0.1799,14.9124,-0.9595,-0.888,0.9763,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0929,24.0348,4.9025,24.0089,-0.3552,0.0281,27.0997,5.2057,25.0715,-0.4422,1.517,44.4511,6.6672,26.7807,-0.3023,8.1234,31.907,5.6486,25.8391,0.1022,-3.3021,-0.0612,-0.0114,0.0185,0.0035,0.1867,0.9418,0.7353,0.8679,0.7808,0.9216,1.1803,0.8869,0.5407,0.7533,0.6097,0.8493,1.3931,0.8186,1.0123,-2.1406,1.2367,-2.615,-2.1145,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8965,0.9292,0.9362,0.9703,1.0364,0.0317,12.6714,0.5387,0.4678,0.5394,0.2125,0.5323,0.8311,3.6413,15.7728,3.9715,10.236,-0.347,2.6559,3.6827,1.919,6.3013,0.0959,7.1377,5.4545,2.3355,6.6579,0.3182,1.371,0.5102,0.3721,2.0695,1.7005,0.8217,4.283,2.8917,0.6752,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.1759,14.5147,0.7165,-0.8662,-0.9591,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-3.4626,0.5768,0.7595,4.3423,?,0.285,0.8156,0.9031,2.9548,-0.7921,1.9085,1.6957,1.3022,4.656,-0.0972,4.2712,0.5577,0.7468,2.2949,0.5543,-12.1512,-1.8143,-0.8107,0.1493,0.0667,0.4468,0.8409,0.5832,1.0169,0.6935,1.2093,1.7436,0.7072,0.3401,1.0341,0.481,1.4624,3.0403,3.3249,10.5282,-1.5213,3.1665,-0.4576,-0.1445,0,0,0,0.3885,0.3202,0.8241,1.4696,0.9326,1.8922,0.6346,1.2876,2.0289,0.3604,6.3087,0.4162,0.3033,-0.4664,0.0421,-0.238,0.629,3.9778,1.4554,1.2064,4.2812,0.2855,2.0476,0.0189,0.1375,0.5039,0.7897,7.5862,0.7093,0.8422,2.6641,0.6913,1.9426,0.5243,0.2699,8.774,1.4324,0.1633,76.983,2.0518,0.0267,0.904,0.2868,0.3173,2.5004,0.6944,0.2777,8.4961,1.607,0.1891,0.2002,13.6117,-0.8741,-0.9489,0.7386,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.147,0.2009,0.4483,2.0108,-0.7256,-0.302,14.1769,3.7652,12.7511,-0.9017,0.0659,11.3849,3.3742,11.5549,-0.6657,4.5774,4.9269,2.2197,9.2496,0.043,0.4868,-2.2309,-0.0321,-4.5829,-0.066,0.0144,0.1191,0.1328,0.2019,1.1159,1.6963,1.5201,0.0142,0.0176,0.0408,1.2452,2.8774,2.3108,0.1398,0.1831,-2.0345,1.3093,-14.5486,-11.1117,0.1738,0.168,0.1206,0.9665,0.6937,0.7177,0.1577,0.174,0.2174,1.1035,1.3785,1.2492,0.0067,6.7986,0.4566,0.3896,-0.144,0.9961,0.1585,0.1842,-5.6996,0.0281,0.1677,5.9163,?,7.7996,0.0136,0.1168,0.3871,0.9515,1.6868,0.0288,0.1697,0.4925,0.741,-0.7308,-3.3789,4.6238,1.4365,0.9884,0.6881,2.0634,0.9769,0.4734,-0.7794,-4.198,5.386,0,0,4.1948,15.2838,12.0134,0.786,0.1923,15.1861,0.9534,0.3076,0.0064,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-1.1338,1.3786,1.1742,4.9362,-2.4838,-1.7897,4.7079,2.1698,9.7227,-4.7917,1.6479,4.9168,2.2174,7.5105,-0.3017,3.6814,4.6549,2.1575,9.1381,0.0395,0.6335,-0.688,-0.308,-1.086,-0.4861,0.4476,0.5411,0.5295,0.5442,0.9785,1.0057,1.0277,0.2928,0.2804,0.2962,0.9575,1.0114,1.0563,0.4375,2.0216,-9.3765,4.6208,-21.4315,-4.638,0.844,0.2456,0.1489,0.291,0.1765,0.6065,0.5077,0.6572,0.5402,1.2946,1.064,0.8219,0.0526,5.728,0.4048,0.3198,-0.2174,-0.5322,-0.8609,0.7453,7.5953,0.2412,0.4911,1.3933,0.8333,-6.1247,0.4301,0.6559,6.9039,?,0.5237,0.0847,0.2911,1.1242,0.1492,-1.2401,14.504,-11.6957,0.7488,1.6871,2.253,0.5607,2.8462,5.0759,-1.009,35.3364,-35.0205,0,6.3267,0,0.2018,1.2394,6.1414,0.1916,14.2437,0.997,0.9372,0.9522,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4509,1.8159,1.3476,5.9208,-0.542,-2.981,11.46,3.3853,12.6817,-7.1682,-1.8644,4.0441,2.011,8.6962,-2.1412,4.6001,8.7248,2.9538,10.8438,0.1284,-0.1513,-0.2419,0.098,1.5989,-0.648,-0.4053,0.3981,0.6701,0.4562,1.6834,1.1461,0.6808,0.1585,0.449,0.2081,2.8338,1.3135,0.4635,0.187,0.3511,-1.3032,1.8775,-6.9693,-3.7121,2.4731,1.3869,0.3086,0.5608,0.1248,0.2225,0.4669,0.6808,0.546,1.4583,1.1695,0.802,0.0754,6.7401,-0.2158,-0.3073,0.2506,0.5826,-0.9164,-0.7252,6.8347,2.2523,1.5008,5.3207,0.4356,6.0139,3.0696,1.752,5.8479,0.3149,-2.6324,1.0455,1.0225,4.1738,-15.6726,1.1365,-2.5964,-2.2845,0.8566,1.4677,1.7135,0.7338,2.1542,2.9359,1.528,-1.0468,-0.6851,1.1045,37.6604,34.0969,0.9099,1.2748,1.4011,0.2016,15.4917,-0.9944,0.445,-0.4454,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0523,0.0335,0.183,0.715,-0.9903,-1.1787,0.4197,0.6478,2.2483,?,-0.8038,0.2495,0.4995,1.6335,-140.1206,1.4514,0.6344,0.7965,2.5897,0.0726,0.0443,0.065,-0.036,1.4663,-0.8121,-0.5538,0.2824,0.3663,0.2297,1.2969,0.8134,0.6272,0.0798,0.1342,0.0528,1.6819,0.6616,0.3934,0.1582,0.2194,-1.7562,1.3863,-11.0981,-8.0057,0,31.0376,0.1287,0,0,0.0041,0.318,0.4377,0.2761,1.3764,0.8682,0.6307,0.0304,2.1494,0.7037,0.5628,-0.6564,0.9754,-0.9965,-0.989,7.4068,0.0005,0.0217,0.0795,0.9893,6.3305,0.001,0.0324,0.0958,0.985,-1.1085,0.0053,0.0729,1.2089,?,1.17,-6.6819,-5.7109,0.6714,0.2981,0.444,0.4507,0.0889,0.1972,1.1743,-6.0962,-5.1915,1.1691,0,0,0.83,0.0658,0.0792,0.2086,14.8458,-0.9221,-0.342,0.6654,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.3072,4.7213,2.1729,9.9664,-0.7628,-0.8081,64.1216,8.0076,29.5438,-0.7258,0.6098,26.6645,5.1638,18.9405,-1.5094,9.0744,14.2815,3.7791,15.4583,0.174,0.3802,-0.5038,-0.0339,-1.3253,-0.0891,0.0672,0.2713,0.4208,0.575,1.5507,2.1189,1.3664,0.0736,0.1771,0.3306,2.4048,4.4898,1.8671,0.3471,0.3785,-1.3244,1.0906,-3.8158,-3.4987,0.3303,0.7491,0.3021,2.268,0.9147,0.4033,0.3373,0.5262,0.6447,1.5598,1.9112,1.2253,0.0225,12.9715,-0.004,0.0477,0.1963,0.5433,0.5213,0.1411,5.7656,3.6612,1.9134,5.3153,0.315,7.4877,1.9889,1.4103,3.6703,0.6133,-0.8205,0.5386,0.7339,2.112,-5.3391,0.77,-7.0268,-9.1256,1.3568,2.6072,1.9216,1.8409,6.7974,3.6925,0.4199,-1.3743,-3.2727,0.8176,23.2916,28.4895,1.4482,2.5168,1.7378,0.2018,14.157,-0.9836,-0.9459,0.9612,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
