@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.2354,5.39,2.3216,15.9524,-1.1778,-1.5775,25.7734,5.0768,32.2636,-0.968,-0.083,27.2861,5.2236,26.9182,-0.8196,6.655,16.7116,4.088,17.2378,0.0844,0.1492,2.8345,-0.0354,18.9967,-0.237,-0.0125,0.4573,0.4445,0.5679,0.9719,1.2419,1.2778,0.2091,0.1975,0.3225,0.9446,1.5422,1.6328,0.5437,0.7115,-5.432,1.3088,-9.9915,-7.634,0.4468,0.4952,0.3891,1.1082,0.8708,0.7858,0.4944,0.5926,0.9254,1.1986,1.8717,1.5616,0.0084,9.7333,0.2547,-0.3019,-0.0393,-0.0679,-0.3663,0.1644,?,?,?,?,?,DESTRA_PANTALONI
-0.1134,2.7898,1.6703,9.7714,-0.8139,-0.7624,6.2777,2.5055,12.7742,-1.9775,-0.0211,15.5695,3.9458,21.0955,-0.9584,4.2215,7.4107,2.7223,11.2604,0.0543,0.1488,5.3724,-0.0269,36.1049,-0.1806,-0.005,0.6666,0.4233,0.6136,0.635,0.9204,1.4495,0.4444,0.1792,0.3765,0.4032,0.8471,2.101,0.5168,0.4247,-6.7779,0.8218,-13.1152,-15.9595,1.2556,0.5001,0.4524,0.3983,0.3603,0.9046,0.7649,0.4632,0.8678,0.6055,1.1344,1.8734,0.004,6.1044,0.0205,-0.4486,0.0386,0.3519,-0.4376,0.0314,?,?,?,?,?,DESTRA_PANTALONI
0.3725,3.1651,1.7791,11.2053,-0.7626,-0.6147,10.1166,3.1807,19.4349,-0.9606,-0.1667,7.0152,2.6486,14.8379,-0.5901,3.8456,6.0527,2.4602,13.3081,0.0192,-0.606,-2.2354,0.0969,3.6886,-0.1598,-0.0433,0.5593,0.6717,0.7231,1.2009,1.2928,1.0766,0.3129,0.4512,0.5229,1.4421,1.6714,1.159,0.5091,0.8804,-18.6311,1.7293,-36.595,-21.1616,0.6413,0.6813,0.4686,1.0623,0.7306,0.6877,0.5766,0.7552,0.842,1.3098,1.4604,1.115,0.0039,5.9958,-0.4614,0.1251,0.3288,0.8007,0.0915,0.2608,?,?,?,?,?,DESTRA_PANTALONI
0.1663,6.2391,2.4978,15.5277,-0.7601,0.046,17.5833,4.1932,23.2592,-1.0818,0.0911,13.1381,3.6247,14.8442,-1.1226,5.4008,7.8297,2.7982,15.2226,0.03,3.6181,1.8251,0.0308,0.5044,0.0085,0.0169,0.5957,0.6891,0.8927,1.1569,1.4986,1.2954,0.3548,0.4749,0.7968,1.3383,2.2457,1.678,0.5548,0.8542,-14.2557,1.5395,-25.6944,-16.6896,0.7896,1.2615,0.5622,1.5976,0.7119,0.4456,0.6676,1.046,1.02,1.5669,1.5279,0.9751,0.001,8.3687,-0.6117,0.0514,0.2777,0.7085,-0.0704,0.0849,?,?,?,?,?,DESTRA_PANTALONI
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
0.1051,7.5687,2.7511,24.0089,-0.3552,0.5982,10.7523,3.2791,25.0715,-0.4422,0.3197,18.4627,4.2968,29.1037,-0.4152,4.8184,14.0379,3.7467,28.3459,0.015,0.1756,0.3286,0.0218,1.871,0.1241,0.0664,0.839,0.6403,0.7343,0.7631,0.8752,1.1468,0.7039,0.4099,0.5392,0.5824,0.766,1.3152,0.8186,0.7369,-14.5354,0.9002,-17.7564,-19.7241,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.847,0.8615,0.8845,1.0267,0.0036,7.2841,0.542,0.2058,0.3776,0.1364,0.322,0.5168,?,?,?,?,?,DESTRA_PANTALONI
-0.0568,5.1431,2.2678,17.2085,-0.7764,-0.0392,25.2409,5.024,31.8493,-1.3526,-0.1488,10.4112,3.2266,20.0072,-1.3682,5.1113,14.6965,3.8336,20.3873,0.0292,1.4493,0.3817,-0.0111,0.2634,-0.0077,-0.0291,0.4514,0.7028,0.5916,1.557,1.3105,0.8417,0.2038,0.494,0.35,2.4244,1.7175,0.7084,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0009,7.5982,0.6744,0.2541,-0.0822,0.5154,-0.4528,-0.3339,?,?,?,?,?,DESTRA_PANTALONI
-0.1425,4.8533,2.203,14.4644,-1.2126,-0.7034,7.1531,2.6745,13.053,-2.0814,-0.2872,7.9117,2.8128,12.6601,-1.1969,3.8914,5.3728,2.3179,11.6348,0.0266,0.2026,0.4962,-0.0366,2.4487,-0.1808,-0.0738,0.8237,0.7832,0.9504,0.9509,1.1538,1.2135,0.6785,0.6134,0.9033,0.9041,1.3314,1.4726,0.8991,1.1493,-24.9189,1.2783,-27.7157,-21.6818,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.2432,1.031,1.1219,1.0881,0.004,6.002,0.7763,-0.0518,-0.37,0.4874,-0.5729,-0.1758,?,?,?,?,?,DESTRA_PANTALONI
-0.207,0.4025,0.6344,3.6556,-3.8189,0.2915,0.9935,0.9968,5.4187,-0.6421,0.5717,4.5503,2.1331,8.5944,-0.4898,1.6431,3.7014,1.9239,6.4799,0.0039,-0.7101,-0.3621,-0.126,0.51,0.1774,0.3479,0.6365,0.2974,0.3298,0.4673,0.5181,1.1088,0.4051,0.0885,0.1087,0.2183,0.2684,1.2294,1.3672,1.0253,-113.9103,0.7499,-83.3154,-111.1046,0.2299,0.1315,0.1166,0.572,0.5072,0.8868,0.6746,0.4253,0.5641,0.6305,0.8362,1.3263,0.0153,2.3265,0.1865,-0.4515,-0.5501,0.0866,0.2615,0.7191,?,?,?,?,?,DESTRA_PANTALONI
0.8087,3.5808,1.8923,7.9031,-0.2843,-0.9291,3.6793,1.9181,8.9678,-4.7139,0.5501,7.9155,2.8135,13.0831,-0.3883,2.9567,8.2533,2.8729,10.6743,0.0334,-0.8705,1.47,0.2735,-1.6887,-0.3142,0.1861,0.9865,0.6726,0.6587,0.6818,0.6677,0.9793,0.9732,0.4524,0.4339,0.4648,0.4458,0.9591,0.2365,0.4781,-4.7423,2.0217,-20.0527,-9.919,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.8813,0.6041,0.7404,0.6854,0.8401,1.2257,0.0307,4.5031,-0.7778,0.3622,0.847,-0.5353,-0.8455,0.6891,?,?,?,?,?,DESTRA_PANTALONI
-1.0438,2.3865,1.5448,5.2091,-5.01,0.1513,0.9545,0.977,4.5173,-0.5529,0.3782,4.2539,2.0625,8.3219,-0.9341,2.5656,2.2681,1.506,4.8776,0.0714,-6.8988,-2.7597,-0.4068,0.4,0.059,0.1474,1.5812,0.749,1.0258,0.4737,0.6487,1.3695,2.5003,0.561,1.0522,0.2244,0.4208,1.8756,2.6998,1.0804,-11.5868,0.4002,-4.2917,-10.7246,0.298,0.2014,0.165,0.6761,0.5538,0.8192,1.1531,0.6259,1.068,0.5428,0.9261,1.7061,0.0255,3.7843,-0.1383,-0.3347,-0.6391,0.6349,0.2188,0.4257,?,?,?,?,?,DESTRA_PANTALONI
1.069,3.451,1.8577,6.237,-0.1167,-0.8717,4.9044,2.2146,11.1126,-1.1325,0.5442,7.2368,2.6901,12.6746,-0.7795,3.3616,6.4908,2.5477,8.1481,0.0456,-1.2263,1.9643,0.318,-1.6019,-0.2593,0.1619,0.8388,0.6906,0.7292,0.8232,0.8693,1.0559,0.7036,0.4769,0.5317,0.6777,0.7556,1.1149,0.1105,0.1174,-1.6731,1.063,-15.1475,-14.2502,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.5613,0.4921,0.7655,0.8768,1.3638,1.5555,0.0337,5.1657,-0.2389,-0.0344,0.8833,0.3332,-0.1956,0.2392,?,?,?,?,?,DESTRA_PANTALONI
0.2558,0.3534,0.5945,2.5023,-0.8149,-1.4092,3.9529,1.9882,7.9153,-9.2122,0.7432,2.236,1.4953,6.3464,-0.1812,2.0376,4.9942,2.2348,8.1652,0.0073,-0.1815,0.3442,0.1256,-1.8962,-0.6916,0.3647,0.299,0.3975,0.266,1.3296,0.8897,0.6691,0.0894,0.158,0.0708,1.7678,0.7915,0.4477,0.1574,1.1538,-18.8042,7.3326,-119.5014,-16.2973,1.7789,0.2566,0.1676,0.1443,0.0942,0.6532,0.3161,0.3943,0.3065,1.2472,0.9694,0.7772,0.0367,2.9643,-0.3728,0.1607,0.4367,-0.7455,-0.9557,0.8343,?,?,?,?,?,DESTRA_PANTALONI
-0.6268,0.0141,0.1189,0.9786,?,-0.4579,0.0191,0.1383,0.8403,-364.9501,-0.2192,0.0142,0.1193,0.7777,-2.0521,0.821,0.0241,0.1554,0.8051,0.3386,1.3688,2.8597,-0.7635,2.0892,-0.5578,-0.267,0.8597,0.9966,0.7652,1.1592,0.8901,0.7678,0.7391,0.9932,0.5856,1.3438,0.7923,0.5896,1.1678,1.8714,-2.3748,1.6026,-2.0336,-1.269,0,0,0,0.009,0.0019,0.2093,1.1646,1.2583,1.2155,1.0805,1.0437,0.966,0.004,1.3091,0.3864,-0.0851,-0.7771,0.7853,-0.8606,-0.5074,?,?,?,?,?,DESTRA_PANTALONI
-0.479,0.0116,0.1079,0.8063,?,-0.383,0.0194,0.1394,0.7279,?,-0.2069,0.0133,0.1152,0.5396,-6.5807,0.663,0.0237,0.1541,0.8057,0.2709,1.2505,2.3148,-0.7224,1.8511,-0.5777,-0.3121,0.774,0.9363,0.7003,1.2098,0.9048,0.7479,0.5991,0.8767,0.4904,1.4635,0.8187,0.5594,1.1077,1.7212,-2.6937,1.5538,-2.4318,-1.565,1,0,0,0,0,0.0644,1.1077,1.4942,1.0007,1.3489,0.9034,0.6697,0.0032,1.0709,0.3564,0.021,-0.6854,0.9048,-0.9137,-0.72,?,?,?,?,?,DESTRA_PANTALONI
