@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.2312,4.8294,2.1976,16.4352,-3.5644,0.2932,9.6701,3.1097,14.4383,-0.8744,0.284,15.3006,3.9116,17.9964,-1.0809,4.8614,6.3873,2.5273,16.2981,0.0413,-0.7885,-0.8141,-0.0476,1.0325,0.0603,0.0584,0.7067,0.5618,0.8695,0.795,1.2304,1.5477,0.4994,0.3156,0.7561,0.632,1.514,2.3955,1.9055,1.373,-18.3012,0.7205,-9.6044,-13.3297,0.4675,0.4163,0.2118,0.8907,0.4531,0.5087,1.1383,0.9133,1.0084,0.8023,0.8859,1.1042,0.0023,7.3328,-0.5902,0.1967,-0.339,0.0527,0.2222,0.0323,?,?,?,?,?,DESTRA_PANTALONI
-0.144,3.9332,1.9832,10.585,-1.7597,-0.585,3.3348,1.8261,8.0628,-1.7329,0.1974,17.5583,4.1903,18.5259,-0.5008,4.3751,6.0868,2.4671,13.6629,0.0457,0.2462,-0.7294,-0.0329,-2.9627,-0.1337,0.0451,1.086,0.4733,0.8039,0.4358,0.7402,1.6984,1.1795,0.224,0.6462,0.1899,0.5479,2.8846,1.3202,1.0918,-10.3228,0.827,-7.8193,-9.4552,1.3001,0.3107,0.2679,0.239,0.2061,0.8622,1.3128,0.5714,0.7747,0.4352,0.5901,1.3559,0.0032,6.3775,-0.197,-0.2791,-0.3668,-0.0937,-0.3662,0.4976,?,?,?,?,?,DESTRA_PANTALONI
-0.0301,2.3263,1.5252,8.5047,-0.4227,0.1253,2.5096,1.5842,7.8823,-0.9925,0.2581,14.5167,3.8101,17.4742,-0.7861,4.0574,2.9734,1.7244,8.6482,0.122,-0.2404,-0.1167,-0.0074,0.4855,0.0309,0.0636,0.9628,0.4003,0.8845,0.4158,0.9187,2.2096,0.927,0.1603,0.7824,0.1729,0.844,4.8822,0.6435,0.3285,-2.1024,0.5105,-3.267,-6.3993,1.5111,0.611,0.6069,0.4044,0.4016,0.9932,1.079,0.4867,0.9834,0.4511,0.9114,2.0206,0.0014,5.8389,-0.1409,0.3839,0.3409,0.2959,-0.055,0.3205,?,?,?,?,?,DESTRA_PANTALONI
-0.273,2.9985,1.7316,11.2515,-1.021,0.6705,2.0298,1.4247,8.3195,-1.2857,0.2868,19.139,4.3748,18.5251,-0.6253,4.3362,5.9711,2.4436,13.0228,0.0169,-0.4071,-0.9516,-0.063,2.3374,0.1546,0.0662,1.2154,0.3958,0.7086,0.3257,0.583,1.7903,1.4773,0.1567,0.5022,0.1061,0.3399,3.2053,1.2147,0.7975,-25.4352,0.6566,-20.9401,-31.8933,1.5296,0.4885,0.4203,0.3193,0.2748,0.8604,1.3524,0.6074,0.864,0.4491,0.6388,1.4225,0.0039,6.2353,-0.3091,-0.0997,-0.2039,-0.1501,0.2239,0.4043,?,?,?,?,?,DESTRA_PANTALONI
0.0924,1.1857,1.0889,7.4659,-1.5033,-0.0568,17.74,4.2119,24.683,-0.8672,0.4813,18.1267,4.2576,15.9687,-0.8682,5.1544,10.7277,3.2753,14.212,0.0188,-1.6278,0.192,0.0179,-0.118,-0.011,0.0934,0.2585,0.2558,0.3325,0.9893,1.2859,1.2999,0.0668,0.0654,0.1105,0.9787,1.6537,1.6897,0.3911,0.6042,-16.5038,1.5448,-42.1979,-27.3167,0.2256,0.3489,0.2059,1.5465,0.9127,0.5902,0.3025,0.4675,0.5253,1.5457,1.7368,1.1236,0.0025,7.1049,0.3296,-0.1158,-0.0893,0.218,0.0271,0.2774,?,?,?,?,?,DESTRA_PANTALONI
0.3635,2.8653,1.6927,10.2561,-1.0403,0.0338,2.8273,1.6815,11.0852,-0.8729,0.1795,18.8369,4.3401,17.3103,-0.5721,4.5029,4.4192,2.1022,12.161,0.0456,10.7591,2.0255,0.0807,0.1883,0.0075,0.0399,1.0067,0.39,0.8052,0.3874,0.7999,2.0646,1.0134,0.1521,0.6484,0.1501,0.6398,4.2626,1.0122,0.8301,-8.9967,0.8202,-8.8884,-10.8375,0.8493,0.4565,0.3945,0.5375,0.4645,0.8641,0.9252,0.5925,0.8434,0.6404,0.9115,1.4234,0.002,6.2526,-0.347,-0.1963,-0.1854,-0.0018,-0.0951,0.4238,?,?,?,?,?,DESTRA_PANTALONI
-0.1899,0.8058,0.8977,7.8938,-1.505,-0.3927,1.5988,1.2644,6.8843,-1.503,0.1027,2.0768,1.4411,7.8632,-0.6007,1.6014,2.1178,1.4553,5.98,0.0241,0.4837,-1.8488,-0.1186,-3.8223,-0.2452,0.0642,0.7099,0.6229,0.6168,0.8774,0.8689,0.9903,0.504,0.388,0.3805,0.7698,0.7549,0.9806,1.1472,1.6072,-32.139,1.4009,-28.014,-19.9972,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.32,0.8755,1.1512,1.3149,0.0022,2.3991,0.4836,0.0259,-0.2784,0.5491,-0.629,-0.0404,?,?,?,?,?,DESTRA_PANTALONI
-0.01,5.5464,2.3551,13.0837,-0.745,-0.7869,11.9211,3.4527,19.0694,-1.4905,0.042,10.5878,3.2539,20.5396,-0.9513,3.6826,15.1153,3.8878,13.5038,0.013,0.0128,-0.2387,-0.0027,-18.7232,-0.2137,0.0114,0.6821,0.7238,0.6058,1.0611,0.8881,0.8369,0.4653,0.5239,0.3669,1.1259,0.7887,0.7005,0.4894,0.5578,-31.3266,1.1397,-64.0051,-56.1573,0.9792,0.7123,0.548,0.7274,0.5596,0.7694,0.6861,0.637,0.9689,0.9284,1.4122,1.521,0.0042,5.5778,-0.5463,-0.4057,0.1333,0.0172,-0.5569,0.1214,?,?,?,?,?,DESTRA_PANTALONI
0.0057,5.065,2.2506,14.3842,-1.0593,-0.824,25.1559,5.0156,36.058,-0.7644,-0.1191,25.847,5.084,25.3122,-0.7699,6.2812,17.3079,4.1603,20.0977,0.0507,-0.0069,-0.0479,0.0009,6.9155,-0.1312,-0.019,0.4487,0.4427,0.541,0.9865,1.2056,1.222,0.2013,0.196,0.2926,0.9733,1.4534,1.4934,0.4736,0.672,-6.8925,1.4188,-14.5524,-10.2566,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.3989,0.5683,0.7157,1.4245,1.7941,1.2595,0.0043,9.2544,-0.1546,-0.2896,-0.0178,-0.2805,-0.1717,0.268,?,?,?,?,?,DESTRA_PANTALONI
0.0897,3.4662,1.8618,10.0369,-1.0869,-0.5069,17.4464,4.1769,26.8247,-1.496,-0.4905,11.6506,3.4133,15.0154,-0.8867,5.0483,7.5832,2.7538,15.6334,0.0697,-0.177,-0.183,0.0178,1.0335,-0.1004,-0.0972,0.4457,0.5454,0.6761,1.2237,1.5168,1.2395,0.1987,0.2975,0.4571,1.4975,2.3007,1.5364,0.3251,0.7408,-4.462,2.2783,-13.7237,-6.0236,0.4475,0.6043,0.2862,1.3504,0.6395,0.4736,0.3742,0.6684,0.642,1.7865,1.7159,0.9605,0.0038,7.4315,0.2882,0.1713,-0.2367,-0.0951,-0.4053,0.1683,?,?,?,?,?,DESTRA_PANTALONI
