@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-1.5778,5.9582,2.4409,8.0107,-2.3522,1.3744,22.5499,4.7487,14.4383,-0.8744,2.0111,13.5104,3.6757,12.4115,-0.4351,6.7975,4.2357,2.0581,8.6758,0.2089,-1.148,-0.7845,-0.2321,0.6834,0.2022,0.2959,0.514,0.6641,1.186,1.2919,2.3073,1.786,0.2642,0.441,1.4067,1.6691,5.3238,3.1897,0.8345,1.4937,-2.4531,1.7899,-2.9394,-1.6422,0.3102,0.2763,0.2179,0.8907,0.7023,0.7886,0.5548,0.6454,0.9233,1.1633,1.6642,1.4306,0.058,10.3622,-0.7909,0.4272,-0.4133,-0.7926,0.257,-0.0152,8.1905,0.3875,0.6225,2.5,0.7153,-1.5321,7.0956,2.6638,8.1344,-0.9908,4.2695,1.0906,1.0443,3.228,0.4902,-5.3459,1.9184,-0.3589,0.2337,0.5961,2.5507,0.0546,0.3553,6.5059,-1.5513,2.0232,-1.3042,2.1489,1.3866,0.6453,0.3073,0.7744,2.5199,0.1873,15.3025,-0.7877,-0.7964,0.982,PANTALONI
0.159,9.8396,3.1368,9.841,-2.1832,-2.9202,2.0462,1.4305,7.4124,-2.223,1.5583,29.2481,5.4081,17.3552,-0.406,6.5454,9.2723,3.045,12.5493,0.1235,-0.0545,0.1021,0.0243,-1.874,-0.4461,0.2381,2.1929,0.58,1.0301,0.2645,0.4698,1.776,4.8086,0.3364,1.0612,0.07,0.2207,3.1543,1.3202,1.3468,-3.8187,1.0202,-2.8926,-2.8354,1.3442,0.2505,0.2159,0.1863,0.1606,0.8622,1.3276,0.567,0.7842,0.4271,0.5907,1.383,0.0663,10.2234,-0.2308,-0.8803,-0.8386,-0.0314,-0.1411,0.8152,7.6235,1.5433,1.2423,4.087,0.5394,0.9634,10.4484,3.2324,10.2046,-0.7656,4.8924,1.2602,1.1226,3.1472,0.5019,7.9135,1.5582,0.1969,0.3843,1.1066,2.8794,0.1477,1.2246,8.2912,-1.0815,1.5089,-1.3952,1.5352,1.4042,0.9147,0.4005,1.2986,3.2424,0.1822,15.4967,-0.8314,-0.8206,0.9933,PANTALONI
-0.628,1.573,1.2542,4.5999,-1.0534,0.0782,2.8316,1.6827,7.0803,-0.7898,1.2872,13.306,3.6477,14.581,-0.4904,3.9921,3.8306,1.9572,8.2264,0.1648,-8.0296,-0.4879,-0.1573,0.0608,0.0196,0.3224,0.7453,0.3438,0.6408,0.4613,0.8598,1.8638,0.5555,0.1182,0.4106,0.2128,0.7392,3.4736,0.7553,0.4919,-1.4535,0.6512,-1.9244,-2.955,0.5663,0.229,0.2274,0.4044,0.4016,0.9932,0.6497,0.3155,0.5592,0.4856,0.8607,1.7725,0.0287,5.7544,-0.2001,0.3122,0.3659,-0.5546,-0.4143,0.7314,3.7952,3.4631,1.8609,5.4123,0.0085,6.2331,0.1225,0.35,1.0824,0.8402,6.2442,0.4034,0.6351,1.8458,0.7488,0.6089,0.6078,0.9982,5.3177,2.9299,0.551,28.2774,8.5846,0.3036,0.0082,0.0085,1.0346,0.8057,0.7429,0.922,5.0003,2.9322,0.5864,0.1921,16.2725,-0.8178,-0.9559,0.6853,PANTALONI
-0.8852,4.7964,2.1901,10.672,-1.1396,1.5548,2.016,1.4199,5.3401,-0.4671,1.819,22.8138,4.7764,17.7168,-0.5544,4.9914,11.2221,3.3499,12.4875,0.0573,-0.5693,-0.4866,-0.1773,0.8547,0.3115,0.3644,1.5425,0.4585,0.6538,0.2973,0.4238,1.4258,2.3792,0.2102,0.4274,0.0884,0.1796,2.0329,3.3432,0.8995,-7.4916,0.2691,-2.2409,-8.3285,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.9985,0.6024,0.8546,0.3014,0.4276,1.4188,0.051,7.5611,-0.1452,-0.6222,-0.5767,0.0797,0.5913,0.7114,2.5523,0.208,0.4561,1.6665,0.5324,4.6022,0.4126,0.6424,2.6113,0.5898,8.2216,0.3226,0.568,2.2865,0.7415,0.5546,0.3104,0.5598,0.71,0.803,1.1309,0.5042,0.6448,1.279,0.5055,0.2894,0.5724,0.5599,0.403,0.7197,0.6382,0.7288,1.1421,0.1952,15.3762,0.9539,-0.9626,-0.9935,PANTALONI
-0.3332,2.4185,1.5552,7.4659,-1.5033,-0.8196,60.2479,7.762,24.683,-0.8672,1.0332,17.1217,4.1378,13.7663,-0.9374,8.1869,14.6138,3.8228,11.7035,0.192,0.4066,-0.3225,-0.0407,-0.7933,-0.1001,0.1262,0.2004,0.3758,0.4068,1.8758,2.0304,1.0824,0.0401,0.1413,0.1655,3.5188,4.1227,1.1716,0.3911,0.6731,-1.6126,1.7211,-4.1233,-2.3957,0.2256,0.4197,0.2059,1.8604,0.9127,0.4906,0.3025,0.5423,0.6379,1.793,2.109,1.1763,0.0272,11.6745,0.4445,0.2327,0.1358,0.8755,0.3286,0.1021,5.0904,3.3334,1.8258,5.5388,0.2566,0.292,17.7781,4.2164,11.2139,-1.054,6.9457,0.8821,0.9392,2.3048,0.7128,17.432,0.7329,0.042,0.433,1.9439,4.4893,0.1875,3.7788,20.1539,-0.3322,0.3341,-1.0058,1.3647,0.9283,0.6802,0.4939,2.4032,4.8656,0.1723,15.9069,-0.7169,-0.7564,0.9713,PANTALONI
-0.9423,4.2297,2.0566,7.5591,-2.2445,-0.0263,4.8664,2.206,10.1991,-0.7232,0.9783,26.7973,5.1766,17.3103,-0.5721,5.6677,5.6161,2.3698,11.1409,0.1257,35.8519,-0.9632,-0.1663,-0.0269,-0.0046,0.1726,0.9323,0.3973,0.8678,0.4261,0.9309,2.1844,0.8692,0.1578,0.7531,0.1816,0.8665,4.7715,1.2217,0.8301,-3.2654,0.6795,-2.6729,-3.9336,0.3936,0.2116,0.1828,0.5375,0.4645,0.8641,0.7412,0.4367,0.6785,0.5892,0.9155,1.5538,0.0272,8.2176,-0.2044,-0.7622,-0.6527,0.192,0.0456,0.6971,6.9091,3.2134,1.7926,5.4021,0.3803,1.7319,8.1682,2.858,9.199,-0.5624,5.7148,1.4577,1.2074,3.2655,0.5521,3.9893,1.209,0.3031,0.6272,1.4847,2.3671,0.3934,2.2044,5.6033,-1.0012,0.8238,-0.8228,1.4807,1.1958,0.8076,0.5873,1.6543,2.8171,0.1826,15.5347,-0.8953,-0.929,0.9758,PANTALONI
-0.854,1.923,1.3867,7.8938,-1.505,-1.7541,3.3844,1.8397,6.8843,-1.503,-0.0145,6.1744,2.4848,7.8632,-0.6007,3.7107,1.5186,1.2323,5.2395,0.1449,0.4869,58.9041,-0.2301,120.9893,-0.4727,-0.0039,0.7538,0.5581,1.1253,0.7404,1.4929,2.0164,0.5682,0.3115,1.2664,0.5481,2.2287,4.066,1.1472,1.6072,-5.3404,1.4009,-4.655,-3.3229,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.5066,0.8755,1.3139,1.5007,0.039,5.6122,0.2832,0.2839,0.155,0.8131,-0.2676,0.1277,6.3136,3.5717,1.8899,6.4169,0.2442,2.3723,16.1097,4.0137,11.7479,-0.8228,5.5194,0.5992,0.7741,2.867,0.617,2.6613,1.1439,0.4298,0.4709,2.4416,5.1853,0.2217,5.9612,26.8869,-0.3911,0.4491,-1.1483,1.3174,1.1343,0.861,0.5462,2.2382,4.0976,0.1743,16.0572,-0.5611,-0.8205,0.1536,PANTALONI
-0.2802,21.6417,4.6521,13.1453,-0.7342,-2.3508,29.5225,5.4335,18.8719,-1.6085,1.7475,28.6503,5.3526,20.1273,-0.9727,8.9466,8.4317,2.9037,10.2655,0.2418,0.1192,-0.1603,-0.0313,-1.3452,-0.2628,0.1953,0.8562,0.8691,1.6021,1.0151,1.8712,1.8434,0.7331,0.7554,2.5667,1.0304,3.5014,3.3979,0.4782,0.5608,-1.7002,1.1726,-3.5552,-3.032,1.0477,0.7429,0.5599,0.7091,0.5344,0.7536,0.6966,0.6531,1.2805,0.9376,1.8384,1.9607,0.0613,13.993,-0.726,-0.5033,0.5521,-0.0717,-0.8212,0.0793,6.7162,1.4411,1.2004,3.5358,0.5815,-3.256,18.0061,4.2434,12.4793,-1.6024,4.4731,0.9535,0.9765,2.6441,0.5755,-2.0627,1.5014,-0.7279,0.2829,1.2293,4.3455,0.08,1.5113,18.8836,-0.6393,1.3702,-2.1433,1.7618,1.3562,0.7698,0.2833,1.3372,4.7196,0.1813,15.9748,0.4896,0.3903,0.9885,PANTALONI
-0.4473,14.1946,3.7676,14.3842,-1.0593,-0.6724,82.588,9.0878,36.058,-0.7644,1.8816,54.3529,7.3724,22.982,-0.6069,11.7923,16.2699,4.0336,14.9251,0.295,0.6653,-0.2377,-0.0379,-0.3573,-0.057,0.1596,0.4146,0.511,0.934,1.2327,2.253,1.8278,0.1719,0.2612,0.8724,1.5195,5.0761,3.3407,0.4736,0.8524,-1.1846,1.7997,-2.5011,-1.3897,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.3989,0.6259,0.9638,1.569,2.4159,1.5398,0.0418,17.452,-0.2011,-0.5189,0.1155,-0.5677,-0.2571,0.4359,7.1197,1.6364,1.2792,3.6955,0.5937,-4.2925,14.5383,3.8129,11.873,-1.7632,3.0478,1.6006,1.2651,4.1654,0.2596,-1.6586,2.336,-1.4084,0.3355,1.0111,3.0138,0.1126,1.0224,9.0832,-0.7127,3.6974,-5.1881,2.1166,1.6167,0.7638,0.3113,0.8872,2.8504,0.1807,15.3495,0.6202,0.1768,0.8372,PANTALONI
-0.0574,6.4358,2.5369,9.9357,-1.0996,-1.782,48.7766,6.984,26.5763,-1.6325,-0.0198,18.6311,4.3164,16.656,-1.2243,8.2927,8.2533,2.8729,14.0254,0.178,0.0322,2.9033,-0.0069,90.072,-0.2149,-0.0024,0.3632,0.5877,0.8831,1.618,2.431,1.5025,0.1319,0.3454,0.7798,2.618,5.9099,2.2574,0.3157,0.5676,-1.7129,1.7977,-5.425,-3.0178,0.4687,0.632,0.2773,1.3482,0.5916,0.4388,0.3739,0.5965,0.7084,1.5956,1.8949,1.1876,0.0379,11.6864,0.2498,0.0427,-0.5826,-0.191,-0.4121,0.2244,5.251,4.2301,2.0567,6.3463,0.2075,0.2707,30.6948,5.5403,15.5012,-1.0856,5.7505,0.5817,0.7627,2.1178,0.6868,19.3991,0.9131,0.0471,0.3712,2.6967,7.2641,0.1378,7.272,52.767,-0.2059,0.3577,-1.7375,1.0774,1.1842,1.0992,0.4094,2.9966,7.3195,0.1658,15.9519,-0.3359,-0.0803,0.8823,PANTALONI
