-0.5820404,2.525779,1.58927,8.197746,-1.7003156,4.4516687,2.1732016,1.4741783,6.8282633,0.087067865,-0.5820404,2.525779,1.58927,8.197746,-1.7003156,27.719664,156.98198,12.529245,67.40941,0.09082632,-0.13074657,1.0,-0.020997385,-7.648384,0.16059606,-0.020997385,1.0780717,1.0,0.12684482,0.927582,0.11765899,0.12684482,1.1622387,1.0,0.01608961,0.8604084,0.013843637,0.01608961,-7.9264708,1.0,-0.7665211,-0.12615955,0.09670396,-0.7665211,0.40588987,1.0,0.04094551,2.4637225,0.10087837,0.04094551,1.2005609,1.0,0.121611305,0.832944,0.101295404,0.121611305,0.023578797,7.03571,0.34191227,1.0000005,0.34191227,TASCA_DESTRA_DAVANTI_PANTALONI
0.5198017,16.680946,4.0842314,33.813328,-0.17119566,2.3760679,9.65926,3.107935,28.910004,-0.22222222,0.5198017,16.680946,4.0842314,33.813328,-0.17119566,49.207233,41087.32,202.70007,2226.5105,1.2439522E-5,0.2187655,1.0,0.010563522,4.5711045,0.048286963,0.010563522,1.3141303,1.0,0.020149136,0.76095957,0.015332678,0.020149136,1.7269384,1.0,4.059877E-4,0.5790595,2.35091E-4,4.059877E-4,0.9402985,1.0,-178.45035,1.0634921,-189.78052,-178.45035,1.2205639,1.0,0.012966666,0.81929344,0.010623505,0.012966666,1.1696064,1.0,0.015186692,0.8549884,0.012984445,0.015186692,0.012498414,7.517314,0.63018304,1.0000002,0.63018304,TASCA_DESTRA_DAVANTI_PANTALONI
3.2747965,9.108627,3.0180502,14.043122,-0.037681162,6.123732,1.3284824,1.1525981,9.022118,0.12213741,3.2747965,9.108627,3.0180502,14.043122,-0.037681162,78.49439,3027.784,55.025303,341.34482,0.072103195,0.5347713,1.0,0.041720133,1.869958,0.078014895,0.041720133,2.6184757,1.0,0.054848406,0.3819016,0.020946693,0.054848406,6.8564157,1.0,0.003008348,0.1458488,4.3876393E-4,0.003008348,-0.40625003,1.0,-0.01922542,-2.4615383,0.04732411,-0.01922542,1.3167939,1.0,0.036787994,0.7594203,0.027937548,0.036787994,1.5565218,1.0,0.041140575,0.6424581,0.026431097,0.041140575,0.040839385,12.690018,-0.4446581,0.9999993,-0.4446581,TASCA_DESTRA_DAVANTI_PANTALONI
1.8283516,11.121123,3.3348348,17.455837,-0.30116957,1.9301459,10.048901,3.17,16.514399,-2.0729928,1.8283516,11.121123,3.3348348,17.455837,-0.30116957,42.70234,4554.5137,67.48714,407.66394,0.001210147,0.94726086,1.0,0.042816192,1.0556754,0.0452,0.042816192,1.0519984,1.0,0.049414378,0.95057184,0.046971917,0.049414378,1.1067005,1.0,0.0024417806,0.9035868,0.002206361,0.0024417806,0.36267602,1.0,-8.179967,2.7572818,-22.554472,-8.179967,2.4963505,1.0,0.0328684,0.4005848,0.013166582,0.0328684,1.0570072,1.0,0.042819183,0.9460674,0.040509835,0.042819183,0.016133197,8.342517,-0.8083999,0.99999994,-0.8083999,TASCA_DESTRA_DAVANTI_PANTALONI
2.732903,14.0106735,3.7430835,12.660539,0.029368576,3.1845038,2.3631897,1.537267,6.799533,-0.4143426,2.732903,14.0106735,3.7430835,12.660539,0.029368576,55.46312,7387.8325,85.9525,330.841,0.027715756,0.85818803,1.0,0.04927424,1.1652458,0.0574166,0.04927424,2.4348948,1.0,0.04354828,0.41069534,0.017885076,0.04354828,5.928713,1.0,0.0018964525,0.16867067,3.1987592E-4,0.0018964525,-0.19230768,1.0,0.040618874,-5.2000003,-0.21121815,0.040618874,2.7131474,1.0,0.038332906,0.36857563,0.014128575,0.038332906,1.8619719,1.0,0.038267743,0.537065,0.020552268,0.038267743,0.025165085,8.794491,-0.92783695,0.9999999,-0.92783695,TASCA_DESTRA_DAVANTI_PANTALONI
2.2620616,15.328834,3.9152055,15.26543,-0.050065875,2.6479368,3.0202005,1.7378724,6.742072,-0.35384616,2.2620616,15.328834,3.9152055,15.26543,-0.050065875,50.9233,10441.62,102.18424,420.64456,0.0052798185,0.85427326,1.0,0.044420954,1.1705856,0.05199853,0.044420954,2.252873,1.0,0.03831516,0.4438777,0.017007245,0.03831516,5.0754356,1.0,0.0014680512,0.19702742,2.8924635E-4,0.0014680512,0.4130435,1.0,-0.32598752,2.4210525,-0.7892329,-0.32598752,2.919231,1.0,0.034377806,0.342556,0.0117763225,0.034377806,2.2642045,1.0,0.036290567,0.4416562,0.016027955,0.036290567,0.020973535,7.6356173,-0.8607397,1.0,-0.8607397,TASCA_DESTRA_DAVANTI_PANTALONI
2.32668,9.823331,3.1342194,11.089942,-0.08834587,2.2567403,0.5473173,0.739809,4.003105,0.018779343,2.32668,9.823331,3.1342194,11.089942,-0.08834587,36.113747,2797.2664,52.88919,206.75217,0.008929938,1.0309914,1.0,0.06442644,0.9699402,0.062489785,0.06442644,4.236525,1.0,0.05926011,0.2360425,0.013987905,0.05926011,17.948145,1.0,0.003511761,0.055716064,1.956615E-4,0.003511761,-11.75,1.0,-0.48323062,-0.08510638,0.04112601,-0.48323062,2.4976525,1.0,0.04884461,0.40037593,0.019556206,0.04884461,2.770335,1.0,0.05363882,0.3609672,0.019361854,0.05363882,0.020151297,7.245193,-0.493874,1.0000002,-0.493874,TASCA_DESTRA_DAVANTI_PANTALONI
2.9840176,14.078602,3.7521462,13.599066,0.011142061,1.3941714,2.5772567,1.6053836,7.297527,-0.67105263,2.9840176,14.078602,3.7521462,13.599066,0.011142061,50.486908,8809.742,93.86023,381.7661,4.0247903E-4,2.140352,1.0,0.05910478,0.46721286,0.027614513,0.05910478,2.337227,1.0,0.03997589,0.42785743,0.017103981,0.03997589,5.4626307,1.0,0.0015980719,0.18306197,2.925462E-4,0.0015980719,-0.052287582,1.0,0.9968395,-19.125,-19.064556,0.9968395,3.1491227,1.0,0.03600833,0.31754875,0.0114343995,0.03600833,1.863517,1.0,0.035621457,0.5366197,0.019115178,0.035621457,0.022333523,7.7789645,-0.4154521,1.0,-0.4154521,TASCA_DESTRA_DAVANTI_PANTALONI
2.2087946,9.250182,3.0414112,9.615114,-0.028688524,2.8597295,0.7375563,0.85881096,4.3478703,0.20905922,2.2087946,9.250182,3.0414112,9.615114,-0.028688524,37.173527,2851.9014,53.403194,197.96074,0.0069234706,0.77237886,1.0,0.059418485,1.2947015,0.0769292,0.059418485,3.541421,1.0,0.056951858,0.28237253,0.01608164,0.056951858,12.541663,1.0,0.003243514,0.07973424,2.5861914E-4,0.003243514,-0.23333335,1.0,-0.19429363,-4.285714,0.83268696,-0.19429363,1.7003485,1.0,0.04688935,0.58811474,0.027576318,0.04688935,2.2114537,1.0,0.048570815,0.45219123,0.021963296,0.048570815,0.02117522,7.314477,0.7396844,0.9999997,0.7396844,TASCA_DESTRA_DAVANTI_PANTALONI
-1.2484589,0.0,0.0,1.2484589,-Infinity,6.018463,0.0,0.0,0.0,1.0,-1.2484589,0.0,0.0,1.2484589,-Infinity,39.3392,0.0,0.0,0.0,1.0,-0.20743816,1.0,-0.031735748,-4.820714,0.15298896,-0.031735748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.20743816,1.0,-0.031735748,-4.820714,0.15298896,-0.031735748,0.0,1.0,0.0,Infinity,0.15298896,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,6.2720966,8.515381,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
-0.55934143,0.0,0.0,0.55934143,-Infinity,6.1553345,0.0,0.0,0.0,1.0,-0.55934143,0.0,0.0,0.55934143,-Infinity,38.513866,0.0,0.0,0.0,1.0,-0.090871006,1.0,-0.014523118,-11.00461,0.15982126,-0.014523118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.090871006,1.0,-0.014523118,-11.00461,0.15982126,-0.014523118,0.0,1.0,0.0,Infinity,0.15982126,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,6.205954,7.2740173,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
-0.2570343,0.0,0.0,0.2570343,-Infinity,5.132965,0.0,0.0,0.0,1.0,-0.2570343,0.0,0.0,0.2570343,-Infinity,26.479464,0.0,0.0,0.0,1.0,-0.05007521,1.0,-0.00970693,-19.969961,0.19384702,-0.00970693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05007521,1.0,-0.00970693,-19.969961,0.19384702,-0.00970693,0.0,1.0,0.0,Infinity,0.19384702,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,5.14582,5.6470337,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
0.44755554,0.0,0.0,0.0,1.0,5.6614075,0.0,0.0,0.0,1.0,0.44755554,0.0,0.0,0.0,1.0,32.452145,0.0,0.0,0.0,1.0,0.07905376,1.0,0.013791247,12.64962,0.17445403,0.013791247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07905376,1.0,0.013791247,12.64962,0.17445403,0.013791247,0.07905376,1.0,0.013791247,12.64962,0.17445403,0.013791247,NaN,NaN,NaN,NaN,NaN,NaN,5.6966786,6.5565186,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
-1.3472443,0.0,0.0,1.3472443,-Infinity,6.3993225,0.0,0.0,0.0,1.0,-1.3472443,0.0,0.0,1.3472443,-Infinity,44.581463,0.0,0.0,0.0,1.0,-0.21052921,1.0,-0.03021983,-4.7499347,0.14354223,-0.03021983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.21052921,1.0,-0.03021983,-4.7499347,0.14354223,-0.03021983,0.0,1.0,0.0,Infinity,0.14354223,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,6.676935,9.093811,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
1.8281708,0.0,0.0,0.0,1.0,4.034424,0.0,0.0,0.0,1.0,1.8281708,0.0,0.0,0.0,1.0,22.960993,0.0,0.0,0.0,1.0,0.45314297,1.0,0.07962072,2.206809,0.17570773,0.07962072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45314297,1.0,0.07962072,2.206809,0.17570773,0.07962072,0.45314297,1.0,0.07962072,2.206809,0.17570773,0.07962072,NaN,NaN,NaN,NaN,NaN,NaN,4.791763,7.6907654,NaN,NaN,NaN,TASCA_DESTRA_DIETRO_PANTALONI
1.6410446,23.677204,4.865923,24.987343,-0.225,0.80649924,24.5392,4.953706,23.692865,-3.9105692,1.6410446,23.677204,4.865923,24.987343,-0.225,77.9301,43099.81,207.60493,986.53265,2.38582E-4,2.0347753,1.0,0.021057906,0.49145478,0.010349008,0.021057906,0.98227936,1.0,0.023438377,1.0180403,0.023861215,0.023438377,0.9648727,1.0,5.493575E-4,1.0364062,5.6935754E-4,5.493575E-4,0.24324323,1.0,-19.494574,4.111111,-80.14436,-19.494574,4.227642,1.0,0.020671353,0.23653845,0.00488957,0.020671353,1.0546358,1.0,0.02532845,0.9481947,0.024016302,0.02532845,0.012284641,9.196676,-0.8889364,1.0,-0.8889364,TASCA_DESTRA_DIETRO_PANTALONI
0.1473999,0.0,0.0,0.0,1.0,2.5716248,0.0,0.0,0.0,1.0,0.1473999,0.0,0.0,0.0,1.0,6.6567073,0.0,0.0,0.0,1.0,0.057317812,1.0,0.022143066,17.446585,0.38632083,0.022143066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057317812,1.0,0.022143066,17.446585,0.38632083,0.022143066,0.057317812,1.0,0.022143066,17.446585,0.38632083,0.022143066,NaN,NaN,NaN,NaN,NaN,NaN,2.5800595,2.8664246,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-2.4126892,0.0,0.0,2.4126892,-Infinity,1.9717712,0.0,0.0,0.0,1.0,-2.4126892,0.0,0.0,2.4126892,-Infinity,15.530021,0.0,0.0,0.0,1.0,-1.2236152,1.0,-0.15535647,-0.81725043,0.12696514,-0.15535647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2236152,1.0,-0.15535647,-0.81725043,0.12696514,-0.15535647,1.4E-45,1.0,0.0,Infinity,0.12696514,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,3.9408147,6.7971497,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.09063721,0.0,0.0,0.09063721,-Infinity,3.5023499,0.0,0.0,0.0,1.0,-0.09063721,0.0,0.0,0.09063721,-Infinity,12.282885,0.0,0.0,0.0,1.0,-0.02587897,1.0,-0.0073791468,-38.641415,0.28514066,-0.0073791468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.02587897,1.0,-0.0073791468,-38.641415,0.28514066,-0.0073791468,0.0,1.0,0.0,Infinity,0.28514066,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,3.5046947,3.6836243,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.8713989,0.0,0.0,0.8713989,-Infinity,6.690857,0.0,0.0,0.0,1.0,-0.8713989,0.0,0.0,0.8713989,-Infinity,46.28624,0.0,0.0,0.0,1.0,-0.13023727,1.0,-0.018826306,-7.6782937,0.14455391,-0.018826306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.13023727,1.0,-0.018826306,-7.6782937,0.14455391,-0.018826306,0.0,1.0,0.0,Infinity,0.14455391,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,6.803399,8.433655,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.4724426,0.0,0.0,1.4724426,-Infinity,3.150055,0.0,0.0,0.0,1.0,-1.4724426,0.0,0.0,1.4724426,-Infinity,14.259021,0.0,0.0,0.0,1.0,-0.46743396,1.0,-0.10326394,-2.1393397,0.22091664,-0.10326394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.46743396,1.0,-0.10326394,-2.1393397,0.22091664,-0.10326394,0.0,1.0,0.0,Infinity,0.22091664,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,3.7761118,6.09494,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.21798706,0.0,0.0,0.21798706,-Infinity,3.1607666,0.0,0.0,0.0,1.0,-0.21798706,0.0,0.0,0.21798706,-Infinity,10.085483,0.0,0.0,0.0,1.0,-0.068966515,1.0,-0.021613944,-14.49979,0.31339765,-0.021613944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.068966515,1.0,-0.021613944,-14.49979,0.31339765,-0.021613944,0.0,1.0,0.0,Infinity,0.31339765,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,3.1757648,3.5967407,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.19299316,0.0,0.0,0.19299316,-Infinity,3.9439087,0.0,0.0,0.0,1.0,-0.19299316,0.0,0.0,0.19299316,-Infinity,15.628908,0.0,0.0,0.0,1.0,-0.04893449,1.0,-0.012348474,-20.435484,0.25234705,-0.012348474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.04893449,1.0,-0.012348474,-20.435484,0.25234705,-0.012348474,0.0,1.0,0.0,Infinity,0.25234705,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,3.9533415,4.329895,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.853302,0.0,0.0,1.853302,-Infinity,1.2540894,0.0,0.0,0.0,1.0,-1.853302,0.0,0.0,1.853302,-Infinity,8.442197,0.0,0.0,0.0,1.0,-1.4778069,1.0,-0.2195284,-0.67667836,0.14855012,-0.2195284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4778069,1.0,-0.2195284,-0.67667836,0.14855012,-0.2195284,1.4E-45,1.0,0.0,Infinity,0.14855012,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,2.905546,4.9606934,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.4662628,0.0,0.0,1.4662628,-Infinity,4.728302,0.0,0.0,0.0,1.0,-1.4662628,0.0,0.0,1.4662628,-Infinity,26.656693,0.0,0.0,0.0,1.0,-0.31010348,1.0,-0.05500543,-3.2247303,0.17737767,-0.05500543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31010348,1.0,-0.05500543,-3.2247303,0.17737767,-0.05500543,0.0,1.0,0.0,Infinity,0.17737767,0.0,Infinity,1.0,Infinity,0.0,NaN,Infinity,5.163012,7.6608276,NaN,NaN,NaN,TASCA_SINISTRA_DAVANTI_PANTALONI
