@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-1.332,17.5771,4.1925,23.8357,-1.7088,-1.264,98.7473,9.9372,49.8045,-1.0259,0.1169,14.066,3.7505,19.0759,-1.0504,8.3498,64.0565,8.0035,27.6537,0.0394,1.0538,-11.3977,-0.1595,-10.8158,-0.1514,0.014,0.4219,1.1179,0.5238,2.6496,1.2416,0.4686,0.178,1.2496,0.2744,7.0203,1.5416,0.2196,0.5962,1.5387,-13.2581,2.5808,-22.2378,-8.6167,0.3579,0.9458,0.3057,2.6424,0.854,0.3232,0.4786,1.2495,0.8619,2.6109,1.801,0.6898,0.0361,12.4602,0.759,-0.5945,-0.4307,-0.8074,-0.3462,0.2416,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.055,14.8006,3.8472,23.7974,-0.7207,-1.3972,36.9549,6.0791,22.7559,-1.7396,0.3031,13.0313,3.6099,14.456,-0.5231,7.2346,14.495,3.8072,15.9688,0.0563,-0.0394,0.1815,0.0076,-4.6098,-0.1931,0.0419,0.6329,1.0657,1.0105,1.684,1.5967,0.9482,0.4005,1.1358,1.0211,2.8359,2.5495,0.899,0.6898,2.0075,-10.4577,2.9103,-15.1608,-5.2094,1.665,1.4572,0.8173,0.8752,0.4909,0.5609,1.0458,1.6462,1.4902,1.5742,1.425,0.9053,0.0286,10.9096,0.2743,0.0931,0.3409,-0.844,-0.3581,0.5643,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.6465,0.0881,0.2969,1.2121,?,-0.3925,1.0992,1.0484,3.9747,-0.7442,-0.1568,0.6427,0.8017,3.1607,-0.5992,1.4155,0.4229,0.6503,2.7385,0.0942,1.6472,4.1227,-0.4567,2.5028,-0.2773,-0.1108,0.2832,0.3703,0.4565,1.3078,1.6121,1.2327,0.0802,0.1372,0.2084,1.7104,2.599,1.5196,0.7148,1.0235,-4.2569,1.432,-5.9558,-4.1591,0,0,0,1.153,0.7538,0.6538,0.305,0.3835,0.4426,1.2575,1.4514,1.1542,0.0151,2.2374,0.6496,0.5902,-0.0996,0.9951,0.0402,0.0746,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4547,2.1239,1.4574,6.3332,-1.3913,-1.7199,8.4626,2.909,9.8388,-2.5607,0.2968,2.4445,1.5635,6.0334,-0.495,3.7055,2.5528,1.5977,5.6174,0.2098,0.2644,-1.5319,-0.1227,-5.7942,-0.4641,0.0801,0.501,0.9321,0.9121,1.8606,1.8207,0.9786,0.251,0.8688,0.832,3.4618,3.315,0.9576,0.5208,1.8444,-2.4709,3.5418,-4.7447,-1.3397,0.9585,0.6563,0.3726,0.6847,0.3887,0.5677,0.6437,1.0497,1.1274,1.6307,1.7515,1.074,0.0354,5.4054,0.2721,0.2517,-0.1183,-0.3644,-0.851,0.4134,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.6929,2.7398,1.6552,5.957,-0.5652,-1.027,0.9999,1,3.873,-3.6403,0.4121,3.8546,1.9633,6.3364,-1.2421,2.7723,1.6136,1.2703,4.4626,0.1454,-0.6747,1.6814,0.2499,-2.4922,-0.3705,0.1487,1.6553,0.8431,1.3031,0.5093,0.7872,1.5456,2.74,0.7108,1.6979,0.2594,0.6197,2.3888,0.708,0.6128,-2.8323,0.8656,-4.0004,-4.6217,4.5597,1.3467,0.7288,0.2953,0.1598,0.5412,1.5381,0.9401,1.3349,0.6112,0.8679,1.4199,0.0256,4.4626,-0.5863,0.3097,0.5775,0.0994,-0.7692,0.1442,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-1.6266,24.1527,4.9145,17.1717,-1.0418,-3.8112,24.2608,4.9255,18.4725,-2.3531,0.1759,24.6857,4.9685,16.4763,-0.7003,8.4788,18.412,4.2909,16.1489,0.028,0.4268,-9.2481,-0.1918,-21.6689,-0.4495,0.0207,0.9978,0.9891,1.1453,0.9914,1.1479,1.1579,0.9955,0.9784,1.3118,0.9828,1.3177,1.3407,0.6759,1.2911,-18.8556,1.9102,-27.8974,-14.6042,1.5266,0.8679,0.5062,0.5685,0.3316,0.5833,0.9296,1.0422,1.0633,1.1212,1.1439,1.0203,0.083,13.3037,0.9211,0.234,-0.5899,0.298,-0.734,0.0934,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4253,1.9897,1.4106,6.3431,-0.9931,-0.5837,29.6255,5.4429,24.1006,-1.1189,0.6125,14.6221,3.8239,15.9903,-0.744,5.8245,13.2088,3.6344,14.9135,0.0495,0.7285,-0.6944,-0.073,-0.9531,-0.1002,0.1052,0.2592,0.3689,0.3881,1.4234,1.4976,1.0521,0.0672,0.1361,0.1506,2.0261,2.2429,1.107,0.2483,0.4633,-4.0735,1.8656,-16.4028,-8.7922,0.2798,0.3471,0.2028,1.2405,0.7249,0.5844,0.2632,0.3967,0.4253,1.5072,1.616,1.0722,0.0193,8.467,-0.3294,0.4234,0.2362,-0.9204,-0.2342,0.3575,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.4671,35.1515,5.9289,19.4689,-0.6003,-4.8536,8.2837,2.8781,10.8975,-18.14,3.3432,28.4477,5.3336,15.172,-0.3281,10.1531,9.6184,3.1014,11.2496,0.2505,-0.5083,0.7379,0.243,-1.4518,-0.478,0.3293,2.06,1.1116,1.9117,0.5396,0.928,1.7198,4.2434,1.2357,3.6546,0.2912,0.8612,2.9576,0.7071,1.9484,-1.9427,2.7554,-2.7474,-0.9971,21.3676,1.065,0.8106,0.0498,0.0379,0.7611,1.7865,1.2832,1.7306,0.7183,0.9687,1.3487,0.1304,15.7383,0.765,0.3326,0.0363,-0.0283,-0.5417,0.6616,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
-1.6167,24.4018,4.9398,15.1074,-1.1479,-5.8716,9.0935,3.0155,10.7986,?,1.5233,28.2599,5.316,16.6544,-0.5334,9.8359,4.4196,2.1023,8.2679,0.4511,0.2753,-1.0613,-0.1644,-3.8546,-0.597,0.1549,1.6381,0.9292,2.3497,0.5673,1.4344,2.5287,2.6834,0.8635,5.5213,0.3218,2.0576,6.3943,0.7477,1.3936,-1.1881,1.864,-1.5891,-0.8525,0,0.6476,0.4669,0,0,0.721,1.399,0.9071,1.8272,0.6484,1.3061,2.0143,0.1256,15.526,0.9326,0.4642,-0.557,0.2187,-0.8075,0.185,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
-0.3019,4.6725,2.1616,9.8357,-0.61,-3.1541,9.0417,3.0069,14.9491,-3.7531,-0.8637,27.8468,5.277,33.3029,-0.3918,6.1038,15.0896,3.8845,23.7253,0.0301,0.0957,0.3496,-0.0495,3.652,-0.5167,-0.1415,0.7189,0.4096,0.5565,0.5698,0.7741,1.3585,0.5168,0.1678,0.3097,0.3247,0.5992,1.8454,0.3157,0.3975,-5.0652,1.259,-16.0437,-12.7433,1.9424,0.2553,0.2497,0.1314,0.1286,0.9782,0.6579,0.2953,0.4146,0.4489,0.6301,1.4037,0.0699,9.1852,-0.2379,-0.3441,0.2924,0.2445,-0.6379,0.2155,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0748,0.0992,0.315,1.1704,-0.3874,-0.3016,0.1413,0.3759,1.2055,-2.5484,-0.1415,0.0191,0.1381,0.5787,-4.9486,0.5692,0.0521,0.2284,0.7645,0.1727,-0.2479,-0.5286,0.1313,2.1321,-0.5298,-0.2485,0.8381,2.2805,1.3795,2.7212,1.6461,0.6049,0.7023,5.2008,1.9031,7.405,2.7097,0.3659,0.3775,0.6788,-2.0485,1.7983,-5.4268,-3.0177,2.4832,8.6714,0.913,3.4921,0.3677,0.1053,0.9709,2.0224,1.531,2.0831,1.5769,0.757,0.0073,0.7976,0.3965,-0.4052,0.3428,0.1457,-0.6047,-0.3986,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.7418,3.9356,1.9838,10.5526,-0.8323,-2.5324,15.6655,3.958,15.9982,-5.1102,-1.0148,8.4522,2.9073,12.1396,-2.8091,4.6143,14.7541,3.8411,15.3527,0.0484,0.2929,0.7309,-0.1608,2.4954,-0.5488,-0.2199,0.5012,0.6824,0.5165,1.3614,1.0304,0.7569,0.2512,0.4656,0.2667,1.8534,1.0618,0.5729,0.3582,0.5354,-6.1408,1.4945,-17.1415,-11.4695,2.1997,1.8071,0.357,0.8216,0.1623,0.1975,0.6596,0.8693,0.6873,1.3179,1.042,0.7907,0.0615,7.0344,0.2472,0.022,-0.0107,0.9577,-0.8917,-0.86,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.7227,0.2682,0.5178,2.5223,-0.9613,-1.1985,0.8681,0.9317,3.1849,-2.3034,0.5559,1.8508,1.3605,4.5349,-0.1996,2.2102,0.3699,0.6082,2.7547,0.2861,0.603,-1.3,-0.327,-2.156,-0.5423,0.2515,0.5558,0.3806,0.8514,0.6849,1.532,2.2369,0.3089,0.1449,0.7249,0.469,2.3469,5.0035,0.5567,1.6386,-1.1199,2.9435,-2.0117,-0.6834,1.3339,0.3402,0.3333,0.255,0.2499,0.9797,0.792,0.5562,0.9156,0.7023,1.1562,1.6462,0.0335,3.2141,0.7092,0.247,-0.2027,0.8085,0.3566,0.6986,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
