@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.0957,2.2799,1.5099,9.7973,-1.516,-12.6715,8.9866,2.9978,25.1107,?,9.6812,4.3977,2.0971,13.2241,0.27,16.0299,13.008,3.6067,24.0211,0.2265,-0.0076,0.0099,0.006,-1.3089,-0.7905,0.6039,0.5037,0.72,0.4187,1.4295,0.8312,0.5814,0.2537,0.5184,0.1753,2.0435,0.6908,0.3381,0.2351,-1.2072,-0.8394,-5.1351,-3.5704,0.6953,0,0.215,0.1254,0,0,0.5833,0.3902,0.7409,0.4079,1.8989,1.0454,0.5505,0.1661,23.4178,0.1069,-0.2442,-0.1692,-0.9494,-0.9924,0.9783,0,0,0,0,0,DESTRA_PANTALONI
0.2186,0.9089,0.9534,5.4801,-0.4534,-11.2994,2.5847,1.6077,16.1487,?,9.915,0.9968,0.9984,5.3328,0.5813,15.0907,2.7926,1.6711,8.1114,0.572,-0.0193,0.022,0.0145,-1.1396,-0.7488,0.657,0.593,0.9549,0.5705,1.6103,0.9621,0.5974,0.3517,0.9119,0.3255,2.5931,0.9255,0.3569,0.1059,-0.2309,-0.1577,-2.1814,-1.4897,0.6829,0,0.2961,0.199,0,0,0.672,0.3394,1.0276,0.6756,3.0281,1.9909,0.6574,0.1566,21.9315,-0.2154,0.1782,0.2437,-0.544,-0.9419,0.7914,0,0,0,0,0,DESTRA_PANTALONI
0.0512,7.1223,2.6688,9.7366,-1.1153,-8.7247,46.9476,6.8518,22.4771,-6.4365,10.2979,6.0401,2.4577,8.1441,0.4352,14.6127,28.7495,5.3619,17.1531,0.2838,-0.0059,0.005,0.0035,-0.8472,-0.5971,0.7047,0.3895,1.0859,0.4977,2.7879,1.2779,0.4584,0.1517,1.1792,0.2477,7.7726,1.633,0.2101,0.2639,-0.8181,-0.7552,-3.1002,-2.862,0.9232,1.5229,0.3192,0.1922,0.2096,0.1262,0.602,0.4332,1.1955,0.5676,2.7599,1.3104,0.4748,0.1336,21.7488,0.7255,-0.3475,-0.6454,-0.6872,-0.9409,0.8748,10.5577,149.7279,12.2363,40.0915,0.0937,DESTRA_PANTALONI
-0.7612,38.5362,6.2078,29.6916,-1.8523,0.3288,74.036,8.6044,37.6648,-1.7078,9.6505,46.4639,6.8164,30.3993,-0.2545,14.2109,50.9041,7.1347,25.9776,0.1388,-2.3151,-0.0789,-0.0536,0.0341,0.0231,0.6791,0.7215,0.9107,0.8701,1.2623,1.206,0.9554,0.5205,0.8294,0.757,1.5934,1.4544,0.9128,0.8117,3.1266,-4.6054,3.8519,-5.6738,-1.473,0.7484,0.4296,0.3451,0.574,0.4611,0.8033,0.7883,0.9767,1.143,1.239,1.4499,1.1702,0.0999,21.5187,0.7087,0.0899,-0.3073,0.1207,-0.3191,0.714,4.0412,51.6271,7.1852,25,0,DESTRA_PANTALONI
0.2932,0.9514,0.9754,5.0624,-0.7401,0.2951,4.4803,2.1167,12.0839,-1.9644,9.866,5.1866,2.2774,12.1246,0.3413,10.1484,5.1386,2.2668,11.8839,0.3573,0.9936,0.0297,0.0289,0.0299,0.0291,0.9722,0.4608,0.4283,0.4303,0.9294,0.9338,1.0047,0.2124,0.1834,0.1852,0.8638,0.8719,1.0094,0.2689,-0.3427,-0.3259,-1.2747,-1.2118,0.9507,0.7137,0.1581,0.1573,0.2215,0.2204,0.9954,0.4189,0.4175,0.426,0.9966,1.0168,1.0203,0.1039,12.3354,-0.2669,0.0459,0.1381,0.0847,-0.0354,0.98,0,0,0,0,0,SINISTRA_PANTALONI
0.0313,0.014,0.1182,0.5394,-0.7328,6.3447,0.0313,0.177,0.8525,0.8744,9.8794,0.0161,0.1267,0.6624,0.9353,11.7429,0.0238,0.1543,0.6914,0.9433,0.0049,0.0032,0.0027,0.6422,0.5403,0.8413,0.6681,0.9332,0.766,1.3968,1.1466,0.8209,0.4463,0.8709,0.5868,1.9512,1.3147,0.6738,-0.0384,-0.0238,-0.0198,0.6202,0.5157,0.8314,0.0459,0.0304,0.0255,0.6634,0.5563,0.8386,0.6328,0.8144,0.7802,1.2871,1.233,0.958,0.1198,16.3232,0.0609,-0.1496,-0.064,0.1633,0.7329,0.7924,0,0,0,0,0,SINISTRA_PANTALONI
0.1898,1.2186,1.1039,5.2167,-1.6333,-0.042,2.8384,1.6848,10.6237,-0.474,10.131,7.4374,2.7272,12.4275,0.3299,10.3144,7.7823,2.7897,13.57,0.3115,-4.5232,0.0187,0.0184,-0.0041,-0.0041,0.9822,0.6552,0.4048,0.3957,0.6178,0.6039,0.9776,0.4293,0.1638,0.1566,0.3816,0.3647,0.9557,0.9471,-0.529,-0.5271,-0.5585,-0.5566,0.9965,0.2749,0.1068,0.1005,0.3887,0.3657,0.941,0.491,0.4198,0.3844,0.8549,0.7829,0.9158,0.1101,12.1995,-0.3503,0.0779,0.0588,0.472,0.4832,0.9968,?,?,?,?,?,SINISTRA_PANTALONI
-0.0529,9.1061,3.0176,17.4767,-0.6766,4.3673,47.407,6.8853,22.0622,-0.696,9.9855,68.1427,8.2549,41.9187,-0.2395,14.2894,39.2541,6.2653,31.6051,0.0685,-0.0121,-0.0053,-0.0037,0.4374,0.3056,0.6988,0.4383,0.3656,0.4816,0.8341,1.099,1.3176,0.1921,0.1336,0.232,0.6957,1.2077,1.7359,0.779,0.8707,-3.0334,1.1177,-3.8941,-3.484,0.8013,0.3082,0.3072,0.3846,0.3834,0.9967,0.7922,0.4169,0.553,0.5263,0.6981,1.3263,0.1172,19.4012,-0.3806,0.106,0.2966,0.0344,0.0204,0.8563,0,0,0,0,0,SINISTRA_PANTALONI
-0.1163,0.0166,0.1289,0.5772,-3.1367,11.7711,0.0116,0.1077,0.5007,0.9585,9.9025,0.0057,0.0755,0.4721,0.9531,15.3835,0.0133,0.1152,0.58,0.9631,-0.0099,-0.0117,-0.0076,1.1887,0.7652,0.6437,1.197,1.7077,1.1185,1.4266,0.9344,0.655,1.4328,2.9161,1.251,2.0352,0.8731,0.429,-0.0378,-0.0456,-0.0289,1.2053,0.7645,0.6343,0.0116,0.0139,0.0089,1.1985,0.7682,0.641,1.1529,1.2226,0.9953,1.0605,0.8633,0.814,0.1636,21.8114,0.3391,-0.0866,0.1965,0.525,0.9362,0.7951,0,0,0,0,0,SINISTRA_PANTALONI
0.0128,1.3705,1.1707,15.5375,-0.7963,-12.3787,0.6128,0.7828,15.7699,?,9.9199,0.3836,0.6194,3.6887,0.6796,15.9083,0.9299,0.9643,7.0325,0.6464,-0.001,0.0013,0.0008,-1.2479,-0.7781,0.6236,1.4955,1.8901,1.214,1.2638,0.8117,0.6423,2.2366,3.5724,1.4738,1.5972,0.6589,0.4125,0.4368,-0.8803,-0.5358,-2.0154,-1.2268,0.6087,0,0.7513,0.4349,0,0,0.5789,0.9853,4.2122,2.2094,4.2752,2.2424,0.5245,0.167,22.6515,-0.432,-0.2681,0.2489,-0.5821,-0.9436,0.7216,0,0,0,0,0,SINISTRA_PANTALONI
0.5221,4.513,2.1244,8.7583,-0.5728,1.3065,14.1368,3.7599,12.3095,-0.2758,9.512,16.35,4.0435,16.1728,0.1606,10.3933,19.4357,4.4086,16.4415,0.1628,0.3997,0.0549,0.0502,0.1373,0.1257,0.9152,0.565,0.5254,0.4819,0.9299,0.8529,0.9172,0.3192,0.276,0.2322,0.8646,0.7274,0.8412,1.1987,-1.0311,-0.9978,-0.8602,-0.8324,0.9677,0.5771,0.289,0.2836,0.5008,0.4913,0.9811,0.7115,0.5415,0.5327,0.7611,0.7487,0.9837,0.1012,14.0013,-0.4866,0.0434,0.0153,0.514,0.6303,0.9813,?,?,?,?,?,SINISTRA_PANTALONI
-0.0961,0.3822,0.6183,4.2877,-1.1399,-13.0463,0.5231,0.7233,14.7793,?,9.9168,0.3521,0.5934,4.8569,0.5985,16.4005,0.8412,0.9172,7.1174,0.6298,0.0074,-0.0097,-0.0059,-1.3156,-0.7955,0.6047,0.8548,1.0419,0.6741,1.2189,0.7886,0.647,0.7307,1.0856,0.4544,1.4857,0.6219,0.4186,0.1545,-0.3155,-0.1886,-2.0414,-1.2207,0.598,0,0.1656,0.1042,0,0,0.6292,0.2901,0.8828,0.6024,3.0429,2.0765,0.6824,0.1725,23.3216,0.504,-0.4815,-0.522,-0.8796,-0.9812,0.9536,0,0,0,0,0,SINISTRA_PANTALONI
0.7063,4.4641,2.1128,9.0379,-0.9951,0.9732,6.6206,2.573,14.7908,-0.2578,9.3685,4.5546,2.1342,12.4982,0.1897,9.982,5.2132,2.2832,13.9715,0.1965,0.7257,0.0754,0.0708,0.1039,0.0975,0.9385,0.8211,0.99,0.9254,1.2057,1.1269,0.9347,0.6743,0.9801,0.8563,1.4536,1.27,0.8737,1.4869,-1.5411,-1.3193,-1.0364,-0.8872,0.8561,0.3852,0.2937,0.2605,0.7624,0.6763,0.887,0.611,0.7231,0.6469,1.1834,1.0586,0.8945,0.0984,13.1084,-0.1244,-0.2176,-0.1294,0.1454,0.2992,0.957,?,?,?,?,?,SINISTRA_PANTALONI
0.4493,0.4551,0.6746,3.518,-1.5142,-0.5158,3.2111,1.792,7.2071,-1.1954,9.5952,1.7032,1.3051,5.6219,0.5405,9.797,1.9236,1.3869,5.7494,0.5352,-0.8711,0.0468,0.0459,-0.0538,-0.0526,0.9794,0.3765,0.5169,0.4864,1.3731,1.292,0.941,0.1417,0.2672,0.2366,1.8854,1.6693,0.8854,0.5399,-0.3204,-0.3201,-0.5934,-0.5928,0.999,0.4263,0.1144,0.1131,0.2683,0.2654,0.9892,0.4881,0.6258,0.6119,1.282,1.2535,0.9778,0.1106,11.8326,-0.01,-0.1826,-0.2391,-0.513,-0.5248,0.9931,5.8506,20.1271,4.4863,12,0,SINISTRA_PANTALONI
0.6901,1.2451,1.1158,4.6009,-0.516,2.958,11.762,3.4296,10.3489,-0.51,8.8796,3.7281,1.9308,8.4287,0.3525,10.0146,4.5167,2.1253,8.4012,0.3679,0.2333,0.0777,0.0689,0.3331,0.2954,0.8867,0.3254,0.5779,0.525,1.7762,1.6137,0.9085,0.1059,0.334,0.2757,3.155,2.6041,0.8254,0.448,-0.3413,-0.3202,-0.7618,-0.7148,0.9383,0.4428,0.2332,0.2283,0.5265,0.5157,0.9794,0.4446,0.5459,0.5476,1.2278,1.2318,1.0033,0.0938,13.7715,-0.477,-0.2082,-0.3603,0.0413,0.377,0.9307,33.0565,27.6167,5.2552,20.9613,0.435,SINISTRA_PANTALONI
