@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.1065,0.0033,0.0574,0.3311,-7.5451,8.2502,0.0042,0.0647,0.2913,0.9654,9.9702,0.0021,0.046,0.2613,0.9741,12.9418,0.0036,0.0599,0.309,0.9764,-0.0129,-0.0107,-0.0082,0.8275,0.6375,0.7704,0.8866,1.2481,0.9587,1.4077,1.0814,0.7682,0.786,1.5576,0.9191,1.9817,1.1694,0.5901,-0.036,-0.0297,-0.0229,0.8249,0.6358,0.7708,0.0046,0.0038,0.003,0.8324,0.6431,0.7725,1.1367,1.267,1.0714,1.1146,0.9426,0.8456,0.1362,18.3282,0.4105,-0.2234,0.1425,0.2178,0.8031,0.7426,-0.6207,0,0.0013,0.623,?,-0.3652,0,0.0003,0.3659,?,-0.6923,0,0.0009,0.6937,?,1.6997,0.8965,0.5275,4.2572,1.5355,0.3607,18.1238,2.3579,0.1301,1.7024,0.898,0.5275,1,1,1,1.7024,0.898,0.5275,0.0105,1.6782,-0.9563,-1.141,0.7907,1100,0,0,0,1,PANTALONI
-0.5126,1.534,1.2386,7.0004,-1.2202,2.5701,3.4691,1.8626,9.0981,-0.3078,9.3496,1.5227,1.234,6.7009,0.4859,9.9612,1.5831,1.2582,6.5772,0.5099,-0.1995,-0.0548,-0.0515,0.2749,0.258,0.9386,0.665,1.0037,0.9844,1.5094,1.4803,0.9807,0.4422,1.0075,0.969,2.2783,2.1913,0.9618,1.7969,-0.6075,-0.5623,-0.3381,-0.313,0.9256,0.4532,0.2419,0.235,0.5338,0.5184,0.9713,0.7694,1.0447,1.0643,1.3577,1.3833,1.0188,0.1116,13.1241,0.4795,0.5776,0.5427,0.0631,0.2887,0.9346,0.2759,0.0504,0.2245,0.6491,0.0868,0.0529,0.0308,0.1756,0.5039,-0.2816,-0.6387,0.0029,0.0538,0.6905,?,5.2109,-0.432,-0.0829,1.2783,4.1726,3.2642,1.634,17.4109,10.6552,-0.5573,-0.0894,0.1604,1.8077,0,0,1.2881,0.94,0.7298,0.008,1.057,0.9909,0.9869,0.9908,125000,0,0,0,1,PANTALONI
0.1689,12.4306,3.5257,25.395,-1.7393,1.2715,6.9018,2.6271,16.6351,-0.6011,9.5261,16.2229,4.0278,44.3412,-0.7794,10.7402,12.594,3.5488,26.2772,0.1432,0.1328,0.0177,0.0157,0.1335,0.1184,0.887,1.342,0.8753,0.9935,0.6523,0.7403,1.135,1.8011,0.7662,0.987,0.4254,0.548,1.2881,2.5818,0.8302,-3.6701,0.3216,-1.4215,-4.4207,0.8923,0.372,0.3023,0.4169,0.3387,0.8125,1.5266,0.5727,0.9664,0.3752,0.6331,1.6874,0.1001,14.405,-0.8916,-0.5474,-0.4791,0.4212,0.3408,0.3882,0.6573,0.3983,0.6311,1.9242,-0.9951,-0.2227,0.0502,0.2241,0.7685,-1.0048,0.1912,0.0157,0.1254,0.4274,-0.2134,-2.9515,3.4381,-1.1649,2.8168,5.032,1.7864,7.9342,25.3205,3.1913,2.4918,12.767,5.1235,2.5161,2.7384,1.0883,2.504,4.5025,1.7981,0.0075,1.4176,-0.9734,0.2937,-0.3768,1100,0,0,0,1,PANTALONI
-0.1036,0.0149,0.1219,0.6079,-2.605,13.4697,0.0233,0.1528,0.7426,0.9462,9.8466,0.0118,0.1088,0.5097,0.9493,16.6858,0.0333,0.1825,0.8942,0.9477,-0.0077,-0.0105,-0.0062,1.3679,0.8073,0.5901,0.7978,1.1198,0.6677,1.4036,0.8369,0.5963,0.6365,1.2539,0.4458,1.97,0.7004,0.3555,-0.0336,-0.046,-0.0271,1.3685,0.8074,0.59,0.0122,0.0168,0.0099,1.373,0.8086,0.5889,0.8186,1.1927,0.6798,1.457,0.8305,0.57,0.1775,23.444,0.0682,-0.0058,0.0391,0.8829,0.9877,0.9447,0.6182,0,0.0016,0.0063,0.9899,0.3599,0,0.0027,0.0086,0.9764,0.6503,0,0.0046,0.015,0.9771,1.7175,0.9506,0.5535,0.5785,0.3397,0.5872,0.3347,0.1154,0.3448,1.7355,0.9613,0.5539,1.7118,0.949,0.5543,0.7334,0.42,0.5726,0.0103,1.6285,-0.6943,-0.9499,0.6274,1100,0,0,0,1,PANTALONI
-0.1275,0.005,0.0707,0.3722,-8.4747,11.8323,0.0108,0.1039,0.4972,0.9589,9.9112,0.0077,0.0876,0.4174,0.9589,15.4356,0.0173,0.1317,0.6467,0.9591,-0.0108,-0.0129,-0.0083,1.1938,0.7666,0.6421,0.6802,0.8062,0.5365,1.1852,0.7888,0.6655,0.4627,0.65,0.2879,1.4047,0.6222,0.4429,-0.0287,-0.0342,-0.022,1.1924,0.7662,0.6426,0.0032,0.0039,0.0025,1.1923,0.7663,0.6427,0.7486,0.8916,0.5756,1.1911,0.7689,0.6455,0.1625,21.872,0.1417,-0.2558,-0.0283,0.8741,0.9793,0.9585,0.6308,0,0.0014,0.0049,0.9923,0.3572,0,0.0016,0.0058,0.984,0.6754,0,0.0013,0.0048,0.993,1.7658,0.9339,0.5289,0.8857,1.0612,1.1981,0.7845,1.1261,1.4354,1.7715,0.9339,0.5272,1.7567,0.9345,0.532,0.8433,1.0209,1.2105,0.0104,1.6635,-0.1676,-0.8676,-0.3842,1100,0,0,0,1,PANTALONI
0.2869,9.6003,3.0984,18.0425,-1.31,-6.9834,17.7467,4.2127,18.7402,-7.2358,9.6922,9.3547,3.0585,16.057,0.0894,12.835,14.7548,3.8412,17.9751,0.1833,-0.0411,0.0296,0.0224,-0.7205,-0.5441,0.7551,0.7355,1.013,0.8066,1.3773,1.0967,0.7962,0.541,1.0262,0.6507,1.8971,1.2028,0.634,0.6214,-6.4929,-2.5358,-10.448,-4.0805,0.3906,3.4325,0.443,0.3549,0.129,0.1034,0.8011,0.9628,1.1237,1.0037,1.1671,1.0426,0.8933,0.1232,18.9777,-0.4278,-0.5935,-0.1675,-0.1978,-0.6772,0.7842,-0.5211,0.0013,0.0358,0.5794,?,0.3925,0.0017,0.0414,0.1509,0.6829,0.0975,0.0041,0.0639,0.2082,-0.0776,-1.3275,-5.3469,4.0279,0.8644,0.5604,0.6483,0.7471,0.314,0.4204,-1.7834,38.6288,-21.6603,0,0,2.463,3.8399,2.7833,0.7248,0.0068,1.0129,0.768,0.89,0.8461,1100,0,0,0,1,PANTALONI
0.6354,9.7977,3.1301,17.4503,-0.4083,2.0377,11.0098,3.3181,16.4349,-0.462,10.164,9.0519,3.0086,15.0166,0.2015,11.3288,9.381,3.0628,14.1286,0.268,0.3118,0.0625,0.0561,0.2005,0.1799,0.8972,0.9433,1.0404,1.022,1.1029,1.0833,0.9823,0.8899,1.0824,1.0444,1.2163,1.1736,0.9649,0.9742,-1.3355,-0.978,-1.3708,-1.0038,0.7323,1.1022,0.6589,0.6419,0.5978,0.5824,0.9742,1.0618,1.1621,1.2351,1.0945,1.1632,1.0629,0.1117,15.7298,0.4109,0.2696,0.4862,0.1381,0.3703,0.897,0.329,0.0316,0.1777,0.4692,0.1768,-0.1461,0.0093,0.0965,0.4467,-2.5496,0.1099,0.0619,0.2489,0.7584,-0.3337,-2.2522,2.9925,-1.3287,1.8404,0.7138,0.3879,3.3871,0.5095,0.1504,-0.314,-0.531,1.691,4.5285,1.0022,0.2213,1.0502,0.6186,0.589,0.004,0.7043,-0.1911,0.9784,0.0048,1100,0,0,0,1,PANTALONI
-0.0454,15.0102,3.8743,24.3815,-1.0735,0.9436,22.773,4.7721,30.0589,-0.4185,10.0285,9.8428,3.1373,16.8333,0.0761,11.5957,14.6278,3.8246,21.1588,0.2129,-0.0482,-0.0045,-0.0039,0.0941,0.0814,0.8648,0.8119,1.2349,1.013,1.5211,1.2477,0.8203,0.6591,1.525,1.0261,2.3137,1.5568,0.6729,1.4233,-9.1004,-2.2057,-6.3939,-1.5497,0.2424,0.5549,0.6454,0.4374,1.163,0.7883,0.6778,0.8111,1.4484,1.1523,1.7857,1.4206,0.7956,0.1083,16.4966,-0.1956,0.3302,0.0558,0.3735,0.7268,0.7886,0.224,0.0104,0.1018,0.4959,0.218,-0.0658,0.0063,0.0792,0.3016,-2.4035,0.182,0.1699,0.4122,1.076,-0.4167,-3.4051,1.231,-0.3615,1.2844,0.2469,0.1922,1.6498,0.061,0.037,-0.649,-0.4368,0.6729,7.1567,0.8349,0.1167,1.6444,0.4609,0.2803,0.0032,0.6895,0.0779,0.6801,-0.5395,1100,0,0,0,1,PANTALONI
0.3843,3.486,1.8671,9.8476,-1.0979,10.318,14.0639,3.7502,16.3315,0.1855,9.6049,8.1774,2.8596,14.0584,0.2285,14.2817,20.6227,4.5412,20.1973,0.2405,0.0372,0.04,0.0269,1.0742,0.7225,0.6725,0.4979,0.6529,0.4111,1.3114,0.8258,0.6297,0.2479,0.4263,0.169,1.7199,0.682,0.3965,-1.386,-1.2377,-0.8056,0.893,0.5812,0.6509,0.2341,0.2576,0.1765,1.1003,0.7539,0.6852,0.603,0.7005,0.4876,1.1617,0.8086,0.6961,0.1516,21.4347,-0.4743,-0.0471,-0.2953,0.8751,0.975,0.9585,0.5307,0.0016,0.04,0.1364,0.7857,0.1674,0.0007,0.0259,0.1224,0.4999,0.6297,0.0021,0.0455,0.1745,0.7468,3.1695,0.8428,0.2659,1.543,0.8796,0.5701,2.381,0.7737,0.325,4.0895,0.9719,0.2377,2.6019,0.9238,0.355,1.1148,0.7818,0.7013,0.009,1.3277,0.7347,-0.9003,-0.8442,1100,0,0,0,1,PANTALONI
-0.1167,0.0067,0.0819,0.4004,-3.6224,7.2914,0.0186,0.1362,0.7092,0.9087,10.0158,0.0056,0.0751,0.3961,0.9614,12.39,0.014,0.1185,0.6228,0.9513,-0.016,-0.0116,-0.0094,0.728,0.5885,0.8084,0.6014,1.0912,0.6913,1.8145,1.1495,0.6335,0.3617,1.1907,0.4779,3.2925,1.3214,0.4014,-0.0445,-0.0318,-0.0258,0.7154,0.5801,0.811,0.0112,0.0084,0.0068,0.7569,0.6073,0.8024,0.5646,1.0109,0.643,1.7904,1.1388,0.636,0.1392,17.4292,-0.716,-0.1278,-0.5569,0.3849,0.8794,0.7768,0.6615,0,0.0012,0.0042,0.9936,-0.0584,0,0.0049,0.068,?,0.6468,0,0.0016,0.0055,0.9916,-11.3324,1.0228,-0.0903,0.2489,0.7499,3.0128,0.0619,0.5623,9.0769,-9.6923,1.0246,-0.1057,0,1.0225,0,0.0623,0.777,12.463,0.0104,1.3667,-0.8688,-0.7355,0.9214,1100,0,0,0,1,PANTALONI
-0.0358,0.01,0.0999,0.579,-2.1245,7.4278,0.0209,0.1445,0.5803,0.9248,9.9895,0.0157,0.1255,0.69,0.9335,12.4492,0.0284,0.1685,0.843,0.9347,-0.0048,-0.0036,-0.0029,0.7436,0.5966,0.8024,0.691,0.7961,0.5927,1.1522,0.8578,0.7445,0.4774,0.6338,0.3513,1.3275,0.7358,0.5543,-0.0551,-0.0406,-0.0326,0.7369,0.5916,0.8028,0.024,0.0179,0.0144,0.7438,0.5979,0.8038,0.9979,0.8391,0.6869,0.8409,0.6883,0.8185,0.131,17.4965,-0.6325,-0.0079,-0.3324,0.6205,0.8851,0.9134,0.6947,0,0.0011,0.0048,0.9931,-0.0893,0,0.0013,0.0911,?,0.5953,0,0.0037,0.0132,0.9781,-7.7776,1.1669,-0.15,0.8475,0.3079,0.3633,0.7182,0.0948,0.132,-7.5839,1.1704,-0.1543,0,1.1527,0,0.0526,0.3628,6.8923,0.0097,1.3793,-0.743,-0.837,0.7958,1100,0,0,0,1,PANTALONI
-0.0337,0.0133,0.1151,0.7551,-1.7984,8.5938,0.0336,0.1832,0.9579,0.8949,9.9638,0.014,0.1182,0.6186,0.94,13.1591,0.0304,0.1745,0.8245,0.9393,-0.0039,-0.0034,-0.0026,0.8625,0.6531,0.7572,0.6283,0.9744,0.6598,1.5507,1.05,0.6771,0.3948,0.9494,0.4353,2.4046,1.1026,0.4585,-0.0595,-0.05,-0.038,0.8413,0.6393,0.7599,0.0296,0.0262,0.0199,0.8837,0.671,0.7593,0.7883,1.2207,0.9159,1.5484,1.1618,0.7503,0.1415,18.648,-0.5677,0.2354,-0.269,0.3778,0.8791,0.7697,0.6873,0,0.0013,0.0046,0.9933,-0.0759,0,0.0027,0.0809,?,0.5589,0,0.005,0.0177,0.9687,-9.0497,1.2296,-0.1359,0.4743,0.2517,0.5307,0.2249,0.0634,0.2817,-8.4704,1.2492,-0.1475,0,1.2183,0,0.057,0.2601,4.5608,0.0096,1.3222,0.526,-0.9747,-0.506,1100,0,0,0,1,PANTALONI
-0.1947,0.0164,0.1279,0.6309,-3.793,7.0584,0.0379,0.1946,0.9351,0.8766,9.9626,0.0179,0.1338,0.5895,0.9425,12.2126,0.0379,0.1947,0.8218,0.9351,-0.0276,-0.0195,-0.0159,0.7085,0.578,0.8158,0.6575,0.956,0.657,1.4539,0.9992,0.6873,0.4323,0.9139,0.4317,2.1139,0.9984,0.4723,-0.0752,-0.0516,-0.0421,0.6868,0.5606,0.8163,0.0174,0.0128,0.0104,0.7385,0.598,0.8099,0.6747,1.0702,0.7677,1.5863,1.1379,0.7174,0.1285,17.2212,-0.8016,-0.1824,-0.5764,0.5216,0.879,0.8652,0.6929,0,0.002,0.0069,0.9901,-0.1343,0.0002,0.0126,0.1485,?,0.5751,0.0001,0.009,0.026,0.9558,-5.1592,1.205,-0.2336,0.1581,0.2212,1.3995,0.025,0.0489,1.9585,-4.6413,1.2235,-0.2636,0,1.1811,0,0.0464,0.2647,5.7064,0.0096,1.4023,-0.8136,-0.8471,0.9861,1100,0,0,0,1,PANTALONI
-0.0183,2.7248,1.6507,8.6969,-1.6006,3.695,13.2396,3.6386,17.0175,-0.0726,9.5346,2.7393,1.6551,7.4203,0.4099,10.806,6.4957,2.5487,12.8057,0.3475,-0.0049,-0.0019,-0.0017,0.3875,0.3419,0.8823,0.4537,0.9974,0.6477,2.1985,1.4277,0.6494,0.2058,0.9947,0.4195,4.8333,2.0382,0.4217,4.6484,-1.0383,-0.785,-0.2234,-0.1689,0.756,0.2108,0.2659,0.1704,1.2617,0.8085,0.6408,0.5111,1.172,0.6791,2.2934,1.3289,0.5795,0.1054,14.4326,-0.3184,0.4179,-0.0392,0.0584,0.7556,0.6719,0.4394,0.0162,0.1273,0.3779,0.4212,-0.0285,0.0045,0.0672,0.2138,-1.9826,0.1714,0.006,0.0775,0.2381,0.1196,-15.4431,2.5643,-0.166,1.8947,1.6418,0.8665,3.5897,2.6955,0.7509,-1.9353,8.4996,-4.3918,9.1092,2.4139,0.265,1.7677,1.587,0.8978,0.0049,0.6754,-0.9664,-0.8845,0.8772,1100,0,0,0,1,GIACCA
-0.0757,2.6162,1.6175,7.5529,-1.307,4.928,10.0884,3.1762,12.7211,0.0097,9.5249,1.7879,1.3371,5.5044,0.5597,11.202,4.0213,2.0053,9.7337,0.428,-0.0154,-0.0079,-0.0068,0.5174,0.4399,0.8503,0.5092,1.2097,0.8066,2.3754,1.5839,0.6668,0.2593,1.4633,0.6506,5.6427,2.5088,0.4446,-34.3656,-0.6116,-0.5874,0.0178,0.0171,0.9605,0.2549,0.2619,0.1924,1.0276,0.7548,0.7346,0.5937,1.3722,0.776,2.3111,1.3069,0.5655,0.1106,15.7395,-0.3409,0.3765,-0.0859,0.037,0.804,0.6002,0.4937,0.0117,0.1082,0.3686,0.4557,-0.0785,0.0034,0.0581,0.2027,-2.1796,0.1763,0.0073,0.0857,0.2849,0.0409,-6.2883,2.7995,-0.4452,1.8616,1.2631,0.6785,3.4657,1.5953,0.4603,-2.221,25.3751,-11.4253,10.6229,2.2797,0.2146,1.8185,1.2939,0.7115,0.0055,0.7566,-0.8805,-0.7731,0.8272,1100,0,0,0,1,GIACCA
-0.0019,4.911,2.2161,11.3382,-1.8604,3.8544,10.9677,3.3118,15.4948,-0.2784,9.3286,3.2104,1.7918,8.6114,0.3858,10.8107,4.0974,2.0242,8.3227,0.4565,-0.0005,-0.0002,-0.0002,0.4132,0.3565,0.8629,0.6692,1.2368,1.0948,1.8483,1.6361,0.8852,0.4478,1.5297,1.1986,3.4163,2.6767,0.7835,2.1853,-1.3635,-1.0547,-0.6239,-0.4826,0.7736,0.327,0.2827,0.2588,0.8645,0.7914,0.9155,0.7317,1.3166,1.3623,1.7993,1.8617,1.0347,0.1041,14.9902,-0.1527,0.5648,0.1156,-0.0857,0.6668,0.6052,0.4561,0.0124,0.1113,0.3342,0.4928,-0.0054,0.0055,0.0744,0.2074,-1.2959,0.2154,0.0079,0.0889,0.2768,0.0703,-83.7294,2.1173,-0.0253,1.4968,1.2524,0.8367,2.2405,1.5686,0.7001,-2.7741,15.5134,-5.5923,7.2951,2.2134,0.3034,1.6116,1.2076,0.7493,0.0052,0.7365,-0.9779,-0.8928,0.9028,1100,0,0,0,1,GIACCA
-0.0183,2.7248,1.6507,8.6969,-1.6006,3.695,13.2396,3.6386,17.0175,-0.0726,9.5346,2.7393,1.6551,7.4203,0.4099,10.806,6.4957,2.5487,12.8057,0.3475,-0.0049,-0.0019,-0.0017,0.3875,0.3419,0.8823,0.4537,0.9974,0.6477,2.1985,1.4277,0.6494,0.2058,0.9947,0.4195,4.8333,2.0382,0.4217,4.6484,-1.0383,-0.785,-0.2234,-0.1689,0.756,0.2108,0.2659,0.1704,1.2617,0.8085,0.6408,0.5111,1.172,0.6791,2.2934,1.3289,0.5795,0.1054,14.4326,-0.3184,0.4179,-0.0392,0.0584,0.7556,0.6719,0.4394,0.0162,0.1273,0.3779,0.4212,-0.0285,0.0045,0.0672,0.2138,-1.9826,0.1714,0.006,0.0775,0.2381,0.1196,-15.4431,2.5643,-0.166,1.8947,1.6418,0.8665,3.5897,2.6955,0.7509,-1.9353,8.4996,-4.3918,9.1092,2.4139,0.265,1.7677,1.587,0.8978,0.0049,0.6754,-0.9664,-0.8845,0.8772,1100,0,0,0,1,GIACCA
-0.0757,2.6162,1.6175,7.5529,-1.307,4.928,10.0884,3.1762,12.7211,0.0097,9.5249,1.7879,1.3371,5.5044,0.5597,11.202,4.0213,2.0053,9.7337,0.428,-0.0154,-0.0079,-0.0068,0.5174,0.4399,0.8503,0.5092,1.2097,0.8066,2.3754,1.5839,0.6668,0.2593,1.4633,0.6506,5.6427,2.5088,0.4446,-34.3656,-0.6116,-0.5874,0.0178,0.0171,0.9605,0.2549,0.2619,0.1924,1.0276,0.7548,0.7346,0.5937,1.3722,0.776,2.3111,1.3069,0.5655,0.1106,15.7395,-0.3409,0.3765,-0.0859,0.037,0.804,0.6002,0.4937,0.0117,0.1082,0.3686,0.4557,-0.0785,0.0034,0.0581,0.2027,-2.1796,0.1763,0.0073,0.0857,0.2849,0.0409,-6.2883,2.7995,-0.4452,1.8616,1.2631,0.6785,3.4657,1.5953,0.4603,-2.221,25.3751,-11.4253,10.6229,2.2797,0.2146,1.8185,1.2939,0.7115,0.0055,0.7566,-0.8805,-0.7731,0.8272,1100,0,0,0,1,GIACCA
