@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-1.2905,18.4897,4.3,23.5287,-1.7004,-11.0351,112.502,10.6067,52.3637,-1.6696,9.4676,14.3235,3.7846,19.1528,-0.0181,17.1733,63.4688,7.9667,30.2883,0.1922,0.1169,-0.1363,-0.0751,-1.1656,-0.6426,0.5513,0.4054,1.1362,0.5397,2.8026,1.3314,0.4751,0.1644,1.2909,0.2913,7.8544,1.7726,0.2257,0.4524,43.5202,-2.0558,96.1977,-4.5441,-0.0472,0.4442,0.4632,0.2324,1.0427,0.5231,0.5017,0.4493,1.2285,0.7768,2.734,1.7288,0.6324,0.146,25.757,0.7151,-0.5969,-0.6124,-0.6619,-0.6585,0.7509,?,?,?,?,?,DESTRA_PANTALONI
0.041,14.8674,3.8558,22.5003,-0.6566,-13.5204,33.6252,5.7987,26.83,?,9.7811,12.7318,3.5682,15.3233,0.2125,17.2021,43.788,6.6172,27.1162,0.1982,-0.003,0.0042,0.0024,-1.3823,-0.786,0.5686,0.6649,1.0806,0.5827,1.6251,0.8763,0.5392,0.4421,1.1677,0.3395,2.641,0.7679,0.2908,0.3324,-2.157,-1.3307,-6.4894,-4.0034,0.6169,0,0.698,0.4016,0,0,0.5754,0.8386,1.4684,0.8298,1.7509,0.9894,0.5651,0.1703,26.0755,0.0985,0.1508,0.0434,-0.8933,-0.9759,0.9515,?,?,?,?,?,DESTRA_PANTALONI
-0.6436,0.0887,0.2978,1.21,?,11.2457,1.4993,1.2245,4.5315,0.6839,9.6532,0.6425,0.8016,3.1604,0.7318,14.8401,2.064,1.4367,5.473,0.7051,-0.0572,-0.0667,-0.0434,1.165,0.7578,0.6505,0.2432,0.3715,0.2073,1.5276,0.8523,0.5579,0.0591,0.138,0.043,2.3336,0.7264,0.3113,-0.1234,-0.1403,-0.0925,1.1367,0.7492,0.6591,0,0,0,1.2164,0.7724,0.635,0.267,0.3829,0.2211,1.4338,0.828,0.5774,0.2909,21.5424,0.7205,0.5855,0.6705,0.9785,0.9968,0.9919,?,?,?,?,?,DESTRA_PANTALONI
-0.3946,2.1482,1.4657,6.2433,-1.3573,-6.2712,12.9146,3.5937,12.0045,?,10.115,2.4624,1.5692,6.0263,0.5648,12.3279,7.3449,2.7102,8.7291,0.4769,0.0629,-0.039,-0.032,-0.62,-0.5087,0.8205,0.4078,0.934,0.5408,2.2901,1.326,0.579,0.1663,0.8724,0.2925,5.2446,1.7583,0.3353,0.2995,-0.4597,-0.4517,-1.5352,-1.5085,0.9826,0,0.1913,0.1587,0,0,0.8297,0.5201,1.036,0.7152,1.992,1.3752,0.6904,0.2335,17.6575,0.1648,0.2515,0.0368,-0.5542,-0.9121,0.8336,?,?,?,?,?,DESTRA_PANTALONI
0.6313,2.9172,1.708,6.3845,-0.609,-0.0778,7.3366,2.7086,8.9409,-0.7659,10.2941,3.6299,1.9052,6.3363,0.4986,10.8011,3.5938,1.8957,6.7186,0.5045,-8.1167,0.0613,0.0584,-0.0076,-0.0072,0.9531,0.6306,0.8965,0.901,1.4217,1.4288,1.005,0.3976,0.8037,0.8117,2.0211,2.0415,1.0101,0.6232,-0.3836,-0.3533,-0.6155,-0.567,0.9211,0.7837,0.314,0.2927,0.4007,0.3734,0.932,0.7141,1.0076,0.9503,1.4111,1.3308,0.9431,0.2022,14.3735,-0.1829,0.2835,0.3359,-0.7213,-0.6865,0.9848,?,?,?,?,?,DESTRA_PANTALONI
-2.0213,24.0395,4.903,17.6913,-1.1048,-0.0718,52.9873,7.2792,24.1334,-0.6744,9.9189,25.7843,5.0778,17.2737,0.1129,13.5578,21.4718,4.6338,16.3692,0.2007,28.1575,-0.2038,-0.1491,-0.0072,-0.0053,0.7316,0.6736,0.9656,1.0581,1.4335,1.5709,1.0958,0.4537,0.9323,1.1196,2.055,2.4678,1.2008,0.9553,-4.224,-2.2596,-4.4214,-2.3653,0.535,0.5832,0.4316,0.4104,0.7402,0.7038,0.9508,0.7331,1.0242,1.0808,1.3971,1.4743,1.0553,0.1023,20.7841,0.7339,0.2408,0.0691,-0.2128,-0.2844,0.8739,?,?,?,?,?,DESTRA_PANTALONI
-0.4567,2.0288,1.4244,6.3532,-1.0663,-11.2211,30.4715,5.5201,23.9666,-94.9442,10.4097,14.5494,3.8144,15.9945,0.1571,15.5223,40.5916,6.3712,26.6968,0.1211,0.0407,-0.0439,-0.0294,-1.078,-0.7229,0.6706,0.258,0.3734,0.2236,1.4472,0.8664,0.5987,0.0666,0.1394,0.05,2.0944,0.7507,0.3584,0.1382,-1.0994,-0.891,-7.9533,-6.4455,0.8104,12.3089,0.162,0.1012,0.0132,0.0082,0.6247,0.2651,0.3972,0.238,1.4984,0.8977,0.5991,0.3125,22.8523,-0.3705,0.4164,0.3951,-0.9141,-0.9848,0.9688,?,?,?,?,?,DESTRA_PANTALONI
2.4242,35.7856,5.9821,19.7543,-0.6272,-11.0241,6.105,2.4708,15.9826,?,13.0181,27.3597,5.2307,15.4881,0.2688,18.4566,25.482,5.048,17.551,0.3602,-0.2199,0.1862,0.1313,-0.8468,-0.5973,0.7053,2.4211,1.1437,1.1851,0.4724,0.4895,1.0362,5.8617,1.308,1.4043,0.2231,0.2396,1.0737,0.4764,-1.3372,-0.7705,-2.8069,-1.6173,0.5762,0,0.5731,0.4425,0,0,0.7721,1.236,1.2755,1.1255,1.0319,0.9106,0.8825,0.1758,29.7454,-0.7387,0.3543,0.5608,-0.6772,-0.8285,0.9559,?,?,?,?,?,DESTRA_PANTALONI
-1.899,23.1852,4.8151,15.2216,-1.1641,-11.3003,20.065,4.4794,19.3438,?,11.1211,29.5899,5.4397,16.6545,0.1943,16.8745,43.0739,6.5631,24.1146,0.1512,0.168,-0.1708,-0.1125,-1.0161,-0.6697,0.659,1.0749,0.8852,0.7337,0.8235,0.6825,0.8288,1.1555,0.7836,0.5383,0.6781,0.4658,0.687,0.4233,-2.0385,-1.9055,-4.8159,-4.5016,0.9347,0,0.3403,0.2476,0,0,0.7276,0.7869,0.914,0.6312,1.1615,0.8022,0.6906,0.3194,27.0167,-0.0016,0.4574,0.2253,-0.8029,-0.9634,0.9283,?,?,?,?,?,DESTRA_PANTALONI
-0.4283,4.3122,2.0766,9.6761,-0.6155,-1.3009,46.6463,6.8298,23.2926,-0.8099,9.1304,24.5584,4.9556,33.3774,0.0171,11.3359,32.2529,5.6792,33.5605,0.0367,0.3292,-0.0469,-0.0378,-0.1425,-0.1148,0.8054,0.304,0.419,0.3656,1.3782,1.2026,0.8726,0.0924,0.1756,0.1337,1.8994,1.4463,0.7614,0.3537,-6.3579,-2.8803,-17.9755,-8.1433,0.453,0.4654,0.1764,0.1719,0.379,0.3694,0.9746,0.4154,0.2899,0.2883,0.6979,0.694,0.9945,0.0993,16.738,0.4582,-0.4083,-0.4981,-0.3188,-0.2956,0.9662,?,?,?,?,?,SINISTRA_PANTALONI
0.0672,0.0963,0.3103,1.2685,-0.3876,4.7515,0.3033,0.5508,1.947,0.6698,9.7768,0.0192,0.1386,0.5808,0.942,10.886,0.0812,0.2849,1.0133,0.911,0.0141,0.0069,0.0062,0.486,0.4365,0.8981,0.5635,2.2398,1.0893,3.9749,1.9332,0.4864,0.3175,5.0166,1.1866,15.8001,3.7374,0.2365,-0.0897,-0.0376,-0.0342,0.4187,0.3809,0.9098,0.155,0.0913,0.0803,0.5889,0.5181,0.8798,0.6515,2.1842,1.2518,3.3525,1.9214,0.5731,0.1156,14.7599,0.3183,-0.4693,0.0856,0.0752,0.903,0.4944,?,?,?,?,?,SINISTRA_PANTALONI
-0.7642,3.8195,1.9544,10.4571,-0.8157,7.9915,9.2817,3.0466,11.8643,0.0785,9.1258,8.7844,2.9638,12.2848,0.0758,12.4879,13.666,3.6967,16.0333,0.1198,-0.0956,-0.0837,-0.0612,0.8757,0.6399,0.7308,0.6415,0.6594,0.5287,1.0279,0.8241,0.8017,0.4115,0.4348,0.2795,1.0566,0.6792,0.6428,-4.6503,-4.6609,-2.1522,1.0023,0.4628,0.4618,0.4473,0.4333,0.3162,0.9685,0.7068,0.7297,0.8814,0.8512,0.6522,0.9658,0.74,0.7662,0.1321,18.7492,-0.1376,-0.0065,-0.0628,0.6274,0.8779,0.9184,?,?,?,?,?,SINISTRA_PANTALONI
-0.7608,0.2567,0.5066,2.543,-0.9744,4.0792,0.4804,0.6931,3.4475,0.4051,10.371,1.6966,1.3025,4.6006,0.6645,11.1935,1.9145,1.3837,4.912,0.6672,-0.1865,-0.0734,-0.068,0.3933,0.3644,0.9265,0.7309,0.3889,0.3661,0.5321,0.5009,0.9414,0.5343,0.1513,0.1341,0.2832,0.2509,0.8862,-0.5346,-0.1378,-0.1274,0.2577,0.2383,0.9251,0.2223,0.0939,0.0873,0.4226,0.3926,0.9289,0.7376,0.5528,0.5177,0.7494,0.7018,0.9366,0.1255,15.3298,0.7128,0.2806,0.3763,0.668,0.759,0.9914,?,?,?,?,?,SINISTRA_PANTALONI
-0.7913,2.1024,1.45,7.8618,-2.0894,-0.113,7.3063,2.703,12.3079,-0.822,11.0482,8.2138,2.866,15.0496,0.2595,11.4715,8.7273,2.9542,15.8278,0.2702,7.001,-0.0716,-0.069,-0.0102,-0.0099,0.9631,0.5364,0.5059,0.4908,0.9431,0.915,0.9701,0.2878,0.256,0.2409,0.8895,0.8372,0.9412,0.9576,-1.0083,-0.9074,-1.053,-0.9476,0.8999,0.3767,0.1252,0.1173,0.3324,0.3115,0.9371,0.6388,0.5224,0.4967,0.8178,0.7776,0.9508,0.1191,14.5592,0.0897,-0.4168,-0.4113,0.0072,0.0204,0.9933,?,?,?,?,?,SINISTRA_PANTALONI
0.1071,0.2858,0.5346,2.0297,-0.8773,6.8601,0.7952,0.8917,2.8638,0.649,10.0884,0.8757,0.9358,4.197,0.6693,12.2459,0.8441,0.9188,3.7212,0.7457,0.0156,0.0106,0.0087,0.68,0.5602,0.8238,0.5996,0.5713,0.5819,0.9529,0.9706,1.0185,0.3595,0.3264,0.3386,0.9081,0.942,1.0374,-0.1791,-0.1117,-0.0869,0.6236,0.4855,0.7785,0.1325,0.0852,0.0739,0.643,0.5577,0.8673,0.7087,0.4836,0.5454,0.6824,0.7696,1.1278,0.1298,17.4211,0.5129,-0.2807,0.05,0.003,0.5453,0.8391,?,?,?,?,?,SINISTRA_PANTALONI
