@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.0603,3.6391,1.9076,16.6026,-1.364,-6.477,9.4066,3.067,22.8996,-21.5573,9.485,2.8074,1.6755,15.2621,0.1419,11.8727,6.8143,2.6104,19.031,0.2182,-0.0093,0.0064,0.0051,-0.6829,-0.5455,0.7989,0.622,1.1385,0.7308,1.8305,1.1749,0.6419,0.3869,1.2963,0.534,3.3507,1.3804,0.412,0.4377,-3.7961,-1.8033,-8.6722,-4.1196,0.475,6.9182,0.3949,0.2885,0.0571,0.0417,0.7306,0.725,1.0878,0.8724,1.5004,1.2033,0.802,0.0583,17.0034,0.2961,0.2954,-0.091,-0.1445,-0.8297,0.5883,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-0.1281,2.2644,1.5048,11.8478,-0.7888,4.0918,8.5521,2.9244,16.7714,-0.3661,9.9794,4.5197,2.126,25.3595,0.1463,11.2476,5.1749,2.2748,25.4211,0.1582,-0.0313,-0.0128,-0.0114,0.41,0.3638,0.8872,0.5146,0.7078,0.6615,1.3756,1.2855,0.9346,0.2648,0.501,0.4376,1.8922,1.6526,0.8734,1.1623,-1.2019,-1.0936,-1.034,-0.9408,0.9099,0.5395,0.223,0.2193,0.4133,0.4065,0.9837,0.7064,0.4672,0.4661,0.6613,0.6597,0.9976,0.0568,15.5339,0.1774,0.2565,0.3745,0.0733,0.2861,0.9469,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0821,0.0177,0.1329,1.4241,-2.4262,4.0314,0.0922,0.3036,3.0596,0.5317,9.9701,0.0355,0.1883,1.9018,0.8358,10.7576,0.0817,0.2858,2.9685,0.7762,0.0204,0.0082,0.0076,0.4043,0.3747,0.9268,0.4378,0.7057,0.4651,1.6121,1.0623,0.659,0.1916,0.498,0.2163,2.5988,1.1286,0.4343,-0.2903,-0.1042,-0.098,0.3588,0.3375,0.9405,0.0636,0.0359,0.0313,0.5641,0.4926,0.8734,0.4655,0.7488,0.4797,1.6088,1.0307,0.6407,0.0566,14.1123,-0.851,-0.8633,-0.907,0.7846,0.9171,0.9663,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0382,3.5139,1.8746,8.8639,-0.928,-0.0506,6.6486,2.5785,13.2993,-1.7491,10.003,2.0095,1.4176,9.1509,0.4187,10.4854,2.2918,1.5139,9.4058,0.4278,-0.7551,0.0038,0.0036,-0.0051,-0.0048,0.954,0.727,1.3224,1.2382,1.819,1.7032,0.9364,0.5285,1.7487,1.5333,3.3086,2.901,0.8768,0.5042,-0.6474,-0.6067,-1.284,-1.2033,0.9372,0.9504,0.2921,0.2797,0.3073,0.2943,0.9576,0.6665,0.9686,0.9424,1.4533,1.4139,0.9729,0.0521,13.4001,0.1895,0.508,0.5615,0.2312,-0.0008,0.9346,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0711,0.0166,0.1287,0.8357,-0.4112,6.6166,0.1144,0.3382,1.8408,0.7704,9.8986,0.0096,0.0981,0.9992,0.9059,11.9101,0.0556,0.2358,1.8472,0.8613,0.0108,0.0072,0.006,0.6684,0.5555,0.8311,0.3805,1.3118,0.5458,3.4477,1.4344,0.416,0.1448,1.7209,0.2979,11.8864,2.0574,0.1731,-0.0394,-0.0253,-0.0212,0.6417,0.5382,0.8387,0.0739,0.0557,0.0445,0.7546,0.6018,0.7974,0.454,0.8364,0.4524,1.8423,0.9966,0.5409,0.0623,16.6174,0.7614,0.3366,0.7469,0.3566,0.9456,0.6444,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1194,0.0037,0.0606,0.3416,-5.9292,8.3729,0.0215,0.1466,0.6237,0.9287,9.9703,0.0023,0.0479,0.2665,0.9736,13.0208,0.0112,0.1057,0.5689,0.9573,-0.0143,-0.012,-0.0092,0.8398,0.643,0.7657,0.4131,1.2632,0.5728,3.0582,1.3867,0.4534,0.1706,1.5957,0.3281,9.3525,1.923,0.2056,-0.036,-0.0297,-0.0229,0.8249,0.6358,0.7708,0.0056,0.0049,0.0037,0.8649,0.6555,0.7579,0.5477,1.282,0.6005,2.3406,1.0962,0.4684,0.0685,18.464,0.0177,-0.2859,-0.0884,0.1324,0.9416,0.4787,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2999,0.9654,0.9826,7.0004,-1.2202,2.4214,1.8611,1.3642,9.0981,-0.3078,9.4929,0.8258,0.9088,6.7009,0.4859,9.9442,0.8341,0.9133,6.5772,0.5099,-0.1239,-0.0316,-0.0302,0.2551,0.2435,0.9546,0.7202,1.0812,1.0759,1.5012,1.4938,0.9951,0.5187,1.169,1.1575,2.2536,2.2313,0.9901,1.7969,-0.6075,-0.5623,-0.3381,-0.313,0.9256,0.4532,0.2419,0.235,0.5338,0.5184,0.9713,0.7694,1.0447,1.0643,1.3577,1.3833,1.0188,0.0563,12.7074,0.4798,0.4971,0.4665,0.0349,0.2852,0.9196,125000,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3515,8.8195,2.9698,25.395,-1.7393,0.8178,8.4405,2.9052,18.1278,-0.5256,9.7998,10.2262,3.1978,44.3412,-0.7794,10.7404,8.9575,2.9929,26.2772,0.1432,0.4298,0.0359,0.0327,0.0834,0.0761,0.9124,1.0222,0.9287,0.9923,0.9085,0.9707,1.0685,1.0449,0.8624,0.9846,0.8254,0.9423,1.1416,2.5818,0.8302,-3.6701,0.3216,-1.4215,-4.4207,0.7802,0.372,0.3023,0.4768,0.3874,0.8125,1.4009,0.5727,0.9664,0.4088,0.6899,1.6874,0.0513,14.398,-0.8331,-0.3827,-0.3502,0.2787,0.3233,0.5198,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0552,0.0223,0.1492,0.8224,-0.9804,13.6551,0.0718,0.268,1.2415,0.9137,9.8614,0.0191,0.1381,0.839,0.9186,16.8447,0.0799,0.2827,1.4122,0.9202,-0.004,-0.0056,-0.0033,1.3847,0.8106,0.5854,0.5566,1.0806,0.5278,1.9415,0.9483,0.4884,0.3098,1.1678,0.2786,3.7696,0.8993,0.2386,-0.031,-0.043,-0.025,1.3896,0.8074,0.581,0.0289,0.0403,0.0235,1.397,0.8131,0.5821,0.6624,0.9802,0.5824,1.4797,0.8791,0.5941,0.0896,23.6431,0.052,-0.2509,-0.0329,0.7418,0.9798,0.8548,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1301,0.0078,0.0884,0.646,-2.8645,11.8365,0.0145,0.1204,0.6841,0.9438,9.915,0.009,0.0947,0.6196,0.9394,15.4414,0.02,0.1415,0.843,0.9467,-0.011,-0.0131,-0.0084,1.1938,0.7665,0.6421,0.7336,0.9334,0.6245,1.2722,0.8513,0.6691,0.5382,0.8712,0.39,1.6186,0.7247,0.4477,-0.0417,-0.0498,-0.032,1.1957,0.7671,0.6415,0.0137,0.0163,0.0106,1.1901,0.7694,0.6465,0.9443,1.0426,0.7663,1.104,0.8115,0.7351,0.0813,21.8888,0.2259,-0.2853,0.0194,0.6959,0.9519,0.8863,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0378,7.3742,2.7155,21.4233,-1.4989,-6.5253,13.1436,3.6254,20.4242,-6.8387,9.7372,5.8036,2.4091,18.6903,0.0133,12.364,10.8473,3.2935,20.2419,0.1588,-0.0058,0.0039,0.0031,-0.6701,-0.5278,0.7875,0.749,1.1272,0.8245,1.5049,1.1008,0.7315,0.561,1.2706,0.6798,2.2647,1.2117,0.535,0.7212,-50.9191,-3.3639,-70.6064,-4.6645,0.0661,3.2903,0.4526,0.3563,0.1376,0.1083,0.7872,1.0489,1.1462,1.0584,1.0928,1.009,0.9233,0.0604,18.2444,-0.3789,-0.1913,0.0368,-0.335,-0.751,0.78,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.544,6.8489,2.617,17.4503,-0.4083,1.1896,6.9515,2.6366,16.4349,-0.462,10.1796,5.3738,2.3181,15.0166,0.2015,10.8877,5.9682,2.443,14.1286,0.268,0.4573,0.0534,0.05,0.1169,0.1093,0.935,0.9926,1.1289,1.0712,1.1374,1.0792,0.9489,0.9852,1.2745,1.1476,1.2936,1.1647,0.9004,0.9742,-1.3355,-0.978,-1.3708,-1.0038,0.7323,1.1022,0.6589,0.6419,0.5978,0.5824,0.9742,1.0618,1.1621,1.2351,1.0945,1.1632,1.0629,0.0555,14.1875,0.3689,0.3578,0.5452,0.1221,0.3736,0.8939,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
