@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.9107,6.196,2.4892,15.2847,-1.5819,0.0264,9.9629,3.1564,11.5376,-1.2344,0.8021,12.1889,3.4913,20.6015,-1.5712,4.9901,4.9204,2.2182,15.0906,0.0683,34.5105,1.1355,0.1825,0.0329,0.0053,0.1607,0.7886,0.713,1.1222,0.9041,1.423,1.5739,0.6219,0.5083,1.2593,0.8174,2.0248,2.4772,1.4692,0.7439,-8.4588,0.5063,-5.7572,-11.371,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,1.0129,0.56,0.7646,1.3652,0.0121,7.4017,-0.0758,0.643,0.0867,0.1518,-0.0504,-0.081,-0.1587,0.9543,0.9769,4.8049,-1.8897,-1.0252,1.9751,1.4054,6.393,-5.9022,1.0609,2.0993,1.4489,4.8432,-0.2338,0.1548,-0.1496,-0.9664,0.6951,0.6742,0.97,0.4832,0.4546,0.9408,0.5748,3.4239,5.957,1.7952,0.4236,0.2359,0.7516,0.9921,1.32,0.0148,3.2892,0.3415,-0.3571,-0.2496,996.8137,282052.3125,531.086,1398.83,0.1041,DESTRA_PANTALONI
0.9526,8.8086,2.9679,14.0469,-0.4348,-1.1763,2.9422,1.7153,7.7861,-1.1057,0.2406,13.9826,3.7393,15.4193,-0.5132,4.4704,8.098,2.8457,13.5048,0.0459,-0.8098,3.9596,0.2131,-4.8894,-0.2631,0.0538,1.7303,0.7937,1.043,0.4587,0.6028,1.314,2.9938,0.63,1.0877,0.2104,0.3633,1.7267,1.0412,0.814,-6.5532,0.7818,-6.2939,-8.0501,2.6477,0.9607,0.6917,0.3629,0.2612,0.7199,1.8041,0.911,1.0401,0.505,0.5765,1.1418,0.0153,6.7125,0.1296,0.8454,0.7515,0.3845,-0.042,0.6645,-0.2996,0.6514,0.8071,3.4896,-1.1287,-0.9695,0.9345,0.9667,4.1099,-4.5323,1.1775,1.2046,1.0975,3.5951,-0.2581,0.3091,-0.2545,-0.8233,0.8349,0.7354,0.8808,0.697,0.5408,0.7758,0.5495,2.5087,4.565,2.2066,0.5737,0.26,0.8491,0.9706,1.1432,0.0155,3.089,0.2471,-0.5549,-0.2073,1753.3755,331611.8125,575.8575,2204.1101,0.127,DESTRA_PANTALONI
0.2553,1.7766,1.3329,5.7464,-0.8745,0.0617,4.9004,2.2137,8.7551,-0.9541,0.5593,12.6906,3.5624,16.4503,-0.7861,4.014,3.6374,1.9072,8.9323,0.1347,4.1379,0.4566,0.0636,0.1103,0.0154,0.1393,0.6021,0.3742,0.6989,0.6214,1.1607,1.8679,0.3626,0.14,0.4884,0.3861,1.3472,3.4889,0.6271,0.3703,-1.9288,0.5904,-3.0756,-5.209,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6433,0.5322,0.9802,1.8417,0.0062,6.0103,-0.1804,0.2169,0.4838,0.6742,0.124,0.382,0.0107,1.1842,1.0882,5.293,-1.2874,-0.8106,0.7185,0.8477,4.2485,-3.2449,-0.0524,1.0291,1.0144,3.9223,-0.8281,-0.0132,-0.2038,15.4671,1.2838,1.0727,0.8356,1.6481,1.1508,0.6982,0.9173,1.6767,1.8278,2.312,1.0785,0.4665,1.2459,1.3495,1.0832,0.0081,2.6031,-0.1258,0.2225,-0.5013,841.1311,206545.7812,454.4731,1353.3159,0.048,DESTRA_PANTALONI
0.0672,2.3067,1.5188,9.4048,-0.6157,0.5405,3.2019,1.7894,8.6917,-0.3849,0.5137,22.0384,4.6945,19.2085,-0.6158,4.4846,7.9957,2.8277,12.0627,0.0558,0.1243,0.1308,0.015,1.052,0.1205,0.1146,0.8488,0.3235,0.5371,0.3812,0.6328,1.6602,0.7204,0.1047,0.2885,0.1453,0.4005,2.7563,1.4836,0.4896,-5.0279,0.33,-3.389,-10.2704,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7797,0.4525,0.7205,1.5924,0.0075,6.2537,0.109,0.1244,0.0297,0.7081,0.5942,0.4648,0.3631,1.5102,1.2289,6.5848,-0.5499,-0.4815,1.2931,1.1372,4.8859,-1.9366,-0.286,0.4218,0.6494,2.9503,-1.183,-0.7542,-1.2697,1.6834,1.0807,1.8923,1.751,1.1679,3.5808,3.0661,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0067,2.5501,-0.2597,-0.242,0.1517,328.7981,41832.6992,204.5304,606.5096,0.0077,DESTRA_PANTALONI
0.9662,7.492,2.7371,11.7898,-0.4848,-0.5198,7.9553,2.8205,11.184,-1.3929,0.8261,18.1012,4.2545,16.5619,-0.8972,5.2014,8.3797,2.8948,11.2513,0.02,-1.8588,1.1696,0.1857,-0.6292,-0.0999,0.1588,0.9704,0.6433,0.9455,0.6629,0.9743,1.4697,0.9418,0.4139,0.8941,0.4395,0.9493,2.1601,0.5913,0.4915,-16.7414,0.8312,-28.3142,-34.0642,1.6989,0.9096,0.6916,0.5354,0.4071,0.7603,1.0542,0.7119,1.0479,0.6753,0.994,1.472,0.0137,7.7552,0.6945,0.7115,0.5618,0.5603,0.1809,0.415,-0.4418,0.5705,0.7553,3.2711,-1.8926,-0.5416,1.1293,1.0627,4.937,-2.4337,1.2154,2.929,1.7114,4.8795,-0.1163,0.8158,-0.3635,-0.4456,0.7107,0.4413,0.6209,0.5051,0.1948,0.3856,0.6116,4.2096,6.8826,0.7865,0.2587,0.3289,0.6626,0.6704,1.0118,0.014,2.9175,0.3809,-0.7555,-0.4705,1576.4844,362922.8438,602.4308,1917.0475,0.1053,DESTRA_PANTALONI
1.4115,6.7069,2.5898,10.3951,-0.4805,-0.6457,3.4462,1.8564,7.1717,-0.878,0.2465,14.9576,3.8675,16.0502,-0.55,4.7555,4.9656,2.2284,11.9346,0.0477,-2.1859,5.7269,0.2968,-2.62,-0.1358,0.0518,1.395,0.6696,1.1622,0.48,0.8331,1.7356,1.9461,0.4484,1.3507,0.2304,0.694,3.0122,1.0062,0.5923,-5.6463,0.5887,-5.6117,-9.5326,1.8387,0.6781,0.5603,0.3688,0.3047,0.8263,1.4495,0.6477,0.871,0.4468,0.6009,1.3448,0.0157,7.2241,0.4141,0.7282,0.6469,0.6335,0.1569,0.5008,-0.4686,0.5663,0.7525,2.9385,-1.7625,-0.8995,1.1352,1.0655,3.6122,-3.7598,1.0487,1.245,1.1158,4.0897,-0.3314,0.521,-0.4468,-0.8577,0.7063,0.6744,0.9549,0.4988,0.4548,0.9118,0.6571,1.8419,2.8031,1.4017,0.3463,0.2471,0.8135,0.7185,0.8832,0.0146,2.9621,0.5813,0.1129,-0.2225,490.1429,168787.375,410.8374,972.7549,0.0042,DESTRA_PANTALONI
1.3432,21.4652,4.6331,19.0396,-0.4648,-1.6089,20.4363,4.5207,17.0038,-1.1962,0.1499,18.4183,4.2917,21.7394,-1.1164,7.4292,9.5413,3.0889,13.8688,0.1273,-0.8348,8.9613,0.1808,-10.7343,-0.2166,0.0202,1.0249,1.0795,1.4999,1.0534,1.4635,1.3894,1.0503,1.1654,2.2497,1.1096,2.1419,1.9304,0.6524,0.5269,-2.9873,0.8076,-4.5792,-5.67,1.6788,1.2654,0.8179,0.7537,0.4872,0.6464,1.1197,0.8758,1.3728,0.7822,1.226,1.5675,0.0217,11.5916,-0.0642,0.5753,0.6235,-0.0797,-0.2747,0.2725,-0.3336,2.2435,1.4978,6.7281,-2.1629,-1.0561,2.1935,1.4811,5.8266,-2.9372,1.8647,2.7798,1.6673,6.256,-0.1321,0.3159,-0.1789,-0.5664,1.0113,0.8984,0.8883,1.0228,0.8071,0.7891,1.0585,6.3032,5.955,1.4374,0.3849,0.2678,1.1547,1.0755,0.9314,0.0224,4.5666,0.338,-0.6118,-0.1872,421.1134,19679.7812,140.2846,326,0.4408,DESTRA_PANTALONI
0.9486,8.5054,2.9164,14.2467,-0.5932,-1.2714,10.1547,3.1866,13.0493,-1.6068,-0.1805,10.7537,3.2793,13.6809,-1.2393,5.2681,4.21,2.0518,9.5543,0.0724,-0.7461,-5.2554,0.1801,7.044,-0.2413,-0.0343,0.9152,0.8893,1.4214,0.9717,1.5531,1.5982,0.8376,0.7909,2.0203,0.9443,2.4121,2.5544,0.6595,0.7006,-7.1145,1.0623,-10.7875,-10.1546,1.7863,1.4636,0.8682,0.8194,0.486,0.5931,1.0918,1.0414,1.4911,0.9538,1.3658,1.4319,0.017,7.9671,0.4709,0.1625,0.0536,0.0955,-0.4094,-0.0391,-0.2133,1.9133,1.3832,6.4514,-2.9258,-1.1107,1.1415,1.0684,5.849,-3.8697,1.6,5.1059,2.2596,7.3668,-0.1813,0.1921,-0.1333,-0.6941,1.2946,0.6121,0.4728,1.6761,0.3747,0.2236,1.0345,4.2532,4.1115,1.3682,0.2635,0.1926,1.103,0.8757,0.794,0.0208,4.0425,0.4259,-0.2402,-0.1576,352.1383,36574.3164,191.2441,445,0.2752,DESTRA_PANTALONI
1.2864,19.3224,4.3957,17.5871,-0.5585,-2.1532,20.7662,4.557,17.7576,-1.1941,0.6357,17.4151,4.1731,17.8581,-0.6499,7.4145,9.2236,3.037,14.8342,0.0744,-0.5974,2.0237,0.1735,-3.3872,-0.2904,0.0857,0.9646,1.0533,1.4474,1.092,1.5005,1.3741,0.9305,1.1095,2.0949,1.1924,2.2514,1.8881,0.6521,0.896,-5.2831,1.3739,-8.1013,-5.8966,1.3943,1.0426,0.7041,0.7477,0.505,0.6753,0.9904,0.9848,1.1856,0.9944,1.1971,1.2039,0.0272,11.6512,0.1712,0.526,0.4872,0.0579,-0.3447,0.2091,-0.2946,2.4531,1.5662,6.7398,-2.1245,-1.131,2.0653,1.4371,6.3542,-1.94,1.9234,2.3039,1.5179,5.2551,-0.0828,0.2605,-0.1532,-0.5881,1.0899,1.0319,0.9468,1.1878,1.0648,0.8964,1.093,11.3995,10.4299,0.998,0.4445,0.4453,1.0607,1.2825,1.2091,0.0234,4.6563,0.1139,-0.59,0.1304,341.6562,7729.7944,87.9193,268,0.4274,DESTRA_PANTALONI
2.776,11.9852,3.462,10.2266,-0.0556,-1.2239,1.3194,1.1487,4.2754,-3.9302,-1.1155,1.8933,1.376,6.1953,-3.3873,3.9805,9.802,3.1308,9.0939,0.0854,-2.2682,-2.4886,0.6974,1.0972,-0.3075,-0.2802,3.0139,2.516,1.1058,0.8348,0.3669,0.4395,9.0835,6.3303,1.2227,0.6969,0.1346,0.1932,0.1582,0.1127,-0.6349,0.7125,-4.014,-5.6333,11.1712,6.8603,0.9743,0.6141,0.0872,0.142,2.392,1.6507,1.1245,0.6901,0.4701,0.6813,0.1469,5.6813,-0.7143,0.1361,0.9822,-0.0192,-0.761,0.0271,0.0228,0.5988,0.7738,2.9932,-1.0332,-1.6378,2.8182,1.6787,5.6737,-144.125,0.549,2.355,1.5346,4.5522,-0.2584,-0.0139,0.0416,-2.983,0.461,0.5043,1.0939,0.2125,0.2543,1.1967,0.2699,1.6275,6.0288,37.6562,0.407,0.0108,0.5276,0.6575,1.2464,0.0199,3.4684,-0.5579,-0.0465,-0.6059,10.8391,54.4109,7.3764,18,0.0526,DESTRA_PANTALONI
