@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
2.3617,13.8911,3.7271,17.4558,-0.3012,1.3443,12.308,3.5083,16.5144,-2.073,2.3617,13.8911,3.7271,17.4558,-0.3012,6.0532,16.4109,4.051,19.5001,0.0348,1.7569,1,0.3902,0.5692,0.2221,0.3902,1.0624,1,0.92,0.9413,0.866,0.92,1.1286,1,0.8465,0.886,0.75,0.8465,0.3627,1,-5.7489,2.7573,-15.8513,-5.7489,2.4964,1,0.664,0.4006,0.266,0.664,1.057,1,0.8952,0.9461,0.8469,0.8952,0.0248,9.4909,-0.8281,1,0.875,-0.8281,-0.8928,0.875,-0.0894,0.0325,0.1804,0.6853,-16.1183,-0.2039,0.001,0.0316,0.2711,?,-0.8784,0.0091,0.0956,0.9313,?,0.4385,0.1018,0.2322,5.7112,1.8857,0.3302,32.6176,3.556,0.109,2.38,0.6929,0.2911,0,0,1,2.5277,0.7359,0.2911,0.0062,1.1887,-0.0692,-0.964,0.2857,2.6997,6.4551,2.5407,8.2162,0.0661,2.6239,5.7295,2.3936,10.5937,-1.7024,8.1248,3.7943,1.9479,7.7367,0.1607,1.0289,0.3323,0.3229,1.0614,1.3043,1.2288,1.1266,1.7013,1.51,-0.0871,0.3926,-4.5064,2.2442,0.9544,0.4253,0.7756,1.062,1.3693,0.0618,14.2599,-0.8156,-0.9049,0.9785,DESTRA_PANTALONI
3.9628,18.5044,4.3017,13.5991,0.0111,0.8467,2.0963,1.4479,5.4779,-1.1504,3.9628,18.5044,4.3017,13.5991,0.0111,6.2298,32.418,5.6937,19.1507,0.0201,4.6802,1,0.6361,0.2137,0.1359,0.6361,2.9711,1,0.7555,0.3366,0.2543,0.7555,8.8272,1,0.5708,0.1133,0.0647,0.5708,-0.0523,1,0.3908,-19.125,-7.4745,0.3908,5.3985,1,0.7037,0.1852,0.1304,0.7037,2.4825,1,0.7101,0.4028,0.286,0.7101,0.0433,9.4053,-0.3688,1,0.9955,-0.3688,-0.3168,0.9955,0.1013,0.0006,0.0251,0.1092,0.1481,-0.1886,0.0546,0.2336,0.734,?,-0.0533,0.0033,0.0576,0.2451,-1.3009,-0.5371,-1.8996,3.5367,0.1076,0.4365,4.0561,0.0116,0.1906,16.4522,-0.0259,-0.137,5.2977,0,1.2037,0,0.1488,0.4457,2.9953,0.0017,0.3559,0.3123,-0.0675,-0.3634,2.0237,3.5696,1.8893,7.0273,0.0774,1.2374,0.5104,0.7144,2.2031,-0.1146,8.614,1.9518,1.3971,5.5605,0.4663,1.6354,0.2349,0.1437,2.6446,1.3523,0.5114,6.994,1.8288,0.2615,-2.6034,0.1214,-0.0466,3.8538,0.7312,0.1897,3.1897,1.2638,0.3962,0.0682,11.9068,-0.9124,-0.8939,0.8322,DESTRA_PANTALONI
-6.9856,1.8238,1.3505,10.167,?,6.2853,2.5444,1.5951,6.4172,0.3927,-6.9856,1.8238,1.3505,10.167,?,11.7614,4.9647,2.2282,8.1751,0.5148,-1.1114,1,-0.5939,-0.8997,0.5344,-0.5939,0.8466,1,0.6061,1.1811,0.7159,0.6061,0.7168,1,0.3674,1.3951,0.5125,0.3674,-2.4501,1,-1.1721,-0.4082,0.4784,-1.1721,0,1,0,0,0.6271,0,1.5843,1,1.2436,0.6312,0.785,1.2436,0.0781,20.2565,-0.6064,1,-0.9482,-0.6064,0.8267,-0.9482,0.6505,0,0.0036,0.0182,0.9723,0.0373,0.0004,0.0199,0.0605,0.0319,-0.5188,0.0009,0.0306,0.564,?,17.4293,-1.2537,-0.0719,0.1811,0.1182,0.6526,0.0328,0.014,0.4259,320.0596,-1.1312,-0.0035,10.4953,0,0,0.3006,0.0323,0.1073,0.0056,1.2067,-0.1265,-0.5113,0.7971,-7.0375,0.0671,0.2591,7.3092,?,6.664,0.0626,0.2502,0.8251,0.8856,1.4715,0.0082,0.0905,0.4536,0.7491,-1.056,-4.7825,4.5288,1.0353,2.8638,2.766,1.0719,8.2013,7.651,-1.1443,-5.3985,4.7175,0,0,3.9902,8.8587,16.1152,1.8191,0.0654,15.173,0.9967,0.6482,0.5881,DESTRA_PANTALONI
4.0193,18.1105,4.2556,13.0473,0.0047,1.3227,5.9853,2.4465,8.486,-0.6534,4.0193,18.1105,4.2556,13.0473,0.0047,6.8667,29.1141,5.3957,17.7209,0.0443,3.0386,1,0.5853,0.3291,0.1926,0.5853,1.7395,1,0.7887,0.5749,0.4534,0.7887,3.0258,1,0.6221,0.3305,0.2056,0.6221,-0.0186,1,0.0758,-53.8558,-4.083,0.0758,2.5543,1,0.707,0.3915,0.2768,0.707,1.5375,1,0.7363,0.6504,0.4789,0.7363,0.0386,10.41,-0.7378,1,0.9829,-0.7378,-0.628,0.9829,0.2235,0.0062,0.0785,0.2636,0.3596,-0.074,0.0349,0.1869,0.4913,-6.3777,0.5797,0.0119,0.109,0.3201,0.5712,-3.0212,0.3855,-0.1276,0.42,0.7198,1.7139,0.1764,0.5181,2.9376,-0.3485,0.3471,-0.996,6.1801,0.5513,0.0892,0.5365,0.8235,1.5351,0.0041,0.9423,-0.9598,0.9249,-0.8636,3.1207,10.314,3.2115,8.2612,0.0402,1.7382,6.2774,2.5055,6.9803,-0.9898,7.9226,4.1125,2.0279,5.9837,0.3577,1.7954,0.3939,0.2194,1.2818,1.5837,1.2355,1.643,2.508,1.5264,-0.0997,0.1039,-1.0421,2.4536,0.924,0.3766,1.1835,1.3806,1.1666,0.0576,13.9899,-0.9376,-0.9506,0.9878,DESTRA_PANTALONI
2.1434,25.9511,5.0942,23.9025,-0.1227,1.2259,39.1291,6.2553,25.0879,-1.4083,2.1434,25.9511,5.0942,23.9025,-0.1227,7.758,41.5367,6.4449,29.8113,0.0587,1.7484,1,0.2763,0.572,0.158,0.2763,0.8144,1,0.7904,1.2279,0.9706,0.7904,0.6632,1,0.6248,1.5078,0.942,0.6248,0.1781,1,-1.4059,5.6157,-7.8953,-1.4059,2.0437,1,0.6723,0.4893,0.3289,0.6723,0.9527,1,0.8018,1.0496,0.8416,0.8018,0.0224,12.0007,-0.7321,1,0.9604,-0.7321,-0.7409,0.9604,0.1571,0.0283,0.1681,0.707,-1.4597,-0.1579,0.0371,0.1926,0.6208,?,-0.1945,0.0126,0.1123,0.47,-1.5843,-0.9952,-0.8078,0.8117,0.8725,1.4963,1.7149,0.7613,2.2389,2.9409,0.6758,1.4563,2.1548,0,1.5805,0,1.1388,1.5043,1.321,0.002,0.5906,0.867,-0.8879,-0.769,1.7109,11.1762,3.3431,10.3145,-0.1072,3.2427,10.0311,3.1672,13.5995,-1.4102,7.552,4.4857,2.1179,7.584,0.1587,0.5276,0.2266,0.4294,1.0555,1.5785,1.4954,1.1142,2.4915,2.2362,0.1255,-0.6979,-5.5616,1.651,1.0334,0.6259,0.7584,1.36,1.7932,0.0575,14.309,-0.7308,-0.8746,0.9196,DESTRA_PANTALONI
2.5802,15.9159,3.9895,18.0801,-0.2507,1.9265,45.9013,6.775,28.2336,-1.7591,2.5802,15.9159,3.9895,18.0801,-0.2507,8.6242,20.3822,4.5147,21.1719,0.1027,1.3393,1,0.2992,0.7466,0.2234,0.2992,0.5888,1,0.8837,1.6982,1.5007,0.8837,0.3467,1,0.7809,2.884,2.252,0.7809,0.2013,1,-1.4958,4.967,-7.4294,-1.4958,1.4127,1,0.6127,0.7079,0.4337,0.6127,0.6404,1,0.854,1.5616,1.3335,0.854,0.0285,13.3611,-0.6681,1,0.7587,-0.6681,-0.7255,0.7587,0.2036,0.0437,0.209,0.9547,-0.7238,0.1892,0.0371,0.1927,0.8681,-0.7997,0.7558,0.149,0.386,1.7365,-0.9345,1.076,0.2694,0.2503,1.0845,0.5415,0.4993,1.176,0.2932,0.2493,1.0392,0.4779,0.4599,1.1482,0.617,0.5374,1.0998,0.5498,0.4999,0.0056,1.3336,-0.8863,0.4838,-0.2224,2.5399,11.7199,3.4234,10.6974,-0.1413,3.971,14.3758,3.7915,14.7615,-1.3755,6.7003,2.9334,1.7127,5.7342,0.3038,0.6396,0.3791,0.5927,0.9029,1.9988,2.2138,0.8152,3.9953,4.9007,0.1549,-0.5293,-3.4166,1.5084,1.1381,0.7545,0.7247,1.8655,2.5743,0.0565,15.1881,-0.5555,-0.8334,0.8369,DESTRA_PANTALONI
3.7642,32.0975,5.6655,24.1893,-0.0981,2.1019,50.8178,7.1287,27.3112,-1.3755,3.7642,32.0975,5.6655,24.1893,-0.0981,9.8308,51.1245,7.1501,33.5636,0.0186,1.7909,1,0.3829,0.5584,0.2138,0.3829,0.7947,1,0.7924,1.2583,0.997,0.7924,0.6316,1,0.6278,1.5832,0.994,0.6278,0.1366,1,-3.403,7.321,-24.9132,-3.403,1.9161,1,0.6442,0.5219,0.3362,0.6442,0.8857,1,0.7207,1.1291,0.8137,0.7207,0.0392,14.6585,-0.8274,1,0.9476,-0.8274,-0.7221,0.9476,0.2312,0.0667,0.2582,0.8596,-1.1288,-0.2097,0.0225,0.1501,0.5842,?,-0.1972,0.0119,0.109,0.5286,-1.9395,-1.1023,-1.1722,1.0635,1.7198,2.3685,1.3772,2.9577,5.6096,1.8966,0.7803,1.3068,1.6748,0,2.2454,0,1.4716,1.6261,1.105,0.0025,0.7576,0.7041,-0.7157,-0.0645,2.1849,7.8318,2.7985,9.2926,0.0133,4.882,20.1583,4.4898,15.7141,-1.0938,6.1494,1.7884,1.3373,5.2567,0.2755,0.4475,0.3553,0.7939,0.6233,2.0927,3.3573,0.3885,4.3792,11.2717,-0.0153,0.0628,-4.1068,1.2549,1.298,1.0344,0.5914,1.7677,2.9893,0.0558,14.7801,-0.5858,-0.8668,0.804,DESTRA_PANTALONI
2.4862,29.9826,5.4756,24.9873,-0.225,-0.1239,30.0404,5.4809,23.4183,-4.1466,2.4862,29.9826,5.4756,24.9873,-0.225,6.6843,57.7026,7.5962,30.9277,0.0154,-20.0655,1,0.3719,-0.0498,-0.0185,0.3719,0.999,1,0.7208,1.001,0.7215,0.7208,0.9981,1,0.5196,1.0019,0.5206,0.5196,0.2432,1,-9.4589,4.1111,-38.8865,-9.4589,4.4828,1,0.6493,0.2231,0.1449,0.6493,1.067,1,0.8079,0.9372,0.7572,0.8079,0.0243,10.9602,-0.8909,1,0.9506,-0.8909,-0.9319,0.9506,0.1503,0.0058,0.0761,0.3946,-0.1309,-0.0669,0.0292,0.1709,0.6267,-14.0184,0.3881,0.0055,0.0743,0.4065,0.4282,-2.2475,0.3871,-0.1722,0.4453,1.0241,2.2998,0.1983,1.0487,5.2891,0.0781,-0.15,-1.9215,8.3619,0.4908,0.0587,0.6296,0.9707,1.5416,0.0029,0.6359,-0.0851,-0.1669,-0.8443,1.9529,5.9567,2.4406,8.4182,-0.016,1.8112,6.6766,2.5839,12.7285,-2.0268,8.5494,3.3115,1.8198,6.5183,0.3219,1.0782,0.2284,0.2119,0.9446,1.3412,1.4199,0.8922,1.7988,2.0162,0.0155,-0.0428,-2.7549,1.9703,0.862,0.4375,0.6614,1.2915,1.9527,0.0618,13.3927,-0.3972,-0.8765,0.7711,DESTRA_PANTALONI
8.4775,12.0042,3.4647,20.8259,0.1036,1.6911,20.7621,4.5565,21.4567,-0.5058,8.4775,12.0042,3.4647,20.8259,0.1036,13.0187,21.8806,4.6777,28.1271,0.144,5.013,1,0.6512,0.1995,0.1299,0.6512,0.7604,1,0.7407,1.3151,0.9741,0.7407,0.5782,1,0.5486,1.7296,0.9489,0.5486,-0.3341,1,0.5088,-2.9935,-1.523,0.5088,1.6304,1,0.7071,0.6133,0.4337,0.7071,0.9706,1,0.7404,1.0303,0.7628,0.7404,0.0865,20.6992,-0.2543,1,0.9332,-0.2543,0.0255,0.9332,-0.1374,0.0056,0.0745,0.2778,?,-0.5001,0.0144,0.1201,0.6635,?,-0.4322,0.031,0.1762,0.6957,?,0.2747,0.3179,1.1572,0.6206,0.4231,0.6818,0.3852,0.179,0.4648,0.4187,0.3993,0.9537,1,1,1,0.4187,0.3993,0.9537,0.0048,1.0697,-0.5964,-0.3683,0.4086,7.4039,1.0357,1.0177,3.9821,0.5614,2.4522,12.6932,3.5628,10.6351,-0.2843,4.1317,4.5469,2.1324,6.1143,0.1221,3.0193,1.792,0.5935,0.2856,0.4773,1.6708,0.0816,0.2278,2.7916,-2.1651,5.9961,-2.7694,1.0964,1.3037,1.189,0.3744,0.6513,1.7394,0.063,14.8426,-0.6756,0.2192,-0.7674,SINISTRA_PANTALONI
7.4886,1.3096,1.1444,5.2499,0.5146,6.1494,0.8382,0.9156,3.5349,0.584,7.4886,1.3096,1.1444,5.2499,0.5146,12.2934,2.301,1.5169,7.537,0.5534,1.2178,1,0.6092,0.8212,0.5002,0.6092,1.2499,1,0.7544,0.8001,0.6036,0.7544,1.5623,1,0.5691,0.6401,0.3643,0.5691,1.1219,1,0.5961,0.8913,0.5313,0.5961,1.273,1,0.641,0.7855,0.5035,0.641,1.4852,1,0.6965,0.6733,0.469,0.6965,0.0881,21.1265,0.1095,1,0.942,0.1095,0.4355,0.942,-0.0424,0.0161,0.1268,0.3746,-0.904,-0.7322,0.0004,0.0207,0.7579,?,-0.4584,0.0078,0.0881,0.5625,?,0.0579,0.0924,1.5975,6.1134,1.4389,0.2354,37.3735,2.0704,0.0554,0.2347,0.3162,1.3474,0,0,1,0.4943,0.666,1.3474,0.0062,1.3118,-0.6971,0.9923,-0.6986,7.4136,0.0269,0.1639,0.5161,0.9328,6.3113,0.0222,0.1491,0.5352,0.9183,-1.0697,0.1832,0.4281,1.552,?,1.1747,-6.9306,-5.9001,1.0991,0.3829,0.3483,1.2081,0.1466,0.1213,1.1922,-4.6181,-3.8738,1.1735,0,0,0.9644,0.3325,0.3448,0.0705,14.7946,-0.9591,0.6929,-0.4665,SINISTRA_PANTALONI
