@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.4418,7.3731,2.7154,16.4352,-3.5644,0.1945,16.8284,4.1022,14.4383,-0.8744,0.5579,18.5687,4.3091,17.9964,-1.0809,6.0588,6.6053,2.5701,16.0529,0.0557,-2.2713,-0.7919,-0.0729,0.3487,0.0321,0.0921,0.6619,0.6301,1.0565,0.952,1.5962,1.6767,0.4381,0.3971,1.1163,0.9063,2.5477,2.8112,1.9055,1.373,-13.5603,0.7205,-7.1164,-9.8766,0.4675,0.4163,0.2118,0.8907,0.4531,0.5087,1.1383,0.9133,1.0238,0.8023,0.8994,1.1211,0.0074,9.2968,-0.7369,0.0583,-0.4712,-0.1424,0.2291,-0.1553,-0.1587,0.9543,0.9769,4.8049,-1.8897,-1.0252,1.9751,1.4054,6.393,-5.9022,1.0609,2.0993,1.4489,4.8432,-0.2338,0.1548,-0.1496,-0.9664,0.6951,0.6742,0.97,0.4832,0.4546,0.9408,0.5748,3.4239,5.957,1.7952,0.4236,0.2359,0.7516,0.9921,1.32,0.0148,3.2892,0.3415,-0.3571,-0.2496,?,?,?,?,?,DAVANTI_PANTALONI
-0.1629,6.0931,2.4684,9.841,-2.1832,-1.4352,3.6777,1.9177,7.5427,-2.1038,0.3826,20.141,4.4879,17.504,-0.4181,4.8691,8.436,2.9045,13.626,0.0482,0.1135,-0.4257,-0.0335,-3.7508,-0.2948,0.0786,1.2872,0.55,0.8499,0.4273,0.6603,1.5452,1.6568,0.3025,0.7223,0.1826,0.4359,2.3875,1.3202,1.308,-9.7716,0.9908,-7.4018,-7.4709,1.2721,0.2505,0.2159,0.1969,0.1697,0.8622,1.3047,0.5622,0.7222,0.4309,0.5536,1.2846,0.0149,7.307,-0.1643,-0.5796,-0.5398,-0.1801,-0.5124,0.646,-0.2996,0.6514,0.8071,3.4896,-1.1287,-0.9695,0.9345,0.9667,4.1099,-4.5323,1.1775,1.2046,1.0975,3.5951,-0.2581,0.3091,-0.2545,-0.8233,0.8349,0.7354,0.8808,0.697,0.5408,0.7758,0.5495,2.5087,4.565,2.2066,0.5737,0.26,0.8491,0.9706,1.1432,0.0155,3.089,0.2471,-0.5549,-0.2073,?,?,?,?,?,DAVANTI_PANTALONI
0.0256,2.7884,1.6698,8.5047,-0.4227,-0.0071,3.3185,1.8217,7.8823,-0.9925,0.1834,13.9765,3.7385,17.4742,-0.7861,4.1207,3.1373,1.7712,8.5942,0.1275,-3.6046,0.1395,0.0062,-0.0387,-0.0017,0.0445,0.9167,0.4467,0.9428,0.4873,1.0285,2.1107,0.8403,0.1995,0.8888,0.2374,1.0578,4.455,0.6435,0.3285,-2.0121,0.5105,-3.1266,-6.1242,1.5111,0.611,0.6069,0.4044,0.4016,0.9932,1.079,0.4867,0.9896,0.4511,0.9172,2.0333,0.0019,5.9982,-0.356,0.1417,0.3308,0.002,-0.1905,0.3495,0.0107,1.1842,1.0882,5.293,-1.2874,-0.8106,0.7185,0.8477,4.2485,-3.2449,-0.0524,1.0291,1.0144,3.9223,-0.8281,-0.0132,-0.2038,15.4671,1.2838,1.0727,0.8356,1.6481,1.1508,0.6982,0.9173,1.6767,1.8278,2.312,1.0785,0.4665,1.2459,1.3495,1.0832,0.0081,2.6031,-0.1258,0.2225,-0.5013,?,?,?,?,?,DAVANTI_PANTALONI
-0.3007,3.3518,1.8308,10.672,-1.1396,0.6718,2.885,1.6985,8.3195,-1.2857,0.583,22.0599,4.6968,18.5251,-0.6253,4.5855,8.1516,2.8551,12.4875,0.0573,-0.4476,-0.5158,-0.0656,1.1522,0.1465,0.1271,1.0779,0.3898,0.6412,0.3616,0.5949,1.6451,1.1618,0.1519,0.4112,0.1308,0.3539,2.7062,1.2147,0.7975,-7.4916,0.6566,-6.1676,-9.3938,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.2828,0.5761,0.8546,0.4491,0.6662,1.4835,0.0094,6.6586,-0.2046,-0.5591,-0.5298,-0.0501,0.4083,0.5038,0.3631,1.5102,1.2289,6.5848,-0.5499,-0.4815,1.2931,1.1372,4.8859,-1.9366,-0.286,0.4218,0.6494,2.9503,-1.183,-0.7542,-1.2697,1.6834,1.0807,1.8923,1.751,1.1679,3.5808,3.0661,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0067,2.5501,-0.2597,-0.242,0.1517,?,?,?,?,?,DAVANTI_PANTALONI
-0.0142,1.6872,1.2989,7.4659,-1.5033,-0.3332,32.3002,5.6833,24.683,-0.8672,0.568,18.6399,4.3174,15.3006,-0.9418,6.2266,14.2901,3.7802,14.2022,0.0194,0.0425,-0.025,-0.0023,-0.5866,-0.0535,0.0912,0.2286,0.3009,0.3436,1.3164,1.5034,1.1421,0.0522,0.0905,0.1181,1.7329,2.2603,1.3044,0.3911,0.6042,-15.9273,1.5448,-40.7239,-26.3625,0.2256,0.3785,0.2059,1.6777,0.9127,0.544,0.3025,0.4879,0.5257,1.6132,1.738,1.0773,0.0066,8.7453,0.3869,0.0897,-0.0223,0.4409,0.1377,0.2068,-0.4418,0.5705,0.7553,3.2711,-1.8926,-0.5416,1.1293,1.0627,4.937,-2.4337,1.2154,2.929,1.7114,4.8795,-0.1163,0.8158,-0.3635,-0.4456,0.7107,0.4413,0.6209,0.5051,0.1948,0.3856,0.6116,4.2096,6.8826,0.7865,0.2587,0.3289,0.6626,0.6704,1.0118,0.014,2.9175,0.3809,-0.7555,-0.4705,?,?,?,?,?,DAVANTI_PANTALONI
0.2403,4.708,2.1698,10.2561,-1.0403,-0.2115,3.9912,1.9978,11.0852,-0.8729,0.208,20.386,4.5151,17.3103,-0.5721,4.9384,4.8431,2.2007,12.161,0.0456,-1.1362,1.1551,0.0487,-1.0167,-0.0428,0.0421,1.0861,0.4806,0.986,0.4425,0.9078,2.0517,1.1796,0.2309,0.9721,0.1958,0.8241,4.2093,1.0122,0.8301,-8.9967,0.8202,-8.8884,-10.8375,0.8493,0.4565,0.3945,0.5375,0.4645,0.8641,0.9252,0.5925,0.8434,0.6404,0.9115,1.4234,0.0038,7.1331,-0.2831,-0.4088,-0.369,0.0285,0.0157,0.5739,-0.4686,0.5663,0.7525,2.9385,-1.7625,-0.8995,1.1352,1.0655,3.6122,-3.7598,1.0487,1.245,1.1158,4.0897,-0.3314,0.521,-0.4468,-0.8577,0.7063,0.6744,0.9549,0.4988,0.4548,0.9118,0.6571,1.8419,2.8031,1.4017,0.3463,0.2471,0.8135,0.7185,0.8832,0.0146,2.9621,0.5813,0.1129,-0.2225,?,?,?,?,?,DAVANTI_PANTALONI
-0.1088,8.58,2.9292,14.4801,-1.073,-1.329,46.1063,6.7902,36.058,-0.7644,0.0286,43.0005,6.5575,25.3122,-0.7699,8.9843,18.7477,4.3299,19.6763,0.0706,0.0818,-3.8066,-0.0121,-46.5086,-0.1479,0.0032,0.4314,0.4467,0.6765,1.0355,1.5682,1.5145,0.1861,0.1995,0.4577,1.0722,2.4593,2.2936,0.4798,0.6807,-5.0136,1.4188,-10.45,-7.3652,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.4016,0.5721,0.7359,1.4245,1.8326,1.2864,0.0069,13.2949,-0.1818,-0.4243,-0.0194,-0.3001,-0.1375,0.322,-0.3318,2.2532,1.5011,6.7387,-2.1679,-1.057,2.2056,1.4851,5.8266,-2.9372,1.864,2.7867,1.6693,6.3927,-0.1289,0.3139,-0.178,-0.5671,1.0107,0.8992,0.8897,1.0216,0.8086,0.7915,1.0609,6.3179,5.955,1.4374,0.3756,0.2613,1.1566,1.0541,0.9114,0.0112,4.5743,0.3313,-0.6134,-0.1767,?,?,?,?,?,DAVANTI_PANTALONI
0.087,5.4171,2.3275,10.1495,-1.062,-1.0983,28.9501,5.3805,27.2276,-1.5335,-0.2202,15.5139,3.9388,17.1265,-1.152,6.4516,9.5207,3.0856,16.3388,0.0425,-0.0792,-0.395,0.0135,4.9871,-0.1702,-0.0341,0.4326,0.5909,0.7543,1.366,1.7438,1.2765,0.1871,0.3492,0.569,1.8661,3.0408,1.6295,0.3172,0.5702,-7.214,1.7977,-22.744,-12.652,0.458,0.6185,0.2885,1.3504,0.6298,0.4664,0.3728,0.5926,0.6212,1.5898,1.6664,1.0482,0.006,9.4423,0.3448,0.15,-0.3823,-0.0707,-0.3898,0.0615,-0.217,1.891,1.3751,6.4514,-2.9258,-1.1111,1.1405,1.068,5.849,-3.8697,1.5984,5.0724,2.2522,7.3882,-0.1831,0.1953,-0.1358,-0.6952,1.2876,0.6106,0.4742,1.658,0.3728,0.2249,1.0345,4.2055,4.0654,1.3682,0.2632,0.1923,1.103,0.8732,0.7917,0.0104,4.038,0.4282,-0.2519,-0.1601,?,?,?,?,?,DAVANTI_PANTALONI
-0.1782,9.4687,3.0771,17.5132,-0.9709,-2.2831,45.2478,6.7266,33.1843,-0.9659,0.619,40.2076,6.3409,26.9182,-0.8196,9.0478,18.6892,4.3231,18.2148,0.0786,0.0781,-0.2879,-0.0197,-3.6883,-0.2523,0.0684,0.4575,0.4853,0.7118,1.0608,1.556,1.4668,0.2093,0.2355,0.5066,1.1254,2.4211,2.1514,0.5292,0.7115,-5.5526,1.3447,-10.4932,-7.8035,0.5264,0.6007,0.4495,1.1411,0.8539,0.7483,0.5278,0.6506,0.9615,1.2328,1.8218,1.4778,0.0125,13.6001,0.2372,-0.3758,0.0215,-0.0521,-0.269,0.1259,-0.2882,2.4592,1.5682,6.8413,-2.0579,-1.1269,2.0595,1.4351,6.6074,-1.9227,1.9291,2.3006,1.5168,5.2711,-0.0826,0.2558,-0.1494,-0.5841,1.0927,1.0339,0.9462,1.194,1.0689,0.8952,1.0592,11.4527,10.8125,0.9896,0.4595,0.4643,1.0354,1.2979,1.2535,0.0118,4.6555,0.1026,-0.5929,0.1399,?,?,?,?,?,DAVANTI_PANTALONI
1.8247,4.3739,2.0914,6.521,-0.0597,-1.6472,5.7341,2.3946,8.9678,-4.7139,0.9334,14.0701,3.751,13.0831,-0.3883,4.328,12.3608,3.5158,10.1748,0.0786,-1.1078,1.9549,0.4216,-1.7647,-0.3806,0.2157,0.8734,0.5576,0.5949,0.6384,0.6811,1.0669,0.7628,0.3109,0.3539,0.4075,0.4639,1.1383,0.0497,0.1004,-0.4233,2.0217,-8.5198,-4.2143,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.7272,0.4984,0.6409,0.6854,0.8814,1.2858,0.1195,6.7739,-0.7999,0.3979,0.8613,-0.5559,-0.8419,0.7501,0.0228,0.5988,0.7738,2.9932,-1.0332,-1.6378,2.8182,1.6787,5.6737,-144.125,0.549,2.355,1.5346,4.5522,-0.2584,-0.0139,0.0416,-2.983,0.461,0.5043,1.0939,0.2125,0.2543,1.1967,0.2699,1.6275,6.0288,37.6562,0.407,0.0108,0.5276,0.6575,1.2464,0.0199,3.4684,-0.5579,-0.0465,-0.6059,?,?,?,?,?,DAVANTI_PANTALONI
