@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.7613,4.5194,2.1259,15.2847,-1.5819,-0.0182,7.4499,2.7294,11.5376,-1.2344,0.3949,11.7923,3.434,20.6015,-1.5712,4.4591,4.6141,2.1481,15.68,0.032,-41.8669,1.928,0.1707,-0.0461,-0.0041,0.0886,0.7789,0.6191,0.9897,0.7948,1.2707,1.5987,0.6066,0.3832,0.9795,0.6318,1.6146,2.5557,1.4692,0.7439,-18.0907,0.5063,-12.3129,-24.319,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,0.9748,0.56,0.7358,1.3139,0.0057,6.5965,-0.0496,0.6302,0.104,0.2147,-0.0327,-0.0249,?,?,?,?,?,1094.6012,207782.2344,455.8314,1398.83,0.1041,DESTRA_PANTALONI
0.6937,6.3049,2.511,14.0469,-0.4348,-0.758,3.458,1.8596,8.0606,-1.0293,0.1391,13.6027,3.6882,16.5409,-0.6232,4.2271,6.5719,2.5636,13.5404,0.0434,-0.9151,4.9856,0.1641,-5.448,-0.1793,0.0329,1.3503,0.6808,0.9795,0.5042,0.7254,1.4387,1.8233,0.4635,0.9594,0.2542,0.5262,2.0698,1.0412,0.6703,-6.9323,0.6438,-6.6581,-10.3424,2.4647,0.9607,0.6917,0.3898,0.2806,0.7199,1.7427,0.8492,1.0374,0.4873,0.5953,1.2216,0.0069,6.2356,0.0243,0.6934,0.7115,0.4304,-0.0417,0.5106,?,?,?,?,?,1612.5969,267865.8438,517.5576,2204.1101,0.127,DESTRA_PANTALONI
0.1454,1.4365,1.1986,5.7464,-0.8745,0.1601,4.4084,2.0996,8.7551,-0.9541,0.3988,11.9538,3.4574,16.4503,-0.7861,3.8556,3.1391,1.7717,9.3879,0.0905,0.9077,0.3645,0.0377,0.4016,0.0415,0.1034,0.5708,0.3467,0.6765,0.6073,1.1851,1.9514,0.3259,0.1202,0.4576,0.3688,1.4044,3.8081,0.6271,0.3703,-2.8694,0.5904,-4.5756,-7.7494,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6121,0.5322,0.9326,1.7523,0.003,5.7072,-0.1797,0.1906,0.4675,0.7129,0.1297,0.3292,?,?,?,?,?,1027.3457,210468.2031,458.7681,1530.1283,0.0427,DESTRA_PANTALONI
0.3428,2.079,1.4419,9.4048,-0.6157,0.4392,2.6841,1.6383,8.6917,-0.3849,0.229,19.5307,4.4194,19.2085,-0.6158,4.2683,6.4386,2.5374,12.6011,0.0137,0.7806,1.4969,0.0803,1.9176,0.1029,0.0537,0.8801,0.3263,0.5682,0.3707,0.6457,1.7417,0.7746,0.1064,0.3229,0.1374,0.4169,3.0334,1.4836,0.4896,-20.5504,0.33,-13.8519,-41.978,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7463,0.4525,0.6898,1.5243,0.004,5.93,-0.056,0.1097,0.0946,0.5969,0.4325,0.3977,?,?,?,?,?,438.7923,52256.5273,228.5969,682.5323,0.0069,DESTRA_PANTALONI
0.7366,5.3308,2.3089,11.7898,-0.4848,-0.3279,6.3463,2.5192,11.184,-1.3929,0.5912,17.9193,4.2331,16.5619,-0.8972,4.8049,7.5094,2.7403,11.2513,0.02,-2.2466,1.2459,0.1533,-0.5546,-0.0682,0.123,0.9165,0.5454,0.8425,0.5951,0.9193,1.5447,0.84,0.2975,0.7099,0.3542,0.8451,2.3862,0.5913,0.4915,-16.7414,0.8312,-28.3142,-34.0642,1.6989,0.9096,0.6916,0.5354,0.4071,0.7603,1.0542,0.7119,1.0479,0.6753,0.994,1.472,0.0067,7.0242,0.5907,0.6081,0.5378,0.5769,0.1467,0.3932,?,?,?,?,?,1714.3606,280532.0312,529.6528,1917.0475,0.1053,DESTRA_PANTALONI
0.913,5.1079,2.2601,10.3951,-0.4805,-0.3608,4.7573,2.1811,8.4359,-0.752,-0.0155,13.4279,3.6644,16.0502,-0.55,4.4494,4.4597,2.1118,11.9346,0.0477,-2.5303,-59.0752,0.2052,23.3468,-0.0811,-0.0035,1.0362,0.6168,1.0702,0.5952,1.0328,1.7352,1.0737,0.3804,1.1453,0.3543,1.0667,3.0109,0.9317,0.5923,-5.6463,0.6357,-6.0602,-9.5326,1.4583,0.6781,0.5603,0.465,0.3842,0.8263,1.2323,0.6477,0.871,0.5256,0.7068,1.3448,0.0065,6.6894,0.2259,0.6483,0.5745,0.6782,0.0158,0.3459,?,?,?,?,?,714.9076,219493.7812,468.5016,1290.1682,0.0032,DESTRA_PANTALONI
0.176,0.9498,0.9746,6.9885,-0.4438,-0.4896,0.9183,0.9583,4.8197,-4.7527,0.1588,2.0821,1.4429,7.0005,-0.5285,1.6308,1.5864,1.2595,5.5523,0.0296,-0.3596,1.1086,0.1079,-3.0831,-0.3002,0.0974,1.017,0.6754,0.7738,0.6641,0.7608,1.1456,1.0343,0.4562,0.5987,0.4411,0.5789,1.3125,0.5395,0.8874,-12.6968,1.6451,-23.5364,-14.3071,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,0.9983,1.2587,0.6885,0.868,1.2608,0.0036,2.3243,0.1963,0.468,0.4287,0.0454,-0.5839,0.2795,?,?,?,?,?,4.0663,0.0005,0.0234,0.0477,0.9883,DESTRA_PANTALONI
0.8708,8.6753,2.9454,16.1277,-0.5917,-1.1639,7.3152,2.7047,11.6933,-2.3499,0.0031,7.606,2.7579,16.0124,-1.1878,3.7654,11.5309,3.3957,11.4462,0.0125,-0.7482,284.261,0.2313,-379.913,-0.3091,0.0008,1.089,1.068,0.8674,0.9807,0.7965,0.8122,1.1859,1.1406,0.7523,0.9618,0.6344,0.6596,0.7309,0.6897,-41.2438,0.9436,-56.4262,-59.8011,2.9026,1.3843,0.8741,0.4769,0.3011,0.6314,1.3792,1.0072,1.409,0.7303,1.0216,1.3989,0.0102,5.6709,0.4082,0.6333,0.2905,0.1515,-0.5846,0.0951,?,?,?,?,?,37.6853,128.0059,11.314,32,0.4182,DESTRA_PANTALONI
1.0255,15.0704,3.8821,19.0396,-0.4648,-1.1905,15.5759,3.9466,17.0038,-1.1962,0.098,15.3645,3.9198,21.7394,-1.1164,6.2204,9.7961,3.1299,14.8237,0.0672,-0.8614,10.4665,0.1649,-12.1507,-0.1914,0.0158,0.9836,0.9904,1.2403,1.0069,1.261,1.2524,0.9675,0.9809,1.5384,1.0138,1.59,1.5684,0.6524,0.5269,-5.6588,0.8076,-8.6744,-10.7407,1.6788,1.2654,0.8179,0.7537,0.4872,0.6464,1.1197,0.8758,1.2844,0.7822,1.1471,1.4665,0.0109,9.6902,-0.0392,0.5413,0.5499,0.0033,-0.2801,0.2534,?,?,?,?,?,365.7534,19855.3125,140.9089,350,0.3997,DESTRA_PANTALONI
0.5044,6.1448,2.4789,12.1369,-0.3855,-0.8894,8.9985,2.9998,13.1099,-1.4817,-0.2289,10.3182,3.2122,14.5694,-1.0363,4.7961,3.5573,1.8861,8.4423,0.1245,-0.5671,-2.2036,0.1052,3.8855,-0.1855,-0.0477,0.8264,0.7717,1.3143,0.9339,1.5905,1.7031,0.6829,0.5955,1.7274,0.8721,2.5296,2.9005,0.4314,0.4555,-2.8128,1.0556,-6.5195,-6.1759,1.6582,1.2244,0.9084,0.7384,0.5478,0.742,0.9258,0.833,1.4376,0.8998,1.5529,1.7258,0.0074,7.1699,0.3246,0.1154,0.2094,0.1201,-0.3441,0.1261,?,?,?,?,?,284.0922,33698.582,183.5717,481,0.2166,DESTRA_PANTALONI
