@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.317,6.7933,2.6064,14.9527,-1.3172,3.6431,21.7514,4.6638,20.8599,-1.1225,9.2491,8.3923,2.8969,12.6885,0.1865,11.2198,9.9723,3.1579,13.8997,0.2276,-0.087,-0.0343,-0.0283,0.3939,0.3247,0.8244,0.5589,0.8997,0.8254,1.6099,1.4769,0.9174,0.3123,0.8095,0.6812,2.5918,2.1812,0.8416,0.7705,-2.9218,-2.0758,-3.7922,-2.6942,0.7105,0.6566,0.4137,0.3586,0.6301,0.5462,0.8668,0.7168,1.1784,1.0758,1.644,1.5007,0.9129,0.0686,16.6133,0.5653,-0.0314,0.0342,-0.058,0.0036,0.9419,-0.1237,0.3584,0.5987,3.6676,-1.7094,-0.8172,1.996,1.4128,5.3243,-8.1172,0.848,2.1085,1.4521,5.2754,-0.0651,0.1514,-0.1459,-0.9637,0.4237,0.4123,0.9729,0.1796,0.17,0.9466,0.4881,7.1742,14.697,2.318,0.2733,0.1179,0.6888,0.6952,1.0093,0.0082,2.3396,0.3096,-0.6004,-0.804,DAVANTI_PANTALONI
0.3887,3.0826,1.7557,7.8882,-0.8598,-1.0785,6.8534,2.6179,13.5734,-1.5494,9.2727,6.5378,2.5569,11.8108,0.1864,9.927,5.226,2.286,9.4033,0.3526,-0.3604,0.0419,0.0392,-0.1163,-0.1086,0.9341,0.6707,0.6867,0.768,1.0239,1.1452,1.1185,0.4498,0.4715,0.5899,1.0483,1.3114,1.251,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.2922,0.292,0.3668,0.3665,0.9994,0.5812,0.6679,0.8389,1.1492,1.4435,1.256,0.0713,12.3648,-0.5762,-0.7647,-0.6285,0.4263,0.1898,0.9172,0.3442,0.5989,0.7739,3.1655,-0.328,-1.1598,3.2092,1.7914,6.1673,-33.8138,0.2524,0.9134,0.9557,3.2278,-0.202,-0.2968,1.3637,-4.5948,0.432,0.8098,1.8744,0.1866,0.6557,3.5133,0.1305,1.4414,11.0428,13.4552,0.8876,0.066,0.5133,0.9807,1.9107,0.0094,2.3361,-0.83,0.4645,-0.5209,DAVANTI_PANTALONI
-0.2644,0.4492,0.6702,2.7975,-0.7689,8.7655,4.1346,2.0334,7.2044,0.4653,9.5378,3.5006,1.871,6.9904,0.5005,12.9828,7.4056,2.7213,9.5077,0.5016,-0.0302,-0.0277,-0.0204,0.919,0.6752,0.7346,0.3296,0.3582,0.2463,1.0868,0.7472,0.6875,0.1086,0.1283,0.0607,1.1811,0.5583,0.4727,-0.1939,-0.1736,-0.1271,0.8951,0.6553,0.7321,0.1174,0.113,0.0829,0.9628,0.7063,0.7336,0.3883,0.4002,0.2942,1.0306,0.7577,0.7352,0.0864,18.9285,0.5999,0.4376,0.5243,0.9638,0.9906,0.9911,-0.0952,0.0392,0.1979,0.8452,-1.5255,0.0654,0.0795,0.282,1.0413,-0.6503,0.1154,0.0111,0.1053,0.4626,-0.2802,-1.456,-0.8246,0.5663,0.7018,1.8787,2.677,0.4925,3.5294,7.1664,1.2442,5.0421,4.0526,0.5304,0.9263,1.7463,0.8117,1.8272,2.2512,0.0011,0.5456,-0.744,-0.2226,0.1614,DAVANTI_PANTALONI
0.0857,3.0218,1.7383,7.5356,-1.1349,0.4517,7.6912,2.7733,11.4196,-1.3691,9.5082,8.0906,2.8444,12.6455,0.1364,10.0486,8.4456,2.9061,11.8646,0.2235,0.1896,0.009,0.0085,0.0475,0.045,0.9462,0.6268,0.6111,0.5982,0.975,0.9543,0.9788,0.3929,0.3735,0.3578,0.9506,0.9107,0.958,0.607,-2.0058,-1.1732,-3.3044,-1.9329,0.5849,0.7323,0.2411,0.231,0.3292,0.3155,0.9584,0.6599,0.5959,0.6351,0.9031,0.9625,1.0658,0.063,13.361,0.1343,-0.5556,-0.5757,-0.474,-0.5042,0.9927,-0.0031,0.4111,0.6412,4.1856,-1.1708,-0.6534,1.4524,1.2051,5.4529,-4.6781,0.882,0.4612,0.6791,2.4824,0.0047,0.0047,-0.0035,-0.7408,0.532,0.9442,1.7747,0.2831,0.8915,3.1494,0.5025,-192.5507,-383.1922,2.0078,0.7731,0.385,0.7676,1.6861,2.1967,0.0073,2.2164,0.048,-0.4509,-0.7118,DAVANTI_PANTALONI
-0.6537,6.8743,2.6219,17.6556,-2.1932,-2.0978,49.3151,7.0225,32.1411,-3.0814,9.8257,21.2323,4.6079,22.8881,0.0511,12.0702,33.1042,5.7536,25.1221,0.1587,0.3116,-0.0665,-0.0542,-0.2135,-0.1738,0.814,0.3734,0.569,0.4557,1.524,1.2205,0.8009,0.1394,0.3238,0.2077,2.3226,1.4897,0.6414,0.4997,-9.8336,-2.5592,-19.678,-5.1212,0.2602,0.7021,0.2292,0.1852,0.3265,0.2637,0.8078,0.5493,0.7714,0.7028,1.4043,1.2794,0.9111,0.0345,15.9261,0.4538,-0.4214,-0.5149,0.0435,-0.6735,0.6487,-0.1897,0.4395,0.6629,3.3464,-1.8546,-0.6639,3.4849,1.8668,9.7081,-1.3821,1.0821,3.3969,1.8431,7.2386,-0.1485,0.2858,-0.1753,-0.6135,0.3551,0.3597,1.0129,0.1261,0.1294,1.0259,0.386,2.3226,6.0174,0.2877,0.186,0.6466,0.3447,0.4623,1.3412,0.0044,3.0421,0.094,-0.2871,-0.021,DIETRO_PANTALONI
0.7378,9.3736,3.0616,17.0351,-0.7202,3.6077,148.0067,12.1658,54.0254,-2.2909,9.5713,21.1963,4.6039,22.6029,0.0376,14.6371,69.5009,8.3367,42.1133,0.0502,0.2045,0.0771,0.0504,0.3769,0.2465,0.6539,0.2517,0.665,0.3672,2.6425,1.4593,0.5522,0.0633,0.4422,0.1349,6.9827,2.1296,0.305,0.1896,-8.0847,-3.2025,-42.6331,-16.8876,0.3961,0.6032,0.4217,0.2233,0.699,0.3702,0.5297,0.3153,0.7537,0.4045,2.3902,1.2829,0.5367,0.0354,22.2055,-0.5828,0.0951,0.1488,-0.427,-0.5934,0.9493,-0.2098,0.3156,0.5618,2.697,-1.924,-0.7449,2.2926,1.5141,7.9596,-0.6985,1.1689,5.656,2.3782,9.7476,-0.2942,0.2817,-0.1795,-0.6373,0.371,0.2362,0.6367,0.1377,0.0558,0.4053,0.5422,0.8009,1.4773,0.1968,0.1225,0.6222,0.3388,0.2767,0.8166,0.0048,3.184,0.416,0.0188,0.4925,DIETRO_PANTALONI
-0.692,12.973,3.6018,22.4492,-2.1194,-0.3269,48.6399,6.9742,31.4422,-2.4319,9.7586,37.064,6.088,30.4027,-0.0023,12.1056,47.946,6.9243,32.8474,0.0449,2.1166,-0.0709,-0.0572,-0.0335,-0.027,0.8061,0.5164,0.5916,0.5202,1.1456,1.0072,0.8792,0.2667,0.35,0.2706,1.3123,1.0145,0.773,0.6846,214.6678,-9.8774,313.5804,-14.4286,-0.046,0.7855,0.2373,0.2093,0.3021,0.2664,0.882,0.714,0.7384,0.6834,1.0342,0.9572,0.9256,0.0336,17.0276,0.6577,-0.3872,-0.5854,0.0772,-0.3826,0.8564,-0.1731,0.5331,0.7301,3.8612,-1.7169,-0.438,4.9311,2.2206,10.5177,-0.9351,1.27,6.3645,2.5228,9.7102,-0.2003,0.3951,-0.1363,-0.3449,0.3288,0.2894,0.8802,0.1081,0.0838,0.7748,0.4801,1.5055,3.136,0.2615,0.1757,0.6719,0.3671,0.3976,1.0832,0.0047,3.561,0.6646,-0.0848,0.2453,DIETRO_PANTALONI
0.3169,13.8679,3.724,22.0728,-1.1952,-2.3884,52.9318,7.2754,35.4662,-5.5995,10.3112,32.1814,5.6729,27.9743,0.0504,12.1178,64.2669,8.0167,40.1927,0.0358,-0.1327,0.0307,0.0261,-0.2316,-0.1971,0.8509,0.5119,0.6565,0.4645,1.2825,0.9075,0.7076,0.262,0.4309,0.2158,1.6448,0.8236,0.5007,0.3994,-8.0933,-8.0516,-20.2652,-20.1608,0.9948,1.871,0.3413,0.2412,0.1824,0.1289,0.7067,0.6224,0.789,0.5492,1.2678,0.8824,0.696,0.073,16.7763,-0.0836,-0.2882,-0.0746,-0.7368,-0.895,0.9438,-0.1206,1.5738,1.2545,7.2754,-3.5079,-0.7457,1.7227,1.3125,6.1331,-2.3873,1.2397,5.9979,2.4491,10.3395,-0.1118,0.1617,-0.0973,-0.6015,0.9558,0.5122,0.5359,0.9135,0.2624,0.2872,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.01,2.9335,0.2141,-0.5788,-0.4253,DIETRO_PANTALONI
-0.8075,6.2857,2.5071,18.6858,-0.7447,1.8591,38.6131,6.2139,34.1424,-0.4982,10.6872,12.6257,3.5533,25.0454,0.1242,12.4809,20.0755,4.4806,24.6273,0.1577,-0.4343,-0.0756,-0.0647,0.174,0.149,0.8563,0.4035,0.7056,0.5596,1.7488,1.3869,0.793,0.1628,0.4978,0.3131,3.0583,1.9234,0.6289,0.7025,-2.2457,-1.7293,-3.1968,-2.4617,0.7701,0.47,0.3745,0.3663,0.7969,0.7794,0.978,0.5473,0.7461,0.7587,1.3632,1.3864,1.017,0.0388,17.3797,0.2618,-0.0946,0.0444,0.0504,0.4596,0.8504,0.1263,0.8141,0.9023,5.1067,-0.6218,-0.3902,2.7529,1.6592,6.5977,-1.3525,-0.374,4.6636,2.1595,10.8275,-0.5135,-0.3237,-0.3378,1.0434,0.5438,0.4178,0.7683,0.2957,0.1746,0.5903,0.5162,0.533,1.0326,1.1227,0.4401,0.392,0.774,0.4716,0.6094,0.002,3.7769,-0.0057,0.2711,0.0744,DAVANTI_PANTALONI
0.2213,0.9918,0.9959,4.0405,-0.3835,6.9082,2.2513,1.5004,6.2898,0.3677,9.8147,1.1616,1.0778,5.5687,0.5771,12.0802,2.573,1.6041,6.7928,0.5774,0.032,0.0226,0.0183,0.7039,0.5719,0.8125,0.6637,0.924,0.6208,1.3921,0.9354,0.6719,0.4405,0.8538,0.3855,1.938,0.8749,0.4515,-0.3061,-0.1474,-0.1207,0.4814,0.3942,0.8189,0.2936,0.2218,0.1817,0.7554,0.6189,0.8193,0.6424,0.7256,0.5948,1.1295,0.926,0.8198,0.0432,17.4538,0.3364,-0.0874,0.1776,0.6454,0.9088,0.9024,0.5709,0.0928,0.3047,1.2978,-0.1683,0.3947,0.1221,0.3495,1.2369,-0.4461,-0.0969,0.0312,0.1768,0.8224,-2.9528,1.4464,-5.8895,-4.0719,0.8719,1.7237,1.977,0.7602,2.9711,3.9084,0.49,0.3043,0.6211,1.2987,5.3385,4.1107,1.0492,1.5779,1.5039,0.0025,1.201,0.9334,-0.5604,-0.5654,DAVANTI_PANTALONI
