@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.2312,4.8294,2.1976,16.4352,-3.5644,0.2932,9.6701,3.1097,14.4383,-0.8744,0.284,15.3006,3.9116,17.9964,-1.0809,4.8614,6.3873,2.5273,16.2981,0.0413,-0.7885,-0.8141,-0.0476,1.0325,0.0603,0.0584,0.7067,0.5618,0.8695,0.795,1.2304,1.5477,0.4994,0.3156,0.7561,0.632,1.514,2.3955,1.9055,1.373,-18.3012,0.7205,-9.6044,-13.3297,0.4675,0.4163,0.2118,0.8907,0.4531,0.5087,1.1383,0.9133,1.0084,0.8023,0.8859,1.1042,0.0023,7.3328,-0.5902,0.1967,-0.339,0.0527,0.2222,0.0323,0.2737,0.0022,0.0467,0.2073,0.4833,-0.0122,0.0745,0.2729,0.761,-2.5375,0.5496,0.0059,0.0766,0.2726,0.5693,-22.519,0.4981,-0.0221,0.1713,0.6101,3.5621,0.0293,0.3722,12.6885,-0.3553,0.5382,-1.5148,1.8654,0.634,0.3398,0.2725,0.7605,2.7914,0.0031,1.056,0.2344,-0.795,0.3381,TASCA_DESTRA_DAVANTI_PANTALONI
-0.144,3.9332,1.9832,10.585,-1.7597,-0.585,3.3348,1.8261,8.0628,-1.7329,0.1974,17.5583,4.1903,18.5259,-0.5008,4.3751,6.0868,2.4671,13.6629,0.0457,0.2462,-0.7294,-0.0329,-2.9627,-0.1337,0.0451,1.086,0.4733,0.8039,0.4358,0.7402,1.6984,1.1795,0.224,0.6462,0.1899,0.5479,2.8846,1.3202,1.0918,-10.3228,0.827,-7.8193,-9.4552,1.3001,0.3107,0.2679,0.239,0.2061,0.8622,1.3128,0.5714,0.7747,0.4352,0.5901,1.3559,0.0032,6.3775,-0.197,-0.2791,-0.3668,-0.0937,-0.3662,0.4976,0.2821,0.0033,0.0576,0.3158,0.1972,-0.0422,0.0507,0.2252,0.6963,-4.7581,0.3439,0.0026,0.0514,0.2704,0.4452,-6.6878,0.8204,-0.1227,0.256,1.1211,4.3793,0.0655,1.2568,19.1785,-0.1348,0.3575,-2.6515,3.2525,0.8069,0.2481,0.4534,1.1675,2.5748,0.0022,0.7989,0.4595,-0.8965,-0.1461,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0301,2.3263,1.5252,8.5047,-0.4227,0.1253,2.5096,1.5842,7.8823,-0.9925,0.2581,14.5167,3.8101,17.4742,-0.7861,4.0574,2.9734,1.7244,8.6482,0.122,-0.2404,-0.1167,-0.0074,0.4855,0.0309,0.0636,0.9628,0.4003,0.8845,0.4158,0.9187,2.2096,0.927,0.1603,0.7824,0.1729,0.844,4.8822,0.6435,0.3285,-2.1024,0.5105,-3.267,-6.3993,1.5111,0.611,0.6069,0.4044,0.4016,0.9932,1.079,0.4867,0.9834,0.4511,0.9114,2.0206,0.0014,5.8389,-0.1409,0.3839,0.3409,0.2959,-0.055,0.3205,0.335,0.0025,0.0499,0.1602,0.6405,0.0975,0.0161,0.1267,0.4261,-1.1026,0.4387,0.0122,0.1105,0.3657,0.3302,3.4374,0.7636,0.2221,0.3936,0.4514,1.1469,0.1549,0.2038,1.3153,-1.2775,1.5835,-1.2395,2.1993,0.8164,0.3712,0.376,0.4382,1.1653,0.0028,0.9284,-0.7048,-0.8425,0.7955,TASCA_DESTRA_DAVANTI_PANTALONI
-0.273,2.9985,1.7316,11.2515,-1.021,0.6705,2.0298,1.4247,8.3195,-1.2857,0.2868,19.139,4.3748,18.5251,-0.6253,4.3362,5.9711,2.4436,13.0228,0.0169,-0.4071,-0.9516,-0.063,2.3374,0.1546,0.0662,1.2154,0.3958,0.7086,0.3257,0.583,1.7903,1.4773,0.1567,0.5022,0.1061,0.3399,3.2053,1.2147,0.7975,-25.4352,0.6566,-20.9401,-31.8933,1.5296,0.4885,0.4203,0.3193,0.2748,0.8604,1.3524,0.6074,0.864,0.4491,0.6388,1.4225,0.0039,6.2353,-0.3091,-0.0997,-0.2039,-0.1501,0.2239,0.4043,0.2114,0.0013,0.0365,0.1687,0.4925,-0.034,0.0113,0.1062,0.4199,-3.3992,0.1877,0.0777,0.2787,0.7836,-0.6424,-6.2098,1.1259,-0.1813,0.3434,0.1309,0.3812,0.118,0.0171,0.1453,-0.5047,-0.5343,1.0585,3.4834,0.6968,0.2001,0.4018,0.2153,0.5358,0.0014,0.6054,-0.2905,-0.3641,0.9641,TASCA_DESTRA_DAVANTI_PANTALONI
0.0924,1.1857,1.0889,7.4659,-1.5033,-0.0568,17.74,4.2119,24.683,-0.8672,0.4813,18.1267,4.2576,15.9687,-0.8682,5.1544,10.7277,3.2753,14.212,0.0188,-1.6278,0.192,0.0179,-0.118,-0.011,0.0934,0.2585,0.2558,0.3325,0.9893,1.2859,1.2999,0.0668,0.0654,0.1105,0.9787,1.6537,1.6897,0.3911,0.6042,-16.5038,1.5448,-42.1979,-27.3167,0.2256,0.3489,0.2059,1.5465,0.9127,0.5902,0.3025,0.4675,0.5253,1.5457,1.7368,1.1236,0.0025,7.1049,0.3296,-0.1158,-0.0893,0.218,0.0271,0.2774,0.1748,0.0223,0.1495,0.569,-0.9897,-0.1554,0.0105,0.1025,0.415,?,-0.1103,0.0072,0.0846,0.3396,-1.711,-1.1244,-1.5848,1.4094,1.458,1.7664,1.2115,2.1258,3.1201,1.4677,0.6821,1.3206,1.9362,0,2.2832,0,1.3713,1.6757,1.222,0.0013,0.5022,0.8919,-0.5241,-0.2502,TASCA_DESTRA_DAVANTI_PANTALONI
0.3635,2.8653,1.6927,10.2561,-1.0403,0.0338,2.8273,1.6815,11.0852,-0.8729,0.1795,18.8369,4.3401,17.3103,-0.5721,4.5029,4.4192,2.1022,12.161,0.0456,10.7591,2.0255,0.0807,0.1883,0.0075,0.0399,1.0067,0.39,0.8052,0.3874,0.7999,2.0646,1.0134,0.1521,0.6484,0.1501,0.6398,4.2626,1.0122,0.8301,-8.9967,0.8202,-8.8884,-10.8375,0.8493,0.4565,0.3945,0.5375,0.4645,0.8641,0.9252,0.5925,0.8434,0.6404,0.9115,1.4234,0.002,6.2526,-0.347,-0.1963,-0.1854,-0.0018,-0.0951,0.4238,0.3458,0.0106,0.1027,0.4044,0.0861,-0.1069,0.0305,0.1747,0.5576,-27.2969,0.0997,0.005,0.0707,0.3444,0.0868,-3.2337,3.4679,-1.0724,0.5881,1.4529,2.4703,0.3459,2.111,6.1026,-0.0708,1.1644,-16.4366,22.4551,1.1732,0.0522,0.7252,1.174,1.6188,0.0019,0.5581,0.9828,-0.8585,-0.8206,TASCA_DESTRA_DAVANTI_PANTALONI
0.0057,5.065,2.2506,14.3842,-1.0593,-0.824,25.1559,5.0156,36.058,-0.7644,-0.1191,25.847,5.084,25.3122,-0.7699,6.2812,17.3079,4.1603,20.0977,0.0507,-0.0069,-0.0479,0.0009,6.9155,-0.1312,-0.019,0.4487,0.4427,0.541,0.9865,1.2056,1.222,0.2013,0.196,0.2926,0.9733,1.4534,1.4934,0.4736,0.672,-6.8925,1.4188,-14.5524,-10.2566,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.3989,0.5683,0.7157,1.4245,1.7941,1.2595,0.0043,9.2544,-0.1546,-0.2896,-0.0178,-0.2805,-0.1717,0.268,0.3136,0.0273,0.1653,0.5773,-0.1538,-0.1356,0.0703,0.2652,0.7365,-7.712,0.2359,0.022,0.1485,0.5416,0.1015,-2.3116,1.3294,-0.5751,0.6233,1.1133,1.786,0.3885,1.2394,3.1898,0.118,-1.2572,-10.6509,5.9186,0.83,0.1402,0.7838,1.0659,1.3598,0.0021,0.7585,0.8827,-0.9889,-0.8728,TASCA_DESTRA_DAVANTI_PANTALONI
0.0897,3.4662,1.8618,10.0369,-1.0869,-0.5069,17.4464,4.1769,26.8247,-1.496,-0.4905,11.6506,3.4133,15.0154,-0.8867,5.0483,7.5832,2.7538,15.6334,0.0697,-0.177,-0.183,0.0178,1.0335,-0.1004,-0.0972,0.4457,0.5454,0.6761,1.2237,1.5168,1.2395,0.1987,0.2975,0.4571,1.4975,2.3007,1.5364,0.3251,0.7408,-4.462,2.2783,-13.7237,-6.0236,0.4475,0.6043,0.2862,1.3504,0.6395,0.4736,0.3742,0.6684,0.642,1.7865,1.7159,0.9605,0.0038,7.4315,0.2882,0.1713,-0.2367,-0.0951,-0.4053,0.1683,0.2745,0.0249,0.1579,0.6421,-0.6435,-0.0953,0.0325,0.1802,0.5461,-9.7679,-0.0079,0.0244,0.1564,0.7634,-0.2995,-2.8796,-34.9245,12.1284,0.8763,1.0098,1.1525,0.7678,1.0198,1.3282,0.5075,1.4292,2.816,7.7033,0.665,0.0863,1.1758,0.8411,0.7154,0.0015,0.5249,0.8644,-0.8648,-0.5441,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2354,5.39,2.3216,15.9524,-1.1778,-1.5775,25.7734,5.0768,32.2636,-0.968,-0.083,27.2861,5.2236,26.9182,-0.8196,6.655,16.7116,4.088,17.2378,0.0844,0.1492,2.8345,-0.0354,18.9967,-0.237,-0.0125,0.4573,0.4445,0.5679,0.9719,1.2419,1.2778,0.2091,0.1975,0.3225,0.9446,1.5422,1.6328,0.5437,0.7115,-5.432,1.3088,-9.9915,-7.634,0.4468,0.4952,0.3891,1.1082,0.8708,0.7858,0.4944,0.5926,0.9254,1.1986,1.8717,1.5616,0.0084,9.7333,0.2547,-0.3019,-0.0393,-0.0679,-0.3663,0.1644,0.2231,0.0527,0.2295,0.7231,-0.8399,-0.2313,0.0385,0.1962,0.616,?,-0.0946,0.0204,0.143,0.5638,-0.5646,-0.9644,-2.3595,2.4465,1.1694,1.6051,1.3726,1.3675,2.5763,1.8839,0.5359,1.6226,3.028,0,1.0908,0,1.1739,1.2827,1.0927,0.0018,0.7041,0.8154,-0.9723,-0.7582,TASCA_DESTRA_DAVANTI_PANTALONI
0.8087,3.5808,1.8923,7.9031,-0.2843,-0.9291,3.6793,1.9181,8.9678,-4.7139,0.5501,7.9155,2.8135,13.0831,-0.3883,2.9567,8.2533,2.8729,10.6743,0.0334,-0.8705,1.47,0.2735,-1.6887,-0.3142,0.1861,0.9865,0.6726,0.6587,0.6818,0.6677,0.9793,0.9732,0.4524,0.4339,0.4648,0.4458,0.9591,0.2365,0.4781,-4.7423,2.0217,-20.0527,-9.919,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.8813,0.6041,0.7404,0.6854,0.8401,1.2257,0.0307,4.5031,-0.7778,0.3622,0.847,-0.5353,-0.8455,0.6891,0.1983,0.0021,0.0456,0.2423,-0.0557,-0.0578,0.0434,0.2083,0.709,-7.3862,0.1771,0.0293,0.1711,0.5757,-0.1305,-3.4306,1.1198,-0.3264,0.2188,0.2664,1.2174,0.0479,0.071,1.4821,0.0205,0.1925,9.3987,2.715,0.4507,0.166,0.3418,0.4209,1.2315,0.0016,0.5159,0.8117,0.0847,0.397,TASCA_DESTRA_DAVANTI_PANTALONI
