@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
2.2569,5.7572,2.3994,7.368,-0.2446,1.2154,7.3165,2.7049,7.7335,-0.4977,1.8171,7.2124,2.6856,10.5399,-0.3154,5.1921,3.2004,1.789,8.1472,0.1751,1.8569,1.242,0.4347,0.6689,0.2341,0.35,0.8871,0.8934,1.3412,1.0072,1.512,1.5012,0.7869,0.7982,1.7989,1.0144,2.2862,2.2536,0.5635,0.573,-0.8376,1.0168,-1.4865,-1.4619,1.1465,0.7388,0.5994,0.6444,0.5229,0.8113,0.9527,0.6991,0.9044,0.7337,0.9492,1.2937,0.0628,7.8619,-0.5617,0.7793,0.6132,-0.6849,-0.1755,0.6761,0.2469,0.0024,0.0495,0.1558,0.5546,-0.4581,0.0093,0.0965,0.5459,?,0.5204,0.0056,0.0748,0.224,0.6232,-0.5389,0.4745,-0.8803,0.5129,0.6619,1.2905,0.263,0.4381,1.6654,-0.3553,0.5236,-1.4735,0,0.5884,0,0.2854,0.6956,2.4372,0.0147,1.2255,0.9847,-0.9809,-0.966,591.9495,228312.2969,477.8204,1259.0579,0.1143,DESTRA_PANTALONI
2.0425,13.117,3.6217,12.0393,-0.2297,-2.2327,1.6747,1.2941,5.4174,-3.0765,1.3683,18.2734,4.2747,14.2179,-0.3953,5.7706,10.7947,3.2855,12.7174,0.1015,-0.9148,1.4927,0.3539,-1.6318,-0.3869,0.2371,2.7987,0.8472,1.1023,0.3027,0.3939,1.3011,7.8324,0.7178,1.2151,0.0916,0.1551,1.6928,0.5501,0.5584,-1.5652,1.0151,-2.8451,-2.8029,7.3669,0.9607,0.6917,0.1304,0.0939,0.7199,2.2223,0.8468,0.9467,0.381,0.426,1.118,0.0664,8.8003,0.7451,0.9703,0.8637,0.751,0.5352,0.8416,0.2468,0.0088,0.0938,0.3028,0.2039,-0.4066,0.0156,0.1249,0.5754,?,0.3481,0.0067,0.0821,0.2704,0.4452,-0.6071,0.7091,-1.168,0.751,1.1435,1.5227,0.564,1.3077,2.3187,-0.1348,0.3575,-2.6515,0,0.7804,0,0.5263,1.1198,2.1277,0.0118,1.0016,0.9682,-0.9692,-0.9916,1748.2214,442242.625,665.0132,2204.1101,0.127,DESTRA_PANTALONI
-0.33,1.9528,1.3974,5.4367,-0.9727,1.0902,2.455,1.5669,7.0964,-0.5839,1.4469,13.5445,3.6803,14.0282,-0.5231,4.0783,4.7107,2.1704,8.7105,0.1561,-0.3026,-0.228,-0.0809,0.7535,0.2673,0.3548,0.8919,0.3797,0.6439,0.4257,0.7219,1.6957,0.7954,0.1442,0.4145,0.1813,0.5212,2.8753,1.0247,0.5564,-1.6633,0.543,-1.6232,-2.9894,0.6151,0.2992,0.267,0.4864,0.434,0.8923,0.7661,0.3876,0.6242,0.5059,0.8147,1.6105,0.0368,6.0169,0.2286,0.4672,0.5505,0.783,0.5568,0.7347,0.3985,0.0009,0.0301,0.1096,0.7541,-0.0967,0.0127,0.1125,0.3353,-1.9976,0.2801,0.0019,0.0432,0.1399,0.5631,-4.1218,1.4228,-0.3452,0.2675,0.6976,2.6074,0.0716,0.4866,6.7984,-1.5041,1.8643,-1.2395,3.9844,1.3922,0.3494,0.3269,0.7837,2.3972,0.0099,0.8108,-0.6239,0.1957,0.6112,469.0974,118570.8906,344.3412,1096.4542,0.0586,DESTRA_PANTALONI
-0.3536,3.2383,1.7995,9.4048,-0.6157,1.4091,2.705,1.6447,6.8544,-0.0922,1.5314,23.5365,4.8514,18.1674,-0.5282,4.8083,10.8162,3.2888,12.0627,0.0558,-0.251,-0.2309,-0.0735,0.9202,0.2931,0.3185,1.0941,0.3709,0.5472,0.339,0.5001,1.4751,1.1972,0.1376,0.2994,0.1149,0.2501,2.1761,6.1962,0.5707,-5.0279,0.0921,-0.8114,-8.8098,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.3721,0.5177,0.7797,0.3773,0.5682,1.5061,0.0422,6.7829,0.4287,0.2044,0.0675,0.7068,0.809,0.6772,0.2069,0.0005,0.0226,0.1069,0.6174,-0.1892,0.0022,0.0472,0.3244,?,-0.2143,0.0019,0.0431,0.3065,?,-1.0934,-0.9655,0.883,0.4782,0.5237,1.0952,0.2287,0.2743,1.1994,-0.5318,-0.563,1.0585,0,0,1,0.3296,0.3489,1.0585,0.0071,0.6104,-0.9124,-0.7634,0.9368,165.0387,11746.2666,108.3802,294.2613,0.0158,DESTRA_PANTALONI
1.7728,12.0488,3.4711,11.7898,-0.4848,-1.1723,13.2483,3.6398,11.184,-1.3929,1.6965,13.8077,3.7159,13.3823,-0.7958,6.1688,8.4456,2.9061,8.9132,0.2237,-1.5122,1.045,0.2874,-0.6911,-0.19,0.275,0.9537,0.9341,1.1944,0.9795,1.2525,1.2786,0.9095,0.8726,1.4266,0.9595,1.5687,1.6349,0.5913,0.6491,-1.4989,1.0977,-2.5351,-2.3094,1.6989,1.0656,0.6916,0.6272,0.4071,0.649,1.0542,0.881,1.3227,0.8357,1.2548,1.5014,0.0544,9.611,0.8882,0.8422,0.6415,0.8461,0.4178,0.4566,-0.0105,0.0416,0.2039,0.5534,-1.047,-0.3115,0.0074,0.0862,0.415,?,-0.0791,0.0142,0.119,0.3209,-1.5617,0.0336,0.1322,3.9365,2.3664,1.7141,0.7243,5.6001,2.9382,0.5247,0.6821,1.4469,2.1213,0,2.1581,0,1.3335,1.7245,1.2932,0.0064,0.6269,0.8442,-0.9415,-0.6204,1101.3065,270749.125,520.3356,1592.7253,0.1241,DESTRA_PANTALONI
1.4456,11.1705,3.3422,10.3951,-0.4805,-0.4598,2.8106,1.6765,6.6754,-0.9231,0.8118,17.6643,4.2029,16.0502,-0.55,5.356,5.9192,2.4329,11.2475,0.1025,-3.1439,1.7807,0.2699,-0.5664,-0.0858,0.1516,1.9936,0.7952,1.3737,0.3989,0.6891,1.7275,3.9744,0.6324,1.8871,0.1591,0.4748,2.9842,1.0528,0.5923,-2.6262,0.5626,-2.4944,-4.4337,2.0229,0.6781,0.5603,0.3352,0.277,0.8263,1.5572,0.6477,0.9242,0.4159,0.5935,1.427,0.0344,8.0675,0.5969,0.8628,0.7167,0.5962,0.1868,0.6455,0.1885,0.0083,0.0909,0.3059,0.1108,-0.3843,0.0174,0.132,0.5379,?,0.1834,0.0079,0.0889,0.2785,0.2615,-0.4906,1.0282,-2.0957,0.6884,1.0225,1.4852,0.474,1.0455,2.2058,-0.0708,0.3864,-5.4537,0,0.9121,0,0.5687,1.0982,1.9311,0.0093,0.7562,0.9778,-0.9063,-0.8135,96.6872,19143.7637,138.361,514.5644,0.008,DESTRA_PANTALONI
3.5817,27.7625,5.269,19.6378,-0.5254,-1.2968,24.1919,4.9185,14.7255,-1.2203,0.7006,27.0326,5.1993,21.335,-1.1522,9.2138,9.094,3.0156,10.8755,0.3276,-2.762,5.112,0.3887,-1.8509,-0.1407,0.076,1.0713,1.0134,1.7472,0.946,1.631,1.7241,1.1476,1.027,3.0528,0.8949,2.6602,2.9726,0.8357,0.5922,-1.2766,0.7086,-1.5275,-2.1556,1.9411,1.2987,0.796,0.669,0.4101,0.6129,1.3336,0.9205,1.8057,0.6902,1.354,1.9618,0.079,14.6085,-0.3402,0.6138,0.6541,-0.4821,-0.3947,0.3789,0.0575,0.0175,0.1321,0.421,-0.2237,-0.5604,0.0093,0.0967,0.652,?,0.4639,0.0138,0.1174,0.3607,0.4016,-0.1025,0.1239,-1.2079,1.3668,1.1259,0.8238,1.8681,1.2677,0.6786,0.118,-0.3179,-2.693,0,0.5707,0,0.6458,1.1671,1.8073,0.0149,1.1325,0.8547,-0.9761,-0.7462,555.5714,2100.2451,45.8284,224,0.6158,DESTRA_PANTALONI
1.9165,11.7003,3.4206,14.2467,-0.5932,-2.0632,10.5902,3.2543,12.8155,-1.6855,-0.1658,12.6621,3.5584,13.6809,-1.2393,6.3031,3.1812,1.7836,7.4199,0.2796,-0.9289,-11.5569,0.3041,12.4411,-0.3273,-0.0263,1.0511,0.9613,1.9178,0.9145,1.8246,1.9951,1.1048,0.924,3.678,0.8364,3.329,3.9804,0.6595,0.7006,-1.8419,1.0623,-2.7928,-2.6289,1.8738,1.4636,0.8682,0.7811,0.4633,0.5931,1.1117,1.0414,1.9201,0.9367,1.7272,1.8438,0.06,9.4996,0.5807,0.1994,-0.1073,-0.1986,-0.3934,0.0747,0.0766,0.0447,0.2114,0.6416,-0.6414,-0.3802,0.0115,0.1071,0.4954,?,0.1036,0.0736,0.2712,0.7657,-0.2984,-0.2014,0.739,-3.6686,1.9727,0.7794,0.3951,3.8917,0.6074,0.1561,0.5061,1.4246,2.815,0,0.6628,0,1.2951,0.8379,0.647,0.0085,0.7989,0.9356,-0.938,-0.7873,518.1915,17243.7578,131.3155,381,0.3795,DESTRA_PANTALONI
3.5898,20.5137,4.5292,15.3142,-0.4592,-2.5751,22.5902,4.7529,16.8683,-1.0864,0.9691,22.2585,4.7179,19.7583,-0.9458,8.7653,8.9891,2.9982,11.4208,0.2846,-1.394,3.7043,0.4095,-2.6573,-0.2938,0.1106,0.9529,0.96,1.5107,1.0074,1.5853,1.5736,0.9081,0.9216,2.2821,1.0149,2.5131,2.4762,0.5487,0.5018,-1.0606,0.9145,-1.933,-2.1137,1.2981,1.0336,0.6574,0.7962,0.5064,0.636,0.9079,0.7751,1.3409,0.8537,1.477,1.73,0.0942,13.9315,0.0361,0.4594,0.711,-0.3762,-0.1239,0.2524,-0.127,0.0402,0.2004,0.5873,-1.2799,-0.5336,0.0024,0.0488,0.6159,?,0.1085,0.0224,0.1498,0.4749,-0.3441,0.2381,-1.171,-4.9185,4.1051,1.3379,0.3259,16.8516,1.79,0.1062,0.5353,2.7119,5.0659,0,0.729,0,0.9536,1.2366,1.2968,0.0116,0.9012,0.2664,-0.9366,0.0652,414.8333,1323.9735,36.3864,120,0.7436,DESTRA_PANTALONI
5.5295,8.6907,2.948,9.0703,0.0637,-1.9922,0.8942,0.9456,3.4648,-60.1724,-1.4485,2.7557,1.66,6.1953,-3.3873,6.5116,6.5817,2.5655,8.433,0.1519,-2.7756,-3.8174,0.8492,1.3753,-0.3059,-0.2225,3.1175,1.7759,1.1491,0.5696,0.3686,0.6471,9.7188,3.1537,1.3204,0.3245,0.1359,0.4187,-0.1811,-0.129,0.4087,0.7125,-2.2571,-3.1677,171.0345,6.8603,0.9743,0.0401,0.0057,0.142,2.6178,1.4641,1.0756,0.5593,0.4109,0.7347,0.5503,9.3377,-0.5998,0.6604,0.9738,-0.0703,-0.7017,0.5104,0.1501,0.0048,0.0692,0.2221,-0.0611,-0.3591,0.0483,0.2198,0.6244,?,0.0199,0.0069,0.083,0.2269,-0.4142,-0.4181,7.531,-18.0122,0.3148,0.8333,2.647,0.0991,0.6944,7.0068,0.0205,0.1925,9.3987,0,1.3045,0,0.3556,0.9788,2.7525,0.0089,0.5839,0.742,-0.911,-0.9158,4.3182,18.1715,4.2628,14,0.0667,DESTRA_PANTALONI
