@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.209,6.3846,2.5268,14.4644,-1.2126,-0.9944,8.5142,2.9179,13.053,-2.0814,-0.5299,8.3584,2.8911,12.6601,-1.1969,4.3277,5.8416,2.4169,11.4253,0.0441,0.2102,0.3944,-0.0483,1.8764,-0.2298,-0.1225,0.866,0.874,1.0454,1.0093,1.2073,1.1962,0.7499,0.7639,1.093,1.0186,1.4575,1.4309,0.8991,1.1493,-15.0235,1.2783,-16.7096,-13.0718,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.266,1.031,1.1425,1.1081,0.0079,6.7247,0.8357,-0.0265,-0.3903,0.4129,-0.6267,-0.2035,-23.1371,105.1727,10.2554,51,?,-38.7319,47.9731,6.9263,42.125,?,-25.5091,65.2263,8.0763,35.625,-9,0.5974,0.907,1.5184,1.4807,1.2698,0.8576,2.1923,1.6124,0.7355,1.2107,1.5906,1.3138,1,0,0,1.2107,1.4316,1.1825,0.3574,87.4789,-0.8592,-0.9783,0.9158,2.4,0.4745,0.6888,2,0.5,TASCA_DESTRA_DAVANTI_PANTALONI
1.4955,3.8275,1.9564,6.2227,-0.1141,-0.7051,6.2024,2.4905,11.1126,-1.1325,0.4273,9.3319,3.0548,12.6746,-0.7795,3.8184,7.6977,2.7745,8.1481,0.0456,-2.1211,3.4998,0.3917,-1.65,-0.1847,0.1119,0.7856,0.6404,0.7051,0.8153,0.8976,1.101,0.6171,0.4102,0.4972,0.6646,0.8057,1.2123,0.108,0.1148,-1.6364,1.063,-15.1475,-14.2502,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.56,0.491,0.7637,0.8768,1.3638,1.5555,0.0517,5.9434,-0.3272,-0.0187,0.8784,0.3513,-0.2366,0.279,-28.541,71.1283,8.4338,46.875,?,-4.3855,12.1022,3.4788,16.25,-3.4068,-29.5272,292.6264,17.1063,63,-1.625,6.5081,0.9666,0.1485,2.4243,0.493,0.2034,5.8773,0.2431,0.0414,3.7313,1.2019,0.3221,0,0,0.1536,2.8846,0.744,0.2579,0.3153,65.8488,0.5829,-0.872,-0.1668,1,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2651,0.4475,0.6689,2.7975,-0.7689,-0.481,3.9443,1.986,6.9414,-0.7511,-0.2741,3.5047,1.8721,6.9919,-0.6703,2.5615,1.7118,1.3084,5.506,0.0482,0.5512,0.9672,-0.1035,1.7549,-0.1878,-0.107,0.3368,0.3573,0.5113,1.0609,1.5179,1.4308,0.1134,0.1277,0.2614,1.1254,2.3041,2.0473,0.4084,0.4334,-4.3649,1.0611,-10.6878,-10.0721,0.399,0.3778,0.2734,0.947,0.6853,0.7236,0.403,0.4001,0.5081,0.9928,1.2607,1.2699,0.0041,4.0097,0.6055,0.4408,0.0151,0.9711,0.3374,0.3677,14.1928,1.1355,1.0656,4.9,0.6976,-36.8879,0.268,0.5177,37.9137,?,-23.5887,2.3859,1.5446,26.4643,?,-0.3848,-0.6017,1.5638,2.0582,0.6899,0.3352,4.2364,0.4759,0.1123,-0.2981,-0.4271,1.4326,0,0,1,0.1292,0.1852,1.4326,0.3069,74.6695,0.3959,0.3961,-0.6059,4.0472,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0595,2.9859,1.728,7.598,-1.1526,-0.1228,2.7229,1.6501,6.8712,-1.4009,-0.3038,8.0179,2.8316,12.6044,-1.6305,3.3779,2.4274,1.558,7.1237,0.1097,-0.4843,-0.1957,0.0176,0.4042,-0.0363,-0.0899,1.0472,0.6103,1.1091,0.5828,1.0591,1.8174,1.0966,0.3724,1.2301,0.3396,1.1217,3.3031,1.0147,0.5207,-4.6359,0.5132,-4.5687,-8.9029,1.2334,0.7367,0.4411,0.5973,0.3577,0.5989,1.1058,0.6028,1.0666,0.5451,0.9646,1.7694,0.0022,5.1761,-0.7942,-0.5637,-0.036,0.3891,-0.2921,-0.1388,-1.5384,248.5824,15.7665,44,-2.6975,-2.827,39.2059,6.2615,24.3057,-1.47,-32.5243,8.8827,2.9804,36.7255,?,0.5442,0.0473,0.0869,2.518,5.2901,2.1009,6.3404,27.985,4.4137,2.2191,0.8741,0.3939,1.2093,0,0,1.8103,1.1981,0.6618,0.2164,51.9785,-0.7598,-0.7286,0.8829,4.0949,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.6423,6.1897,2.4879,16.6856,-2.0435,-2.7052,43.4417,6.591,36.3991,-1.5964,0.174,21.5964,4.6472,22.6178,-0.5489,6.195,40.6104,6.3726,22.3192,0.0107,0.2374,-3.6905,-0.1037,-15.543,-0.4367,0.0281,0.3775,0.5354,0.3904,1.4183,1.0343,0.7292,0.1425,0.2866,0.1524,2.0115,1.0697,0.5318,0.5006,1.3978,-46.5258,2.7923,-92.9421,-33.2848,0.3911,0.3754,0.243,0.96,0.6214,0.6473,0.4584,0.7377,0.7476,1.6093,1.6308,1.0134,0.0191,9.0009,0.3166,-0.4072,-0.4498,0.2875,-0.7215,0.1977,-9.3465,96.1435,9.8053,30.2399,?,-5.4993,60.2363,7.7612,37.4985,-0.4535,-34.9522,92.4787,9.6166,41.0995,?,1.6996,0.2674,0.1573,1.2634,1.0196,0.8071,1.5961,1.0396,0.6514,2.5848,0.7358,0.2846,0,1,0,0.8064,0.7358,0.9124,0.2507,53.1257,-0.7474,-0.9227,0.9342,48.0616,107.1401,10.3508,33,0.5417,TASCA_DESTRA_DIETRO_PANTALONI
0.643,8.6533,2.9416,15.7921,-0.8029,-2.7352,35.097,5.9243,27.5266,-3.0671,-0.1192,20.1988,4.4943,21.698,-0.6408,6.5088,29.4942,5.4309,24.7648,0.016,-0.2351,-5.3937,0.0988,22.9448,-0.4202,-0.0183,0.4965,0.6545,0.5417,1.3182,1.0909,0.8276,0.2466,0.4284,0.2934,1.7376,1.19,0.6848,0.3388,0.8299,-17.4202,2.4496,-51.4197,-20.9907,1.2942,0.6624,0.348,0.5118,0.2689,0.5254,0.5737,0.7278,0.6377,1.2686,1.1115,0.8762,0.0195,10.1557,-0.5983,0.0708,0.4213,-0.2242,-0.8137,0.4875,7.4859,110.3552,10.505,35.759,-1.1516,-27.2625,39.5877,6.2919,31.6177,-104.7194,-17.0814,17.5491,4.1892,23.3398,?,-0.2746,-0.4382,1.596,1.6696,2.5077,1.5019,2.7876,6.2884,2.2558,0.6111,0.82,1.3419,55.5714,0,0,1.131,1.5321,1.3547,0.2278,56.3902,-0.8761,0.7698,-0.4485,106.1931,1872.2799,43.2699,124,0.3641,TASCA_DESTRA_DIETRO_PANTALONI
-0.7152,13.0586,3.6137,21.7549,-2.1949,-2.5271,50.1417,7.0811,36.6368,-1.4487,0.0637,36.5255,6.0436,30.365,-0.4525,7.5928,48.976,6.9983,24.8519,0.0176,0.283,-11.223,-0.0942,-39.656,-0.3328,0.0084,0.5103,0.5979,0.5164,1.1717,1.0118,0.8636,0.2604,0.3575,0.2666,1.3728,1.0238,0.7458,0.6895,1.5799,-33.6512,2.2913,-48.8034,-21.2991,0.4551,0.3257,0.2692,0.7157,0.5915,0.8264,0.5938,0.7164,0.8754,1.2065,1.4742,1.2218,0.018,11.2548,0.5012,-0.3918,-0.5292,0.3552,-0.4126,0.4196,-10.4948,41.6257,6.4518,26.5198,?,-8.3559,96.3108,9.8138,42.5385,-0.4926,-24.2865,60.097,7.7522,29.4586,?,1.256,0.4321,0.3441,0.6574,0.8323,1.2659,0.4322,0.6926,1.6026,1.8889,0.9002,0.4766,0,1,0,0.6234,0.9002,1.444,0.19,47.0608,-0.5339,-0.8227,0.9129,309.2877,30145.4375,173.6244,570,0.1231,TASCA_DESTRA_DIETRO_PANTALONI
0.1889,12.3428,3.5132,21.9074,-1.3285,-2.628,31.6615,5.6269,29.7469,-6.0944,0.4506,31.0952,5.5763,28.1504,-0.4197,6.065,45.4608,6.7425,31.3833,0.0143,-0.0719,0.4191,0.0311,-5.8317,-0.4333,0.0743,0.6244,0.63,0.5211,1.0091,0.8345,0.827,0.3898,0.3969,0.2715,1.0182,0.6965,0.684,0.4891,1.5019,-27.4382,3.0706,-56.0967,-18.2687,2.2438,0.4745,0.2955,0.2115,0.1317,0.6228,0.7365,0.7782,0.6981,1.0567,0.9479,0.897,0.0183,9.3505,-0.2545,-0.3382,0.1335,-0.5843,-0.8978,0.6733,12.1918,151.7735,12.3196,43.625,-1.059,19.8569,42.7223,6.5362,31.3125,0.1827,-62.2293,2.0488,1.4314,65.1875,?,0.614,-0.1959,-0.3191,1.8848,8.6069,4.5664,3.5526,74.0786,20.8522,-3.2054,0.3442,-0.1074,0.553,0,0,1.3932,0.6692,0.4803,0.4583,98.7366,0.2692,0.4123,0.8846,439.2069,2732.8955,52.2771,216,0.5325,TASCA_DESTRA_DIETRO_PANTALONI
-0.8136,6.7717,2.6023,18.388,-0.7301,-1.5507,11.7319,3.4252,21.1833,-0.931,0.4745,12.9031,3.5921,23.7217,-0.402,5.0058,9.64,3.1048,16.9707,0.0443,0.5247,-1.7146,-0.1625,-3.2681,-0.3098,0.0948,0.7597,0.7244,0.8381,0.9535,1.1032,1.1569,0.5772,0.5248,0.7025,0.9092,1.217,1.3385,0.7597,1.1408,-9.854,1.5015,-12.97,-8.638,0.9689,0.6282,0.5985,0.6484,0.6177,0.9528,0.868,0.7752,1.0835,0.893,1.2482,1.3978,0.013,7.4177,0.5398,-0.0727,-0.2625,0.1894,-0.093,0.382,-38.5831,10.8048,3.2871,44.0399,?,8.7993,313.9527,17.7187,53.9383,-0.6994,3.2731,113.0266,10.6314,33.4778,-0.5081,-4.3848,-11.7881,2.6884,0.1855,0.3092,1.6666,0.0344,0.0956,2.7777,1.9839,3.9045,1.9681,0,0,1.4298,0.8165,1.3155,1.6112,0.2836,63.9647,0.3254,0.0414,-0.6597,1.6286,1.7763,1.3328,4,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2137,0.9708,0.9853,4.0168,-0.388,-0.5547,1.4917,1.2213,5.2427,-1.2736,-0.1032,1.1527,1.0737,5.5219,-0.7247,1.7691,0.8496,0.9217,3.587,0.0077,-0.3852,-2.0712,0.1208,5.3771,-0.3136,-0.0583,0.8067,0.9177,1.0689,1.1375,1.325,1.1648,0.6508,0.8422,1.1427,1.294,1.7557,1.3568,0.3823,0.4839,-40.4545,1.2657,-105.8112,-83.5971,1.2551,0.9039,0.8006,0.7202,0.6379,0.8857,0.7662,0.7274,1.1198,0.9494,1.4616,1.5394,0.0043,2.5799,0.3999,-0.1333,0.4035,0.6992,0.129,0.2074,-32.6936,13.6643,3.6965,40.4999,?,-11.1294,11.8896,3.4481,15.1794,?,27.5203,8.7744,2.9622,11.5799,0.6186,2.9376,-1.188,-0.4044,1.072,1.2479,1.1641,1.1493,1.5573,1.355,2.6681,-2.1567,-0.8083,1,0,0,2.6681,3.4974,1.3108,0.3177,71.3433,-0.9804,0.9303,-0.8586,1.4245,0.2443,0.4943,1,0.5,TASCA_SINISTRA_DAVANTI_PANTALONI
