@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.2184,1.4044,1.1851,6.9885,-0.4438,-0.7963,1.0854,1.0418,4.8197,-4.7527,0.1506,2.8145,1.6776,7.0005,-0.5285,2.103,1.5863,1.2595,5.5112,0.0368,-0.2743,1.4499,0.1039,-5.2865,-0.3787,0.0716,1.1375,0.7064,0.9409,0.621,0.8272,1.332,1.2939,0.499,0.8853,0.3857,0.6842,1.7743,0.5395,0.8874,-10.2135,1.6451,-18.933,-11.5089,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,0.9983,1.2681,0.6885,0.8745,1.2702,0.0084,3.0252,0.256,0.4873,0.4845,0.0612,-0.4793,0.399,0.0241,0.0314,0.1773,0.5407,-2.417,-0.3075,0.0156,0.1248,0.5118,?,-0.5763,0.0183,0.1351,0.6694,?,-0.0783,-0.0418,0.5336,1.4205,1.3124,0.9239,2.0178,1.7224,0.8536,0.7473,0.5713,0.7645,0,0,1,1.0565,0.8076,0.7645,0.0065,1.0444,0.5402,-0.9862,-0.4148,3.4893,9.8471,3.138,8.0964,0.0464,3.5387,9.4882,3.0803,11.7479,-0.8228,7.0393,2.6491,1.6276,4.131,0.5278,0.986,0.4957,0.5027,1.0187,1.928,1.8925,1.0378,3.7172,3.5817,-0.0744,0.0854,-1.1483,1.3174,0.9705,0.7366,0.6892,1.9599,2.8439,0.0862,14.9932,-0.5529,-0.9692,0.3905,TASCA_DESTRA_DAVANTI_PANTALONI
1.2806,12.5339,3.5403,16.1277,-0.5917,-1.6999,9.9625,3.1563,11.6933,-2.3499,0.0234,11.3599,3.3704,16.0183,-1.1868,5.4328,8.8713,2.9785,11.3445,0.0213,-0.7533,54.775,0.2357,-72.711,-0.3129,0.0043,1.1217,1.0504,1.1886,0.9365,1.0597,1.1316,1.2581,1.1034,1.4129,0.877,1.123,1.2805,0.7309,0.6897,-24.2673,0.9436,-33.2004,-35.1861,2.9026,1.3832,0.8741,0.4765,0.3011,0.6319,1.3792,1.0068,1.4216,0.73,1.0307,1.412,0.0113,8.1501,0.4894,0.6346,0.2425,0.1354,-0.5404,0.1395,0.2823,0.0093,0.0966,0.2958,0.2611,-0.2449,0.0495,0.2225,0.5826,-18.4898,0.493,0.0289,0.1701,0.4512,0.4129,-1.1528,0.5726,-0.4967,0.4341,0.5677,1.3077,0.1885,0.3223,1.7102,-0.1891,0.3294,-1.7416,13.3935,0.5209,0.0389,0.5078,0.6556,1.2912,0.0033,1.0257,0.7793,-0.8824,-0.9705,4.9063,5.0607,2.2496,6.8745,0.1863,1.1083,28.1576,5.3064,13.3464,-1.3571,5.9053,2.7608,1.6616,4.3354,0.4525,4.4268,0.8308,0.1877,0.4239,1.3539,3.1936,0.1797,1.833,10.1991,-0.2048,0.4392,-2.1441,1.492,1.0668,0.715,0.5151,1.5857,3.0785,0.0408,15.9479,-0.5695,-0.766,0.947,TASCA_DESTRA_DAVANTI_PANTALONI
2.6623,6.5338,2.5561,6.6465,-0.0183,-1.061,1.0851,1.0417,3.9082,-5.5392,-1.6007,1.6002,1.265,4.2988,-23.4556,3.5628,7.3013,2.7021,6.9607,0.0245,-2.5092,-1.6632,0.7472,0.6628,-0.2978,-0.4493,2.4539,2.0207,0.946,0.8235,0.3855,0.4682,6.0214,4.0831,0.8949,0.6781,0.1486,0.2192,0.036,0.0289,-0.6803,0.8029,-18.9023,-23.5415,10.9216,37.1333,0.9147,3.4,0.0838,0.0246,1.7006,1.5461,0.9549,0.9091,0.5615,0.6176,0.1492,5.4443,-0.7464,-0.4884,0.9636,0.8231,-0.8694,-0.6949,0.3337,0.0394,0.1985,0.4911,0.2466,0.0172,0.0191,0.1382,0.3821,-1.6537,0.745,0.0008,0.0284,0.0727,0.9058,19.4465,0.4479,0.023,1.4367,6.9836,4.8609,2.0641,48.7702,23.628,-0.675,0.2298,-0.3405,4.5269,0.8443,0.1865,1.2853,6.7533,5.2544,0.0093,1.2076,-0.9958,-0.9817,0.9627,2.3922,4.1518,2.0376,6.502,0.1058,3.258,0.6437,0.8023,2.6191,0.3355,7.6436,1.3548,1.164,3.9336,0.5621,0.7343,0.313,0.4262,2.5396,1.7505,0.6893,6.4496,3.0644,0.4751,0.582,0.1524,0.2619,1.8449,0.8095,0.4388,2.4825,1.6529,0.6658,0.0983,13.2938,-0.99,-0.9565,0.9811,TASCA_DESTRA_DAVANTI_PANTALONI
0.3319,0.0099,0.0997,0.4687,0.2041,-0.1711,0.0112,0.1057,0.5491,-3.6965,0.5172,0.0124,0.1114,0.5603,0.2831,0.6573,0.0085,0.0921,0.4928,0.4458,-1.9397,0.6418,0.505,-0.3309,-0.2603,0.7869,0.9427,0.8944,1.0821,0.9489,1.1479,1.2098,0.8886,0.8,1.1709,0.9003,1.3176,1.4635,-0.2781,0.5433,0.3032,-1.9533,-1.0901,0.5581,5.0371,0.7535,0.6623,0.1496,0.1315,0.8789,0.8536,0.8365,0.9511,0.98,1.1142,1.137,0.0064,1.0248,0.1954,-0.3123,0.1923,-0.2203,-0.3941,0.8128,0.5821,0,0.0017,0.006,0.9897,-0.1426,0.0001,0.0078,0.1511,?,-0.7493,0,0.0007,0.7503,?,-4.0819,-0.7768,0.1903,0.2182,2.2674,10.39,0.0476,5.1412,107.9529,-3.8381,-0.773,0.2014,0,0,1,0.0399,0.008,0.2014,0.0096,1.474,0.9389,-0.1412,-0.5393,-7.7699,0.0054,0.0735,7.9224,?,5.312,0.0125,0.1117,0.381,0.9303,2.762,0.0002,0.0144,0.0457,0.9836,-1.4627,-2.8131,1.9232,0.6579,5.0915,7.7388,0.4329,25.9237,59.889,-1.5584,-2.8962,1.8585,0,0,1.965,20.7961,173.528,8.3443,0.0981,15.844,0.9985,-0.3797,-0.4363,TASCA_DESTRA_DAVANTI_PANTALONI
0.318,0.0141,0.1188,0.5923,-0.0394,-0.1684,0.0103,0.1017,0.4777,-5.7894,0.4252,0.0072,0.0848,0.4528,0.3481,0.5767,0.0093,0.0962,0.4958,0.4281,-1.8885,0.7479,0.5514,-0.3961,-0.292,0.7372,1.1688,1.4009,1.2349,1.1986,1.0566,0.8815,1.366,1.9624,1.5249,1.4366,1.1163,0.7771,0.0551,-0.0929,-0.0605,-1.6848,-1.0972,0.6512,8.1,0.8205,0.6572,0.1013,0.0811,0.8011,1.2401,1.3081,1.1946,1.0549,0.9634,0.9132,0.0056,0.9144,-0.0323,-0.0131,0.6923,-0.0073,-0.3339,0.6264,0.542,0,0.0005,0.0019,0.9966,-0.2143,0,0.0008,0.2156,?,-0.757,0,0.0017,0.7605,?,-2.5293,-0.716,0.2831,0.6821,0.318,0.4663,0.4652,0.1011,0.2174,-2.5075,-0.7109,0.2835,0,0,1,0.0087,0.0025,0.2835,0.0096,1.5133,-0.667,0.9167,-0.949,-6.8079,0.0008,0.028,6.8553,?,6.3238,0.0014,0.038,0.128,0.9799,3.1458,0.0003,0.0167,0.0581,0.9818,-1.0766,-2.1641,2.0102,0.7381,1.6762,2.271,0.5448,2.8096,5.1572,-1.0962,-2.1937,2.0011,0,0,2.0048,53.5639,118.0335,2.2036,0.0981,16.2774,0.9995,-0.9193,-0.9488,TASCA_DESTRA_DAVANTI_PANTALONI
1.7199,9.5687,3.0933,13.7758,-0.8542,-1.4961,4.7907,2.1888,9.2952,-2.3204,-0.2894,7.0998,2.6645,15.1454,-0.7568,4.7583,4.0975,2.0242,10.0449,0.0691,-1.1496,-5.9425,0.3615,5.169,-0.3144,-0.0608,1.4133,1.1609,1.5282,0.8214,1.0813,1.3163,1.9973,1.3477,2.3353,0.6748,1.1692,1.7327,0.977,0.9728,-8.5079,0.9956,-8.7081,-8.7462,2.6539,0.8617,0.6885,0.3247,0.2594,0.7989,1.482,0.9096,1.3714,0.6137,0.9254,1.5078,0.0117,6.9816,0.4032,-0.0011,0.4036,-0.1736,0.0356,0.0659,0.41,0.0146,0.1207,0.3687,0.3822,-0.2341,0.0637,0.2524,0.8003,-2.7757,0.6184,0.002,0.0452,0.1537,0.7743,-1.7511,0.663,-0.3786,0.4783,2.6696,5.582,0.2287,7.127,31.1591,-0.3877,0.4327,-1.1159,2.8156,0.8765,0.3113,0.4607,2.3992,5.208,0.0039,1.3143,-0.4845,0.4527,-0.6675,6.4838,9.6701,3.1097,9.5779,0.0183,0.8057,17.7034,4.2075,11.8354,-0.9933,3.8855,11.0045,3.3173,8.369,-0.0194,8.0478,1.6687,0.2074,0.7391,0.9374,1.2684,0.5462,0.8787,1.6087,-0.0303,-1.1212,36.946,1.6433,1.1885,0.7233,0.8093,1.1444,1.4142,0.0386,14.4096,-0.7628,-0.917,0.9181,TASCA_DESTRA_DAVANTI_PANTALONI
0.2123,0.0138,0.1173,0.5627,-0.1208,-0.1613,0.0171,0.1309,0.6989,-2.8208,0.2388,0.0117,0.1083,0.5366,-0.0808,0.3988,0.0117,0.1081,0.464,0.2723,-1.3156,0.8887,0.5322,-0.6755,-0.4045,0.5989,0.8959,1.0827,1.085,1.2085,1.211,1.0021,0.8027,1.1722,1.1771,1.4604,1.4665,1.0042,0.1175,1.5112,-0.3492,12.8619,-2.972,-0.2311,2.7447,1.0112,0.7874,0.3684,0.2869,0.7787,0.8051,1.0485,1.2126,1.3024,1.5062,1.1565,0.0036,0.6298,-0.0019,-0.0937,0.4858,0.0003,-0.4922,0.5777,0.2246,0,0.0023,0.0074,0.9677,0.5836,0,0.0006,0.0025,0.9958,0.0742,0,0.0015,0.0044,0.9418,0.385,3.0288,7.868,3.5533,1.4617,0.4114,12.6256,2.1366,0.1692,0.3804,3.0813,8.0997,0.3915,2.9989,7.661,2.9836,1.6657,0.5583,0.0063,0.8824,-0.2589,-0.7434,0.8174,-8.5676,0,0.006,8.5766,?,4.273,0.0005,0.0218,0.0901,0.9792,2.1383,0.0005,0.0215,0.0846,0.9608,-2.005,-4.0068,1.9984,0.2768,0.2807,1.0142,0.0766,0.0788,1.0285,-2.0202,-4.1339,2.0463,0,0,2.0079,95.176,101.4087,1.0655,0.0981,14.9789,1.0165,-0.8247,-0.962,TASCA_DESTRA_DAVANTI_PANTALONI
0.2691,0.745,0.8631,4.1218,-0.7274,-0.2086,0.4591,0.6775,3.3237,-1.1291,-0.4322,3.0978,1.76,5.8452,-1.3004,2.0078,0.5735,0.7573,2.9922,0.1234,-1.2901,-0.6226,0.134,0.4826,-0.1039,-0.2153,1.2739,0.4904,1.1398,0.385,0.8947,2.3241,1.6229,0.2405,1.299,0.1482,0.8004,5.4014,0.9847,0.5253,-4.1214,0.5334,-4.1854,-7.8462,1.5285,0.9391,0.6991,0.6144,0.4574,0.7444,1.2401,0.7052,1.3775,0.5686,1.1108,1.9535,0.0054,2.8978,0.5366,0.098,0.1112,0.3278,-0.0847,-0.4193,0.1875,0.001,0.0319,0.1815,0.457,-0.3199,0.0188,0.137,0.5182,?,0.3573,0.0011,0.0326,0.1328,0.7084,-0.586,0.5247,-0.8954,0.233,0.9806,4.2086,0.0543,0.9616,17.7122,-0.2948,0.4735,-1.6062,0,0.734,0,0.3503,1.3669,3.9025,0.0051,0.8647,-0.2811,0.7222,-0.5128,6.4225,3.5648,1.8881,4.9864,0.4704,0.7874,1.602,1.2657,3.3762,-0.7813,6.7289,3.9201,1.9799,5.8004,0.3219,8.1569,0.9545,0.117,1.4917,0.9536,0.6393,2.2252,0.9093,0.4087,-2.9903,1.6085,-0.5379,4.9672,1.1007,0.2216,1.4769,0.8597,0.5821,0.0924,14.54,-0.9497,-0.9827,0.9606,TASCA_DESTRA_DAVANTI_PANTALONI
0.5275,3.2474,1.8021,7.5039,-1.0235,-0.4255,1.592,1.2618,7.837,-1.271,0.0471,4.9717,2.2297,10.2122,-1.2375,2.895,1.8915,1.3753,6.9357,0.0784,-1.2397,11.2028,0.1822,-9.0364,-0.147,0.0163,1.4282,0.8082,1.3103,0.5659,0.9174,1.6213,2.0398,0.6532,1.7169,0.3202,0.8417,2.6285,0.8654,0.672,-6.4314,0.7766,-7.432,-9.5705,1.0746,0.8125,0.4928,0.7561,0.4585,0.6065,0.9575,0.7348,1.0819,0.7674,1.1299,1.4724,0.0067,4.2999,0.0361,0.2091,-0.0702,0.3138,-0.2549,-0.0963,-0.0075,0.0408,0.2019,0.6313,-1.7395,-0.1185,0.0125,0.112,0.3706,?,-0.4884,0.0045,0.0668,0.5856,?,0.063,0.0153,0.2426,1.803,3.0231,1.6767,3.2508,9.1392,2.8114,1.0817,0.6845,0.6328,0,0,1,1.7036,1.078,0.6328,0.005,0.7758,0.9596,-0.2506,-0.2584,1.8179,11.2651,3.3563,9.7173,-0.1981,1.1412,5.4771,2.3403,8.0055,-0.9215,8.513,2.4141,1.5537,5.7642,0.4075,1.5929,0.2135,0.1341,1.4341,2.1602,1.5062,2.0567,4.6663,2.2688,0.4185,-0.4053,-0.9686,1.9468,0.8338,0.4283,1.2138,1.6858,1.3888,0.0869,13.7584,-0.9526,-0.8443,0.8756,TASCA_DESTRA_DAVANTI_PANTALONI
1.3859,13.4484,3.6672,13.2372,-0.3586,-0.7528,11.1909,3.3453,13.8545,-0.7945,-1.2901,7.5005,2.7387,19.338,-4.2693,4.92,12.0854,3.4764,17.2098,0.0022,-1.841,-1.0742,0.2817,0.5835,-0.153,-0.2622,1.0962,1.339,1.0549,1.2215,0.9623,0.7878,1.2017,1.793,1.1128,1.492,0.926,0.6206,0.5696,0.223,-92.4333,0.3915,-162.2821,-414.5348,1.262,2.6549,0.5649,2.1038,0.4476,0.2128,0.9554,0.6845,0.7692,0.7164,0.805,1.1237,0.011,7.298,0.1488,0.0274,0.6561,-0.2295,0.1437,-0.4008,-0.2027,0.1233,0.3512,1.0864,-1.2988,0.0319,0.0743,0.2726,0.6301,-0.9668,0.1975,0.6663,0.8162,1.7801,-0.855,-6.3643,-1.0263,0.1613,1.2885,0.4302,0.3339,1.6601,0.1851,0.1115,1.9817,0.7481,0.3775,1.4751,0.4925,0.3339,1.7241,0.6103,0.354,0.0015,1.418,0.9593,0.9285,0.9947,4.8727,20.6008,4.5388,10.4764,-0.0749,2.9939,7.8503,2.8018,7.5196,-0.2418,5.0919,9.0647,3.0108,7.55,0.1083,1.6275,0.957,0.588,1.6199,1.5075,0.9306,2.6242,2.2727,0.866,0.4988,-0.7963,-1.5965,1.6094,1.1511,0.7152,1.3932,1.3876,0.996,0.0393,13.9499,-0.7747,-0.985,0.8106,TASCA_DESTRA_DAVANTI_PANTALONI
