@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.7094,4.9517,2.2253,10.2537,-0.605,-3.0915,4.2823,2.0694,9.7947,?,0.4761,13.7255,3.7048,13.8771,-0.7572,5.5745,2.1715,1.4736,6.5219,0.3458,-0.2295,1.4901,0.1273,-6.4938,-0.5546,0.0854,1.0753,0.6006,1.5101,0.5586,1.4043,2.5141,1.1563,0.3608,2.2804,0.312,1.9721,6.3208,0.3946,0.6464,-1.1211,1.638,-2.841,-1.7344,0,0.8089,0.6408,0,0,0.7921,1.0469,0.7389,1.5722,0.7058,1.5018,2.1278,0.0655,8.0462,0.0716,0.4377,0.2488,0.1551,-0.2177,0.2853,?,?,?,?,?,DESTRA_PANTALONI
4.6298,2.6685,1.6336,5.0137,0.2826,-0.3787,2.9434,1.7156,5.2539,-1.4322,-3.7626,2.1302,1.4595,6.6582,?,6.5343,0.7809,0.8837,3.2065,0.5814,-12.2246,-1.2305,0.7085,0.1007,-0.058,-0.5758,0.9522,1.1192,1.8486,1.1755,1.9414,1.6516,0.9066,1.2527,3.4172,1.3817,3.7692,2.7279,-0.6383,-0.2966,0.4434,0.4647,-0.6947,-1.495,3.2351,0,0.9123,0,0.282,0,0.9543,0.753,1.5636,0.7891,1.6385,2.0765,0.5434,9.9235,0.3518,0.8176,0.5322,0.2376,0.0503,-0.0084,?,?,?,?,?,DESTRA_PANTALONI
0.1373,2.0204,1.4214,4.5431,-1.2142,0.0947,3.7233,1.9296,6.5049,-0.7164,0.0279,0.3342,0.5781,2.0769,-0.6902,2.3143,0.7504,0.8663,3.7225,0.1567,1.4497,4.9167,0.0593,3.3916,0.0409,0.0121,0.7366,2.4586,1.6408,3.3376,2.2275,0.6674,0.5426,6.0446,2.6923,11.1394,4.9616,0.4454,0.9176,2.9373,-3.6006,3.2012,-3.924,-1.2258,0.5414,1.6698,0.4648,3.0842,0.8585,0.2784,0.6984,2.1874,1.2204,3.132,1.7475,0.5579,0.0034,3.4515,-0.7391,-0.8245,-0.5508,0.8143,0.3728,0.3161,?,?,?,?,?,DESTRA_PANTALONI
1.8718,4.2527,2.0622,6.9454,-0.4434,-0.0559,4.5055,2.1226,7.2157,-1.4785,0.9473,6.0157,2.4527,10.6613,-1.6092,4.111,2.2777,1.5092,6.1699,0.1727,-33.4554,1.9758,0.4553,-0.0591,-0.0136,0.2304,0.9715,0.8408,1.3664,0.8654,1.4064,1.6251,0.9439,0.7069,1.8671,0.749,1.9781,2.6411,0.4957,0.3245,-1.6571,0.6546,-3.3431,-5.1067,1.6528,1.1776,0.6452,0.7125,0.3904,0.5479,0.9625,0.6515,1.1257,0.6768,1.1695,1.7279,0.0411,6.3761,0.8615,0.7084,0.3945,0.7928,0.2753,-0.1363,?,?,?,?,?,DESTRA_PANTALONI
1.6739,29.3444,5.417,22.3018,-0.3749,-5.901,14.4679,3.8037,14.6758,-3.37,0.5934,34.2377,5.8513,20.262,-0.3568,9.6684,22.5481,4.7485,18.2536,0.0449,-0.2837,2.8207,0.1731,-9.944,-0.6103,0.0614,1.4242,0.9258,1.1408,0.6501,0.801,1.2322,2.0282,0.8571,1.3014,0.4226,0.6416,1.5184,0.5373,1.1414,-7.0917,2.1242,-13.1985,-6.2134,4.83,1.0862,0.8488,0.2249,0.1757,0.7814,1.5196,1.1007,1.2218,0.7243,0.804,1.11,0.0635,15.0701,0.2897,0.8145,0.5339,-0.0203,-0.5208,0.7337,?,?,?,?,?,DESTRA_PANTALONI
-0.0034,18.7374,4.3287,18.5595,-0.5763,-5.2925,9.6738,3.1103,10.9406,?,0.9459,27.0021,5.1964,20.8573,-0.3039,7.9854,20.5515,4.5334,17.1714,0.0957,0.0006,-0.0036,-0.0004,-5.5953,-0.6628,0.1185,1.3917,0.833,0.9548,0.5985,0.6861,1.1462,1.9369,0.6939,0.9117,0.3583,0.4707,1.3139,0.6202,1.3958,-3.7333,2.2506,-6.0195,-2.6746,0,0.7361,0.6201,0,0,0.8424,1.6964,0.8898,1.0808,0.5245,0.6371,1.2147,0.056,12.507,0.0699,0.7831,0.4176,-0.4823,-0.7315,0.7779,?,?,?,?,?,DESTRA_PANTALONI
4.2936,34.0941,5.839,19.3759,-0.2964,-6.9561,13.2266,3.6368,14.2202,-8.0405,3.3431,69.3306,8.3265,25.3505,-0.3167,12.6512,34.5967,5.8819,20.0906,0.2102,-0.6172,1.2843,0.3394,-2.0808,-0.5498,0.2642,1.6055,0.7013,0.9927,0.4368,0.6183,1.4156,2.5777,0.4918,0.9855,0.1908,0.3823,2.004,0.3503,0.7265,-0.8288,2.074,-2.3658,-1.1407,9.5014,0.7763,0.5876,0.0817,0.0618,0.7569,1.3626,0.7643,0.9644,0.5609,0.7078,1.2618,0.091,19.0526,0.4486,0.884,0.8473,0.1161,0.015,0.9579,?,?,?,?,?,DESTRA_PANTALONI
2.5168,24.6938,4.9693,17.1026,-0.1474,-5.4592,21.1251,4.5962,15.6337,-15.3089,1.2861,37.0205,6.0844,19.8535,-0.4432,8.9071,41.2943,6.4261,20.0892,0.0631,-0.461,1.957,0.2826,-4.2449,-0.6129,0.1444,1.0812,0.8167,0.7733,0.7554,0.7152,0.9468,1.1689,0.667,0.598,0.5706,0.5116,0.8965,0.1497,0.3604,-1.6229,2.4069,-10.8386,-4.5032,15.549,1.0835,0.6951,0.0697,0.0447,0.6415,1.094,0.8614,0.8513,0.7875,0.7782,0.9883,0.1255,13.67,-0.4331,0.8984,0.8627,-0.5267,-0.7899,0.8474,?,?,?,?,?,DESTRA_PANTALONI
1.0788,5.9656,2.4425,12.4531,-0.8706,-0.1208,7.8086,2.7944,11.7731,-0.8198,0.097,5.9309,2.4353,13.551,-0.9561,3.9893,4.9787,2.2313,10.0464,0.0803,-8.9275,11.1199,0.2704,-1.2456,-0.0303,0.0243,0.8741,1.0029,1.0946,1.1474,1.2524,1.0915,0.764,1.0059,1.1982,1.3166,1.5684,1.1913,1.0928,0.875,-6.61,0.8007,-6.0486,-7.554,1.029,0.961,0.6095,0.9339,0.5923,0.6342,1.0578,0.919,1.2396,0.8688,1.1719,1.3488,0.0117,6.0513,-0.6459,0.3804,0.3474,-0.2408,-0.0833,0.1535,?,?,?,?,?,SINISTRA_PANTALONI
-0.3333,0.4828,0.6948,2.5319,-2.7869,-1.021,0.083,0.2881,1.5137,?,-0.2512,0.0269,0.1641,0.7444,-5.1309,1.2743,0.1856,0.4309,1.7332,0.2745,0.3264,1.3268,-0.2615,4.0646,-0.8013,-0.1971,2.4118,4.2332,1.6127,1.7552,0.6687,0.381,5.8167,17.9199,2.6007,3.0808,0.4471,0.1451,1.2309,2.9908,-2.8413,2.4298,-2.3083,-0.95,0,5.5063,0.2799,0,0,0.0508,1.6726,3.4011,1.4608,2.0335,0.8734,0.4295,0.0119,1.8988,0.4617,-0.1734,-0.7501,-0.5936,-0.8799,0.4056,?,?,?,?,?,SINISTRA_PANTALONI
