@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.1647,5.3883,2.3213,17.5132,-0.9709,-1.4612,25.2786,5.0278,33.1843,-0.9659,-0.04,26.5637,5.154,26.9182,-0.8196,6.5447,16.5613,4.0696,18.22,0.0783,0.1127,4.1235,-0.0252,36.5737,-0.2233,-0.0061,0.4617,0.4504,0.5704,0.9755,1.2355,1.2665,0.2132,0.2028,0.3254,0.9516,1.5264,1.604,0.5292,0.7115,-5.5714,1.3447,-10.5288,-7.83,0.5264,0.6007,0.4495,1.1411,0.8539,0.7483,0.5278,0.6506,0.9612,1.2328,1.8213,1.4774,0.0039,9.5914,0.2624,-0.3262,-0.0009,-0.1054,-0.3183,0.1855,?,?,?,?,?,279.4068,8321.5703,91.2226,301,0.3568,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0884,3.003,1.7329,11.2595,-0.6377,-0.7292,6.2075,2.4915,15.4236,-1.2225,-0.0061,15.1426,3.8913,21.0955,-0.9584,4.1878,7.3551,2.712,11.2812,0.0526,0.1212,14.3958,-0.0211,118.7505,-0.1741,-0.0015,0.6955,0.4453,0.639,0.6403,0.9187,1.4349,0.4838,0.1983,0.4083,0.4099,0.844,2.0588,0.5168,0.4247,-7.0035,0.8218,-13.5518,-16.4907,0.9907,0.6383,0.5774,0.6442,0.5828,0.9046,0.73,0.5337,0.9981,0.7311,1.3672,1.87,0.0019,6.029,0.0637,-0.4218,0.0764,0.3383,-0.392,0.0671,?,?,?,?,?,202.0366,2693.5491,51.8994,262,0.0542,TASCA_DESTRA_DAVANTI_PANTALONI
0.3492,3.2096,1.7915,13.0028,-1.017,-0.5879,10.1758,3.1899,19.4349,-0.9606,-0.1613,7.1002,2.6646,16.0809,-0.7037,3.8429,6.2117,2.4923,13.6206,0.0084,-0.5941,-2.1656,0.0909,3.6455,-0.153,-0.042,0.5616,0.6723,0.7188,1.1971,1.2799,1.0691,0.3154,0.452,0.5167,1.4332,1.6382,1.143,0.6885,0.987,-57.101,1.4336,-82.9342,-57.8508,0.6503,0.683,0.4694,1.0502,0.7217,0.6872,0.669,0.8086,0.9546,1.2086,1.4269,1.1806,0.0019,5.9845,-0.4598,0.1186,0.3357,0.8056,0.0868,0.2583,?,?,?,?,?,29.7215,24.5034,4.9501,22,0.5,TASCA_DESTRA_DAVANTI_PANTALONI
0.135,6.1171,2.4733,15.9974,-0.7217,0.1012,17.9872,4.2411,25.3419,-1.2682,0.1115,13.3848,3.6585,14.8765,-1.1174,5.448,7.8498,2.8018,17.5824,0.0261,1.3345,1.2115,0.0248,0.9078,0.0186,0.0205,0.5832,0.676,0.8828,1.1592,1.5137,1.3058,0.3401,0.457,0.7793,1.3438,2.2914,1.7051,0.4733,0.8542,-14.2557,1.8048,-30.1221,-16.6896,0.8316,1.3225,0.5147,1.5902,0.6189,0.3892,0.6313,1.0753,0.9099,1.7035,1.4413,0.8461,0.0005,8.4309,-0.6066,0.0402,0.2312,0.7202,-0.0188,0.1072,?,?,?,?,?,20.3158,13.7476,3.7078,21,0.3,TASCA_DESTRA_DAVANTI_PANTALONI
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1051,7.5687,2.7511,24.0089,-0.3552,0.5982,10.7523,3.2791,25.0715,-0.4422,0.3197,18.4627,4.2968,29.1037,-0.4152,4.8184,14.0379,3.7467,28.3459,0.015,0.1756,0.3286,0.0218,1.871,0.1241,0.0664,0.839,0.6403,0.7343,0.7631,0.8752,1.1468,0.7039,0.4099,0.5392,0.5824,0.766,1.3152,0.8186,0.7369,-14.5354,0.9002,-17.7564,-19.7241,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.847,0.8615,0.8845,1.0267,0.0036,7.2841,0.542,0.2058,0.3776,0.1364,0.322,0.5168,?,?,?,?,?,247.9167,1088.9098,32.9986,250,0.1857,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0568,5.1431,2.2678,17.2085,-0.7764,-0.0392,25.2409,5.024,31.8493,-1.3526,-0.1488,10.4112,3.2266,20.0072,-1.3682,5.1113,14.6965,3.8336,20.3873,0.0292,1.4493,0.3817,-0.0111,0.2634,-0.0077,-0.0291,0.4514,0.7028,0.5916,1.557,1.3105,0.8417,0.2038,0.494,0.35,2.4244,1.7175,0.7084,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0009,7.5982,0.6744,0.2541,-0.0822,0.5154,-0.4528,-0.3339,?,?,?,?,?,2,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1425,4.8533,2.203,14.4644,-1.2126,-0.7034,7.1531,2.6745,13.053,-2.0814,-0.2872,7.9117,2.8128,12.6601,-1.1969,3.8914,5.3728,2.3179,11.6348,0.0266,0.2026,0.4962,-0.0366,2.4487,-0.1808,-0.0738,0.8237,0.7832,0.9504,0.9509,1.1538,1.2135,0.6785,0.6134,0.9033,0.9041,1.3314,1.4726,0.8991,1.1493,-24.9189,1.2783,-27.7157,-21.6818,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.2432,1.031,1.1219,1.0881,0.004,6.002,0.7763,-0.0518,-0.37,0.4874,-0.5729,-0.1758,?,?,?,?,?,3,1.4742,1.2142,4,0.3333,TASCA_DESTRA_DAVANTI_PANTALONI
-0.207,0.4025,0.6344,3.6556,-3.8189,0.2915,0.9935,0.9968,5.4187,-0.6421,0.5717,4.5503,2.1331,8.5944,-0.4898,1.6431,3.7014,1.9239,6.4799,0.0039,-0.7101,-0.3621,-0.126,0.51,0.1774,0.3479,0.6365,0.2974,0.3298,0.4673,0.5181,1.1088,0.4051,0.0885,0.1087,0.2183,0.2684,1.2294,1.3672,1.0253,-113.9103,0.7499,-83.3154,-111.1046,0.2299,0.1315,0.1166,0.572,0.5072,0.8868,0.6746,0.4253,0.5641,0.6305,0.8362,1.3263,0.0153,2.3265,0.1865,-0.4515,-0.5501,0.0866,0.2615,0.7191,?,?,?,?,?,2,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.8087,3.5808,1.8923,7.9031,-0.2843,-0.9291,3.6793,1.9181,8.9678,-4.7139,0.5501,7.9155,2.8135,13.0831,-0.3883,2.9567,8.2533,2.8729,10.6743,0.0334,-0.8705,1.47,0.2735,-1.6887,-0.3142,0.1861,0.9865,0.6726,0.6587,0.6818,0.6677,0.9793,0.9732,0.4524,0.4339,0.4648,0.4458,0.9591,0.2365,0.4781,-4.7423,2.0217,-20.0527,-9.919,3.9207,0.653,0.5572,0.1665,0.1421,0.8533,0.8813,0.6041,0.7404,0.6854,0.8401,1.2257,0.0307,4.5031,-0.7778,0.3622,0.847,-0.5353,-0.8455,0.6891,?,?,?,?,?,13.2356,39.456,6.2814,18,0.0526,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0438,2.3865,1.5448,5.2091,-5.01,0.1513,0.9545,0.977,4.5173,-0.5529,0.3782,4.2539,2.0625,8.3219,-0.9341,2.5656,2.2681,1.506,4.8776,0.0714,-6.8988,-2.7597,-0.4068,0.4,0.059,0.1474,1.5812,0.749,1.0258,0.4737,0.6487,1.3695,2.5003,0.561,1.0522,0.2244,0.4208,1.8756,2.6998,1.0804,-11.5868,0.4002,-4.2917,-10.7246,0.298,0.2014,0.165,0.6761,0.5538,0.8192,1.1531,0.6259,1.068,0.5428,0.9261,1.7061,0.0255,3.7843,-0.1383,-0.3347,-0.6391,0.6349,0.2188,0.4257,?,?,?,?,?,0,0,0,0,0,TASCA_DESTRA_DAVANTI_PANTALONI
