@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.3849,3.1235,1.7674,11.0103,-0.7234,-1.0705,2.8768,1.6961,11.5111,-5.7067,0.081,9.0487,3.0081,14.7668,-0.8698,3.5822,3.5175,1.8755,9.3045,0.0667,0.3596,-4.752,-0.1075,-13.2153,-0.2988,0.0226,1.042,0.5875,0.9423,0.5638,0.9043,1.6039,1.0858,0.3452,0.888,0.3179,0.8178,2.5725,0.4719,0.6728,-6.9492,1.4258,-14.7273,-10.3289,3.7221,0.8089,0.6408,0.2173,0.1722,0.7921,0.9565,0.7456,1.1833,0.7795,1.2372,1.5871,0.0059,5.198,-0.2012,0.2754,0.2149,0.1648,-0.5136,-0.0443,2.2832,5.3986,2.3235,8.3085,0.0556,2.9878,4.6867,2.1649,10.9686,-1.5538,8.307,2.9347,1.7131,7.7367,0.1607,0.7642,0.2749,0.3597,1.0733,1.3563,1.2637,1.1519,1.8396,1.597,-0.0733,0.3303,-4.5064,2.0483,0.9544,0.466,0.7575,1.0739,1.4177,0.047,14.1846,-0.8312,-0.8965,0.9718,?,?,?,?,?,DESTRA_PANTALONI
1.2968,4.9272,2.2197,7.7188,-0.1045,-0.5505,1.4816,1.2172,5.2871,-1.4476,-0.7208,5.8478,2.4182,10.2949,-1.8308,3.1136,5.0661,2.2508,7.2818,0.0494,-2.3558,-1.799,0.4165,0.7637,-0.1768,-0.2315,1.8236,0.9179,0.9862,0.5033,0.5408,1.0744,3.3257,0.8426,0.9726,0.2534,0.2924,1.1543,0.2336,0.1097,-1.9313,0.4696,-8.2673,-17.6035,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.4599,0.7498,1.06,0.5136,0.7261,1.4138,0.036,4.7111,0.0733,-0.5556,0.9097,0.0169,-0.1528,-0.6357,1.8364,2.7957,1.672,7.0273,0.0774,1.6208,0.8708,0.9332,3.4121,-0.0711,8.7828,1.6205,1.273,5.5605,0.4663,1.133,0.2091,0.1845,1.7918,1.3135,0.7331,3.2104,1.7252,0.5374,-2.6034,0.1214,-0.0466,2.3912,0.7312,0.3058,2.0595,1.2638,0.6136,0.0524,12.2639,-0.7304,-0.8829,0.6556,?,?,?,?,?,DESTRA_PANTALONI
0.0596,1.7085,1.3071,4.986,-1.4301,-0.2411,2.712,1.6468,6.5049,-0.7164,0.1346,0.3305,0.5749,2.6498,-0.4708,2.0139,0.7749,0.8803,4.1281,0.0754,-0.2473,0.4429,0.0296,-1.7912,-0.1197,0.0668,0.7937,2.2737,1.4849,2.8646,1.8708,0.6531,0.63,5.1695,2.2049,8.2061,3.5,0.4265,1.0807,3.4596,-8.7143,3.2012,-8.0635,-2.5189,0.5414,1.1388,0.4595,2.1035,0.8488,0.4035,0.7665,1.8817,1.2078,2.4549,1.5758,0.6419,0.0014,2.9578,-0.7079,-0.4728,-0.5095,0.5336,0.4307,0.2684,-7.0205,0.0653,0.2555,7.3092,?,6.6812,0.063,0.251,0.8251,0.8856,1.4757,0.0064,0.0801,0.4536,0.7491,-1.0508,-4.7575,4.5276,1.0176,3.1892,3.1339,1.0356,10.171,9.8213,-1.1443,-5.3985,4.7175,0,0,3.9902,8.8587,16.1152,1.8191,0.049,15.1773,0.9969,0.5308,0.4668,?,?,?,?,?,DESTRA_PANTALONI
0.6448,1.8555,1.3622,6.9454,-0.4434,-0.1423,2.7811,1.6677,7.2157,-1.4785,-0.2797,5.2775,2.2973,11.616,-1.8428,2.8694,2.195,1.4816,7.7054,0.0955,-4.5327,-2.3054,0.2247,0.5086,-0.0496,-0.0975,0.8168,0.5929,0.9194,0.7259,1.1256,1.5506,0.6672,0.3516,0.8453,0.527,1.267,2.4043,0.4957,0.2834,-2.6219,0.5716,-5.2894,-9.2529,1.6528,1.1776,0.5648,0.7125,0.3417,0.4796,0.9625,0.5979,0.9014,0.6212,0.9365,1.5075,0.0036,4.2676,0.4178,0.5174,0.3561,0.6286,-0.2202,-0.128,2.3182,9.7047,3.1152,8.9223,-0.0366,2.1105,5.137,2.2665,6.9803,-0.9898,8.2546,3.4228,1.8501,5.9837,0.3577,1.0984,0.2808,0.2557,1.3745,1.6838,1.2251,1.8892,2.8353,1.5008,0.0907,-0.0946,-1.0421,2.4536,0.924,0.3766,1.2782,1.4911,1.1666,0.0439,13.6698,-0.93,-0.9469,0.9879,?,?,?,?,?,DESTRA_PANTALONI
0.4452,8.4797,2.912,22.2114,-0.3693,-1.5731,11.4495,3.3837,16.6696,-2.1016,-0.1492,11.1579,3.3403,20.262,-0.3568,4.11,16.8905,4.1098,18.8831,0.0119,-0.283,-2.9838,0.1083,10.5433,-0.3828,-0.0363,0.8606,0.8718,0.7085,1.013,0.8233,0.8128,0.7406,0.76,0.502,1.0261,0.6779,0.6606,0.5304,1.1244,-26.2835,2.12,-49.556,-23.3758,3.0181,1.0862,0.8488,0.3599,0.2812,0.7814,1.3324,1.0962,1.1763,0.8227,0.8828,1.073,0.0085,6.284,0.0665,0.657,0.4726,-0.0744,-0.7178,0.4972,1.338,8.8516,2.9752,10.3139,-0.1071,3.5546,8.1849,2.8609,13.6718,-1.423,7.8139,3.6503,1.9106,7.599,0.157,0.3764,0.1712,0.4549,1.0399,1.5572,1.4974,1.0815,2.4249,2.2422,0.1242,-0.7045,-5.6714,1.6511,1.0335,0.6259,0.7544,1.3573,1.7992,0.0446,14.0944,-0.7357,-0.8801,0.9179,?,?,?,?,?,DESTRA_PANTALONI
0.0413,6.5187,2.5532,18.5595,-0.5763,-1.5006,10.3449,3.2163,15.4098,-2.448,0.15,10.0975,3.1777,19.5851,-0.4182,4.2183,11.4431,3.3828,16.8084,0.0337,-0.0275,0.2753,0.0098,-10.001,-0.3557,0.0356,0.7938,0.8035,0.7548,1.0122,0.9508,0.9394,0.6301,0.6456,0.5697,1.0245,0.904,0.8824,0.6202,1.175,-11.5677,1.8945,-18.6514,-9.8451,2.6345,0.8526,0.6769,0.3236,0.2569,0.7939,1.2044,0.9476,1.1042,0.7868,0.9168,1.1652,0.0079,6.4393,0.1135,0.4975,0.2851,-0.094,-0.6822,0.4472,1.6999,10.9679,3.3118,10.6978,-0.1413,4.454,11.5119,3.3929,14.7615,-1.3755,6.9658,2.4192,1.5554,5.7342,0.3038,0.3817,0.244,0.6394,0.9761,2.1293,2.1814,0.9527,4.5337,4.7586,0.155,-0.5295,-3.4166,1.5084,1.1381,0.7545,0.7247,1.8656,2.5743,0.0437,15.0216,-0.5902,-0.8445,0.8464,?,?,?,?,?,DESTRA_PANTALONI
1.2397,13.0546,3.6131,19.136,-0.3013,-1.9171,14.9165,3.8622,17.3414,-2.6943,0.8046,24.6734,4.9672,24.7741,-0.3108,5.4468,28.8365,5.37,25.0777,0.0141,-0.6467,1.5408,0.2276,-2.3828,-0.352,0.1477,0.9355,0.7274,0.6728,0.7775,0.7192,0.925,0.8752,0.5291,0.4527,0.6046,0.5173,0.8556,0.3503,0.7543,-12.3484,2.1533,-35.2494,-16.3702,3.1327,0.778,0.5781,0.2484,0.1845,0.743,1.1035,0.7724,0.7631,0.7,0.6915,0.9879,0.0125,8.1559,-0.1297,0.7598,0.7883,-0.0648,-0.6099,0.6887,1.9065,6.1424,2.4784,9.2926,0.0133,5.3212,15.7602,3.9699,15.7141,-1.0938,6.3888,1.524,1.2345,5.3352,0.2726,0.3583,0.2984,0.8329,0.6243,2.0076,3.2158,0.3897,4.0304,10.3412,-0.0153,0.0628,-4.1068,1.2549,1.2841,1.0233,0.5914,1.7418,2.9454,0.044,14.7934,-0.6004,-0.866,0.8059,?,?,?,?,?,DESTRA_PANTALONI
0.0739,10.219,3.1967,19.6808,-0.3204,-1.3989,11.9114,3.4513,16.8686,-6.6903,0.5928,15.2175,3.901,21.6284,-0.5722,4.437,19.9749,4.4693,20.9863,0.0213,-0.0529,0.1247,0.0167,-2.3598,-0.3153,0.1336,0.9262,0.8195,0.7153,0.8847,0.7722,0.8728,0.8579,0.6715,0.5116,0.7827,0.5963,0.7618,0.3254,0.6067,-10.4513,1.8642,-32.1159,-17.2276,6.7952,1.0835,0.6951,0.1595,0.1023,0.6415,1.1667,0.91,0.9378,0.7799,0.8038,1.0306,0.0078,6.6522,-0.5132,0.5834,0.7532,-0.3129,-0.8034,0.5992,1.5244,5.0324,2.2433,8.6495,-0.0439,2.1197,5.2949,2.3011,12.7285,-2.0268,8.7413,2.5863,1.6082,6.5183,0.3219,0.7192,0.1744,0.2425,0.9749,1.3949,1.4308,0.9504,1.9458,2.0473,0.0427,-0.1176,-2.7549,1.9703,0.862,0.4375,0.6795,1.327,1.9527,0.047,13.2177,-0.4434,-0.872,0.7778,?,?,?,?,?,DESTRA_PANTALONI
0.1746,9.4449,3.0733,20.3561,-0.3853,-1.1127,5.0099,2.2383,12.3583,-1.2027,-0.0294,6.96,2.6382,18.6423,-0.5058,4.0757,6.0731,2.4644,18.6995,0.0356,-0.1569,-5.9304,0.0428,37.8024,-0.273,-0.0072,1.373,1.1649,1.2471,0.8484,0.9083,1.0705,1.8852,1.357,1.5552,0.7198,0.8249,1.146,0.8391,0.9042,-8.1959,1.0776,-9.7677,-9.0642,2.619,1.1869,0.7578,0.4532,0.2894,0.6385,1.6472,1.0919,1.0886,0.6629,0.6609,0.9969,0.0061,6.2275,0.1396,0.6411,0.3084,0.0295,-0.3081,0.3062,5.7714,10.233,3.1989,10.3407,-0.1389,2.8082,10.0582,3.1715,10.6852,-0.2826,5.2289,7.3307,2.7075,8.4551,0.0913,2.0552,1.1037,0.537,1.0087,1.1815,1.1713,1.0174,1.3959,1.3721,0.5359,-1.4851,-2.7713,1.0898,0.9758,0.8954,0.9678,1.223,1.2638,0.0443,14.7015,-0.314,-0.6471,-0.3928,?,?,?,?,?,SINISTRA_PANTALONI
-0.2864,1.162,1.078,5.3388,-0.7239,-0.2365,0.677,0.8228,3.627,-0.7163,-0.1144,0.4205,0.6484,2.9204,-2.4488,1.3599,0.5612,0.7492,3.2068,0.0114,1.2112,2.5043,-0.2106,2.0677,-0.1739,-0.0841,1.3101,1.6624,1.4389,1.2689,1.0983,0.8655,1.7163,2.7637,2.0704,1.6102,1.2063,0.7492,1.481,1.0811,-60.5555,0.73,-40.8893,-56.0115,1.4655,3.6574,0.9547,2.4957,0.6515,0.261,1.4719,1.8281,1.6649,1.242,1.1311,0.9107,0.0021,2.0431,0.1576,0.0645,-0.1071,-0.483,0.5036,-0.4125,7.3234,0.057,0.2388,0.9076,0.8819,6.4345,0.0758,0.2753,1.0764,0.8481,-0.8175,0.3326,0.5767,1.6263,-20.8992,1.1381,-8.9579,-7.8707,0.8674,0.414,0.4773,0.7524,0.1714,0.2278,1.127,-4.3659,-3.8738,1.0839,103.4653,95.4539,0.8431,0.5581,0.6619,0.0529,14.5837,-0.9725,-0.2164,0.4352,?,?,?,?,?,SINISTRA_PANTALONI
