@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.9825,13.0679,3.6149,17.5871,-0.5585,-1.6543,14.8422,3.8526,17.7576,-1.1941,0.298,16.4058,4.0504,20.428,-0.8873,6.245,9.1062,3.0177,14.8342,0.0744,-0.5939,3.2971,0.1573,-5.5514,-0.2649,0.0477,0.9383,0.8925,1.1979,0.9512,1.2767,1.3422,0.8805,0.7965,1.435,0.9047,1.6299,1.8016,0.6521,0.6562,-5.2831,1.0063,-8.1013,-8.0509,1.3943,1.0426,0.7041,0.7477,0.505,0.6753,0.9904,0.8609,1.1856,0.8693,1.1971,1.3771,0.0068,9.7195,0.1365,0.4648,0.517,0.0819,-0.2917,0.2697,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8397,5.3514,2.3133,13.9498,-0.3984,-0.5907,6.5903,2.5672,14.5788,-1.1756,0.2468,13.2586,3.6412,18.2125,-1.114,4.4663,6.3672,2.5233,10.8919,0.0489,-1.4215,3.4018,0.188,-2.3931,-0.1323,0.0553,0.9011,0.6353,0.9168,0.705,1.0174,1.443,0.812,0.4036,0.8405,0.4971,1.035,2.0823,0.5045,0.4141,-7.0922,0.8208,-14.0573,-17.1259,1.4886,1.1579,0.871,0.7778,0.5851,0.7522,0.9569,0.7659,1.2808,0.8005,1.3385,1.6721,0.0037,6.5313,0.231,0.2869,0.3928,0.6083,-0.157,0.005,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4816,2.3625,1.537,10.9747,-0.8618,-0.8356,5.1904,2.2782,11.8046,-1.5832,0.0219,5.2929,2.3006,10.1038,-0.7097,3.3183,2.765,1.6628,7.3409,0.0711,-0.5764,21.9624,0.1451,-38.1046,-0.2518,0.0066,0.6747,0.6681,0.9244,0.9903,1.3701,1.3836,0.4552,0.4464,0.8544,0.9806,1.8772,1.9142,0.7022,1.2112,-9.0385,1.7249,-12.8721,-7.4624,1.2899,0.9975,0.7459,0.7733,0.5782,0.7478,0.9297,1.0862,1.495,1.1683,1.6081,1.3764,0.0034,4.9784,0.1391,0.0098,0.2638,0.2726,-0.3002,0.2685,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.6509,4.0113,2.0028,13.9689,-0.517,-0.2899,10.877,3.298,17.465,-1.5123,0.2996,11.0139,3.3187,13.7252,-0.5058,4.7218,4.2038,2.0503,10.8079,0.0351,-2.2456,2.1724,0.1378,-0.9674,-0.0614,0.0635,0.6073,0.6035,0.9768,0.9938,1.6086,1.6186,0.3688,0.3642,0.9542,0.9876,2.5874,2.62,0.4528,1.0326,-12.1268,2.2803,-26.7794,-11.7437,1.3246,1.0102,0.8221,0.7627,0.6207,0.8138,0.7998,1.0178,1.2925,1.2725,1.6159,1.2699,0.0027,6.9515,0.2426,-0.2147,0.1185,0.3972,-0.0297,0.2763,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2183,15.6075,3.9506,34.6428,-0.5053,-0.0384,13.1768,3.63,31.3122,-0.4052,0.5677,20.995,4.582,26.2083,-0.5161,5.2844,22.2258,4.7144,32.0398,0.0104,5.6839,-0.3845,-0.0413,-0.0677,-0.0073,0.1074,1.0883,0.8622,0.838,0.7922,0.77,0.9719,1.1845,0.7434,0.7022,0.6276,0.5929,0.9446,1.2879,1.3034,-34.7038,1.0121,-26.9466,-26.6254,1.0328,1.3313,0.7109,1.289,0.6883,0.5339,1.1064,1.3218,1.0812,1.1947,0.9773,0.818,0.0042,7.9496,0.6843,-0.1118,0.3189,-0.1751,0.3462,0.3876,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2586,21.8484,4.6742,27.1962,-2.2666,-0.7727,7.9581,2.821,20.8329,-1.0601,0.679,5.3146,2.3053,12.5648,-0.823,5.134,9.8879,3.1445,18.9177,0.029,-0.3346,0.3808,0.0504,-1.1381,-0.1505,0.1323,1.6569,2.0276,1.4865,1.2237,0.8971,0.7331,2.7454,4.111,2.2096,1.4974,0.8048,0.5375,1.7603,3.3266,-33.4588,1.8898,-19.0075,-10.0579,0.8233,1.208,0.4273,1.4673,0.5191,0.3538,1.3054,2.1645,1.4376,1.658,1.1012,0.6642,0.0074,7.4284,0.0365,0.0237,-0.3649,-0.2207,-0.295,-0.0633,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3366,4.0368,2.0092,11.0103,-0.7234,-1.2796,3.4265,1.8511,11.5111,-5.7067,-0.1361,10.153,3.1864,14.7668,-0.8698,3.9463,3.8118,1.9524,9.3045,0.0667,0.263,2.472,-0.0853,9.3984,-0.3242,-0.0345,1.0854,0.6306,1.0291,0.5809,0.9481,1.632,1.1781,0.3976,1.059,0.3375,0.8989,2.6636,0.4719,0.6728,-6.9492,1.4258,-14.7273,-10.3289,3.7221,0.8089,0.6408,0.2173,0.1722,0.7921,0.9565,0.7456,1.1833,0.7795,1.2372,1.5871,0.0092,5.7385,-0.239,0.2517,0.2088,0.0594,-0.5422,-0.045,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.7741,5.9411,2.4374,6.7598,-0.0356,-0.7157,1.0282,1.014,3.9082,-5.5392,-0.9937,1.8429,1.3575,5.1191,-4.1392,2.5652,6.879,2.6228,7.0567,0.0111,-2.4789,-1.7854,0.6916,0.7202,-0.279,-0.3874,2.4038,1.7955,0.9293,0.747,0.3866,0.5176,5.778,3.2238,0.8637,0.5579,0.1495,0.2679,0.0702,0.0564,-2.9358,0.8029,-41.8168,-52.0798,10.9216,6.5529,0.9147,0.6,0.0838,0.1396,1.7296,1.3205,0.9579,0.7634,0.5538,0.7254,0.0653,3.8983,-0.7758,-0.6453,0.97,0.8243,-0.8798,-0.7804,125000,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.5738,10.9303,3.3061,11.2168,-0.1579,-0.7542,1.5343,1.2387,4.4473,-3.2801,-0.486,2.3447,1.5312,7.1797,-1.9959,3.2137,7.7634,2.7863,9.0939,0.0854,-2.0867,-3.2381,0.4897,1.5518,-0.2347,-0.1512,2.669,2.1591,1.1866,0.8089,0.4446,0.5496,7.1238,4.6617,1.4079,0.6544,0.1976,0.302,0.4487,0.3197,-1.8011,0.7125,-4.014,-5.6333,9.3233,4.0424,0.9743,0.4336,0.1045,0.241,2.5222,1.5623,1.2334,0.6194,0.489,0.7895,0.0549,4.6507,-0.7508,-0.1984,0.9707,0.2244,-0.7528,-0.1877,125000,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.623,2.2364,1.4955,5.6074,-0.1829,-0.1359,0.4435,0.6659,3.1133,-1.5222,-0.7473,4.4015,2.098,8.1406,-0.999,2.8183,2.3497,1.5329,5.0136,0.066,-11.9382,-2.1719,0.5759,0.1819,-0.0482,-0.2652,2.2457,0.7128,0.9756,0.3174,0.4344,1.3686,5.0432,0.5081,0.9518,0.1008,0.1887,1.8732,0.4615,0.2132,-2.446,0.4618,-5.2997,-11.4752,3.8402,1.164,0.883,0.3031,0.2299,0.7586,1.8011,0.6888,1.1184,0.3824,0.621,1.6237,0.0543,4.069,-0.3331,-0.1495,0.807,0.2213,-0.2176,-0.2669,125000,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.7931,5.534,2.3525,7.7188,-0.1045,-0.4041,1.652,1.2853,5.2871,-1.4476,-1.3525,5.949,2.4391,10.2949,-1.8308,3.5118,6.0104,2.4516,7.2818,0.0494,-4.4377,-1.3257,0.5106,0.2987,-0.1151,-0.3851,1.8302,0.9645,0.9596,0.527,0.5243,0.9949,3.3498,0.9302,0.9208,0.2777,0.2749,0.9898,0.2336,0.1097,-1.9313,0.4696,-8.2673,-17.6035,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.4599,0.7498,1.06,0.5136,0.7261,1.4138,0.0692,5.352,-0.0184,-0.4899,0.9091,0.1198,-0.2168,-0.6159,125000,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.6011,2.4738,1.5728,5.0254,-0.0654,0.2911,0.3958,0.6291,2.6699,-0.8752,-1.7377,5.5481,2.3554,7.3008,-7.3252,2.8075,6.2034,2.4907,6.7965,0.0249,5.5008,-0.9214,0.5703,-0.1675,0.1037,-0.6189,2.5001,0.6677,0.6315,0.2671,0.2526,0.9457,6.2507,0.4459,0.3988,0.0713,0.0638,0.8944,0.2476,0.048,-1.7757,0.194,-7.1704,-36.9644,3.3128,5.3786,0.6767,1.6236,0.2043,0.1258,1.8822,0.6883,0.7394,0.3657,0.3928,1.0742,0.0721,4.1356,0.6314,-0.703,0.8491,-0.1284,0.2739,-0.9565,125000,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
