@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
2.2234,8.7989,2.9663,11.2428,-0.0003,3.7496,7.1503,2.674,13.4362,-0.8792,2.2234,8.7989,2.9663,11.2428,-0.0003,6.3341,8.5738,2.9281,12.8716,0.2469,0.593,1,0.351,1.6864,0.592,0.351,1.1093,1,1.013,0.9015,0.9132,1.013,1.2306,1,1.0262,0.8126,0.834,1.0262,0.0006,1,-0.0009,1679.84,-1.4894,-0.0009,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.8368,1,0.8735,1.1951,1.0439,0.8735,0.0245,8.9056,-0.8597,1,0.9788,-0.8597,-0.8634,0.9788,2.0565,7.0378,2.6529,8.1396,0.0413,4.1245,5.2938,2.3008,11.7479,-0.8228,7.7899,1.9788,1.4067,4.2988,0.5179,0.4986,0.264,0.5295,1.153,1.8859,1.6356,1.3294,3.5566,2.6753,-0.0662,0.076,-1.1483,1.3174,0.9522,0.7228,0.6929,1.8935,2.7329,0.0453,14.4339,-0.5573,-0.971,0.3961,-0.1051,0.5414,0.7358,3.7742,-1.3497,-0.2691,0.8751,0.9354,5.681,-1.2208,0.7333,2.0301,1.4248,5.423,-0.045,0.3905,-0.1433,-0.3669,0.7865,0.5164,0.6565,0.6187,0.2667,0.431,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0039,1.8103,-0.6202,-0.4874,0.0037,TASCA_DESTRA_DAVANTI_PANTALONI
3.3931,18.7375,4.3287,18.5681,-0.0936,2.5868,26.1763,5.1163,16.809,-0.987,3.3931,18.7375,4.3287,18.5681,-0.0936,8.2667,25.0308,5.0031,24.2886,0.0218,1.3117,1,0.4105,0.7624,0.3129,0.4105,0.8461,1,0.8652,1.1819,1.0226,0.8652,0.7158,1,0.7486,1.397,1.0458,0.7486,0.1903,1,-2.941,5.255,-15.4551,-2.941,2.0071,1,0.6839,0.4982,0.3407,0.6839,1.1047,1,0.7645,0.9053,0.6921,0.7645,0.0287,12.4043,-0.8095,1,0.9577,-0.8095,-0.6985,0.9577,2.7678,7.3237,2.7062,9.1444,-0.0824,3.5457,20.2551,4.5006,14.0697,-1.2033,6.7933,2.1972,1.4823,4.3333,0.4528,0.7806,0.4074,0.5219,0.6013,1.8257,3.0362,0.3616,3.3332,9.2186,0.0906,-0.1941,-2.1433,1.323,1.0669,0.8064,0.6499,2.1103,3.2469,0.0429,15.2,-0.7171,-0.8282,0.9586,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.056,15.5618,3.9448,12.6605,0.0294,3.0453,2.597,1.6115,6.7995,-0.4143,3.056,15.5618,3.9448,12.6605,0.0294,6.4474,20.1041,4.4838,15.3755,0.1665,1.0035,1,0.474,0.9965,0.4723,0.474,2.4479,1,0.8798,0.4085,0.3594,0.8798,5.9922,1,0.7741,0.1669,0.1292,0.7741,-0.1923,1,0.1247,-5.2,-0.6486,0.1247,2.7131,1,0.7071,0.3686,0.2606,0.7071,1.862,1,0.8234,0.5371,0.4422,0.8234,0.0302,9.3214,-0.9239,1,0.9918,-0.9239,-0.8917,0.9918,1.603,2.7181,1.6487,6.502,0.1058,3.636,0.4704,0.6858,2.8457,0.3172,8.2164,1.0171,1.0085,3.9492,0.5611,0.4409,0.1951,0.4425,2.4039,1.6348,0.68,5.7787,2.6724,0.4625,0.582,0.1524,0.2619,1.7446,0.8081,0.4632,2.2848,1.6464,0.7206,0.0522,13.4553,-0.986,-0.9608,0.9853,0.3259,0.3646,0.6039,1.9719,-0.1055,-0.7146,1.7226,1.3125,5.0238,-79.6275,0.5146,1.006,1.003,2.9175,-0.0315,-0.456,0.6332,-1.3887,0.4601,0.6021,1.3086,0.2117,0.3625,1.7124,0.0379,2.1096,55.6301,28.6275,0.6307,0.022,0.3925,0.6759,1.7219,0.0054,1.6341,-0.7837,0.9724,-0.6863,TASCA_DESTRA_DAVANTI_PANTALONI
-7.5097,0.0248,0.1575,7.985,?,4.9949,0.0444,0.2108,0.9397,0.8299,-7.5097,0.0248,0.1575,7.985,?,11.7391,0.0282,0.1681,0.9462,0.9236,-1.5035,1,-0.6397,-0.6651,0.4255,-0.6397,0.7473,1,0.9371,1.3382,1.2541,0.9371,0.5584,1,0.8782,1.7908,1.5727,0.8782,-1.7421,1,-0.6982,-0.574,0.4008,-0.6982,0,1,0,0,0.446,0,8.497,1,8.4389,0.1177,0.9932,8.4389,0.0587,20.0143,0.5646,1.0005,-0.8956,0.5646,-0.1386,-0.8956,-7.8605,0.0112,0.1057,7.992,?,5.1728,0.0258,0.1607,0.4772,0.9127,2.7664,0.0013,0.0364,0.2028,0.9293,-1.5196,-2.8414,1.8699,0.6574,2.9061,4.4207,0.4322,8.4453,19.5423,-1.6024,-2.9971,1.8704,0,0,1.9045,16.7475,39.403,2.3528,0.049,15.7997,0.9936,-0.0328,-0.1524,0.0074,0.0066,0.0813,0.3635,-2.0447,0.0513,0.0024,0.049,0.2601,-0.2139,0.031,0.0011,0.0339,0.2388,-0.4641,0.1436,0.2379,1.6566,1.6586,2.3988,1.4463,2.7508,5.7542,2.0918,5.3255,3.2253,0.6056,0.5572,0.732,1.3137,1.3975,1.5223,1.0893,0.0003,0.1547,-0.6231,-0.2238,0.1342,TASCA_DESTRA_DAVANTI_PANTALONI
-6.5191,0.016,0.1266,6.8903,?,6.1009,0.0144,0.12,0.6573,0.8973,-6.5191,0.016,0.1266,6.8903,?,11.0563,0.024,0.1551,0.8121,0.9294,-1.0685,1,-0.5896,-0.9359,0.5518,-0.5896,1.0548,1,0.8163,0.9481,0.7739,0.8163,1.1126,1,0.6663,0.8988,0.5989,0.6663,-1.1993,1,-0.6447,-0.8338,0.5376,-0.6447,0,1,0,0,0.5568,0,10.483,1,8.4846,0.0954,0.8094,8.4846,0.0553,19.1391,0.1323,1.0015,-0.9067,0.1323,0.2997,-0.9067,-6.8497,0.0022,0.047,6.9048,?,6.2581,0.0056,0.0746,0.2459,0.9615,3.1849,0.0026,0.0506,0.1883,0.9432,-1.0945,-2.1507,1.9649,0.6304,0.9297,1.4748,0.3974,0.8643,2.1751,-1.1254,-2.2095,1.9634,0,0,1.926,28.0755,36.6678,1.306,0.049,16.2927,0.9818,-0.8498,-0.935,0.0232,0.0001,0.0088,0.0416,0.025,0.0434,0.0001,0.0115,0.0629,0.2237,0.0104,0.0001,0.0078,0.0394,-0.2759,0.5348,2.24,4.1882,0.7717,1.1265,1.4598,0.5955,1.2689,2.131,0.0588,-0.125,-2.125,0.5263,1.3793,2.6207,0.661,1.054,1.5946,0.0003,0.0776,-0.376,-0.1504,0.115,TASCA_DESTRA_DAVANTI_PANTALONI
3.8547,29.3322,5.4159,19.6642,-0.2275,2.7227,19.6841,4.4367,14.9392,-1.053,3.8547,29.3322,5.4159,19.6642,-0.2275,9.278,29.3968,5.4219,19.3158,0.151,1.4157,1,0.4155,0.7063,0.2935,0.4155,1.2207,1,0.9989,0.8192,0.8183,0.9989,1.4901,1,0.9978,0.6711,0.6696,0.9978,0.4756,1,-1.0608,2.1026,-2.2305,-1.0608,2.2015,1,0.7041,0.4542,0.3198,0.7041,1.3163,1,1.018,0.7597,0.7734,1.018,0.0309,13.1305,-0.8732,1,0.9495,-0.8732,-0.7641,0.9495,3.1569,15.9992,3.9999,10.1393,-0.0392,3.6566,17.2395,4.152,12.7852,-0.8564,5.5819,8.4384,2.9049,8.3681,-0.0194,0.8634,0.5656,0.6551,0.9634,1.377,1.4293,0.9281,1.896,2.043,0.0649,2.3976,36.946,1.4166,1.1886,0.839,0.793,1.2117,1.5279,0.0375,14.2254,-0.8801,-0.896,0.9365,-0.2268,0.6154,0.7845,5.3096,-3.4437,-0.595,2.2217,1.4905,7.5804,-0.9675,0.6223,1.3055,1.1426,4.4679,-0.3727,0.3812,-0.3645,-0.9561,0.5263,0.6866,1.3045,0.277,0.4714,1.7018,1.1039,3.3921,3.073,0.3101,0.3671,1.1837,0.7004,1.1884,1.6966,0.0045,2.2504,-0.5234,0.4225,-0.357,TASCA_DESTRA_DAVANTI_PANTALONI
-8.3489,0.0143,0.1195,8.6164,?,4.1386,0.0166,0.129,0.7029,0.842,-8.3489,0.0143,0.1195,8.6164,?,12.5122,0.0265,0.1628,0.8049,0.9378,-2.0173,1,-0.6673,-0.4957,0.3308,-0.6673,0.9263,1,0.7342,1.0795,0.7926,0.7342,0.8581,1,0.539,1.1654,0.6281,0.539,-2.2999,1,-0.7097,-0.4348,0.3086,-0.7097,0,1,0,0,0.3437,0,12.2577,1,10.7053,0.0816,0.8734,10.7053,0.0626,20.8364,0.0537,0.9971,-0.9649,0.0537,0.211,-0.9649,-8.5483,0.0005,0.0235,8.5766,?,4.3455,0.0069,0.083,0.2492,0.9445,2.0654,0.0065,0.0809,0.234,0.8916,-1.9672,-4.1387,2.1039,0.2827,0.29,1.0259,0.0799,0.0841,1.0525,-2.0202,-4.4547,2.2051,0,0,2.0816,34.412,36.6577,1.0653,0.049,14.9592,0.9805,-0.9576,-0.9869,-0.0191,0.0001,0.0104,0.049,-14.3342,0.0242,0.0003,0.0174,0.0789,-0.1385,0.003,0.0003,0.0182,0.0735,-0.5,-0.788,-6.4104,8.1349,0.5983,0.5724,0.9567,0.358,0.3276,0.9153,4.7775,1.8696,0.3913,0.0462,0.0652,1.413,0.6216,0.6667,1.0725,0.0002,0.058,-0.1624,0.3831,0.2823,TASCA_DESTRA_DAVANTI_PANTALONI
5.7672,3.2005,1.789,7.3139,0.3788,1.3031,1.1584,1.0763,4.0196,-0.6621,5.7672,3.2005,1.789,7.3139,0.3788,8.3548,5.9763,2.4447,10.1843,0.3924,4.4257,1,0.6903,0.226,0.156,0.6903,1.6622,1,0.7318,0.6016,0.4403,0.7318,2.7628,1,0.5355,0.362,0.1938,0.5355,-2.7854,1,0.6781,-0.359,-0.2434,0.6781,4.8685,1,0.7024,0.2054,0.1443,0.7024,1.8196,1,0.7182,0.5496,0.3947,0.7182,0.0411,13.0939,-0.7555,1,0.9993,-0.7555,-0.7373,0.9993,5.472,2.7057,1.6449,5.0212,0.4667,1.3261,1.0984,1.048,3.4147,-0.7658,7.6136,2.761,1.6616,5.8223,0.321,4.1265,0.7187,0.1742,1.5695,0.9899,0.6307,2.4633,0.98,0.3978,-2.9668,1.5959,-0.5379,4.8684,1.0979,0.2255,1.4705,0.8624,0.5865,0.0471,14.7138,-0.9614,-0.9865,0.9709,0.1252,0.5247,0.7244,3.9682,-0.2506,-0.3927,0.4741,0.6885,2.4078,-14.3674,0.1591,0.1298,0.3603,2.0752,-0.5247,-0.3189,0.7869,-2.4678,1.0521,2.0103,1.9108,1.1069,4.0414,3.651,0.3532,1.1134,3.1522,20.2517,2.3312,0.1151,1.6481,1.9122,1.1602,0.0022,0.9835,-0.1284,-0.3419,-0.5041,TASCA_DESTRA_DAVANTI_PANTALONI
1.0469,8.5562,2.9251,13.1009,-0.1438,1.8092,4.297,2.0729,11.9675,-0.643,1.0469,8.5562,2.9251,13.1009,-0.1438,3.9198,11.5096,3.3926,16.4081,0.0119,0.5786,1,0.2671,1.7282,0.4616,0.2671,1.4111,1,0.8622,0.7087,0.611,0.8622,1.9912,1,0.7434,0.5022,0.3733,0.7434,0.3516,1,-8.3419,2.8445,-23.7281,-8.3419,1.5726,1,0.6898,0.6359,0.4386,0.6898,1.0947,1,0.7984,0.9135,0.7294,0.7984,0.0116,5.5394,-0.842,1,0.926,-0.842,-0.6453,0.926,0.5594,7.2603,2.6945,9.7173,-0.1981,1.9584,3.4269,1.8512,8.0055,-0.9215,8.9442,1.4009,1.1836,5.7642,0.4075,0.2856,0.0625,0.219,1.4556,2.2766,1.564,2.1186,5.1827,2.4462,0.4185,-0.4053,-0.9686,1.9468,0.8338,0.4283,1.2138,1.6858,1.3888,0.0456,13.319,-0.962,-0.8656,0.8926,-0.1895,0.9033,0.9504,5.7545,-2.0572,-0.6527,1.5452,1.2431,6.3386,-2.5231,0.0844,0.6182,0.7863,3.9053,-0.7202,0.2903,-2.2455,-7.7351,0.7646,1.2088,1.581,0.5846,1.4611,2.4995,0.853,2.3683,2.7764,1.0462,0.8291,0.7925,0.9079,1.4735,1.6231,0.0034,1.755,0.2732,-0.0181,-0.5225,TASCA_DESTRA_DAVANTI_PANTALONI
2.8004,42.3808,6.5101,27.4647,-0.418,3.7427,6.6027,2.5696,11.5329,-0.3597,2.8004,42.3808,6.5101,27.4647,-0.418,9.0671,38.8434,6.2324,25.4764,0.0736,0.7482,1,0.3088,1.3365,0.4128,0.3088,2.5335,1,1.0445,0.3947,0.4123,1.0445,6.4187,1,1.0911,0.1558,0.17,1.0911,2.6535,1,-4.0009,0.3769,-1.5078,-4.0009,2.2836,1,0.7043,0.4379,0.3084,0.7043,2.3814,1,1.078,0.4199,0.4527,1.078,0.0279,13.5181,-0.5997,1,0.8381,-0.5997,-0.4467,0.8381,2.1107,17.7832,4.217,10.4764,-0.0749,3.9972,4.8937,2.2122,7.5196,-0.2418,6.7643,7.2979,2.7015,7.55,0.1083,0.528,0.312,0.5909,1.9063,1.561,0.8189,3.6339,2.4368,0.6706,0.4988,-0.7963,-1.5965,1.6094,1.1511,0.7152,1.3932,1.3876,0.996,0.0417,13.9852,-0.8185,-0.99,0.8481,0.406,0.8407,0.9169,4.7243,-0.4212,-0.4822,1.864,1.3653,7.4416,-1.8142,0.577,1.5586,1.2484,5.002,-0.2291,-0.8421,0.7037,-0.8356,0.6716,0.7344,1.0936,0.451,0.5394,1.196,0.2919,1.5016,5.1449,1.2571,0.8168,0.6498,0.6349,0.9445,1.4877,0.0044,1.8744,-0.5497,0.8603,-0.5533,TASCA_DESTRA_DAVANTI_PANTALONI
