@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.1613,5.0062,2.2375,16.6007,-3.5535,3.5339,12.9975,3.6052,17.2915,-0.6958,10.0852,15.31,3.9128,17.9625,0.0281,11.5074,15.1191,3.8883,16.9947,0.1597,-0.0456,-0.016,-0.014,0.3504,0.3071,0.8764,0.6206,0.5718,0.5754,0.9214,0.9272,1.0063,0.3852,0.327,0.3311,0.849,0.8597,1.0126,1.8259,-24.9064,-4.0125,-13.6403,-2.1975,0.1611,0.3575,0.1972,0.1803,0.5517,0.5042,0.9139,0.96,0.9242,0.9768,0.9626,1.0175,1.057,0.0534,16.2463,-0.0694,0.221,0.0672,-0.0432,0.142,0.9435,-0.1075,0.5263,0.7255,4.8049,-1.8897,-0.5847,1.2753,1.1293,6.5358,-5.1137,0.4865,1.4342,1.1976,4.8432,-0.2338,0.1839,-0.221,-1.2019,0.6424,0.6058,0.943,0.4127,0.367,0.8892,0.5748,3.4239,5.957,1.5553,0.4236,0.2723,0.7352,0.9921,1.3495,0.0038,2.0676,0.3367,-0.3288,-0.3814,DESTRA_PANTALONI
-0.0887,4.0814,2.0202,10.3157,-1.5551,1.4036,8.7923,2.9652,13.7251,-1.4506,10.0231,17.8416,4.2239,18.6688,0.1625,10.6915,18.8485,4.3415,18.9583,0.2122,-0.0632,-0.0088,-0.0083,0.14,0.1313,0.9375,0.6813,0.4783,0.4653,0.702,0.683,0.9729,0.4642,0.2288,0.2165,0.4928,0.4665,0.9466,0.7728,-1.7335,-1.2298,-2.2432,-1.5914,0.7094,0.7208,0.1811,0.1678,0.2513,0.2328,0.9263,0.7516,0.5526,0.5441,0.7352,0.724,0.9847,0.0506,14.3682,0.1099,-0.2572,-0.3007,-0.3859,-0.393,0.9948,-0.1517,0.4711,0.6864,3.4896,-1.1287,-0.4921,0.8131,0.9017,4.4776,-3.0317,0.5947,1.0002,1.0001,3.6058,-0.2618,0.3082,-0.255,-0.8275,0.7612,0.6863,0.9016,0.5794,0.471,0.8129,0.5495,2.4729,4.5,1.476,0.5737,0.3887,0.7793,0.9678,1.2418,0.0039,2.0575,0.3951,-0.4656,-0.4463,DESTRA_PANTALONI
-0.0105,2.347,1.532,8.2915,-0.4418,4.7246,3.1352,1.7707,9.0894,-0.0056,10.0835,14.5035,3.8083,17.5139,0.1086,11.4134,13.719,3.7039,14.573,0.2672,-0.0022,-0.001,-0.0009,0.4685,0.414,0.8835,0.8652,0.4023,0.4136,0.4649,0.4781,1.0282,0.7486,0.1618,0.1711,0.2162,0.2285,1.0572,50.291,-1.1906,-0.4781,-0.0237,-0.0095,0.4015,0.6362,0.2927,0.2892,0.46,0.4545,0.988,0.9122,0.4734,0.569,0.519,0.6237,1.2018,0.0557,16.0537,-0.0831,0.4093,0.3845,0.2411,0.3944,0.9838,0.0131,0.6978,0.8354,5.293,-1.2874,-0.3969,0.676,0.8222,4.3242,-3.0168,-0.0085,0.5769,0.7595,3.9223,-0.8281,-0.033,-1.5339,46.4601,1.0161,1.0999,1.0825,1.0324,1.2097,1.1718,0.9173,1.6767,1.8278,2.1495,1.0785,0.5017,1.2241,1.3495,1.1024,0.002,1.826,0.0235,0.181,-0.3367,DESTRA_PANTALONI
-0.2398,3.0013,1.7324,10.9248,-0.8797,2.391,3.077,1.7541,10.3861,-0.3635,10.094,19.1813,4.3797,18.6735,0.1252,10.6842,18.7719,4.3327,19.5533,0.1459,-0.1003,-0.0238,-0.0224,0.2369,0.2238,0.9448,0.9876,0.3956,0.3999,0.4005,0.4049,1.0108,0.9754,0.1565,0.1599,0.1604,0.1639,1.0218,1.8463,-1.9124,-1.5312,-1.0358,-0.8293,0.8007,0.763,0.2723,0.2539,0.3568,0.3327,0.9325,1.0519,0.585,0.5587,0.5562,0.5312,0.955,0.0519,13.9657,-0.3479,-0.0631,-0.0817,0.0463,0.1334,0.9938,0.1467,0.9293,0.964,6.5848,-0.5499,-0.2653,0.7795,0.8829,4.8859,-1.9366,-0.152,0.2892,0.5378,2.9503,-1.183,-0.5531,-0.9654,1.7455,1.0919,1.7926,1.6418,1.1922,3.2135,2.6953,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0017,1.7815,-0.2222,-0.1816,0.1736,DESTRA_PANTALONI
0.1228,1.246,1.1163,7.6412,-1.2652,0.8076,13.0303,3.6098,19.337,-1.1628,10.2771,18.1697,4.2626,15.9011,0.1304,11.041,16.8281,4.1022,14.4546,0.2382,0.152,0.0119,0.0111,0.0786,0.0731,0.9308,0.3092,0.2619,0.2721,0.8468,0.88,1.0391,0.0956,0.0686,0.074,0.7171,0.7743,1.0797,0.4105,-1.7892,-0.9444,-4.3583,-2.3004,0.5278,0.3773,0.1845,0.1778,0.4889,0.4712,0.9638,0.3952,0.4805,0.5286,1.2161,1.3378,1.1001,0.0515,14.001,0.4142,-0.0937,-0.1438,0.0941,-0.0462,0.959,-0.2074,0.4811,0.6936,3.4363,-1.6513,-0.2711,0.7278,0.8531,4.937,-2.4337,0.5759,1.9079,1.3813,4.9743,-0.138,0.7651,-0.3602,-0.4708,0.813,0.5022,0.6176,0.661,0.2522,0.3815,0.6116,3.5477,5.8003,0.9014,0.2965,0.3289,0.696,0.6908,0.9925,0.0033,1.949,0.4754,-0.6355,-0.4954,DESTRA_PANTALONI
0.4353,2.8422,1.6859,10.1308,-0.9189,1.9812,3.4772,1.8647,12.126,-0.6901,9.9824,18.8705,4.344,17.3381,0.1684,10.511,18.4737,4.2981,17.9279,0.1841,0.2197,0.0436,0.0414,0.1985,0.1885,0.9497,0.9041,0.3881,0.3922,0.4293,0.4339,1.0107,0.8174,0.1506,0.1539,0.1843,0.1882,1.0215,0.9798,-1.3815,-1.1996,-1.41,-1.2244,0.8684,0.7359,0.2532,0.2403,0.3441,0.3265,0.9489,0.8355,0.5843,0.5651,0.6994,0.6764,0.9671,0.0509,13.5725,0.0912,-0.1726,-0.1739,-0.264,-0.224,0.9958,-0.206,0.4222,0.6498,2.9385,-1.7625,-0.4066,0.9691,0.9844,4.5128,-1.7193,0.5557,0.9323,0.9655,4.0897,-0.3314,0.5067,-0.3707,-0.7317,0.6601,0.673,1.0196,0.4357,0.4529,1.0396,0.6571,1.8419,2.8031,0.641,0.3463,0.5402,0.6512,0.7185,1.1035,0.0036,2.0119,0.5916,-0.1293,-0.3652,DESTRA_PANTALONI
0.035,5.0973,2.2577,14.5927,-0.9947,0.035,27.1608,5.2116,28.6288,-1.4986,9.5195,26.51,5.1488,25.2332,-0.0528,10.7891,32.9869,5.7434,25.8456,0.0407,0.9995,0.0037,0.0032,0.0037,0.0032,0.8823,0.4332,0.4385,0.3931,1.0122,0.9074,0.8965,0.1877,0.1923,0.1545,1.0246,0.8234,0.8037,0.4238,5.7502,-6.6431,13.5682,-15.675,-1.1553,0.6385,0.3052,0.2715,0.4781,0.4253,0.8896,0.5097,0.5783,0.5646,1.1346,1.1077,0.9763,0.0246,14.8517,0.1052,-0.2944,-0.2194,-0.4183,-0.5303,0.9626,-0.1445,1.2074,1.0988,6.7387,-2.1679,-0.5723,1.3758,1.1729,5.8266,-2.9372,0.9094,2.3466,1.5319,6.3927,-0.1289,0.2526,-0.1589,-0.6293,0.9368,0.7173,0.7657,0.8776,0.5145,0.5863,1.0609,6.3179,5.955,1.4374,0.3756,0.2613,1.1566,1.0541,0.9114,0.0028,2.6318,0.3744,-0.5605,-0.3831,DESTRA_PANTALONI
0.0831,3.5059,1.8724,10.2397,-1.0346,0.544,16.5595,4.0693,25.7876,-1.7239,9.3652,11.6683,3.4159,16.5243,0.0352,10.3172,13.2994,3.6468,16.8646,0.1623,0.1527,0.0089,0.0081,0.0581,0.0527,0.9077,0.4601,0.5481,0.5134,1.1913,1.1159,0.9367,0.2117,0.3005,0.2636,1.4192,1.2451,0.8774,0.319,-8.6479,-1.5939,-27.1055,-4.9957,0.1843,0.5316,0.2939,0.25,0.5528,0.4703,0.8507,0.3971,0.6197,0.6072,1.5606,1.5291,0.9798,0.025,13.9035,0.3829,0.179,0.0742,-0.2769,-0.4604,0.9217,-0.1337,1.0229,1.0114,6.4514,-2.9258,-0.6166,0.9014,0.9494,5.849,-3.8697,0.7266,3.3559,1.8319,7.3882,-0.1831,0.2168,-0.1839,-0.8485,1.0653,0.5521,0.5183,1.1348,0.3048,0.2686,1.0345,4.2055,4.0654,1.3682,0.2632,0.1923,1.103,0.8732,0.7917,0.0026,2.488,0.4071,-0.2496,-0.3618,DESTRA_PANTALONI
-0.1476,5.4914,2.3434,17.4073,-0.9506,-0.2859,26.2984,5.1282,28.208,-1.9744,9.7104,26.6017,5.1577,26.7922,-0.0989,11.0559,30.5537,5.5275,26.8429,0.0473,0.5162,-0.0152,-0.0134,-0.0294,-0.0259,0.8783,0.457,0.4543,0.4239,0.9943,0.9278,0.9331,0.2088,0.2064,0.1797,0.9886,0.8607,0.8707,0.4531,3.5189,-6.3711,7.7672,-14.0627,-1.8105,0.941,0.366,0.3168,0.389,0.3366,0.8654,0.6171,0.6497,0.6485,1.0528,1.0509,0.9981,0.0255,15.0614,0.3521,-0.3384,-0.2604,-0.3873,-0.5554,0.9373,-0.1407,1.3146,1.1466,6.8413,-2.0579,-0.5343,1.4371,1.1988,6.6074,-1.9227,1.0019,2.0668,1.4376,5.5424,-0.1383,0.2633,-0.1404,-0.5332,0.9564,0.7975,0.8339,0.9148,0.6361,0.6953,1.0592,6.838,6.4557,0.9896,0.4595,0.4643,1.0354,1.2343,1.1921,0.003,2.7326,0.1687,-0.5116,-0.2371,DESTRA_PANTALONI
0.5684,1.8353,1.3547,7.944,-0.9577,-0.2862,4.8955,2.2126,10.0672,-2.9788,9.5695,5.6543,2.3779,12.3355,0.2425,9.9159,6.0387,2.4574,11.9261,0.2999,-1.9858,0.0594,0.0573,-0.0299,-0.0289,0.9651,0.6123,0.5697,0.5513,0.9305,0.9004,0.9677,0.3749,0.3246,0.3039,0.8658,0.8107,0.9363,0.5156,-0.984,-0.7608,-1.9083,-1.4756,0.7732,1.6037,0.2492,0.2382,0.1554,0.1485,0.956,0.7891,0.644,0.6661,0.8161,0.8441,1.0343,0.0551,12.2908,0.0584,-0.6925,-0.5927,-0.2329,-0.3996,0.9726,0.0176,0.3357,0.5794,2.9932,-1.0332,-0.939,1.9478,1.3956,6.0891,-12.3979,-0.1823,1.7909,1.3382,5.2559,-0.4529,-0.0187,-0.0966,5.152,0.4152,0.433,1.0429,0.1723,0.1874,1.0876,0.2699,0.9284,3.4392,3.2392,0.407,0.1256,0.4916,0.5695,1.1585,0.0055,2.4584,-0.443,-0.0122,-0.6669,DESTRA_PANTALONI
