@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.1613,5.0062,2.2375,16.6007,-3.5535,3.5339,12.9975,3.6052,17.2915,-0.6958,10.0852,15.31,3.9128,17.9625,0.0281,11.5074,15.1191,3.8883,16.9947,0.1597,-0.0456,-0.016,-0.014,0.3504,0.3071,0.8764,0.6206,0.5718,0.5754,0.9214,0.9272,1.0063,0.3852,0.327,0.3311,0.849,0.8597,1.0126,1.8259,-24.9064,-4.0125,-13.6403,-2.1975,0.1611,0.3575,0.1972,0.1803,0.5517,0.5042,0.9139,0.96,0.9242,0.9768,0.9626,1.0175,1.057,0.0534,16.2463,-0.0694,0.221,0.0672,-0.0432,0.142,0.9435,?,?,?,?,?,1109.3068,157164.8125,396.4402,1398.83,0.1041,PANTALONI
-0.0887,4.0814,2.0202,10.3157,-1.5551,1.4036,8.7923,2.9652,13.7251,-1.4506,10.0231,17.8416,4.2239,18.6688,0.1625,10.6915,18.8485,4.3415,18.9583,0.2122,-0.0632,-0.0088,-0.0083,0.14,0.1313,0.9375,0.6813,0.4783,0.4653,0.702,0.683,0.9729,0.4642,0.2288,0.2165,0.4928,0.4665,0.9466,0.7728,-1.7335,-1.2298,-2.2432,-1.5914,0.7094,0.7208,0.1811,0.1678,0.2513,0.2328,0.9263,0.7516,0.5526,0.5441,0.7352,0.724,0.9847,0.0506,14.3682,0.1099,-0.2572,-0.3007,-0.3859,-0.393,0.9948,?,?,?,?,?,1548.1969,214519.5781,463.1626,2204.1101,0.127,PANTALONI
-0.0105,2.347,1.532,8.2915,-0.4418,4.7246,3.1352,1.7707,9.0894,-0.0056,10.0835,14.5035,3.8083,17.5139,0.1086,11.4134,13.719,3.7039,14.573,0.2672,-0.0022,-0.001,-0.0009,0.4685,0.414,0.8835,0.8652,0.4023,0.4136,0.4649,0.4781,1.0282,0.7486,0.1618,0.1711,0.2162,0.2285,1.0572,50.291,-1.1906,-0.4781,-0.0237,-0.0095,0.4015,0.6362,0.2927,0.2892,0.46,0.4545,0.988,0.9122,0.4734,0.569,0.519,0.6237,1.2018,0.0557,16.0537,-0.0831,0.4093,0.3845,0.2411,0.3944,0.9838,?,?,?,?,?,1139.7404,199451.2188,446.5996,1548.9763,0.0422,PANTALONI
-0.2398,3.0013,1.7324,10.9248,-0.8797,2.391,3.077,1.7541,10.3861,-0.3635,10.094,19.1813,4.3797,18.6735,0.1252,10.6842,18.7719,4.3327,19.5533,0.1459,-0.1003,-0.0238,-0.0224,0.2369,0.2238,0.9448,0.9876,0.3956,0.3999,0.4005,0.4049,1.0108,0.9754,0.1565,0.1599,0.1604,0.1639,1.0218,1.8463,-1.9124,-1.5312,-1.0358,-0.8293,0.8007,0.763,0.2723,0.2539,0.3568,0.3327,0.9325,1.0519,0.585,0.5587,0.5562,0.5312,0.955,0.0519,13.9657,-0.3479,-0.0631,-0.0817,0.0463,0.1334,0.9938,?,?,?,?,?,482.5362,45134.4883,212.4488,682.5323,0.0069,PANTALONI
0.1228,1.246,1.1163,7.6412,-1.2652,0.8076,13.0303,3.6098,19.337,-1.1628,10.2771,18.1697,4.2626,15.9011,0.1304,11.041,16.8281,4.1022,14.4546,0.2382,0.152,0.0119,0.0111,0.0786,0.0731,0.9308,0.3092,0.2619,0.2721,0.8468,0.88,1.0391,0.0956,0.0686,0.074,0.7171,0.7743,1.0797,0.4105,-1.7892,-0.9444,-4.3583,-2.3004,0.5278,0.3773,0.1845,0.1778,0.4889,0.4712,0.9638,0.3952,0.4805,0.5286,1.2161,1.3378,1.1001,0.0515,14.001,0.4142,-0.0937,-0.1438,0.0941,-0.0462,0.959,?,?,?,?,?,1798.5468,231986.125,481.6494,1917.0475,0.1053,PANTALONI
0.4353,2.8422,1.6859,10.1308,-0.9189,1.9812,3.4772,1.8647,12.126,-0.6901,9.9824,18.8705,4.344,17.3381,0.1684,10.511,18.4737,4.2981,17.9279,0.1841,0.2197,0.0436,0.0414,0.1985,0.1885,0.9497,0.9041,0.3881,0.3922,0.4293,0.4339,1.0107,0.8174,0.1506,0.1539,0.1843,0.1882,1.0215,0.9798,-1.3815,-1.1996,-1.41,-1.2244,0.8684,0.7359,0.2532,0.2403,0.3441,0.3265,0.9489,0.8355,0.5843,0.5651,0.6994,0.6764,0.9671,0.0509,13.5725,0.0912,-0.1726,-0.1739,-0.264,-0.224,0.9958,?,?,?,?,?,840.0075,212810.7188,461.3141,1290.1682,0.0032,PANTALONI
0.0364,4.9678,2.2288,14.5927,-0.9947,0.0357,27.1074,5.2065,28.6288,-1.4986,9.5031,26.768,5.1738,25.1426,-0.049,10.7643,33.2842,5.7693,25.8456,0.0407,1.0193,0.0038,0.0034,0.0038,0.0033,0.8828,0.4281,0.4308,0.3863,1.0063,0.9025,0.8968,0.1833,0.1856,0.1493,1.0127,0.8144,0.8042,0.4238,6.1934,-6.6431,14.614,-15.675,-1.0726,0.6385,0.3052,0.2715,0.4781,0.4253,0.8896,0.5097,0.5804,0.5646,1.1387,1.1077,0.9728,0.049,14.8295,0.0963,-0.3053,-0.2292,-0.4108,-0.5178,0.9629,?,?,?,?,?,333.634,18081.5273,134.4676,350,0.3997,PANTALONI
0.0824,3.6826,1.919,10.2119,-1.0291,0.5178,16.3411,4.0424,22.5347,-2.6263,9.3766,11.7967,3.4346,16.5243,0.0352,10.3306,13.2943,3.6461,16.6116,0.1748,0.1591,0.0088,0.008,0.0552,0.0501,0.9077,0.4747,0.5587,0.5263,1.177,1.1087,0.942,0.2254,0.3122,0.277,1.3852,1.2292,0.8873,0.3173,-8.6018,-1.4714,-27.1055,-4.6366,0.1711,0.8099,0.2939,0.25,0.3628,0.3087,0.8507,0.4532,0.618,0.6147,1.3637,1.3566,0.9947,0.05,13.92,0.3783,0.1878,0.0741,-0.29,-0.4849,0.9222,?,?,?,?,?,245.7926,30004.25,173.2173,497,0.1906,PANTALONI
-0.2212,5.5851,2.3633,17.3252,-0.9594,-0.3991,26.3993,5.138,26.5361,-1.9415,9.6104,27.4142,5.2359,26.7922,-0.0989,11.0158,30.6194,5.5335,26.8429,0.0473,0.5544,-0.023,-0.0201,-0.0415,-0.0362,0.8724,0.46,0.4514,0.4271,0.9813,0.9285,0.9462,0.2116,0.2037,0.1824,0.963,0.8622,0.8953,0.4843,3.5189,-6.3711,7.2655,-13.1544,-1.8105,0.9801,0.3627,0.3138,0.37,0.3202,0.8654,0.6529,0.6467,0.6454,0.9904,0.9886,0.9981,0.0504,15.0346,0.3561,-0.3453,-0.2756,-0.3687,-0.5447,0.9372,?,?,?,?,?,279.555,8298.1123,91.094,301,0.3568,PANTALONI
0.5684,1.8353,1.3547,7.944,-0.9577,-0.2862,4.8955,2.2126,10.0672,-2.9788,9.5695,5.6543,2.3779,12.3355,0.2425,9.9159,6.0387,2.4574,11.9261,0.2999,-1.9858,0.0594,0.0573,-0.0299,-0.0289,0.9651,0.6123,0.5697,0.5513,0.9305,0.9004,0.9677,0.3749,0.3246,0.3039,0.8658,0.8107,0.9363,0.5156,-0.984,-0.7608,-1.9083,-1.4756,0.7732,1.6037,0.2492,0.2382,0.1554,0.1485,0.956,0.7891,0.644,0.6661,0.8161,0.8441,1.0343,0.0551,12.2908,0.0584,-0.6925,-0.5927,-0.2329,-0.3996,0.9726,?,?,?,?,?,13.2356,39.456,6.2814,18,0.0526,PANTALONI
