@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.787,3.8427,1.9603,8.8352,-0.2842,-3.9829,5.3338,2.3095,13.6498,-1.8932,11.0938,6.6185,2.5726,9.7082,0.4049,12.3096,6.3981,2.5294,9.826,0.432,-0.4487,0.1611,0.1452,-0.359,-0.3236,0.9012,0.8488,0.762,0.775,0.8977,0.9131,1.0171,0.7204,0.5806,0.6006,0.8059,0.8337,1.0344,0.2189,-0.296,-0.2617,-1.3519,-1.1953,0.8842,1.4582,0.4217,0.3977,0.2892,0.2727,0.9432,0.6473,0.9101,0.8992,1.406,1.3892,0.988,0.2384,17.3625,0.6156,0.6882,0.6788,0.5215,0.3917,0.9746,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1704,1.5608,1.2493,8.4172,-1.8673,-12.5358,11.2226,3.35,22.0725,?,9.9306,2.2978,1.5158,8.8341,0.4181,16.1179,11.0887,3.33,18.0402,0.3271,0.0136,-0.0172,-0.0106,-1.2623,-0.7778,0.6161,0.3729,0.8242,0.3752,2.21,1.006,0.4552,0.1391,0.6793,0.1408,4.8841,1.0121,0.2072,0.2483,-0.8634,-0.6251,-3.4768,-2.5172,0.724,0,0.1934,0.1095,0,0,0.5663,0.3813,0.9528,0.4666,2.4985,1.2235,0.4897,0.3332,23.3409,-0.4345,0.2971,0.3457,-0.8821,-0.9836,0.9352,TASCA_DESTRA_DAVANTI_PANTALONI
-1.7345,5.1996,2.2803,7.4024,-5.3496,-3.4249,1.7161,1.31,6.0406,?,10.3938,1.4516,1.2048,4.3616,0.6574,11.4037,1.0911,1.0446,4.2786,0.6781,0.5065,-0.1669,-0.1521,-0.3295,-0.3003,0.9114,1.7407,1.8926,2.183,1.0873,1.2541,1.1534,3.0299,3.582,4.7653,1.1822,1.5728,1.3304,1.0324,-0.7453,-0.692,-0.7219,-0.6703,0.9286,0,0.0916,0.0877,0,0,0.9578,1.2254,1.6972,1.7301,1.3849,1.4118,1.0194,0.2518,15.9077,-0.7554,0.0104,-0.1782,0.1627,0.1073,0.919,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5862,2.4204,1.5558,5.3425,-1.7697,9.562,0.0614,0.2479,1.095,0.8924,9.616,0.1633,0.4041,1.3621,0.8679,13.6681,0.0703,0.2651,0.9573,0.9326,-0.0613,-0.061,-0.0429,0.9944,0.6996,0.7035,6.2765,3.8501,5.8686,0.6134,0.935,1.5243,39.3951,14.8234,34.44,0.3763,0.8742,2.3234,-0.376,-0.3816,-0.2575,1.0147,0.6848,0.6749,0.1896,0.1871,0.1357,0.9869,0.7157,0.7253,4.8792,3.9223,5.581,0.8039,1.1438,1.4229,0.2715,20.582,0.883,-0.9622,-0.7237,-0.7304,-0.359,0.8552,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5551,2.5751,1.6047,5.3799,-1.5808,10.9383,0.0224,0.1496,0.7738,0.932,9.6074,0.2205,0.4695,1.6918,0.8395,14.6612,0.1243,0.3526,1.4489,0.9069,-0.0508,-0.0578,-0.0379,1.1385,0.7461,0.6553,10.7278,3.4176,4.5513,0.3186,0.4243,1.3317,115.086,11.6802,20.7143,0.1015,0.18,1.7735,-0.3108,-0.3724,-0.2336,1.198,0.7514,0.6272,0.1833,0.1978,0.134,1.0791,0.7311,0.6775,6.9528,3.1799,3.7132,0.4574,0.5341,1.1677,0.2914,22.0122,0.5293,-0.9708,-0.8384,-0.3154,-0.0226,0.9303,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0633,14.2943,3.7808,13.4593,-1.1,-5.8361,40.9425,6.3986,29.1312,-4.1466,8.9666,20.6438,4.5435,17.1429,0.0459,12.7674,28.4648,5.3352,24.1923,0.0988,0.1822,-0.1186,-0.0833,-0.6509,-0.4571,0.7023,0.5909,0.8321,0.7086,1.4083,1.1993,0.8516,0.3491,0.6924,0.5022,1.9833,1.4384,0.7252,0.3004,-8.5504,-2.657,-28.4664,-8.8459,0.3108,1.1323,0.3567,0.2387,0.315,0.2108,0.6693,0.462,0.7851,0.5563,1.6993,1.2042,0.7086,0.215,19.085,-0.6641,-0.4708,0.053,-0.2144,-0.6983,0.777,TASCA_DESTRA_DAVANTI_PANTALONI
0.2669,1.917,1.3846,5.0058,-0.9398,3.963,0.1474,0.384,1.5038,0.6805,9.6418,0.0928,0.3045,1.1332,0.8885,10.5282,0.0553,0.2352,0.9954,0.9091,0.0674,0.0277,0.0254,0.411,0.3764,0.9158,3.606,4.5463,5.8878,1.2607,1.6328,1.2951,13.0035,20.6686,34.666,1.5895,2.6659,1.6772,-0.7572,-0.2686,-0.2436,0.3547,0.3217,0.9068,0.5482,0.2539,0.2356,0.4631,0.4297,0.9279,3.3287,4.4173,5.0292,1.327,1.5108,1.1385,0.2086,14.789,-0.819,0.8799,0.629,-0.6636,-0.2576,0.8322,TASCA_DESTRA_DAVANTI_PANTALONI
0.1469,1.5738,1.2545,5.6396,-0.7392,3.9916,12.7671,3.5731,15.8747,-0.6849,9.4415,0.9207,0.9595,5.0128,0.5807,10.8794,1.9976,1.4134,5.2603,0.6152,0.0368,0.0156,0.0135,0.4228,0.3669,0.8678,0.3511,1.3074,0.8876,3.7238,2.5281,0.6789,0.1233,1.7093,0.7878,13.8666,6.3912,0.4609,0.3715,-0.3453,-0.285,-0.9296,-0.7672,0.8253,0.3442,0.2712,0.2372,0.7882,0.6892,0.8744,0.3553,1.125,1.0721,3.1668,3.0179,0.953,0.201,15.1872,0.1387,-0.1084,0.0245,0.0452,0.5768,0.6621,TASCA_DESTRA_DAVANTI_PANTALONI
0.8979,0.9908,0.9954,5.0413,-0.3387,-2.4763,2.4838,1.576,6.0495,-669.0233,9.7666,0.7207,0.8489,3.5011,0.6884,10.2752,0.9408,0.97,4.2411,0.6666,-0.3626,0.0919,0.0874,-0.2535,-0.241,0.9505,0.6316,1.1725,1.0262,1.8565,1.6248,0.8752,0.3989,1.3748,1.0531,3.4465,2.6401,0.766,0.2112,-0.1649,-0.1504,-0.781,-0.7124,0.9122,417.087,0.3352,0.296,0.0008,0.0007,0.8833,0.8333,1.4399,1.1887,1.7279,1.4264,0.8255,0.1983,13.365,0.0372,-0.0623,0.0592,-0.0747,-0.5,0.8845,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1733,5.896,2.4282,13.4255,-0.9308,-3.756,6.2231,2.4946,10.4595,?,9.8303,3.1026,1.7614,9.5098,0.3414,11.0664,3.5296,1.8787,7.7545,0.5162,0.0461,-0.0176,-0.0157,-0.3821,-0.3394,0.8883,0.9734,1.3785,1.2925,1.4163,1.3278,0.9376,0.9474,1.9003,1.6704,2.0058,1.7631,0.879,0.6188,-1.3128,-0.7823,-2.1217,-1.2642,0.5959,0,0.4816,0.4338,0,0,0.9009,1.2836,1.4118,1.7313,1.0999,1.3488,1.2264,0.2148,15.371,0.5558,0.7858,0.321,0.247,-0.4536,0.6783,TASCA_DESTRA_DAVANTI_PANTALONI
