@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
0.3791,1.4414,1.2006,6.3118,-0.6928,0.1263,3.7152,1.9275,8.8989,-0.7777,0.2129,1.2382,1.1128,5.5002,-0.592,2.2673,1.4591,1.2079,5.5556,0.0788,3.0018,1.7805,0.1672,0.5931,0.0557,0.0939,0.6229,1.0789,0.9939,1.7322,1.5957,0.9212,0.388,1.1641,0.9879,3.0004,2.5462,0.8486,0.6636,1.263,-5.4358,1.9033,-8.1919,-4.304,0.7448,1.0792,0.6182,1.4489,0.83,0.5729,0.7093,1.1476,1.1361,1.6179,1.6018,0.99,0.0016,3.4289,0.793,-0.1169,0.4105,-0.0405,0.2605,-0.1621,2.221,0.1722,0.4149,1,0.6667,DAVANTI_PANTALONI
0.0496,0.8143,0.9024,3.1007,-1.4072,-0.0996,1.0034,1.0017,4.011,-1.0113,-0.082,0.1742,0.4173,1.5359,-2.0543,1.259,0.426,0.6527,2.2399,0.0581,-0.4975,-0.6045,0.0394,1.2151,-0.0792,-0.0651,0.9009,2.1622,1.3826,2.4001,1.5347,0.6394,0.8116,4.6752,1.9116,5.7607,2.3554,0.4089,0.8988,1.7546,-13.1179,1.9523,-14.5954,-7.4762,0.6459,2.5615,0.5417,3.9657,0.8386,0.2115,0.7731,2.0188,1.3843,2.6115,1.7907,0.6857,0.0005,1.8902,0.1781,0.1358,-0.2908,-0.8031,-0.0543,-0.2818,4.7887,0.1666,0.4082,1,0.8,DAVANTI_PANTALONI
0.2524,6.3645,2.5228,15.7492,-0.6328,-0.5483,6.5369,2.5567,11.9676,-1.451,-0.4572,8.954,2.9923,22.9167,-0.9622,4.1101,5.5361,2.3529,15.0581,0.0319,-0.4603,-0.5519,0.0614,1.1991,-0.1334,-0.1113,0.9867,0.8431,1.0722,0.8544,1.0866,1.2718,0.9736,0.7108,1.1497,0.7301,1.1808,1.6174,0.8615,0.5432,-12.3023,0.6305,-14.2797,-22.6492,1.9754,0.8259,0.6201,0.4181,0.3139,0.7509,1.316,0.6872,1.0459,0.5222,0.7948,1.5219,0.0027,6.19,0.194,0.2593,-0.02,-0.1207,-0.3369,-0.1576,0,0,0,0,0,DAVANTI_PANTALONI
-0.3331,3.6562,1.9121,8.4667,-0.5617,-0.0796,2.0365,1.4271,5.5824,-0.692,-0.1407,0.7574,0.8703,3.9266,-1.5665,2.4254,0.7048,0.8395,4.852,0.2067,4.1832,2.3681,-0.1373,0.5661,-0.0328,-0.058,1.3399,2.1971,2.2776,1.6397,1.6998,1.0366,1.7954,4.8272,5.1875,2.6887,2.8894,1.0746,1.3338,1.2706,-2.4088,0.9526,-1.806,-1.8958,1.6433,3.5436,0.8864,2.1565,0.5394,0.2501,1.5167,2.1563,1.745,1.4217,1.1505,0.8093,0.0013,3.7205,-0.1038,-0.2212,0.0677,-0.7766,0.4429,-0.3378,3.5576,1.1747,1.0839,3,0.4,DAVANTI_PANTALONI
-1.4744,7.3357,2.7084,14.9435,-1.6361,-1.0349,5.1606,2.2717,12.389,-1.2335,-0.2542,8.7937,2.9654,12.737,-1.1973,4.4599,4.7087,2.17,10.2709,0.0526,1.4247,5.8,-0.3306,4.0711,-0.232,-0.057,1.1923,0.9133,1.2482,0.7661,1.0469,1.3666,1.4215,0.8342,1.5579,0.5868,1.096,1.8675,1.3555,1.3364,-16.2504,0.9858,-11.9881,-12.1602,1.022,0.9779,0.5229,0.9569,0.5116,0.5347,1.2062,1.1732,1.4549,0.9727,1.2062,1.2401,0.0064,6.74,0.3978,-0.4627,-0.6263,0.2033,-0.3149,0.138,6.4246,0.2443,0.4943,1,0.8571,DAVANTI_PANTALONI
-2.1153,12.2143,3.4949,13.011,-11.2096,-1.373,6.1121,2.4723,10.2045,-2.2401,-0.7852,5.2602,2.2935,9.8994,-1.4468,4.4304,10.9344,3.3067,13.2339,0.0406,1.5407,2.6941,-0.4775,1.7486,-0.3099,-0.1772,1.4136,1.5238,1.0569,1.0779,0.7477,0.6936,1.9984,2.322,1.1171,1.1619,0.559,0.4811,1.6932,2.0407,-21.3507,1.2053,-12.61,-10.4625,0.3384,0.2634,0.0773,0.7785,0.2283,0.2933,1.275,1.3143,0.9832,1.0308,0.7711,0.748,0.0203,6.5409,0.6484,0.0638,-0.967,0.0697,-0.7167,-0.1009,1,0,0,0,1,DAVANTI_PANTALONI
0.076,17.6116,4.1966,21.1209,-0.7726,0.9179,7.552,2.7481,13.0608,-0.9027,-1.8205,14.3496,3.7881,19.2017,-1.6251,6.0267,7.3548,2.712,11.9463,0.0516,0.0828,-0.0417,0.0126,-0.5042,0.1523,-0.3021,1.5271,1.1078,1.5474,0.7255,1.0133,1.3968,2.332,1.2273,2.3946,0.5263,1.0268,1.9511,1.4857,0.7745,-14.1555,0.5213,-9.5278,-18.278,1.7358,1.6289,0.9459,0.9384,0.5449,0.5807,1.6171,1.0999,1.768,0.6802,1.0933,1.6073,0.0074,8.8354,-0.1504,-0.3097,0.3014,0.0063,0.1045,-0.5537,0.5036,0.4311,0.6566,2,0,DAVANTI_PANTALONI
1.1687,13.6168,3.6901,22.5615,-0.4275,0.138,6.9671,2.6395,12.807,-0.7718,-1.6631,13.5913,3.6866,24.7175,-0.9366,5.5094,7.9723,2.8235,20.005,0.0173,8.4669,-0.7027,0.2121,-0.083,0.0251,-0.3019,1.398,1.0009,1.3069,0.716,0.9348,1.3057,1.9545,1.0019,1.708,0.5126,0.8739,1.7048,1.211,0.5652,-19.1398,0.4667,-15.8048,-33.8654,2.1867,1.2383,0.7764,0.5663,0.355,0.6269,1.7617,0.9128,1.1278,0.5181,0.6402,1.2356,0.0074,8.4463,-0.2108,0.6371,0.1754,-0.35,0.2444,0.0769,0.2255,0.1746,0.4179,1,0,DAVANTI_PANTALONI
0.5166,3.3482,1.8298,7.9971,-0.5725,0.151,2.6176,1.6179,6.1787,-0.8846,-0.1361,0.6273,0.792,3.9602,-1.3182,2.4709,0.7961,0.8922,4.7598,0.2094,3.4214,-3.7964,0.2091,-1.1096,0.0611,-0.0551,1.131,2.3103,2.0508,2.0427,1.8133,0.8877,1.2791,5.3373,4.2059,4.1725,3.2881,0.788,1.0038,1.2928,-2.3089,1.2879,-2.3001,-1.786,1.5513,2.9771,0.8447,1.9191,0.5445,0.2837,1.2943,2.0194,1.6802,1.5602,1.2981,0.832,0.002,3.6265,0.3285,-0.319,0.0271,-0.4839,0.4088,-0.2798,0,0,0,0,0,DAVANTI_PANTALONI
0.4361,4.5745,2.1388,8.96,-0.7322,0.1362,1.1761,1.0845,3.9956,-0.964,-0.0594,0.8974,0.9473,4.2912,-1.0776,2.4155,1.0256,1.0127,4.6949,0.1451,3.2018,-7.3436,0.1805,-2.2936,0.0564,-0.0246,1.9722,2.2578,2.1119,1.1448,1.0708,0.9354,3.8895,5.0975,4.4601,1.3106,1.1467,0.875,1.9313,1.7017,-4.754,0.8811,-2.4616,-2.7937,2.5425,2.5044,0.9419,0.985,0.3705,0.3761,2.2425,2.088,1.9085,0.9311,0.851,0.914,0.0017,3.5751,0.3518,-0.3819,0.0435,-0.5814,0.1125,-0.2714,0,0,0,0,0,DAVANTI_PANTALONI
0.3577,2.9697,1.7233,7.4634,-0.5875,0.1725,2.1281,1.4588,5.6672,-0.8529,-0.039,0.875,0.9354,3.8667,-1.3571,2.3097,0.7975,0.893,4.3349,0.1802,2.0743,-9.1649,0.1549,-4.4184,0.0747,-0.0169,1.1813,1.8423,1.9297,1.5596,1.6336,1.0475,1.3955,3.3941,3.7239,2.4322,2.6685,1.0972,1.0588,1.2407,-2.8996,1.1717,-2.7385,-2.3371,1.5371,2.8659,0.8892,1.8645,0.5785,0.3103,1.3169,1.9302,1.7217,1.4656,1.3073,0.892,0.0014,3.4861,0.3887,-0.4151,0.0671,-0.3994,0.156,-0.1095,?,?,?,?,?,DAVANTI_PANTALONI
1.2827,14.1013,3.7552,28.1433,-0.2679,-0.6648,7.164,2.6766,13.9898,-0.7702,-0.3661,4.414,2.1009,9.0543,-0.8999,4.4582,8.0246,2.8328,21.7805,0.0308,-1.9295,-3.5033,0.2877,1.8157,-0.1491,-0.0821,1.403,1.7874,1.3256,1.274,0.9449,0.7417,1.9684,3.1947,1.7573,1.623,0.8928,0.5501,0.9771,1.3868,-8.605,1.4193,-8.8067,-6.2051,2.8085,4.6575,0.9877,1.6583,0.3517,0.2121,2.0117,3.1083,1.2921,1.5451,0.6423,0.4157,0.0054,6.7008,0.0499,-0.2629,0.6342,0.1841,-0.0666,0.045,0,0,0,0,0,DIETRO_PANTALONI
1.2099,8.8967,2.9827,30.4062,-0.2495,-0.6669,6.1144,2.4727,11.0833,-0.9989,-0.0841,4.952,2.2253,11.4776,-0.7233,3.957,6.2214,2.4943,23.7077,0.03,-1.8142,-14.3897,0.3058,7.9318,-0.1685,-0.0212,1.2062,1.3404,1.1958,1.1112,0.9914,0.8922,1.455,1.7966,1.43,1.2347,0.9828,0.796,1.0964,1.2606,-8.2854,1.1498,-7.5572,-6.5728,4.3887,3.6535,0.9956,0.8325,0.2269,0.2725,2.7434,2.6492,1.2825,0.9656,0.4675,0.4841,0.005,5.9167,0.1643,0.0354,0.6073,0.0136,-0.2237,0.1363,0,0,0,0,0,DIETRO_PANTALONI
