@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.567,8.9869,2.9978,15.8467,-1.5634,5.1277,12.4564,3.5294,23.7492,-0.1016,7.6949,19.6105,4.4284,21.688,-0.025,10.3921,18.8839,4.3456,21.0319,0.2219,0.1106,0.0737,0.0546,0.6664,0.4934,0.7405,0.8494,0.677,0.6899,0.797,0.8122,1.0191,0.7215,0.4583,0.4759,0.6352,0.6596,1.0385,4.4125,18.2783,-1.6111,4.1424,-0.3651,-0.0881,0.2867,0.2922,0.2287,1.0189,0.7976,0.7828,0.6673,0.7307,0.7535,1.095,1.1292,1.0312,0.1971,15.3839,0.5736,-0.5778,-0.2827,-0.0743,0.3705,0.8438,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.443,5.6121,2.369,8.2312,-0.741,-2.8574,15.24,3.9038,13.8843,-1.8455,10.0946,3.4966,1.8699,7.2551,0.4298,11.4411,3.713,1.9269,7.958,0.4511,-0.155,0.0439,0.0387,-0.2831,-0.2498,0.8823,0.6068,1.2669,1.2294,2.0877,2.026,0.9704,0.3683,1.605,1.5115,4.3585,4.1045,0.9417,0.389,-0.6405,-0.5357,-1.6465,-1.377,0.8363,0.969,0.3716,0.3261,0.3835,0.3366,0.8777,0.5928,1.1345,1.0343,1.9137,1.7447,0.9117,0.2188,16.3028,0.8357,0.0826,-0.2564,-0.0598,-0.4123,0.8629,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0646,0.1999,0.4471,1.8407,?,4.9965,3.3588,1.8327,7.5709,0.1344,9.0872,0.8109,0.9005,3.1765,0.701,10.5302,2.16,1.4697,5.5538,0.5778,-0.2131,-0.1171,-0.1011,0.5498,0.4745,0.863,0.2439,0.4965,0.3042,2.0352,1.247,0.6127,0.0595,0.2465,0.0925,4.142,1.555,0.3754,-1.5654,-0.2472,-0.2422,0.1579,0.1547,0.9799,0,0,0,0.8233,0.6649,0.8077,0.2431,0.5795,0.3314,2.3834,1.3632,0.572,0.2369,15.1482,0.3586,-0.2025,0.062,0.6535,0.894,0.9171,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3909,0.3725,0.6103,3.3825,-0.1412,6.3209,5.8557,2.4198,9.3215,-0.0524,10.3976,0.7098,0.8425,4.5341,0.6557,12.3915,1.6061,1.2673,4.9907,0.6396,0.0618,0.0376,0.0315,0.6079,0.5101,0.8391,0.2522,0.7244,0.4816,2.8722,1.9094,0.6648,0.0636,0.5248,0.2319,8.2496,3.6459,0.4419,0.9011,-0.0485,-0.0473,-0.0538,-0.0524,0.9752,0.3347,0.225,0.2141,0.6725,0.6396,0.9512,0.3629,0.746,0.6778,2.0559,1.8678,0.9085,0.2387,17.1836,-0.7794,0.0303,-0.5513,0.0508,0.8013,0.6097,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2366,0.0111,0.1051,0.4322,-0.0182,5.6867,0.0461,0.2148,1.1333,0.8202,9.5911,0.0126,0.1121,0.496,0.9498,11.1544,0.0311,0.1765,0.86,0.9267,0.0416,0.0247,0.0212,0.5929,0.5098,0.8598,0.4895,0.9376,0.5957,1.9153,1.217,0.6354,0.2396,0.879,0.3549,3.6684,1.4811,0.4037,-0.0015,-0.0008,-0.0007,0.5504,0.4757,0.8642,0.0673,0.0429,0.0362,0.6374,0.5374,0.8432,0.3813,0.8714,0.5025,2.2852,1.3179,0.5767,0.2231,15.5146,-0.4349,-0.0684,-0.2939,0.4761,0.8751,0.8423,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4264,3.7688,1.9413,6.8711,-1.0893,4.1247,4.3463,2.0848,7.35,-0.0377,9.1867,4.7262,2.174,8.6118,0.3204,10.4541,5.1438,2.268,9.0096,0.3535,0.1034,0.0464,0.0408,0.449,0.3946,0.8788,0.9312,0.893,0.856,0.959,0.9192,0.9585,0.8671,0.7974,0.7327,0.9196,0.845,0.9188,13.4009,-0.8823,-0.7272,-0.0658,-0.0543,0.8242,0.4643,0.2595,0.236,0.5589,0.5082,0.9093,0.9348,0.7979,0.7626,0.8535,0.8158,0.9558,0.1976,15.1191,0.7827,0.4014,0.5846,0.3774,0.6297,0.9494,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3237,3.2239,1.7955,7.7143,-0.5516,10.0474,5.8102,2.4104,10.1376,0.2337,9.4841,6.5815,2.5654,9.2481,0.3009,14.0376,9.5642,3.0926,12.6989,0.3148,-0.0322,-0.0341,-0.0231,1.0594,0.7158,0.6756,0.7449,0.6999,0.5806,0.9396,0.7794,0.8295,0.5549,0.4898,0.3371,0.8828,0.6075,0.6881,-0.8873,-0.689,-0.47,0.7765,0.5297,0.6821,0.3758,0.3758,0.2682,1,0.7137,0.7137,0.761,0.8341,0.6075,1.0962,0.7983,0.7283,0.271,21.0434,-0.2679,0.4451,0.1389,0.5517,0.8473,0.9049,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1776,0.009,0.0951,0.3352,-0.0685,6.0598,0.0213,0.1459,0.5873,0.9074,9.6168,0.004,0.0634,0.2632,0.973,11.3695,0.0058,0.0764,0.3175,0.9725,0.0293,0.0185,0.0156,0.6301,0.533,0.8458,0.652,1.4995,1.2457,2.3,1.9106,0.8307,0.4251,2.2485,1.5517,5.2898,3.6506,0.6901,-0.0037,-0.0023,-0.0019,0.6065,0.5121,0.8443,0.0495,0.0322,0.0272,0.6504,0.5489,0.8439,0.5708,1.2739,1.056,2.2315,1.8499,0.829,0.2274,15.8551,0.0713,0.0722,0.1366,-0.3735,0.7555,0.3308,28.1877,0,0,0,1,71.6841,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.6326,15.6526,3.9563,17.1996,-1.6606,4.852,25.6871,5.0682,18.5993,-0.4704,8.524,25.2281,5.0228,17.8132,0.0535,12.1471,15.6161,3.9517,17.5748,0.0818,0.1304,0.0742,0.0521,0.5692,0.3994,0.7017,0.7806,0.7877,1.0012,1.0091,1.2825,1.271,0.6094,0.6204,1.0023,1.0182,1.6449,1.6155,1.804,-10.6591,-6.8579,-5.9084,-3.8014,0.6434,0.5111,0.3435,0.3378,0.6721,0.6609,0.9833,0.9247,0.9656,0.9786,1.0441,1.0583,1.0136,0.1927,17.913,0.7807,0.0642,0.2017,0.0574,0.3833,0.843,27.638,0.0109,0.1046,0.2095,0.9924,73.136,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.4257,0.0104,0.102,0.4877,0.2316,-6.9209,0.0416,0.2039,7.5843,?,9.6918,0.0161,0.1267,0.6114,0.9389,11.9179,0.0405,0.2012,1.0056,0.92,-0.0615,0.0439,0.0357,-0.7141,-0.5807,0.8132,0.5004,0.8049,0.507,1.6084,1.0132,0.6299,0.2504,0.6479,0.2571,2.587,1.0265,0.3968,-0.0194,0.0156,0.0127,-0.8068,-0.6562,0.8133,0,0.0634,0.0505,0,0,0.7969,0.0643,0.7976,0.4849,12.4052,7.5417,0.6079,0.2337,17.0383,0.2262,-0.0202,-0.1289,-0.6506,-0.9196,0.8979,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
