@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.1608,1.9255,1.3876,4.8031,-1.6283,-6.8619,0.8599,0.9273,8.6672,?,3.5554,2.3872,1.5451,4.8916,0.1148,7.9673,1.447,1.2029,4.2975,0.5574,0.0234,-0.0452,-0.0202,-1.93,-0.8613,0.4463,1.4964,0.8981,1.1536,0.6002,0.7709,1.2844,2.2393,0.8066,1.3307,0.3602,0.5942,1.6497,0.3433,-4.6926,-0.5499,-13.6682,-1.6017,0.1172,0,0.3307,0.1882,0,0,0.5691,0.5542,0.9819,1.1176,1.7718,2.0168,1.1382,0.7027,11.5067,0.0238,-0.4534,-0.3127,-0.5504,-0.8805,0.8724,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.1824,1.3421,1.1585,4.5949,-0.6422,-2.2617,5.3062,2.3035,8.4712,-1.9908,-1.1939,5.8345,2.4155,8.3791,-1.6411,4.1566,3.1445,1.7733,6.2957,0.1881,-0.5228,-0.9904,0.2845,1.8945,-0.5441,-0.2872,0.5029,0.4796,0.6533,0.9537,1.299,1.3621,0.2529,0.23,0.4268,0.9095,1.6874,1.8554,0.3187,0.3451,-1.2323,1.083,-3.8671,-3.5706,0.9879,0.8819,0.3609,0.8928,0.3653,0.4092,0.5424,0.5484,0.7298,1.011,1.3455,1.3309,0.0564,6.6009,-0.6043,-0.5159,0.2978,0.9119,-0.8232,-0.8505,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.83,4.9488,2.2246,6.8523,-0.156,-3.7427,3.1756,1.782,7.3346,?,-2.4598,9.7308,3.1194,10.9025,-1.5815,6.0535,4.6182,2.149,8.0349,0.1507,-0.4889,-0.7439,0.3023,1.5215,-0.6183,-0.4064,1.2484,0.7131,1.0352,0.5713,0.8292,1.4516,1.5584,0.5086,1.0716,0.3263,0.6876,2.1071,0.1261,0.1385,-0.6487,1.0981,-5.1448,-4.685,0,1.4035,0.6265,0,0,0.4464,0.9342,0.6285,0.8528,0.6727,0.9128,1.3569,0.0968,9.1125,-0.6546,0.6949,0.4944,-0.0002,-0.8468,-0.2265,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1617,10.6252,3.2596,18.9911,-0.461,0.3571,16.0499,4.0062,22.1887,-1.4842,-1.2126,7.5993,2.7567,16.2549,-0.963,5.0054,10.8439,3.293,15.0652,0.047,0.4527,-0.1333,0.0323,-0.2945,0.0713,-0.2423,0.8136,1.1824,0.9899,1.4533,1.2166,0.8371,0.662,1.3982,0.9798,2.112,1.4801,0.7008,0.4521,0.7515,-8.0606,1.6624,-17.8312,-10.7263,1.4552,1.5698,0.8222,1.0787,0.565,0.5238,0.8559,1.1683,1.2606,1.365,1.4728,1.079,0.0255,7.4378,-0.3911,0.2608,0.53,-0.0317,-0.2835,-0.0907,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.6079,2.2429,1.4976,5.2481,-1.7099,-0.6315,3.7056,1.925,7.8362,-1.045,0.2136,9.1313,3.0218,11.8154,-0.5846,3.4346,4.0976,2.0242,7.842,0.0681,0.9627,-2.8463,-0.177,-2.9567,-0.1839,0.0622,0.778,0.4956,0.7399,0.637,0.951,1.4928,0.6053,0.2456,0.5474,0.4058,0.9043,2.2285,0.827,0.7597,-5.7746,0.9186,-6.9828,-7.6015,0.5054,0.2597,0.2301,0.5139,0.4553,0.886,0.6697,0.4442,0.6692,0.6632,0.9993,1.5067,0.0192,5.4149,0.416,-0.196,-0.5413,0.5215,0.2156,0.3867,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1031,0.0056,0.0748,0.3627,-2.7598,-0.0093,0.0196,0.1399,0.606,-0.939,0.0252,0.0109,0.1045,0.46,-0.6821,0.1983,0.0081,0.0902,0.379,0.1078,11.1435,-4.0871,-0.5201,-0.3668,-0.0467,0.1273,0.5345,0.7158,0.829,1.339,1.5508,1.1582,0.2857,0.5123,0.6872,1.7929,2.4049,1.3413,0.9073,1.4273,-5.8131,1.5731,-6.4069,-4.0727,0.3087,0.3528,0.2271,1.1429,0.7356,0.6436,0.5986,0.7885,0.9569,1.3174,1.5987,1.2135,0.0023,0.3074,0.1898,0.1358,-0.2812,0.9898,-0.1183,-0.0741,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1485,0.0072,0.0846,0.3632,-0.0697,-0.152,0.0216,0.147,0.5837,-3.3565,0.0727,0.0034,0.0579,0.2402,-0.2618,0.2727,0.0082,0.0907,0.4234,0.1005,-0.9768,2.0422,0.5446,-2.0907,-0.5576,0.2667,0.5757,1.4601,0.9329,2.5361,1.6203,0.6389,0.3315,2.1319,0.8702,6.4316,2.6254,0.4082,0.0526,0.4746,-0.5,9.0225,-9.5047,-1.0534,2.534,1.7832,0.7213,0.7037,0.2847,0.4045,0.6222,1.5117,0.8578,2.4297,1.3787,0.5674,0.0046,0.4015,0.2792,0.1357,0.27,0.366,-0.7556,-0.1556,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.6971,3.1673,1.7797,8.658,-1.0096,-1.1171,3.9578,1.9894,8.0765,-1.4078,-0.1054,3.1907,1.7862,10.0197,-1.167,2.9604,3.2967,1.8157,8.0167,0.0245,0.624,6.6113,-0.2355,10.5942,-0.3773,-0.0356,0.8946,0.9963,0.9802,1.1137,1.0957,0.9838,0.8003,0.9927,0.9608,1.2404,1.2005,0.9678,0.9211,0.8061,-21.6203,0.8751,-23.4714,-26.8201,1.2844,0.9317,0.5243,0.7254,0.4082,0.5627,1.072,0.8641,1.08,0.8061,1.0075,1.2499,0.0275,4.5166,-0.0428,-0.6651,-0.2634,0.4733,-0.5725,-0.1709,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.7486,21.8514,4.6745,14.2588,-1.0215,-2.4205,45.9521,6.7788,20.0002,-1.2094,0.1981,16.2243,4.0279,16.652,-0.7306,9.3911,2.2937,1.5145,5.7259,0.5325,-0.3093,3.7785,0.0797,-12.2174,-0.2577,0.0211,0.6896,1.1605,3.0866,1.6829,4.476,2.6596,0.4755,1.3468,9.5269,2.8323,20.0344,7.0736,0.6581,1.0249,-1.1049,1.5574,-1.6788,-1.078,0.7792,0.7331,0.5759,0.9408,0.7391,0.7857,0.7129,0.8563,2.4902,1.2011,3.493,2.9082,0.0529,14.5381,-0.7657,0.3119,0.5033,0.2755,-0.5042,0.13,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
1.7443,10.7819,3.2836,14.5469,-0.9381,-4.4255,18.4985,4.301,17.0773,-0.9621,-0.3307,21.1093,4.5945,13.6256,-0.6495,8.3778,2.9391,1.7144,7.9701,0.3153,-0.3942,-5.2741,0.2082,13.3809,-0.5282,-0.0395,0.7634,0.7147,1.9153,0.9361,2.5088,2.68,0.5829,0.5108,3.6685,0.8763,6.294,7.1823,0.8409,1.3124,-1.9189,1.5607,-2.2819,-1.4621,0.8624,0.9086,0.6448,1.0537,0.7478,0.7097,0.8518,1.0676,1.8252,1.2533,2.1427,1.7096,0.0993,12.8132,-0.4073,0.5868,0.5225,0.4373,0.0101,0.6737,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
2.0846,23.2568,4.8225,17.5993,-1.0634,-4.1152,39.6862,6.2997,25.3215,-0.868,-0.2161,22.114,4.7026,16.2569,-0.3971,9.7497,11.3273,3.3656,11.2107,0.2397,-0.5066,-9.6479,0.2138,19.0457,-0.4221,-0.0222,0.7655,1.0255,1.4329,1.3396,1.8718,1.3972,0.586,1.0517,2.0532,1.7946,3.5036,1.9523,0.7709,1.963,-2.5658,2.5465,-3.3283,-1.307,0.6292,0.733,0.5784,1.1649,0.9193,0.7891,0.695,1.0826,1.5699,1.5576,2.2587,1.4501,0.0962,15.386,-0.7616,0.1532,0.5135,0.402,-0.1229,0.3922,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.0008,22.6693,4.7612,17.5662,-1.1862,-0.9114,6.4885,2.5472,10.252,-1.7063,1.9178,12.6646,3.5587,14.8312,-0.4901,6.3506,6.0005,2.4496,9.2636,0.1576,0.0008,-0.0004,-0.0001,-0.4752,-0.1435,0.302,1.8692,1.3379,1.9437,0.7158,1.0399,1.4528,3.4938,1.79,3.7779,0.5123,1.0813,2.1106,1.4745,1.9539,-5.4977,1.3251,-3.7285,-2.8138,2.1212,0.8073,0.7307,0.3806,0.3445,0.9051,1.7134,1.1844,1.8963,0.6912,1.1067,1.601,0.0442,9.3452,-0.6693,-0.2313,-0.3935,0.5106,0.2077,0.4463,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.4533,3.8032,1.9502,9.3423,-1.2265,-1.2707,6.1898,2.4879,8.6596,-2.0448,-0.0896,2.5105,1.5845,6.7798,-0.9263,3.4195,2.6392,1.6246,6.0119,0.1525,-0.3567,-5.0577,0.1326,14.1783,-0.3716,-0.0262,0.7839,1.2308,1.2004,1.5702,1.5315,0.9753,0.6144,1.5149,1.441,2.4655,2.3454,0.9513,0.8849,1.5786,-4.7564,1.7838,-5.3748,-3.0131,1.4753,1.1921,0.5915,0.8081,0.4009,0.4961,1.0788,1.378,1.554,1.2773,1.4404,1.1277,0.0288,5.153,0.6196,0.2534,-0.5558,0.4061,-0.7124,-0.1909,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.8718,4.1956,2.0483,8.5899,-1.4207,-1.9053,6.2853,2.5071,11.3731,-1.8586,0.6862,11.086,3.3296,12.0851,-0.4977,4.7464,3.9,1.9748,8.2292,0.0641,0.4576,-1.2704,-0.1837,-2.7764,-0.4014,0.1446,0.817,0.6152,1.0372,0.753,1.2695,1.686,0.6675,0.3785,1.0758,0.567,1.6116,2.8426,0.6818,1.2552,-8.9505,1.8412,-13.1282,-7.1304,0.8919,0.4398,0.4036,0.4931,0.4525,0.9177,0.7553,0.7108,1.0438,0.9411,1.382,1.4686,0.045,7.2673,0.2891,-0.0723,-0.2341,-0.4239,-0.4539,0.3892,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.0951,0.0059,0.0771,0.322,-0.3843,0.0575,0.0176,0.1327,0.5521,-0.7207,-0.001,0.0119,0.1092,0.4936,-1.0922,0.2078,0.0046,0.0681,0.2731,0.1996,1.6539,-94.61,0.4577,-57.2028,0.2767,-0.0048,0.5812,0.7059,1.132,1.2147,1.9479,1.6036,0.3378,0.4984,1.2815,1.4755,3.7942,2.5714,0.3865,0.3469,-1.3127,0.8975,-3.396,-3.784,0.725,0.9861,0.6818,1.3601,0.9404,0.6914,0.5833,0.6524,1.1792,1.1186,2.0217,1.8074,0.0023,0.3114,-0.3678,0.7086,0.2503,-0.0529,0.0137,0.1531,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.1979,0.0158,0.1259,0.5084,-0.0775,-0.0251,0.0951,0.3084,1.2186,-0.8308,-0.0258,0.0241,0.1552,0.7288,-1.2512,0.3906,0.023,0.1517,0.5334,0.2296,-7.8818,-7.661,0.5068,0.972,-0.0643,-0.0661,0.4082,0.8111,0.83,1.9872,2.0335,1.0233,0.1666,0.6579,0.6889,3.9488,4.1353,1.0472,0.0661,0.0903,-0.23,1.3653,-3.4781,-2.5475,0.7088,1.4575,0.6815,2.0562,0.9614,0.4676,0.4172,0.6976,0.9532,1.6722,2.2848,1.3663,0.0041,0.5867,0.0494,0.2429,0.2754,0.7414,0.0633,0.0485,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.2399,0.0063,0.0796,0.4111,0.0596,0.022,0.0218,0.1476,0.6347,-0.9742,0.0256,0.0167,0.1291,0.5826,-0.727,0.31,0.0074,0.0859,0.3375,0.327,10.9252,9.3735,0.7738,0.858,0.0708,0.0826,0.5395,0.6169,0.9269,1.1435,1.7181,1.5025,0.2911,0.3806,0.8592,1.3076,2.9518,2.2574,-0.0832,-0.1063,0.1589,1.2772,-1.91,-1.4955,1.3596,1.2959,0.8718,0.9531,0.6412,0.6727,0.6477,0.7057,1.2182,1.0896,1.881,1.7263,0.0055,0.4659,-0.3115,0.7,0.6464,-0.4793,0.0547,0.4967,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.8148,6.5805,2.5653,12.5229,-4.1709,-0.0661,9.0111,3.0019,13.1015,-0.6403,-1.347,4.059,2.0147,10.3234,-1.947,4.1807,4.6551,2.1576,10.4916,0.0546,12.3354,0.6049,-0.1949,0.049,-0.0158,-0.3222,0.8546,1.2733,1.189,1.49,1.3913,0.9338,0.7303,1.6212,1.4136,2.22,1.9357,0.8719,1.9751,1.481,-16.6656,0.7498,-8.4379,-11.2528,0.3032,0.6913,0.2182,2.2801,0.7197,0.3157,0.9558,1.2131,1.1936,1.2691,1.2488,0.984,0.0322,6.2026,-0.3265,-0.3243,-0.6396,0.352,0.1356,0.0261,?,?,?,?,?,TASCA_GIACCA
-0.0425,6.3912,2.5281,11.3673,-1.6493,-1.2775,14.2678,3.7773,15.2605,-1.6726,-0.84,5.1804,2.276,8.9985,-1.2632,4.9338,3.8364,1.9587,8.6219,0.1411,0.0333,0.0506,-0.0086,1.5208,-0.2589,-0.1703,0.6693,1.1107,1.2907,1.6596,1.9285,1.162,0.4479,1.2337,1.666,2.7542,3.7191,1.3503,0.741,1.409,-4.9968,1.9016,-6.7436,-3.5464,0.7514,1.0791,0.4274,1.4361,0.5688,0.3961,0.7449,1.2632,1.3184,1.6959,1.77,1.0437,0.0312,7.4179,0.108,0.6074,-0.4374,0.045,-0.4698,-0.3712,?,?,?,?,?,TASCA_GIACCA
-0.6644,6.284,2.5068,12.901,-2.294,0.1897,14.0402,3.747,15.0252,-0.7797,-0.598,6.3126,2.5125,8.766,-0.6619,4.6386,5.9553,2.4403,9.7289,0.0699,-3.5033,1.1111,-0.1432,-0.3171,0.0409,-0.1289,0.669,0.9977,1.0272,1.4914,1.5354,1.0296,0.4476,0.9955,1.0552,2.2242,2.3576,1.06,1.3648,2.5733,-12.2835,1.8855,-9,-4.7734,0.4639,0.7425,0.3744,1.6006,0.8071,0.5042,0.8586,1.4717,1.326,1.714,1.5444,0.901,0.0186,6.8671,-0.0605,0.0216,-0.2548,0.3605,0.2039,0.1222,?,?,?,?,?,TASCA_GIACCA
-0.8148,6.5805,2.5653,12.5229,-4.1709,-0.0661,9.0111,3.0019,13.1015,-0.6403,-1.347,4.059,2.0147,10.3234,-1.947,4.1807,4.6551,2.1576,10.4916,0.0546,12.3354,0.6049,-0.1949,0.049,-0.0158,-0.3222,0.8546,1.2733,1.189,1.49,1.3913,0.9338,0.7303,1.6212,1.4136,2.22,1.9357,0.8719,1.9751,1.481,-16.6656,0.7498,-8.4379,-11.2528,0.3032,0.6913,0.2182,2.2801,0.7197,0.3157,0.9558,1.2131,1.1936,1.2691,1.2488,0.984,0.0322,6.2026,-0.3265,-0.3243,-0.6396,0.352,0.1356,0.0261,?,?,?,?,?,TASCA_GIACCA
-0.0425,6.3912,2.5281,11.3673,-1.6493,-1.2775,14.2678,3.7773,15.2605,-1.6726,-0.84,5.1804,2.276,8.9985,-1.2632,4.9338,3.8364,1.9587,8.6219,0.1411,0.0333,0.0506,-0.0086,1.5208,-0.2589,-0.1703,0.6693,1.1107,1.2907,1.6596,1.9285,1.162,0.4479,1.2337,1.666,2.7542,3.7191,1.3503,0.741,1.409,-4.9968,1.9016,-6.7436,-3.5464,0.7514,1.0791,0.4274,1.4361,0.5688,0.3961,0.7449,1.2632,1.3184,1.6959,1.77,1.0437,0.0312,7.4179,0.108,0.6074,-0.4374,0.045,-0.4698,-0.3712,?,?,?,?,?,TASCA_GIACCA
-0.6644,6.284,2.5068,12.901,-2.294,0.1897,14.0402,3.747,15.0252,-0.7797,-0.598,6.3126,2.5125,8.766,-0.6619,4.6386,5.9553,2.4403,9.7289,0.0699,-3.5033,1.1111,-0.1432,-0.3171,0.0409,-0.1289,0.669,0.9977,1.0272,1.4914,1.5354,1.0296,0.4476,0.9955,1.0552,2.2242,2.3576,1.06,1.3648,2.5733,-12.2835,1.8855,-9,-4.7734,0.4639,0.7425,0.3744,1.6006,0.8071,0.5042,0.8586,1.4717,1.326,1.714,1.5444,0.901,0.0186,6.8671,-0.0605,0.0216,-0.2548,0.3605,0.2039,0.1222,?,?,?,?,?,TASCA_GIACCA
-0.0127,5.6743,2.3821,13.5211,-3.8296,0.5092,25.7657,5.076,26.0102,-0.2901,-0.4769,3.5499,1.8841,10.2114,-0.4861,4.4369,15.7905,3.9737,21.9118,0.0555,-0.025,0.0267,-0.0029,-1.0677,0.1148,-0.1075,0.4693,1.2643,0.5995,2.6941,1.2774,0.4741,0.2202,1.5984,0.3593,7.2582,1.6317,0.2248,1.8332,3.21,-8.3219,1.751,-4.5396,-2.5925,0.1389,0.4074,0.1207,2.9341,0.869,0.2962,0.5198,1.3241,0.6171,2.5472,1.187,0.466,0.0142,6.6615,-0.8449,-0.4347,-0.664,0.8087,0.741,0.6394,?,?,?,?,?,TASCA_GIACCA
-0.2456,1.3444,1.1595,5.9831,-1.2275,0.3491,4.2456,2.0605,10.7164,-1.3569,-0.2366,2.4422,1.5628,7.6258,-0.9431,2.4293,2.3688,1.5391,6.5088,0.0507,-0.7033,1.0379,-0.1011,-1.4757,0.1437,-0.0974,0.5627,0.7419,0.7533,1.3185,1.3388,1.0154,0.3166,0.5505,0.5675,1.7384,1.7923,1.031,0.5344,0.8908,-9.4752,1.6669,-17.7299,-10.6366,0.5907,0.6844,0.3917,1.1586,0.6631,0.5724,0.5583,0.7846,0.9192,1.4053,1.6465,1.1716,0.0104,3.6135,-0.6425,0.3032,-0.1444,0.042,0.1156,-0.0742,?,?,?,?,?,TASCA_GIACCA
0.0893,0.0058,0.0759,0.3474,-0.3185,0.126,0.0334,0.1828,0.8705,-0.4611,0.0347,0.0071,0.0843,0.3733,-0.6425,0.2406,0.0135,0.116,0.5521,0.0764,0.7087,2.5727,0.3711,3.6304,0.5236,0.1442,0.4149,0.9005,0.6541,2.1702,1.5764,0.7264,0.1722,0.8109,0.4279,4.7097,2.4849,0.5276,0.3055,0.5747,-1.8363,1.8812,-6.0108,-3.1952,0.4422,1.1592,0.4407,2.6214,0.9966,0.3802,0.3991,0.9306,0.6292,2.3318,1.5766,0.6761,0.0034,0.3495,-0.2675,0.6107,0.3,0.0095,0.588,0.5147,?,?,?,?,?,TASCA_GIACCA
0.1173,0.0085,0.0923,0.4214,-0.3547,0.0191,0.013,0.1142,0.4366,-0.5367,-0.006,0.006,0.0776,0.2897,-0.9732,0.1938,0.0042,0.0649,0.2611,0.2193,6.1298,-19.6994,0.6055,-3.2137,0.0988,-0.0307,0.8083,1.1905,1.4219,1.4728,1.7592,1.1944,0.6534,1.4172,2.0219,2.1691,3.0946,1.4267,0.7236,0.7721,-1.5044,1.067,-2.079,-1.9485,1.0948,2.1184,0.93,1.9349,0.8495,0.439,0.9652,1.4544,1.6138,1.5069,1.672,1.1096,0.0025,0.2873,-0.6607,0.5932,0.537,-0.277,-0.0836,0.3714,?,?,?,?,?,TASCA_GIACCA
1.7457,6.8694,2.621,13.6766,-1.227,-6.5033,34.0219,5.8328,23.3799,-7.6338,0.6957,25.752,5.0746,17.4979,-0.6423,9.5568,21.1343,4.5972,18.1603,0.1339,-0.2684,2.5091,0.1827,-9.3474,-0.6805,0.0728,0.4493,0.5165,0.5701,1.1494,1.2688,1.1039,0.2019,0.2668,0.325,1.3211,1.6098,1.2185,0.3645,1.1011,-2.6848,3.0207,-7.3652,-2.4383,2.2679,0.5764,0.2929,0.2542,0.1292,0.5081,0.585,0.7816,0.7531,1.3362,1.2874,0.9635,0.141,13.6065,0.208,-0.3408,-0.3538,-0.2162,-0.9376,0.2921,?,?,?,?,?,TASCA_GIACCA
3.0567,10.1808,3.1907,12.2381,-0.2531,-5.6643,41.8926,6.4724,21.223,-14.625,0.0287,28.2234,5.3126,21.3984,-0.64,8.7515,45.1364,6.7184,23.07,0.0092,-0.5396,106.4777,0.3493,-197.3136,-0.6472,0.0033,0.493,0.6006,0.4749,1.2183,0.9634,0.7908,0.243,0.3607,0.2256,1.4843,0.9281,0.6253,0.1244,0.296,-11.5478,2.3788,-92.8103,-39.0151,7.1903,0.7485,0.4194,0.1041,0.0583,0.5604,0.5766,0.5719,0.5305,0.9918,0.9199,0.9275,0.1341,13.4848,-0.2733,-0.2296,0.3814,-0.5657,-0.9602,0.4716,?,?,?,?,?,TASCA_GIACCA
1.7457,6.8694,2.621,13.6766,-1.227,-6.5033,34.0219,5.8328,23.3799,-7.6338,0.6957,25.752,5.0746,17.4979,-0.6423,9.5568,21.1343,4.5972,18.1603,0.1339,-0.2684,2.5091,0.1827,-9.3474,-0.6805,0.0728,0.4493,0.5165,0.5701,1.1494,1.2688,1.1039,0.2019,0.2668,0.325,1.3211,1.6098,1.2185,0.3645,1.1011,-2.6848,3.0207,-7.3652,-2.4383,2.2679,0.5764,0.2929,0.2542,0.1292,0.5081,0.585,0.7816,0.7531,1.3362,1.2874,0.9635,0.141,13.6065,0.208,-0.3408,-0.3538,-0.2162,-0.9376,0.2921,?,?,?,?,?,TASCA_GIACCA
3.0567,10.1808,3.1907,12.2381,-0.2531,-5.6643,41.8926,6.4724,21.223,-14.625,0.0287,28.2234,5.3126,21.3984,-0.64,8.7515,45.1364,6.7184,23.07,0.0092,-0.5396,106.4777,0.3493,-197.3136,-0.6472,0.0033,0.493,0.6006,0.4749,1.2183,0.9634,0.7908,0.243,0.3607,0.2256,1.4843,0.9281,0.6253,0.1244,0.296,-11.5478,2.3788,-92.8103,-39.0151,7.1903,0.7485,0.4194,0.1041,0.0583,0.5604,0.5766,0.5719,0.5305,0.9918,0.9199,0.9275,0.1341,13.4848,-0.2733,-0.2296,0.3814,-0.5657,-0.9602,0.4716,?,?,?,?,?,TASCA_GIACCA
